Year,Transect,Site_Num,Site_Code,Site_Loc,calibration,snow_appearance_date,snow_disappearance_date,snow_cover_duration,minimum_soil_temp,SDD,notes,predSDD
2015,Glacier Basin,1,GB1,GB1_15,0.908337037,11/13/2014,4/26/2015,119,-1.684,116,,107.976889023451
2016,Glacier Basin,1,GB1,GB1_15,0,11/3/2015,5/12/2016,192,-0.102,133,,141.023110976555
2017,Glacier Basin,1,GB1,GB1_17,0,11/17/2016,6/1/2017,197,0.343,152,,150.504919777979
2018,Glacier Basin,1,GB1,GB1_17,0,10/8/2017,5/12/2018,204,0.01,132,,140.804433158665
2019,Glacier Basin,1,GB1,GB1_17,0,11/5/2018,5/22/2019,197,-0.549,142,,134.690647063364
2020,Glacier Basin,1,GB1,GB1_17,NA,NA,NA,NA,NA,NA,,146.660514713827
2015,Glacier Basin,10,GB10,GB10_15,-0.001175463,10/26/2014,5/5/2015,177,-2.03,125,,124.698295531591
2016,Glacier Basin,10,GB10,GB10_15,0,11/2/2015,6/2/2016,214,-0.437,154,,157.744517484695
2017,Glacier Basin,10,GB10,GB10_15,0,10/19/2016,6/26/2017,229,0.121,177,,170.479087845442
2018,Glacier Basin,10,GB10,GB10_15,0,10/8/2017,6/7/2018,231,-0.549,158,,160.778601226129
2019,Glacier Basin,10,GB10,GB10_15,0,10/29/2018,6/9/2019,206,-5.87,160,,154.664815130828
2020,Glacier Basin,10,GB10,GB10_15,0,10/1/2019,6/9/2020,235,-2.261,161,,166.63468278129
2015,Glacier Basin,11,GB11,GB11_15,0.293092735,10/24/2014,5/11/2015,194,-0.549,131,,125.825232087858
2016,Glacier Basin,11,GB11,GB11_15,0,10/26/2015,6/2/2016,216,0.121,154,,158.871454040962
2017,Glacier Basin,11,GB11,GB11_15,0,10/17/2016,6/24/2017,247,0.232,175,,171.60602440171
2018,Glacier Basin,11,GB11,GB11_15,0,10/12/2017,6/10/2018,230,-1.001,161,,161.905537782396
2019,Glacier Basin,11,GB11,GB11_15,0,10/29/2018,6/2/2019,210,-0.213,153,,155.791751687095
2020,Glacier Basin,11,GB11,GB11_15,NA,NA,NA,NA,NA,NA,,167.761619337558
2015,Glacier Basin,12,GB12,GB12_15,0.203692879,10/24/2014,5/24/2015,212,-1.114,144,,136.831258557759
2016,Glacier Basin,12,GB12,GB12_15,0,10/26/2015,6/20/2016,236,-0.887,172,,169.877480510863
2017,Glacier Basin,12,GB12,GB12_15,0,10/17/2016,6/28/2017,255,0.01,179,,182.612050871611
2018,Glacier Basin,12,GB12,GB12_15,0,10/3/2017,6/19/2018,258,0.121,170,,172.911564252298
2019,Glacier Basin,12,GB12,GB12_15,NA,NA,NA,NA,NA,NA,,166.797778156997
2020,Glacier Basin,12,GB12,GB12_15,0,10/1/2019,6/24/2020,267,0.01,176,,178.767645807459
2015,Glacier Basin,13,GB13,GB13_15,0.195603131,10/24/2014,5/3/2015,180,-2.727,123,,114.531628864928
2016,Glacier Basin,13,GB13,GB13_15,0,10/26/2015,5/19/2016,202,0.121,140,,147.577850818032
2017,Glacier Basin,13,GB13,GB13_15,0,10/17/2016,6/18/2017,239,0.121,169,,160.312421178779
2018,Glacier Basin,13,GB13,GB13_15,0.335943536,10/11/2017,5/23/2018,213,0.121,143,,150.611934559466
2019,Glacier Basin,13,GB13,GB13_15,0.123843954,10/5/2018,6/1/2019,204,-2.494,152,,144.498148464165
2020,Glacier Basin,13,GB13,GB13_15,0,10/9/2019,5/26/2020,200,-0.102,147,,156.468016114628
2015,Glacier Basin,14,GB14,GB14_15,0.387375817,10/24/2014,5/16/2015,202,-0.102,136,,128.247199028537
2016,Glacier Basin,14,GB14,GB14_15,NA,NA,NA,NA,NA,NA,,161.293420981641
2017,Glacier Basin,14,GB14,GB14_15,0,10/17/2016,6/23/2017,250,0.121,174,,174.027991342388
2018,Glacier Basin,14,GB14,GB14_15,0,10/13/2017,6/5/2018,232,-3.197,156,,164.327504723075
2019,Glacier Basin,14,GB14,GB14_15,0,10/5/2018,6/10/2019,224,-1.114,161,,158.213718627774
2020,Glacier Basin,14,GB14,GB14_15,0,10/1/2019,6/16/2020,254,-0.213,168,,170.183586278236
2015,Glacier Basin,15,GB15,GB15_15,0.13483631,10/24/2014,5/15/2015,194,-0.213,135,,135.225232087854
2016,Glacier Basin,15,GB15,GB15_15,0,10/26/2015,6/20/2016,235,-0.549,172,,168.271454040958
2017,Glacier Basin,17,GB17,GB15_15,0,10/17/2016,7/1/2017,258,0.232,182,,181.006024401706
2018,Glacier Basin,17,GB17,GB15_15,0,10/12/2017,6/17/2018,243,0.01,168,,171.305537782393
2019,Glacier Basin,17,GB17,GB15_15,0,10/29/2018,6/13/2019,218,-1.799,164,,165.191751687091
2020,Glacier Basin,17,GB17,GB15_15,NA,NA,NA,NA,NA,NA,,177.161619337554
2017,Glacier Basin,15,GB15,GB15_17,0,10/17/2016,7/5/2017,260,0.121,186,,180.589791099517
2018,Glacier Basin,15,GB15,GB15_17,0,10/2/2017,6/16/2018,253,0.121,167,,170.889304480204
2019,Glacier Basin,15,GB15,GB15_17,0,10/3/2018,6/15/2019,227,-2.727,166,,164.775518384903
2020,Glacier Basin,15,GB15,GB15_17,0,10/1/2019,6/22/2020,262,-0.662,174,,176.745386035365
2017,Glacier Basin,16,GB16,GB16_17,0.42435086,10/17/2016,6/26/2017,252,0.121,177,,166.089791099525
2018,Glacier Basin,16,GB16,GB16_17,0,10/11/2017,5/25/2018,223,-0.213,145,,156.389304480212
2019,Glacier Basin,16,GB16,GB16_17,0,11/5/2018,6/11/2019,216,-1.684,162,,150.275518384911
2020,Glacier Basin,16,GB16,GB16_17,0,10/9/2019,5/30/2020,218,-1.001,151,,162.245386035373
2015,Glacier Basin,2,GB2,GB2_15,0.497398496,11/11/2014,4/14/2015,127,-0.213,104,,95.6982955315953
2016,Glacier Basin,2,GB2,GB2_15,0,11/4/2015,4/30/2016,175,0.121,121,,128.744517484699
