Year,Site_Loc,Elevation,SDD,gddsdd,gdd25,gdd50
2012,PA-1490m-01,1490,193,469.3935527,305.6064473,350.621466
2013,PA-1490m-01,1490,182,531.7201542,348.2798458,339.0924245
2014,PA-1490m-01,1490,184,552.0147463,341.9852537,382.9144225
2015,PA-1490m-01,1490,129,351.1896475,211.8103525,324.2292111
2011,PA-1490m-01s,1490,217,587.9688357,296.0311643,314.0516386
2012,PA-1490m-01s,1490,199,543.8800087,325.1199913,313.2107177
2013,PA-1490m-01s,1490,183,552.8663954,343.1336046,335.3053204
2014,PA-1490m-01s,1490,189,614.1974982,368.8025018,354.9641612
2015,PA-1490m-01s,1490,137,396.6601697,273.3398303,370.3158436
2011,PA-1490m-02,1490,210,504.8564118,277.1435882,342.1019461
2012,PA-1490m-02,1490,191,441.7723362,299.2276638,368.2719674
2013,PA-1490m-02,1490,179,483.7103404,347.2896596,349.1056453
2014,PA-1490m-02,1490,179,497.5309463,343.4690537,370.0637522
2015,PA-1490m-02,1490,129,351.1896475,211.8103525,324.2292111
2012,PA-1490m-03,1490,194,482.4686374,312.5313626,339.5714484
2013,PA-1490m-03,1490,180,498.4176481,349.5823519,346.2395284
2014,PA-1490m-03,1490,183,538.1902663,339.8097337,388.8609175
2015,PA-1490m-03,1490,126,337.8334888,196.1665112,293.7558038
2011,PA-1490m-03s,1490,212,528.6653408,280.3346592,328.4061669
2012,PA-1490m-03s,1490,199,543.8800087,325.1199913,313.2107177
2013,PA-1490m-03s,1490,166,387.1410696,269.8589304,330.9470933
2014,PA-1490m-03s,1490,189,614.1974982,368.8025018,354.9641612
2015,PA-1490m-03s,1490,133,379.9358963,225.0641037,358.4339843
2011,PA-1490m-04,1490,213,539.2196828,284.7803172,320.4374908
2012,PA-1490m-04,1490,194,482.4686374,312.5313626,339.5714484
2013,PA-1490m-04,1490,181,513.7696284,350.2303716,342.1123616
2015,PA-1490m-04,1490,133,379.9358963,225.0641037,358.4339843
2011,PA-1490m-05,1490,205,455.5666669,256.4333331,361.2610677
2012,PA-1490m-05,1490,191,441.7723362,299.2276638,368.2719674
2013,PA-1490m-05,1490,178,475.4011757,340.5988243,350.0977113
2014,PA-1490m-05,1490,175,464.7225466,332.2774534,365.5402429
2015,PA-1490m-05,1490,116,287.0367981,148.9632019,274.4032432
2011,PA-1490m-05s,1490,217,587.9688357,296.0311643,314.0516386
2012,PA-1490m-05s,1490,198,531.2126439,324.7873561,313.5947979
2013,PA-1490m-05s,1490,186,593.4561551,337.5438449,344.9045906
2014,PA-1490m-05s,1490,189,614.1974982,368.8025018,354.9641612
2015,PA-1490m-05s,1490,136,392.5101165,264.4898835,363.1636588
2011,PA-1490m-06,1490,213,539.2196828,284.7803172,320.4374908
2012,PA-1490m-06,1490,194,482.4686374,312.5313626,339.5714484
2013,PA-1490m-06,1490,181,513.7696284,350.2303716,342.1123616
2014,PA-1490m-06,1490,183,538.1902663,339.8097337,388.8609175
2015,PA-1490m-06,1490,132,376.4964992,212.5035008,354.9274911
2012,PA-1490m-07,1490,186,382.712652,304.287348,370.1747928
2013,PA-1490m-07,1490,171,429.1737748,280.8262252,356.0569756
2015,PA-1490m-07,1490,116,287.0367981,148.9632019,274.4032432
2011,PA-1490m-07s,1490,212,528.6653408,280.3346592,328.4061669
2012,PA-1490m-07s,1490,198,531.2126439,324.7873561,313.5947979
2013,PA-1490m-07s,1490,166,387.1410696,269.8589304,330.9470933
2014,PA-1490m-07s,1490,186,572.0667959,357.9332041,370.2093398
2015,PA-1490m-07s,1490,136,392.5101165,264.4898835,363.1636588
2011,PA-1490m-08,1490,213,539.2196828,284.7803172,320.4374908
2012,PA-1490m-08,1490,196,508.4689913,323.5310087,319.3508234
2013,PA-1490m-08,1490,183,552.8663954,343.1336046,335.3053204
2014,PA-1490m-08,1490,184,552.0147463,341.9852537,382.9144225
2015,PA-1490m-08,1490,130,362.0814885,205.9185115,338.7407242
2011,PA-1490m-09,1490,203,438.11948,251.88052,342.1350022
2012,PA-1490m-09,1490,187,389.6561233,308.3438767,365.8670915
2013,PA-1490m-09,1490,174,447.0020109,307.9979891,354.7042858
2014,PA-1490m-09,1490,174,453.3810901,331.6189099,361.0590735
2015,PA-1490m-09,1490,116,287.0367981,148.9632019,274.4032432
2011,PA-1490m-09s,1490,211,516.0626133,277.9373867,333.5723251
2012,PA-1490m-09s,1490,198,531.2126439,324.7873561,313.5947979
2013,PA-1490m-09s,1490,166,387.1410696,269.8589304,330.9470933
2014,PA-1490m-09s,1490,185,561.3634854,350.6365146,374.5968385
2015,PA-1490m-09s,1490,135,387.6322352,253.3677648,361.4829156
2011,PA-1490m-10,1490,214,551.1779404,288.8220596,315.1022883
2012,PA-1490m-10,1490,197,521.3160428,322.6839572,316.1659927
2013,PA-1490m-10,1490,182,531.7201542,348.2798458,339.0924245
2014,PA-1490m-10,1490,185,561.3634854,350.6365146,374.5968385
2015,PA-1490m-10,1490,130,362.0814885,205.9185115,338.7407242
2011,PA-1570m-01,1570,226,591.8219596,303.1780404,271.3039186
2012,PA-1570m-01,1570,201,569.0170635,331.9829365,305.6147906
2013,PA-1570m-01,1570,187,567.9201727,331.0798273,337.1387849
2014,PA-1570m-01,1570,191,597.6120278,372.3879722,340.5045623
2015,PA-1570m-01,1570,129,316.7524992,195.2475008,312.5040652
2011,PA-1570m-01s,1570,210,435.4960309,258.5039691,329.2545276
2012,PA-1570m-01s,1570,195,492.7769722,316.2230278,334.1547603
2013,PA-1570m-01s,1570,168,385.00205,254.99795,333.4923526
2014,PA-1570m-01s,1570,185,517.9772884,341.0227116,373.0769667
2015,PA-1570m-01s,1570,133,343.1614858,208.8385142,346.63543
2011,PA-1570m-02,1570,231,636.1556162,353.8443838,187.1076127
2012,PA-1570m-02,1570,214,713.2551588,372.7448412,285.6429743
2013,PA-1570m-02,1570,199,712.4269472,350.5730528,321.8953857
2014,PA-1570m-02,1570,203,778.0231122,366.9768878,279.0623209
2015,PA-1570m-02,1570,147,436.0188206,283.9811794,396.5880705
2011,PA-1570m-03,1570,212,458.072047,260.927953,316.054253
2012,PA-1570m-03,1570,192,450.0303565,299.9696435,369.9218516
2013,PA-1570m-03,1570,180,470.1398858,333.8601142,342.1943158
2014,PA-1570m-03,1570,182,479.9732033,331.0267967,391.8285336
2015,PA-1570m-03,1570,126,304.8422526,181.1577474,280.2042702
2011,PA-1570m-03s,1570,212,458.072047,260.927953,316.054253
2012,PA-1570m-03s,1570,190,414.8622584,310.1377416,375.3207578
2013,PA-1570m-03s,1570,168,385.00205,254.99795,333.4923526
2014,PA-1570m-03s,1570,181,469.9169625,332.0830375,387.3984639
2015,PA-1570m-03s,1570,116,259.1799426,133.8200574,261.3873157
2011,PA-1570m-04,1570,230,626.4432632,347.5567368,200.1646782
2012,PA-1570m-04,1570,213,703.2468028,369.7531972,281.6378273
2013,PA-1570m-04,1570,197,682.1418706,353.8581294,323.6981926
2014,PA-1570m-04,1570,203,778.0231122,366.9768878,279.0623209
2015,PA-1570m-04,1570,146,429.7374034,281.2625966,394.8829086
2011,PA-1570m-05,1570,219,530.0988577,270.9011423,315.1760504
2012,PA-1570m-05,1570,195,492.7769722,316.2230278,334.1547603
2013,PA-1570m-05,1570,183,522.8072221,328.1927779,329.7243705
2014,PA-1570m-05,1570,187,539.4855451,354.5144549,360.7931147
2015,PA-1570m-05,1570,136,353.0325199,250.9674801,352.9610178
2011,PA-1570m-05s,1570,204,380.1276498,235.8723502,336.9029491
2012,PA-1570m-05s,1570,186,369.5911771,313.4088229,376.1336322
2013,PA-1570m-05s,1570,174,419.7875001,292.2124999,350.5730528
2014,PA-1570m-05s,1570,175,428.7255258,319.2744742,364.1816898
2015,PA-1570m-05s,1570,127,304.8422526,195.1577474,282.2148164
2011,PA-1570m-06,1570,230,626.4432632,347.5567368,200.1646782
2012,PA-1570m-06,1570,210,672.7965421,379.2034579,257.3245245
2013,PA-1570m-06,1570,193,639.5076474,333.4923526,329.7387557
2014,PA-1570m-06,1570,199,735.9546561,359.0453439,282.0038504
2015,PA-1570m-06,1570,143,411.851677,269.148323,391.7423074
2011,PA-1570m-07,1570,214,478.9680099,270.0319901,303.4532552
2012,PA-1570m-07,1570,194,478.6972553,311.3027447,344.7366124
2013,PA-1570m-07,1570,181,484.7631827,335.2368173,338.3716208
2014,PA-1570m-07,1570,186,527.6448723,349.3551277,366.6899474
2015,PA-1570m-07,1570,131,336.7826018,187.2173982,339.5509392
2011,PA-1570m-07s,1570,204,380.1276498,235.8723502,336.9029491
2012,PA-1570m-07s,1570,182,343.7005432,286.2994568,381.7520024
2013,PA-1570m-07s,1570,172,406.7259499,275.2740501,353.8581294
2014,PA-1570m-07s,1570,173,406.7950579,316.2049421,350.2804232
2015,PA-1570m-07s,1570,116,259.1799426,133.8200574,261.3873157
2011,PA-1570m-08,1570,225,582.8094859,292.1905141,285.8830763
2012,PA-1570m-08,1570,209,662.0030576,378.9969424,256.290183
2013,PA-1570m-08,1570,193,639.5076474,333.4923526,329.7387557
2014,PA-1570m-08,1570,196,684.8892817,356.1107183,308.9432458
2015,PA-1570m-08,1570,141,392.6126843,261.3873157,397.2452659
2013,PA-1570m-09,1570,171,403.9730806,264.0269194,350.6389781
2011,PA-1570m-09s,1570,204,380.1276498,235.8723502,336.9029491
2012,PA-1570m-09s,1570,186,369.5911771,313.4088229,376.1336322
2013,PA-1570m-09s,1570,167,374.8610503,257.1389497,324.8765511
2014,PA-1570m-09s,1570,170,386.5429897,281.4570103,362.4624982
2015,PA-1570m-09s,1570,114,259.1799426,113.8200574,260.7012373
2011,PA-1570m-10,1570,230,626.4432632,347.5567368,200.1646782
2012,PA-1570m-10,1570,207,630.2479976,381.7520024,255.3777824
2013,PA-1570m-10,1570,189,592.0364436,330.9635564,332.3448684
2014,PA-1570m-10,1570,194,648.1794326,368.8205674,316.540202
2015,PA-1570m-10,1570,143,411.851677,269.148323,391.7423074
2011,PA-1680m-01,1680,208,383.8136633,238.1863367,345.0979107
2012,PA-1680m-01,1680,189,365.9374516,301.0625484,361.2886986
2013,PA-1680m-01,1680,174,398.7381099,285.2618901,344.1004952
2014,PA-1680m-01,1680,179,433.2495947,313.7504053,358.4326286
2015,PA-1680m-01,1680,126,302.584939,171.415061,269.7353506
2010,PA-1680m-01s,1680,203,514.0224266,338.9775734,216.229128
2011,PA-1680m-01s,1680,234,638.7946355,333.2053645,161.4190436
2012,PA-1680m-01s,1680,205,573.251363,342.748637,272.472477
2013,PA-1680m-01s,1680,192,606.4486028,317.5513972,325.9289853
2014,PA-1680m-01s,1680,197,667.8003048,338.1996952,285.4027556
2015,PA-1680m-01s,1680,147,426.15497,273.84503,389.7641726
2011,PA-1680m-02,1680,230,585.0549242,341.9450758,193.2864399
2012,PA-1680m-02,1680,216,686.9872056,364.0127944,293.7058822
2013,PA-1680m-02,1680,200,698.6686648,342.3313352,311.28233
2014,PA-1680m-02,1680,206,758.6431522,376.3568478,245.0562838
2015,PA-1680m-02,1680,152,488.1434333,271.8565667,398.8618347
2013,PA-1680m-03,1680,188,555.1431897,326.8568103,325.383426
2014,PA-1680m-03,1680,191,565.3099931,360.6900069,324.4080944
2015,PA-1680m-03,1680,129,313.7716329,186.2283671,304.0783782
2010,PA-1680m-03s,1680,187,313.664355,338.335645,309.2629337
2011,PA-1680m-03s,1680,209,389.4883247,249.5116753,333.2053645
2012,PA-1680m-03s,1680,186,337.3227305,301.6772695,363.0100937
2013,PA-1680m-03s,1680,168,367.1209245,245.8790755,326.8089713
2014,PA-1680m-03s,1680,177,420.2794897,307.7205103,355.0892038
2015,PA-1680m-03s,1680,126,302.584939,171.415061,269.7353506
2010,PA-1680m-04,1680,211,636.5576382,307.4423618,188.5911902
2011,PA-1680m-04,1680,230,585.0549242,341.9450758,193.2864399
2012,PA-1680m-04,1680,216,686.9872056,364.0127944,293.7058822
2013,PA-1680m-04,1680,203,743.5902365,340.4097635,302.7643443
2014,PA-1680m-04,1680,208,779.8776083,377.1223917,248.3101578
2015,PA-1680m-04,1680,150,462.1073656,270.8926344,394.4442891
2011,PA-1680m-05,1680,216,465.0962006,272.9037994,290.2776048
2012,PA-1680m-05,1680,195,458.4705816,300.5294184,324.3530025
2013,PA-1680m-05,1680,184,518.1607419,312.8392581,329.6122157
2014,PA-1680m-05,1680,187,509.2245929,340.7754071,347.2573547
2015,PA-1680m-05,1680,126,302.584939,171.415061,269.7353506
2013,PA-1680m-05/05s,1680,182,481.0734309,323.9265691,328.1461594
2014,PA-1680m-05/05s,1680,185,488.8463405,326.1536595,360.0365036
2015,PA-1680m-05/05s,1680,127,302.584939,185.415061,271.8565667
2011,PA-1680m-05s,1680,214,442.9981686,263.0018314,296.3402493
2012,PA-1680m-05s,1680,192,416.5253107,284.4746893,358.6086816
2013,PA-1680m-05s,1680,179,434.1206266,322.8793734,340.7861147
2014,PA-1680m-05s,1680,183,467.5291571,312.4708429,377.1223917
2015,PA-1680m-05s,1680,128,305.4095269,190.5904731,284.938361
2011,PA-1680m-06,1680,230,585.0549242,341.9450758,193.2864399
2012,PA-1680m-06,1680,217,701.3913184,358.6086816,291.5366377
2013,PA-1680m-06,1680,203,743.5902365,340.4097635,302.7643443
2014,PA-1680m-06,1680,208,779.8776083,377.1223917,248.3101578
2015,PA-1680m-06,1680,150,462.1073656,270.8926344,394.4442891
2011,PA-1680m-07,1680,210,400.021346,250.978654,323.8038802
2012,PA-1680m-07,1680,190,382.4307283,295.5692717,363.3404625
2013,PA-1680m-07,1680,179,434.1206266,322.8793734,340.7861147
2014,PA-1680m-07,1680,181,443.118134,315.881866,376.3568478
2015,PA-1680m-07,1680,127,302.584939,185.415061,271.8565667
2011,PA-1680m-07s,1680,212,422.3368541,253.6631459,310.3905629
2012,PA-1680m-07s,1680,189,365.9374516,301.0625484,361.2886986
2013,PA-1680m-07s,1680,178,424.6828212,319.3171788,340.4097635
2014,PA-1680m-07s,1680,182,452.3904584,315.6095416,380.44773
2015,PA-1680m-07s,1680,128,305.4095269,190.5904731,284.938361
2011,PA-1680m-08,1680,230,585.0549242,341.9450758,193.2864399
2012,PA-1680m-08,1680,212,648.8970059,359.1029941,265.9391195
2013,PA-1680m-08,1680,198,670.0705592,346.9294408,315.4198755
2014,PA-1680m-08,1680,202,727.9107962,355.0892038,267.8631493
