Site_Loc,Latitude,Longitude,Elevation,Type
RL1_13,46.77058,-121.723,1490,Forest
RL1_17,46.77058,-121.72337,1496,Forest
RL2_13,46.77334,-121.72337,1540,Forest
RL3_13,46.7748,-121.7198,1600,Forest
RL3_17,46.7748,-121.7198,1605,Forest
RL4_13,46.77567,-121.72017,1615,Forest
RL4_14,46.77567,-121.72017,1650,Forest
RL5_13,46.7817,-121.71968,1680,Low Meadow
RL5b_16,46.78403,-121.72019,1711,Low Meadow
RL6_13,46.78736,-121.71936,1745,Low Meadow
RL8_17,46.78736,-121.71936,1745,Low Meadow
RL7_13,46.7919,-121.71693,1805,High Meadow
RL8_13,46.79403,-121.71604,1840,High Meadow
RL9_13,46.79654,-121.71194,1889,Forest
GB1_15,46.90013,-121.665671,1460,Forest
GB1_17,46.90013,-121.665671,1483,Forest
GB2_15,46.89985,-121.667978,1469,Forest
GB3_15,46.89945,-121.671581,1500,Forest
GB4_15,46.89918,-121.672367,1512,Forest
GB5_15,46.89704,-121.678036,1547,Forest
GB6_15,46.89661,-121.681483,1613,Forest
GB6_17,46.89661,-121.681483,1582,Forest
GB7_15,46.89693,-121.683676,1600,Forest
GB8_15,46.89612,-121.687292,1647,Forest
GB9_15,46.89422,-121.692884,1713,Forest
GB10_15,46.89297,-121.696405,1748,Low Meadow
GB11_15,46.89089,-121.698386,1766,Low Meadow
GB12_15,46.89052,-121.698728,1776,Low Meadow
GB13_15,46.89004,-121.699324,1775,Low Meadow
GB14_15,46.88932,-121.700194,1804,Low Meadow
GB15_17,46.8885,-121.704328,1823,High Meadow
GB16_17,46.88932,-121.700194,1810,High Meadow
GB15_15,46.8885,-121.704328,1831,Low Meadow
