Year,Site_Loc,calibration,snow_appearance_date,snow_disappearance_date,snow_cover_duration,minimum_soil_temp,SDD,duplicate,single
2018,GB-1668-01,0.680023713,10/9/2017,6/15/2018,240,0.232,166,,single
2017,GB-1668-02,0.294702142,10/11/2016,6/26/2017,244,0.01,177,,
2018,GB-1668-02,0.370460544,9/20/2017,6/14/2018,243,0.121,165,,
2017,GB-1668-03,0.240671218,10/10/2016,6/23/2017,238,0.01,174,,
2018,GB-1668-03,0.400830698,9/20/2017,6/14/2018,251,-0.102,165,,
2017,GB-1668-04,0.294030914,10/10/2016,7/1/2017,246,0.121,182,,
2018,GB-1668-04,0.354719872,9/20/2017,6/21/2018,259,0.232,172,,
2017,GB-1668-05,0.200713936,10/10/2016,6/27/2017,238,0.121,178,,
2018,GB-1668-05,0.281089216,9/20/2017,6/18/2018,255,0.121,169,,
2017,GB-1668-06,0.165227801,10/11/2016,6/30/2017,243,0.01,181,,
2018,GB-1668-06,0.263765564,9/20/2017,6/19/2018,257,0.121,170,,
2017,GB-1668-07,0.177030162,10/11/2016,7/7/2017,268,0.01,188,,
2018,GB-1668-07,0.339558244,10/3/2017,7/4/2018,273,0.121,185,,
2017,GB-1668-08,0.288893657,10/11/2016,7/7/2017,268,0.232,188,,
2018,GB-1668-08,0.284825181,9/20/2017,7/2/2018,273,0.121,183,,
2017,GB-1668-09,0.282013836,10/11/2016,7/5/2017,265,0.121,186,,single
2017,GB-1740-01,0.442980843,10/11/2016,7/2/2017,259,0.121,183,,
2018,GB-1740-01,0.323638382,9/19/2017,6/26/2018,273,0.121,177,,
2017,GB-1740-02,0.314237643,10/11/2016,7/3/2017,263,0.232,184,,
2018,GB-1740-02,0.321688645,9/20/2017,6/28/2018,272,0.121,179,,
2017,GB-1740-03,0.209372396,10/15/2016,6/29/2017,256,-0.325,180,,
2018,GB-1740-03,0.318035354,9/20/2017,6/23/2018,263,0.121,174,,
2017,GB-1740-04,0.210020356,10/11/2016,7/3/2017,262,0.121,184,,
2018,GB-1740-04,0.307237439,9/20/2017,6/25/2018,270,0.121,176,,
2017,GB-1740-05,0.181333955,10/11/2016,7/7/2017,268,0.01,188,,single
2017,GB-1740-06,0.265134664,10/11/2016,7/1/2017,262,-2.962,182,,
2018,GB-1740-06,0.281973958,9/20/2017,6/24/2018,270,0.121,175,,
2017,GB-1740-07,0.254705026,10/10/2016,6/25/2017,252,-0.102,176,,
2018,GB-1740-07,0.416208809,9/21/2017,6/18/2018,260,0.232,169,,
2017,GB-1740-08,0.450088384,10/11/2016,7/6/2017,259,0.121,187,,
2018,GB-1740-08,0.418211768,9/20/2017,6/30/2018,278,0.232,181,,
2017,GB-1740-09,0.50934484,10/16/2016,6/26/2017,237,0.121,177,,
2018,GB-1740-09,0.609858301,9/21/2017,6/19/2018,252,0.232,170,,
2017,GB-1809-01,0.240398366,10/11/2016,6/27/2017,254,0.121,178,,
2018,GB-1809-01,0.421035626,9/19/2017,6/18/2018,268,0.121,169,,
2017,GB-1809-02,0.267113489,10/11/2016,7/3/2017,257,0.121,184,,
2018,GB-1809-02,0.261060012,9/20/2017,6/21/2018,267,0.121,172,,
2017,GB-1809-03,0.203591346,10/11/2016,6/29/2017,259,0.121,180,,
2018,GB-1809-03,0.202065741,9/19/2017,6/21/2018,269,0.01,172,,
2017,GB-1809-04,0.213556572,10/15/2016,6/25/2017,246,0.121,176,,
2018,GB-1809-05,0.223523534,9/19/2017,6/10/2018,216,-3.792,161,,single
2017,GB-1809-06,0.42801776,10/11/2016,6/24/2017,243,0.121,175,,
2018,GB-1809-06,0.562688333,9/20/2017,6/11/2018,247,0.121,162,,
2018,GB-1809-07,0.553661606,10/3/2017,6/5/2018,238,0.01,156,,single
2017,GB-1809-08,1.005054552,10/16/2016,6/20/2017,212,-0.102,171,,
2018,GB-1809-08,0.90973548,10/11/2017,6/19/2018,245,0.232,170,,
2017,GB-1809-09,0.523303862,10/16/2016,6/27/2017,243,-3.553,178,,
2018,GB-1809-09,0.641023092,10/11/2017,6/17/2018,242,0.232,168,,
2017,GB-1940-01,0.307204963,10/11/2016,7/7/2017,268,0.121,188,,
2018,GB-1940-01,0.290838253,9/20/2017,6/22/2018,269,0.121,173,,
2017,GB-1940-02,0.455759639,10/16/2016,7/6/2017,264,0.232,187,,
2018,GB-1940-02,0.245961977,9/20/2017,6/23/2018,262,0.121,174,,
2017,GB-1940-03,0.266407761,10/15/2016,7/1/2017,260,0.121,182,,
2018,GB-1940-03,0.300400962,9/20/2017,6/19/2018,258,0.121,170,,
2017,GB-1940-04,0.671583333,10/15/2016,6/16/2017,222,0.232,167,,
2018,GB-1940-04,0.92479414,10/11/2017,5/4/2018,174,0.343,124,,
2017,GB-1940-05,0.316716026,10/11/2016,6/27/2017,258,0.121,178,,
2018,GB-1940-05,0.298629874,9/21/2017,6/19/2018,263,0.121,170,,
2017,GB-1940-06,0.384371156,9/13/2016,7/4/2017,267,0.121,185,,single
2017,GB-1940-07,0.428214241,10/12/2016,7/3/2017,263,0.121,184,,
2018,GB-1940-07,0.298147829,9/20/2017,6/19/2018,260,0.121,170,,
2017,GB-1940-08,0.226671103,10/12/2016,6/29/2017,259,0.01,180,,
2018,GB-1940-08,0.356710526,9/24/2017,6/20/2018,262,0.121,171,,
2017,GB-1940-09,0.32619189,10/11/2016,6/29/2017,260,0.121,180,,
