Plot Title: MW-4,,,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401763, SEN S/N: 2401763)",Host Connected (LGR S/N: 2401763),Coupler Attached (LGR S/N: 2401763),Stopped (LGR S/N: 2401763),End Of File (LGR S/N: 2401763)
1,9/25/2013 13:00,7.682,,,,
2,9/25/2013 15:00,8.382,,,,
3,9/25/2013 17:00,7.882,,,,
4,9/25/2013 19:00,6.978,,,,
5,9/25/2013 21:00,6.166,,,,
6,9/25/2013 23:00,5.655,,,,
7,9/26/2013 1:00,4.934,,,,
8,9/26/2013 3:00,4.311,,,,
9,9/26/2013 5:00,3.788,,,,
10,9/26/2013 7:00,3.261,,,,
11,9/26/2013 9:00,3.261,,,,
12,9/26/2013 11:00,5.037,,,,
13,9/26/2013 13:00,9.077,,,,
14,9/26/2013 15:00,9.768,,,,
15,9/26/2013 17:00,8.879,,,,
16,9/26/2013 19:00,7.682,,,,
17,9/26/2013 21:00,6.674,,,,
18,9/26/2013 23:00,5.757,,,,
19,9/27/2013 1:00,4.727,,,,
20,9/27/2013 3:00,4.207,,,,
21,9/27/2013 5:00,4.311,,,,
22,9/27/2013 7:00,4.311,,,,
23,9/27/2013 9:00,4.207,,,,
24,9/27/2013 11:00,4.207,,,,
25,9/27/2013 13:00,4.934,,,,
26,9/27/2013 15:00,5.141,,,,
27,9/27/2013 17:00,5.141,,,,
28,9/27/2013 19:00,5.037,,,,
29,9/27/2013 21:00,5.037,,,,
30,9/27/2013 23:00,5.037,,,,
31,9/28/2013 1:00,4.934,,,,
32,9/28/2013 3:00,4.934,,,,
33,9/28/2013 5:00,5.037,,,,
34,9/28/2013 7:00,5.244,,,,
35,9/28/2013 9:00,5.552,,,,
36,9/28/2013 11:00,5.86,,,,
37,9/28/2013 13:00,6.268,,,,
38,9/28/2013 15:00,6.166,,,,
39,9/28/2013 17:00,6.37,,,,
40,9/28/2013 19:00,6.268,,,,
41,9/28/2013 21:00,4.727,,,,
42,9/28/2013 23:00,3.683,,,,
43,9/29/2013 1:00,3.367,,,,
44,9/29/2013 3:00,3.049,,,,
45,9/29/2013 5:00,2.73,,,,
46,9/29/2013 7:00,2.41,,,,
47,9/29/2013 9:00,2.303,,,,
48,9/29/2013 11:00,2.303,,,,
49,9/29/2013 13:00,2.303,,,,
50,9/29/2013 15:00,2.303,,,,
51,9/29/2013 17:00,2.303,,,,
52,9/29/2013 19:00,2.303,,,,
53,9/29/2013 21:00,2.088,,,,
54,9/29/2013 23:00,1.872,,,,
55,9/30/2013 1:00,1.872,,,,
56,9/30/2013 3:00,1.872,,,,
57,9/30/2013 5:00,1.872,,,,
58,9/30/2013 7:00,1.872,,,,
59,9/30/2013 9:00,1.872,,,,
60,9/30/2013 11:00,1.872,,,,
61,9/30/2013 13:00,1.872,,,,
62,9/30/2013 15:00,1.764,,,,
63,9/30/2013 17:00,1.764,,,,
64,9/30/2013 19:00,1.764,,,,
65,9/30/2013 21:00,1.656,,,,
66,9/30/2013 23:00,1.656,,,,
67,10/1/2013 1:00,1.656,,,,
68,10/1/2013 3:00,1.656,,,,
69,10/1/2013 5:00,1.656,,,,
70,10/1/2013 7:00,1.548,,,,
71,10/1/2013 9:00,1.548,,,,
72,10/1/2013 11:00,1.548,,,,
