"Plot Title: MW-9"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995238, SEN S/N: 9995238)","Bad Battery (LGR S/N: 9995238)","End Of File (LGR S/N: 9995238)"
1,09/25/13 01:00:00 PM,6.978,,
2,09/25/13 03:00:00 PM,9.373,,
3,09/25/13 05:00:00 PM,7.782,,
4,09/25/13 07:00:00 PM,6.064,,
5,09/25/13 09:00:00 PM,5.244,,
6,09/25/13 11:00:00 PM,4.623,,
7,09/26/13 01:00:00 AM,3.578,,
8,09/26/13 03:00:00 AM,2.837,,
9,09/26/13 05:00:00 AM,2.303,,
10,09/26/13 07:00:00 AM,1.980,,
11,09/26/13 09:00:00 AM,1.980,,
12,09/26/13 11:00:00 AM,3.893,,
13,09/26/13 01:00:00 PM,6.877,,
14,09/26/13 03:00:00 PM,6.978,,
15,09/26/13 05:00:00 PM,5.244,,
16,09/26/13 07:00:00 PM,4.934,,
17,09/26/13 09:00:00 PM,4.311,,
18,09/26/13 11:00:00 PM,3.788,,
19,09/27/13 01:00:00 AM,2.837,,
20,09/27/13 03:00:00 AM,2.410,,
21,09/27/13 05:00:00 AM,2.410,,
22,09/27/13 07:00:00 AM,2.517,,
23,09/27/13 09:00:00 AM,2.410,,
24,09/27/13 11:00:00 AM,1.764,,
25,09/27/13 01:00:00 PM,1.872,,
26,09/27/13 03:00:00 PM,1.872,,
27,09/27/13 05:00:00 PM,2.410,,
28,09/27/13 07:00:00 PM,2.837,,
29,09/27/13 09:00:00 PM,2.943,,
30,09/27/13 11:00:00 PM,2.943,,
31,09/28/13 01:00:00 AM,3.261,,
32,09/28/13 03:00:00 AM,3.472,,
33,09/28/13 05:00:00 AM,3.683,,
34,09/28/13 07:00:00 AM,3.998,,
35,09/28/13 09:00:00 AM,4.519,,
36,09/28/13 11:00:00 AM,4.934,,
37,09/28/13 01:00:00 PM,5.244,,
38,09/28/13 03:00:00 PM,5.037,,
39,09/28/13 05:00:00 PM,5.347,,
40,09/28/13 07:00:00 PM,5.037,,
41,09/28/13 09:00:00 PM,3.049,,
42,09/28/13 11:00:00 PM,3.049,,
43,09/29/13 01:00:00 AM,2.943,,
44,09/29/13 03:00:00 AM,2.837,,
45,09/29/13 05:00:00 AM,2.730,,
46,09/29/13 07:00:00 AM,2.624,,
47,09/29/13 09:00:00 AM,2.624,,
48,09/29/13 11:00:00 AM,2.517,,
49,09/29/13 01:00:00 PM,2.517,,
50,09/29/13 03:00:00 PM,2.410,,
