Plot Title: GB-13,,,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 10189814, SEN S/N: 10189814, LBL: TEMPERATURE)",Coupler Attached (LGR S/N: 10189814),Host Connected (LGR S/N: 10189814),Stopped (LGR S/N: 10189814),End Of File (LGR S/N: 10189814)
1,10/1/2014 17:00,8.481,,,,
2,10/1/2014 19:00,7.481,,,,
3,10/1/2014 21:00,6.775,,,,
4,10/1/2014 23:00,6.268,,,,
5,10/2/2014 1:00,5.757,,,,
6,10/2/2014 3:00,5.244,,,,
7,10/2/2014 5:00,4.831,,,,
8,10/2/2014 7:00,3.683,,,,
9,10/2/2014 9:00,3.367,,,,
10,10/2/2014 11:00,12.497,,,,
11,10/2/2014 13:00,14.804,,,,
12,10/2/2014 15:00,12.11,,,,
13,10/2/2014 17:00,10.748,,,,
14,10/2/2014 19:00,8.581,,,,
15,10/2/2014 21:00,7.28,,,,
16,10/2/2014 23:00,6.674,,,,
17,10/3/2014 1:00,6.37,,,,
18,10/3/2014 3:00,5.86,,,,
19,10/3/2014 5:00,5.45,,,,
20,10/3/2014 7:00,5.244,,,,
21,10/3/2014 9:00,5.347,,,,
22,10/3/2014 11:00,13.942,,,,
23,10/3/2014 13:00,16.618,,,,
24,10/3/2014 15:00,14.038,,,,
25,10/3/2014 17:00,12.207,,,,
26,10/3/2014 19:00,10.553,,,,
27,10/3/2014 21:00,9.373,,,,
28,10/3/2014 23:00,8.481,,,,
29,10/4/2014 1:00,7.782,,,,
30,10/4/2014 3:00,7.28,,,,
31,10/4/2014 5:00,7.481,,,,
32,10/4/2014 7:00,7.782,,,,
33,10/4/2014 9:00,7.983,,,,
34,10/4/2014 11:00,11.041,,,,
35,10/4/2014 13:00,11.819,,,,
36,10/4/2014 15:00,12.304,,,,
37,10/4/2014 17:00,11.528,,,,
38,10/4/2014 19:00,10.161,,,,
39,10/4/2014 21:00,9.176,,,,
40,10/4/2014 23:00,8.68,,,,
41,10/5/2014 1:00,8.382,,,,
42,10/5/2014 3:00,8.082,,,,
43,10/5/2014 5:00,7.882,,,,
44,10/5/2014 7:00,7.682,,,,
45,10/5/2014 9:00,7.582,,,,
46,10/5/2014 11:00,16.713,,,,
47,10/5/2014 13:00,18.14,,,,
48,10/5/2014 15:00,15.473,,,,
49,10/5/2014 17:00,13.365,,,,
50,10/5/2014 19:00,11.722,,,,
51,10/5/2014 21:00,10.455,,,,
52,10/5/2014 23:00,9.866,,,,
53,10/6/2014 1:00,9.472,,,,
54,10/6/2014 3:00,8.978,,,,
55,10/6/2014 5:00,8.779,,,,
56,10/6/2014 7:00,8.382,,,,
57,10/6/2014 9:00,8.382,,,,
58,10/6/2014 11:00,17.284,,,,
59,10/6/2014 13:00,18.521,,,,
60,10/6/2014 15:00,16.046,,,,
61,10/6/2014 17:00,13.846,,,,
62,10/6/2014 19:00,12.207,,,,
63,10/6/2014 21:00,10.944,,,,
64,10/6/2014 23:00,10.063,,,,
65,10/7/2014 1:00,9.275,,,,
66,10/7/2014 3:00,8.779,,,,
67,10/7/2014 5:00,8.182,,,,
68,10/7/2014 7:00,7.782,,,,
69,10/7/2014 9:00,7.682,,,,
70,10/7/2014 11:00,16.903,,,,
71,10/7/2014 13:00,18.045,,,,
72,10/7/2014 15:00,15.569,,,,
73,10/7/2014 17:00,14.23,,,,
74,10/7/2014 19:00,13.173,,,,
75,10/7/2014 21:00,12.207,,,,
76,10/7/2014 23:00,11.528,,,,
77,10/8/2014 1:00,10.553,,,,
78,10/8/2014 3:00,9.472,,,,
79,10/8/2014 5:00,8.282,,,,
80,10/8/2014 7:00,7.983,,,,
81,10/8/2014 9:00,8.481,,,,
82,10/8/2014 11:00,13.942,,,,
83,10/8/2014 13:00,13.942,,,,
84,10/8/2014 15:00,13.076,,,,
85,10/8/2014 17:00,10.748,,,,
86,10/8/2014 19:00,9.472,,,,
87,10/8/2014 21:00,8.382,,,,
88,10/8/2014 23:00,7.582,,,,
89,10/9/2014 1:00,7.079,,,,
90,10/9/2014 3:00,6.573,,,,
91,10/9/2014 5:00,6.166,,,,
92,10/9/2014 7:00,5.757,,,,
93,10/9/2014 9:00,5.962,,,,
94,10/9/2014 11:00,15.187,,,,
95,10/9/2014 13:00,16.332,,,,
96,10/9/2014 15:00,13.365,,,,
97,10/9/2014 17:00,11.528,,,,
98,10/9/2014 19:00,9.965,,,,
99,10/9/2014 21:00,8.779,,,,
100,10/9/2014 23:00,7.983,,,,
101,10/10/2014 1:00,7.28,,,,
102,10/10/2014 3:00,6.674,,,,
103,10/10/2014 5:00,6.268,,,,
104,10/10/2014 7:00,5.86,,,,
105,10/10/2014 9:00,5.655,,,,
106,10/10/2014 11:00,15.282,,,,
107,10/10/2014 13:00,14.038,,,,
108,10/10/2014 15:00,13.365,,,,
109,10/10/2014 17:00,11.819,,,,
110,10/10/2014 19:00,10.553,,,,
111,10/10/2014 21:00,9.571,,,,
112,10/10/2014 23:00,8.68,,,,
113,10/11/2014 1:00,8.282,,,,
114,10/11/2014 3:00,7.682,,,,
115,10/11/2014 5:00,7.682,,,,
116,10/11/2014 7:00,6.37,,,,
117,10/11/2014 9:00,6.268,,,,
118,10/11/2014 11:00,12.497,,,,
119,10/11/2014 13:00,9.275,,,,
120,10/11/2014 15:00,4.831,,,,
121,10/11/2014 17:00,3.472,,,,
122,10/11/2014 19:00,3.788,,,,
123,10/11/2014 21:00,2.943,,,,
124,10/11/2014 23:00,2.624,,,,
125,10/12/2014 1:00,2.517,,,,
126,10/12/2014 3:00,2.41,,,,
127,10/12/2014 5:00,2.303,,,,
128,10/12/2014 7:00,2.088,,,,
129,10/12/2014 9:00,2.088,,,,
130,10/12/2014 11:00,8.879,,,,
131,10/12/2014 13:00,9.669,,,,
132,10/12/2014 15:00,8.978,,,,
133,10/12/2014 17:00,7.582,,,,
134,10/12/2014 19:00,6.573,,,,
135,10/12/2014 21:00,6.064,,,,
136,10/12/2014 23:00,5.757,,,,
137,10/13/2014 1:00,5.347,,,,
138,10/13/2014 3:00,4.934,,,,
139,10/13/2014 5:00,4.519,,,,
140,10/13/2014 7:00,4.102,,,,
141,10/13/2014 9:00,4.623,,,,
142,10/13/2014 11:00,12.98,,,,
143,10/13/2014 13:00,12.787,,,,
144,10/13/2014 15:00,9.472,,,,
145,10/13/2014 17:00,8.182,,,,
146,10/13/2014 19:00,7.582,,,,
147,10/13/2014 21:00,7.582,,,,
148,10/13/2014 23:00,7.381,,,,
149,10/14/2014 1:00,6.674,,,,
150,10/14/2014 3:00,5.757,,,,
151,10/14/2014 5:00,4.207,,,,
152,10/14/2014 7:00,4.519,,,,
153,10/14/2014 9:00,4.727,,,,
154,10/14/2014 11:00,5.655,,,,
155,10/14/2014 13:00,6.573,,,,
156,10/14/2014 15:00,7.381,,,,
157,10/14/2014 17:00,6.775,,,,
158,10/14/2014 19:00,5.962,,,,
159,10/14/2014 21:00,5.347,,,,
160,10/14/2014 23:00,4.934,,,,
161,10/15/2014 1:00,3.049,,,,
162,10/15/2014 3:00,3.788,,,,
163,10/15/2014 5:00,3.788,,,,
164,10/15/2014 7:00,2.943,,,,
165,10/15/2014 9:00,3.261,,,,
166,10/15/2014 11:00,2.41,,,,
167,10/15/2014 13:00,2.303,,,,
168,10/15/2014 15:00,2.41,,,,
169,10/15/2014 17:00,2.41,,,,
170,10/15/2014 19:00,2.303,,,,
171,10/15/2014 21:00,2.195,,,,
172,10/15/2014 23:00,2.088,,,,
173,10/16/2014 1:00,2.088,,,,
174,10/16/2014 3:00,2.088,,,,
175,10/16/2014 5:00,2.088,,,,
176,10/16/2014 7:00,1.98,,,,
177,10/16/2014 9:00,2.195,,,,
178,10/16/2014 11:00,2.837,,,,
179,10/16/2014 13:00,4.311,,,,
180,10/16/2014 15:00,3.998,,,,
181,10/16/2014 17:00,3.155,,,,
182,10/16/2014 19:00,2.517,,,,
183,10/16/2014 21:00,2.195,,,,
184,10/16/2014 23:00,1.98,,,,
185,10/17/2014 1:00,1.98,,,,
186,10/17/2014 3:00,2.303,,,,
187,10/17/2014 5:00,2.41,,,,
188,10/17/2014 7:00,1.98,,,,
189,10/17/2014 9:00,1.764,,,,
190,10/17/2014 11:00,3.367,,,,
191,10/17/2014 13:00,4.831,,,,
192,10/17/2014 15:00,5.86,,,,
193,10/17/2014 17:00,5.347,,,,
194,10/17/2014 19:00,5.037,,,,
195,10/17/2014 21:00,4.727,,,,
196,10/17/2014 23:00,4.727,,,,
197,10/18/2014 1:00,4.727,,,,
198,10/18/2014 3:00,4.727,,,,
199,10/18/2014 5:00,4.727,,,,
200,10/18/2014 7:00,4.207,,,,
201,10/18/2014 9:00,4.415,,,,
202,10/18/2014 11:00,9.866,,,,
203,10/18/2014 13:00,10.944,,,,
204,10/18/2014 15:00,10.063,,,,
205,10/18/2014 17:00,8.978,,,,
206,10/18/2014 19:00,7.782,,,,
207,10/18/2014 21:00,7.381,,,,
208,10/18/2014 23:00,6.166,,,,
209,10/19/2014 1:00,5.347,,,,
210,10/19/2014 3:00,4.831,,,,
211,10/19/2014 5:00,4.727,,,,
212,10/19/2014 7:00,4.311,,,,
213,10/19/2014 9:00,4.727,,,,
214,10/19/2014 11:00,12.69,,,,
215,10/19/2014 13:00,13.461,,,,
216,10/19/2014 15:00,10.455,,,,
217,10/19/2014 17:00,9.768,,,,
218,10/19/2014 19:00,8.182,,,,
219,10/19/2014 21:00,7.079,,,,
220,10/19/2014 23:00,6.877,,,,
221,10/20/2014 1:00,6.674,,,,
222,10/20/2014 3:00,6.775,,,,
223,10/20/2014 5:00,6.573,,,,
224,10/20/2014 7:00,6.471,,,,
225,10/20/2014 9:00,6.268,,,,
226,10/20/2014 11:00,7.481,,,,
227,10/20/2014 13:00,7.079,,,,
228,10/20/2014 15:00,6.573,,,,
229,10/20/2014 17:00,6.471,,,,
230,10/20/2014 19:00,5.962,,,,
231,10/20/2014 21:00,5.45,,,,
232,10/20/2014 23:00,4.934,,,,
233,10/21/2014 1:00,4.623,,,,
234,10/21/2014 3:00,3.998,,,,
235,10/21/2014 5:00,3.788,,,,
236,10/21/2014 7:00,3.367,,,,
237,10/21/2014 9:00,2.624,,,,
238,10/21/2014 11:00,3.998,,,,
239,10/21/2014 13:00,4.934,,,,
240,10/21/2014 15:00,5.141,,,,
241,10/21/2014 17:00,4.934,,,,
242,10/21/2014 19:00,4.415,,,,
243,10/21/2014 21:00,3.998,,,,
244,10/21/2014 23:00,3.893,,,,
245,10/22/2014 1:00,3.788,,,,
246,10/22/2014 3:00,3.578,,,,
247,10/22/2014 5:00,3.472,,,,
248,10/22/2014 7:00,3.683,,,,
249,10/22/2014 9:00,3.683,,,,
250,10/22/2014 11:00,3.998,,,,
251,10/22/2014 13:00,4.102,,,,
252,10/22/2014 15:00,3.578,,,,
253,10/22/2014 17:00,3.472,,,,
254,10/22/2014 19:00,3.472,,,,
255,10/22/2014 21:00,3.578,,,,
256,10/22/2014 23:00,3.472,,,,
257,10/23/2014 1:00,2.837,,,,
258,10/23/2014 3:00,2.624,,,,
259,10/23/2014 5:00,1.98,,,,
260,10/23/2014 7:00,1.872,,,,
261,10/23/2014 9:00,1.872,,,,
262,10/23/2014 11:00,1.764,,,,
263,10/23/2014 13:00,1.764,,,,
264,10/23/2014 15:00,1.656,,,,
265,10/23/2014 17:00,1.656,,,,
266,10/23/2014 19:00,1.656,,,,
267,10/23/2014 21:00,1.548,,,,
268,10/23/2014 23:00,1.548,,,,
269,10/24/2014 1:00,1.548,,,,
270,10/24/2014 3:00,1.548,,,,
271,10/24/2014 5:00,1.548,,,,
272,10/24/2014 7:00,1.548,,,,
273,10/24/2014 9:00,1.548,,,,
274,10/24/2014 11:00,1.548,,,,
275,10/24/2014 13:00,1.548,,,,
276,10/24/2014 15:00,1.439,,,,
277,10/24/2014 17:00,1.439,,,,
278,10/24/2014 19:00,1.33,,,,
279,10/24/2014 21:00,1.33,,,,
280,10/24/2014 23:00,1.33,,,,
281,10/25/2014 1:00,1.33,,,,
282,10/25/2014 3:00,1.33,,,,
283,10/25/2014 5:00,1.33,,,,
284,10/25/2014 7:00,1.221,,,,
285,10/25/2014 9:00,1.221,,,,
286,10/25/2014 11:00,1.221,,,,
287,10/25/2014 13:00,1.112,,,,
288,10/25/2014 15:00,1.112,,,,
289,10/25/2014 17:00,1.112,,,,
290,10/25/2014 19:00,0.453,,,,
291,10/25/2014 21:00,0.453,,,,
292,10/25/2014 23:00,0.563,,,,
293,10/26/2014 1:00,0.674,,,,
294,10/26/2014 3:00,0.784,,,,
295,10/26/2014 5:00,0.784,,,,
296,10/26/2014 7:00,0.784,,,,
297,10/26/2014 9:00,0.784,,,,
298,10/26/2014 11:00,0.893,,,,
299,10/26/2014 13:00,0.893,,,,
300,10/26/2014 15:00,0.893,,,,
301,10/26/2014 17:00,0.893,,,,
302,10/26/2014 19:00,0.893,,,,
303,10/26/2014 21:00,0.893,,,,
304,10/26/2014 23:00,0.893,,,,
305,10/27/2014 1:00,0.893,,,,
306,10/27/2014 3:00,0.893,,,,
307,10/27/2014 5:00,0.893,,,,
308,10/27/2014 7:00,0.893,,,,
309,10/27/2014 9:00,0.784,,,,
310,10/27/2014 11:00,0.893,,,,
311,10/27/2014 13:00,0.893,,,,
312,10/27/2014 15:00,0.893,,,,
313,10/27/2014 17:00,0.893,,,,
314,10/27/2014 19:00,0.893,,,,
315,10/27/2014 21:00,0.893,,,,
316,10/27/2014 23:00,0.893,,,,
317,10/28/2014 1:00,0.893,,,,
318,10/28/2014 3:00,0.893,,,,
319,10/28/2014 5:00,0.893,,,,
320,10/28/2014 7:00,0.893,,,,
321,10/28/2014 9:00,0.893,,,,
322,10/28/2014 11:00,1.003,,,,
323,10/28/2014 13:00,1.003,,,,
324,10/28/2014 15:00,1.003,,,,
325,10/28/2014 17:00,0.893,,,,
326,10/28/2014 19:00,0.893,,,,
327,10/28/2014 21:00,0.893,,,,
328,10/28/2014 23:00,0.893,,,,
329,10/29/2014 1:00,0.893,,,,
330,10/29/2014 3:00,0.893,,,,
331,10/29/2014 5:00,0.893,,,,
332,10/29/2014 7:00,0.784,,,,
333,10/29/2014 9:00,0.893,,,,
334,10/29/2014 11:00,1.112,,,,
335,10/29/2014 13:00,1.112,,,,
336,10/29/2014 15:00,1.112,,,,
337,10/29/2014 17:00,1.112,,,,
338,10/29/2014 19:00,0.893,,,,
339,10/29/2014 21:00,0.893,,,,
340,10/29/2014 23:00,0.893,,,,
341,10/30/2014 1:00,0.893,,,,
342,10/30/2014 3:00,0.784,,,,
343,10/30/2014 5:00,0.784,,,,
344,10/30/2014 7:00,0.784,,,,
345,10/30/2014 9:00,0.784,,,,
346,10/30/2014 11:00,0.674,,,,
347,10/30/2014 13:00,0.563,,,,
348,10/30/2014 15:00,0.893,,,,
349,10/30/2014 17:00,0.784,,,,
350,10/30/2014 19:00,0.893,,,,
351,10/30/2014 21:00,1.112,,,,
352,10/30/2014 23:00,1.33,,,,
353,10/31/2014 1:00,1.439,,,,
354,10/31/2014 3:00,1.439,,,,
355,10/31/2014 5:00,1.439,,,,
356,10/31/2014 7:00,1.439,,,,
357,10/31/2014 9:00,1.112,,,,
358,10/31/2014 11:00,0.893,,,,
359,10/31/2014 13:00,1.221,,,,
360,10/31/2014 15:00,1.33,,,,
361,10/31/2014 17:00,0.893,,,,
362,10/31/2014 19:00,0.893,,,,
363,10/31/2014 21:00,0.784,,,,
364,10/31/2014 23:00,0.784,,,,
365,11/1/2014 1:00,0.563,,,,
366,11/1/2014 3:00,0.563,,,,
367,11/1/2014 5:00,0.453,,,,
368,11/1/2014 7:00,0.453,,,,
369,11/1/2014 9:00,0.453,,,,
370,11/1/2014 11:00,0.453,,,,
371,11/1/2014 13:00,1.003,,,,
372,11/1/2014 15:00,0.674,,,,
373,11/1/2014 17:00,0.563,,,,
374,11/1/2014 19:00,0.453,,,,
375,11/1/2014 21:00,0.453,,,,
376,11/1/2014 23:00,0.453,,,,
377,11/2/2014 1:00,0.343,,,,
378,11/2/2014 3:00,0.343,,,,
379,11/2/2014 5:00,0.343,,,,
380,11/2/2014 7:00,0.343,,,,
381,11/2/2014 9:00,0.232,,,,
382,11/2/2014 11:00,0.343,,,,
383,11/2/2014 13:00,0.343,,,,
384,11/2/2014 15:00,0.343,,,,
385,11/2/2014 17:00,0.343,,,,
386,11/2/2014 19:00,0.343,,,,
387,11/2/2014 21:00,0.343,,,,
