Plot Title: GB-2,,,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 10189829, SEN S/N: 10189829)",Host Connected (LGR S/N: 10189829),Coupler Attached (LGR S/N: 10189829),Stopped (LGR S/N: 10189829),End Of File (LGR S/N: 10189829)
1,10/1/2014 19:00,8.779,,,,
2,10/1/2014 21:00,8.182,,,,
3,10/1/2014 23:00,7.782,,,,
4,10/2/2014 1:00,7.28,,,,
5,10/2/2014 3:00,7.179,,,,
6,10/2/2014 5:00,6.877,,,,
7,10/2/2014 7:00,6.166,,,,
8,10/2/2014 9:00,6.166,,,,
9,10/2/2014 11:00,8.581,,,,
10,10/2/2014 13:00,12.11,,,,
11,10/2/2014 15:00,10.748,,,,
12,10/2/2014 17:00,10.161,,,,
13,10/2/2014 19:00,8.879,,,,
14,10/2/2014 21:00,7.983,,,,
15,10/2/2014 23:00,7.481,,,,
16,10/3/2014 1:00,7.179,,,,
17,10/3/2014 3:00,6.978,,,,
18,10/3/2014 5:00,6.674,,,,
19,10/3/2014 7:00,6.471,,,,
20,10/3/2014 9:00,6.775,,,,
21,10/3/2014 11:00,9.965,,,,
22,10/3/2014 13:00,14.038,,,,
23,10/3/2014 15:00,12.401,,,,
24,10/3/2014 17:00,11.528,,,,
25,10/3/2014 19:00,10.357,,,,
26,10/3/2014 21:00,9.472,,,,
27,10/3/2014 23:00,8.879,,,,
28,10/4/2014 1:00,8.481,,,,
29,10/4/2014 3:00,8.082,,,,
30,10/4/2014 5:00,8.182,,,,
31,10/4/2014 7:00,8.182,,,,
32,10/4/2014 9:00,8.382,,,,
33,10/4/2014 11:00,9.866,,,,
34,10/4/2014 13:00,13.846,,,,
35,10/4/2014 15:00,12.98,,,,
36,10/4/2014 17:00,12.013,,,,
37,10/4/2014 19:00,10.846,,,,
38,10/4/2014 21:00,9.965,,,,
39,10/4/2014 23:00,9.472,,,,
40,10/5/2014 1:00,9.077,,,,
41,10/5/2014 3:00,8.779,,,,
42,10/5/2014 5:00,8.481,,,,
43,10/5/2014 7:00,8.282,,,,
44,10/5/2014 9:00,8.581,,,,
45,10/5/2014 11:00,11.431,,,,
46,10/5/2014 13:00,15.282,,,,
47,10/5/2014 15:00,13.558,,,,
48,10/5/2014 17:00,12.594,,,,
49,10/5/2014 19:00,11.431,,,,
50,10/5/2014 21:00,10.553,,,,
51,10/5/2014 23:00,10.063,,,,
