Plot Title: MW-9,,,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 10189830, SEN S/N: 10189830)",Coupler Attached (LGR S/N: 10189830),Host Connected (LGR S/N: 10189830),Stopped (LGR S/N: 10189830),End Of File (LGR S/N: 10189830)
1,10/1/2014 19:00,4.831,,,,
2,10/1/2014 21:00,4.207,,,,
3,10/1/2014 23:00,3.683,,,,
4,10/2/2014 1:00,3.683,,,,
5,10/2/2014 3:00,3.472,,,,
6,10/2/2014 5:00,3.049,,,,
7,10/2/2014 7:00,1.548,,,,
8,10/2/2014 9:00,1.33,,,,
9,10/2/2014 11:00,5.244,,,,
10,10/2/2014 13:00,12.207,,,,
11,10/2/2014 15:00,18.521,,,,
12,10/2/2014 17:00,13.173,,,,
13,10/2/2014 19:00,8.182,,,,
14,10/2/2014 21:00,4.519,,,,
15,10/2/2014 23:00,3.261,,,,
16,10/3/2014 1:00,3.049,,,,
17,10/3/2014 3:00,2.41,,,,
18,10/3/2014 5:00,2.837,,,,
19,10/3/2014 7:00,2.41,,,,
20,10/3/2014 9:00,3.472,,,,
21,10/3/2014 11:00,8.581,,,,
22,10/3/2014 13:00,15.855,,,,
23,10/3/2014 15:00,20.901,,,,
24,10/3/2014 17:00,20.615,,,,
25,10/3/2014 19:00,11.625,,,,
26,10/3/2014 21:00,8.182,,,,
27,10/3/2014 23:00,7.381,,,,
28,10/4/2014 1:00,6.573,,,,
29,10/4/2014 3:00,6.064,,,,
30,10/4/2014 5:00,6.877,,,,
31,10/4/2014 7:00,6.37,,,,
32,10/4/2014 9:00,7.179,,,,
33,10/4/2014 11:00,10.357,,,,
34,10/4/2014 13:00,15.76,,,,
35,10/4/2014 15:00,15.855,,,,
36,10/4/2014 17:00,15.091,,,,
37,10/4/2014 19:00,10.553,,,,
38,10/4/2014 21:00,7.179,,,,
39,10/4/2014 23:00,6.166,,,,
40,10/5/2014 1:00,5.655,,,,
41,10/5/2014 3:00,5.757,,,,
42,10/5/2014 5:00,5.244,,,,
43,10/5/2014 7:00,4.831,,,,
44,10/5/2014 9:00,5.962,,,,
45,10/5/2014 11:00,11.041,,,,
46,10/5/2014 13:00,17.284,,,,
47,10/5/2014 15:00,21.855,,,,
48,10/5/2014 17:00,21.951,,,,
49,10/5/2014 19:00,13.558,,,,
50,10/5/2014 21:00,9.077,,,,
51,10/5/2014 23:00,7.682,,,,
52,10/6/2014 1:00,7.179,,,,
53,10/6/2014 3:00,6.37,,,,
54,10/6/2014 5:00,6.37,,,,
55,10/6/2014 7:00,5.86,,,,
56,10/6/2014 9:00,6.37,,,,
57,10/6/2014 11:00,11.528,,,,
58,10/6/2014 13:00,17.76,,,,
59,10/6/2014 15:00,23.677,,,,
60,10/6/2014 17:00,23.196,,,,
61,10/6/2014 19:00,14.325,,,,
62,10/6/2014 21:00,9.472,,,,
63,10/6/2014 23:00,8.481,,,,
64,10/7/2014 1:00,7.079,,,,
65,10/7/2014 3:00,6.674,,,,
66,10/7/2014 5:00,5.86,,,,
67,10/7/2014 7:00,6.064,,,,
68,10/7/2014 9:00,6.37,,,,
69,10/7/2014 11:00,11.236,,,,
70,10/7/2014 13:00,17.76,,,,
71,10/7/2014 15:00,22.717,,,,
72,10/7/2014 17:00,21.187,,,,
73,10/7/2014 19:00,13.461,,,,
74,10/7/2014 21:00,11.139,,,,
75,10/7/2014 23:00,9.768,,,,
76,10/8/2014 1:00,7.983,,,,
77,10/8/2014 3:00,6.471,,,,
78,10/8/2014 5:00,6.978,,,,
79,10/8/2014 7:00,5.655,,,,
80,10/8/2014 9:00,7.381,,,,
81,10/8/2014 11:00,10.846,,,,
82,10/8/2014 13:00,15.282,,,,
83,10/8/2014 15:00,16.427,,,,
84,10/8/2014 17:00,20.043,,,,
85,10/8/2014 19:00,10.944,,,,
86,10/8/2014 21:00,6.674,,,,
87,10/8/2014 23:00,5.244,,,,
88,10/9/2014 1:00,4.623,,,,
89,10/9/2014 3:00,4.415,,,,
90,10/9/2014 5:00,4.519,,,,
91,10/9/2014 7:00,4.207,,,,
92,10/9/2014 9:00,4.727,,,,
93,10/9/2014 11:00,9.176,,,,
94,10/9/2014 13:00,15.76,,,,
95,10/9/2014 15:00,21.569,,,,
96,10/9/2014 17:00,19.948,,,,
97,10/9/2014 19:00,11.139,,,,
98,10/9/2014 21:00,6.573,,,,
99,10/9/2014 23:00,5.655,,,,
100,10/10/2014 1:00,5.141,,,,
101,10/10/2014 3:00,4.415,,,,
102,10/10/2014 5:00,4.207,,,,
103,10/10/2014 7:00,4.415,,,,
104,10/10/2014 9:00,4.727,,,,
105,10/10/2014 11:00,9.077,,,,
106,10/10/2014 13:00,14.804,,,,
107,10/10/2014 15:00,15.282,,,,
108,10/10/2014 17:00,12.11,,,,
109,10/10/2014 19:00,7.882,,,,
110,10/10/2014 21:00,6.775,,,,
111,10/10/2014 23:00,6.166,,,,
112,10/11/2014 1:00,5.86,,,,
113,10/11/2014 3:00,6.674,,,,
114,10/11/2014 5:00,6.877,,,,
115,10/11/2014 7:00,4.415,,,,
116,10/11/2014 9:00,6.166,,,,
117,10/11/2014 11:00,9.669,,,,
118,10/11/2014 13:00,5.45,,,,
119,10/11/2014 15:00,2.943,,,,
120,10/11/2014 17:00,2.624,,,,
121,10/11/2014 19:00,1.656,,,,
122,10/11/2014 21:00,1.439,,,,
123,10/11/2014 23:00,1.548,,,,
124,10/12/2014 1:00,1.548,,,,
125,10/12/2014 3:00,1.764,,,,
126,10/12/2014 5:00,1.764,,,,
127,10/12/2014 7:00,1.872,,,,
128,10/12/2014 9:00,2.195,,,,
129,10/12/2014 11:00,3.683,,,,
130,10/12/2014 13:00,4.727,,,,
131,10/12/2014 15:00,7.28,,,,
132,10/12/2014 17:00,5.655,,,,
133,10/12/2014 19:00,4.519,,,,
134,10/12/2014 21:00,4.415,,,,
135,10/12/2014 23:00,4.311,,,,
136,10/13/2014 1:00,4.207,,,,
137,10/13/2014 3:00,3.578,,,,
138,10/13/2014 5:00,3.367,,,,
139,10/13/2014 7:00,3.367,,,,
140,10/13/2014 9:00,5.037,,,,
141,10/13/2014 11:00,6.877,,,,
142,10/13/2014 13:00,10.846,,,,
143,10/13/2014 15:00,13.75,,,,
144,10/13/2014 17:00,11.819,,,,
145,10/13/2014 19:00,7.682,,,,
146,10/13/2014 21:00,6.775,,,,
147,10/13/2014 23:00,6.573,,,,
148,10/14/2014 1:00,5.141,,,,
149,10/14/2014 3:00,2.837,,,,
150,10/14/2014 5:00,2.73,,,,
151,10/14/2014 7:00,3.049,,,,
152,10/14/2014 9:00,3.683,,,,
153,10/14/2014 11:00,5.86,,,,
154,10/14/2014 13:00,9.077,,,,
155,10/14/2014 15:00,8.879,,,,
156,10/14/2014 17:00,6.775,,,,
157,10/14/2014 19:00,5.037,,,,
158,10/14/2014 21:00,4.102,,,,
159,10/14/2014 23:00,4.207,,,,
160,10/15/2014 1:00,3.261,,,,
161,10/15/2014 3:00,3.261,,,,
162,10/15/2014 5:00,2.943,,,,
163,10/15/2014 7:00,1.764,,,,
164,10/15/2014 9:00,1.548,,,,
165,10/15/2014 11:00,1.439,,,,
166,10/15/2014 13:00,1.439,,,,
167,10/15/2014 15:00,1.33,,,,
168,10/15/2014 17:00,1.439,,,,
169,10/15/2014 19:00,1.548,,,,
170,10/15/2014 21:00,1.548,,,,
171,10/15/2014 23:00,1.548,,,,
172,10/16/2014 1:00,1.548,,,,
173,10/16/2014 3:00,1.548,,,,
174,10/16/2014 5:00,1.548,,,,
175,10/16/2014 7:00,1.548,,,,
176,10/16/2014 9:00,1.548,,,,
177,10/16/2014 11:00,1.548,,,,
178,10/16/2014 13:00,1.439,,,,
179,10/16/2014 15:00,1.221,,,,
180,10/16/2014 17:00,1.221,,,,
181,10/16/2014 19:00,1.221,,,,
182,10/16/2014 21:00,1.33,,,,
183,10/16/2014 23:00,1.439,,,,
