"Plot Title: MW-GlacierBasin-2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10189814, SEN S/N: 10189814, LBL: TEMPERATURE)","Coupler Attached (LGR S/N: 10189814)","Host Connected (LGR S/N: 10189814)","Stopped (LGR S/N: 10189814)","End Of File (LGR S/N: 10189814)"
1,10/01/15 01:00:00 AM,9.176,,,,
2,10/01/15 03:00:00 AM,8.581,,,,
3,10/01/15 05:00:00 AM,8.182,,,,
4,10/01/15 07:00:00 AM,7.782,,,,
5,10/01/15 09:00:00 AM,7.983,,,,
6,10/01/15 11:00:00 AM,9.472,,,,
7,10/01/15 01:00:00 PM,11.625,,,,
8,10/01/15 03:00:00 PM,12.401,,,,
9,10/01/15 05:00:00 PM,12.401,,,,
10,10/01/15 07:00:00 PM,11.625,,,,
11,10/01/15 09:00:00 PM,10.553,,,,
12,10/01/15 11:00:00 PM,9.768,,,,
13,10/02/15 01:00:00 AM,9.077,,,,
14,10/02/15 03:00:00 AM,8.581,,,,
15,10/02/15 05:00:00 AM,8.082,,,,
16,10/02/15 07:00:00 AM,7.782,,,,
17,10/02/15 09:00:00 AM,7.782,,,,
18,10/02/15 11:00:00 AM,9.077,,,,
19,10/02/15 01:00:00 PM,9.768,,,,
20,10/02/15 03:00:00 PM,10.553,,,,
21,10/02/15 05:00:00 PM,10.259,,,,
22,10/02/15 07:00:00 PM,9.571,,,,
23,10/02/15 09:00:00 PM,8.779,,,,
24,10/02/15 11:00:00 PM,8.282,,,,
25,10/03/15 01:00:00 AM,7.682,,,,
26,10/03/15 03:00:00 AM,7.582,,,,
27,10/03/15 05:00:00 AM,7.381,,,,
28,10/03/15 07:00:00 AM,7.179,,,,
29,10/03/15 09:00:00 AM,7.179,,,,
30,10/03/15 11:00:00 AM,8.282,,,,
31,10/03/15 01:00:00 PM,9.768,,,,
32,10/03/15 03:00:00 PM,10.553,,,,
33,10/03/15 05:00:00 PM,10.748,,,,
34,10/03/15 07:00:00 PM,9.965,,,,
