"Plot Title: MW-GlacierBasin-5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10510841, SEN S/N: 10510841)","Coupler Attached (LGR S/N: 10510841)","Host Connected (LGR S/N: 10510841)","Stopped (LGR S/N: 10510841)","End Of File (LGR S/N: 10510841)"
1,10/01/15 01:00:00 AM,7.682,,,,
2,10/01/15 03:00:00 AM,7.179,,,,
3,10/01/15 05:00:00 AM,6.775,,,,
4,10/01/15 07:00:00 AM,6.471,,,,
5,10/01/15 09:00:00 AM,6.674,,,,
6,10/01/15 11:00:00 AM,9.669,,,,
7,10/01/15 01:00:00 PM,10.846,,,,
8,10/01/15 03:00:00 PM,11.625,,,,
9,10/01/15 05:00:00 PM,11.139,,,,
10,10/01/15 07:00:00 PM,10.259,,,,
11,10/01/15 09:00:00 PM,9.176,,,,
12,10/01/15 11:00:00 PM,8.382,,,,
13,10/02/15 01:00:00 AM,7.582,,,,
14,10/02/15 03:00:00 AM,7.079,,,,
15,10/02/15 05:00:00 AM,6.573,,,,
16,10/02/15 07:00:00 AM,6.370,,,,
17,10/02/15 09:00:00 AM,6.573,,,,
18,10/02/15 11:00:00 AM,8.182,,,,
19,10/02/15 01:00:00 PM,8.680,,,,
20,10/02/15 03:00:00 PM,9.768,,,,
21,10/02/15 05:00:00 PM,8.978,,,,
22,10/02/15 07:00:00 PM,8.182,,,,
23,10/02/15 09:00:00 PM,7.381,,,,
24,10/02/15 11:00:00 PM,6.674,,,,
25,10/03/15 01:00:00 AM,6.471,,,,
26,10/03/15 03:00:00 AM,6.166,,,,
27,10/03/15 05:00:00 AM,5.860,,,,
28,10/03/15 07:00:00 AM,5.655,,,,
29,10/03/15 09:00:00 AM,5.552,,,,
30,10/03/15 11:00:00 AM,6.674,,,,
31,10/03/15 01:00:00 PM,8.082,,,,
32,10/03/15 03:00:00 PM,9.176,,,,
33,10/03/15 05:00:00 PM,8.879,,,,
34,10/03/15 07:00:00 PM,8.082,,,,
35,10/03/15 09:00:00 PM,7.381,,,,
36,10/03/15 11:00:00 PM,6.877,,,,
37,10/04/15 01:00:00 AM,6.471,,,,
38,10/04/15 03:00:00 AM,6.166,,,,
39,10/04/15 05:00:00 AM,5.860,,,,
40,10/04/15 07:00:00 AM,5.552,,,,
41,10/04/15 09:00:00 AM,5.552,,,,
42,10/04/15 11:00:00 AM,8.382,,,,
43,10/04/15 01:00:00 PM,9.373,,,,
44,10/04/15 03:00:00 PM,10.651,,,,
45,10/04/15 05:00:00 PM,9.866,,,,
46,10/04/15 07:00:00 PM,8.978,,,,
47,10/04/15 09:00:00 PM,8.082,,,,
48,10/04/15 11:00:00 PM,7.381,,,,
49,10/05/15 01:00:00 AM,6.674,,,,
50,10/05/15 03:00:00 AM,6.166,,,,
51,10/05/15 05:00:00 AM,5.757,,,,
52,10/05/15 07:00:00 AM,5.347,,,,
53,10/05/15 09:00:00 AM,5.347,,,,
