"Plot Title: MW-GlacierBasin-9"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10195311, SEN S/N: 10195311)","Host Connected (LGR S/N: 10195311)","Coupler Attached (LGR S/N: 10195311)","Stopped (LGR S/N: 10195311)","End Of File (LGR S/N: 10195311)"
1,10/01/15 01:00:00 AM,4.727,,,,
2,10/01/15 03:00:00 AM,4.311,,,,
3,10/01/15 05:00:00 AM,3.998,,,,
4,10/01/15 07:00:00 AM,3.683,,,,
5,10/01/15 09:00:00 AM,4.102,,,,
6,10/01/15 11:00:00 AM,5.037,,,,
7,10/01/15 01:00:00 PM,9.571,,,,
8,10/01/15 03:00:00 PM,9.176,,,,
9,10/01/15 05:00:00 PM,8.182,,,,
10,10/01/15 07:00:00 PM,6.978,,,,
11,10/01/15 09:00:00 PM,5.962,,,,
12,10/01/15 11:00:00 PM,5.244,,,,
13,10/02/15 01:00:00 AM,4.727,,,,
14,10/02/15 03:00:00 AM,4.519,,,,
15,10/02/15 05:00:00 AM,4.415,,,,
16,10/02/15 07:00:00 AM,4.415,,,,
17,10/02/15 09:00:00 AM,5.141,,,,
18,10/02/15 11:00:00 AM,7.381,,,,
19,10/02/15 01:00:00 PM,8.879,,,,
20,10/02/15 03:00:00 PM,8.581,,,,
21,10/02/15 05:00:00 PM,7.682,,,,
22,10/02/15 07:00:00 PM,6.573,,,,
23,10/02/15 09:00:00 PM,5.552,,,,
24,10/02/15 11:00:00 PM,5.244,,,,
25,10/03/15 01:00:00 AM,4.727,,,,
26,10/03/15 03:00:00 AM,4.311,,,,
27,10/03/15 05:00:00 AM,4.207,,,,
28,10/03/15 07:00:00 AM,3.683,,,,
29,10/03/15 09:00:00 AM,3.998,,,,
30,10/03/15 11:00:00 AM,5.552,,,,
31,10/03/15 01:00:00 PM,8.182,,,,
32,10/03/15 03:00:00 PM,7.983,,,,
33,10/03/15 05:00:00 PM,7.079,,,,
34,10/03/15 07:00:00 PM,5.860,,,,
35,10/03/15 09:00:00 PM,4.934,,,,
36,10/03/15 11:00:00 PM,4.415,,,,
37,10/04/15 01:00:00 AM,4.207,,,,
38,10/04/15 03:00:00 AM,3.893,,,,
39,10/04/15 05:00:00 AM,3.472,,,,
40,10/04/15 07:00:00 AM,3.049,,,,
41,10/04/15 09:00:00 AM,3.155,,,,
42,10/04/15 11:00:00 AM,4.623,,,,
43,10/04/15 01:00:00 PM,7.481,,,,
44,10/04/15 03:00:00 PM,7.481,,,,
45,10/04/15 05:00:00 PM,6.775,,,,
46,10/04/15 07:00:00 PM,5.655,,,,
47,10/04/15 09:00:00 PM,4.727,,,,
48,10/04/15 11:00:00 PM,4.102,,,,
49,10/05/15 01:00:00 AM,3.472,,,,
50,10/05/15 03:00:00 AM,3.049,,,,
51,10/05/15 05:00:00 AM,2.730,,,,
52,10/05/15 07:00:00 AM,2.410,,,,
53,10/05/15 09:00:00 AM,2.624,,,,
54,10/05/15 11:00:00 AM,3.683,,,,
55,10/05/15 01:00:00 PM,8.182,,,,
56,10/05/15 03:00:00 PM,8.581,,,,
57,10/05/15 05:00:00 PM,8.082,,,,
58,10/05/15 07:00:00 PM,6.573,,,,
59,10/05/15 09:00:00 PM,5.450,,,,
60,10/05/15 11:00:00 PM,4.727,,,,
61,10/06/15 01:00:00 AM,4.207,,,,
62,10/06/15 03:00:00 AM,3.788,,,,
63,10/06/15 05:00:00 AM,3.578,,,,
64,10/06/15 07:00:00 AM,3.683,,,,
65,10/06/15 09:00:00 AM,4.623,,,,
66,10/06/15 11:00:00 AM,6.877,,,,
67,10/06/15 01:00:00 PM,9.472,,,,
68,10/06/15 03:00:00 PM,10.259,,,,
69,10/06/15 05:00:00 PM,9.571,,,,
70,10/06/15 07:00:00 PM,7.983,,,,
71,10/06/15 09:00:00 PM,7.179,,,,
72,10/06/15 11:00:00 PM,6.674,,,,
73,10/07/15 01:00:00 AM,6.064,,,,
74,10/07/15 03:00:00 AM,6.064,,,,
75,10/07/15 05:00:00 AM,5.962,,,,
76,10/07/15 07:00:00 AM,5.962,,,,
77,10/07/15 09:00:00 AM,6.573,,,,
78,10/07/15 11:00:00 AM,8.182,,,,
79,10/07/15 01:00:00 PM,8.978,,,,
80,10/07/15 03:00:00 PM,9.866,,,,
81,10/07/15 05:00:00 PM,9.669,,,,
82,10/07/15 07:00:00 PM,9.077,,,,
83,10/07/15 09:00:00 PM,8.680,,,,
84,10/07/15 11:00:00 PM,8.382,,,,
85,10/08/15 01:00:00 AM,7.782,,,,
86,10/08/15 03:00:00 AM,7.582,,,,
87,10/08/15 05:00:00 AM,7.280,,,,
88,10/08/15 07:00:00 AM,6.775,,,,
89,10/08/15 09:00:00 AM,6.978,,,,
90,10/08/15 11:00:00 AM,8.082,,,,
91,10/08/15 01:00:00 PM,10.161,,,,
92,10/08/15 03:00:00 PM,10.846,,,,
93,10/08/15 05:00:00 PM,9.669,,,,
94,10/08/15 07:00:00 PM,7.882,,,,
95,10/08/15 09:00:00 PM,7.079,,,,
96,10/08/15 11:00:00 PM,6.268,,,,
97,10/09/15 01:00:00 AM,5.552,,,,
98,10/09/15 03:00:00 AM,5.347,,,,
99,10/09/15 05:00:00 AM,5.655,,,,
100,10/09/15 07:00:00 AM,5.655,,,,
101,10/09/15 09:00:00 AM,5.860,,,,
102,10/09/15 11:00:00 AM,7.983,,,,
103,10/09/15 01:00:00 PM,10.455,,,,
104,10/09/15 03:00:00 PM,10.846,,,,
105,10/09/15 05:00:00 PM,10.455,,,,
106,10/09/15 07:00:00 PM,9.768,,,,
107,10/09/15 09:00:00 PM,9.373,,,,
108,10/09/15 11:00:00 PM,8.082,,,,
109,10/10/15 01:00:00 AM,7.179,,,,
110,10/10/15 03:00:00 AM,7.179,,,,
111,10/10/15 05:00:00 AM,6.775,,,,
112,10/10/15 07:00:00 AM,6.064,,,,
113,10/10/15 09:00:00 AM,6.370,,,,
114,10/10/15 11:00:00 AM,7.983,,,,
115,10/10/15 01:00:00 PM,8.581,,,,
116,10/10/15 03:00:00 PM,7.983,,,,
117,10/10/15 05:00:00 PM,6.471,,,,
118,10/10/15 07:00:00 PM,5.962,,,,
119,10/10/15 09:00:00 PM,5.244,,,,
120,10/10/15 11:00:00 PM,4.415,,,,
121,10/11/15 01:00:00 AM,3.049,,,,
122,10/11/15 03:00:00 AM,2.624,,,,
123,10/11/15 05:00:00 AM,2.195,,,,
124,10/11/15 07:00:00 AM,1.872,,,,
125,10/11/15 09:00:00 AM,1.764,,,,
126,10/11/15 11:00:00 AM,1.764,,,,
127,10/11/15 01:00:00 PM,5.244,,,,
128,10/11/15 03:00:00 PM,5.037,,,,
129,10/11/15 05:00:00 PM,5.141,,,,
130,10/11/15 07:00:00 PM,4.311,,,,
131,10/11/15 09:00:00 PM,3.893,,,,
132,10/11/15 11:00:00 PM,3.367,,,,
133,10/12/15 01:00:00 AM,2.624,,,,
134,10/12/15 03:00:00 AM,2.303,,,,
135,10/12/15 05:00:00 AM,2.303,,,,
136,10/12/15 07:00:00 AM,1.980,,,,
137,10/12/15 09:00:00 AM,1.980,,,,
138,10/12/15 11:00:00 AM,2.837,,,,
139,10/12/15 01:00:00 PM,6.775,,,,
140,10/12/15 03:00:00 PM,6.064,,,,
141,10/12/15 05:00:00 PM,6.775,,,,
142,10/12/15 07:00:00 PM,6.166,,,,
143,10/12/15 09:00:00 PM,5.962,,,,
144,10/12/15 11:00:00 PM,5.860,,,,
145,10/13/15 01:00:00 AM,5.860,,,,
146,10/13/15 03:00:00 AM,5.552,,,,
147,10/13/15 05:00:00 AM,5.552,,,,
148,10/13/15 07:00:00 AM,5.655,,,,
149,10/13/15 09:00:00 AM,5.962,,,,
150,10/13/15 11:00:00 AM,7.782,,,,
151,10/13/15 01:00:00 PM,9.077,,,,
152,10/13/15 03:00:00 PM,8.680,,,,
153,10/13/15 05:00:00 PM,7.983,,,,
154,10/13/15 07:00:00 PM,7.079,,,,
155,10/13/15 09:00:00 PM,5.757,,,,
156,10/13/15 11:00:00 PM,3.998,,,,
157,10/14/15 01:00:00 AM,3.049,,,,
158,10/14/15 03:00:00 AM,2.517,,,,
159,10/14/15 05:00:00 AM,2.088,,,,
160,10/14/15 07:00:00 AM,1.764,,,,
161,10/14/15 09:00:00 AM,2.088,,,,
162,10/14/15 11:00:00 AM,3.367,,,,
163,10/14/15 01:00:00 PM,8.082,,,,
164,10/14/15 03:00:00 PM,7.381,,,,
165,10/14/15 05:00:00 PM,6.978,,,,
166,10/14/15 07:00:00 PM,5.450,,,,
