"Plot Title: RL-1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10597705, SEN S/N: 10597705)","Coupler Attached (LGR S/N: 10597705)","Host Connected (LGR S/N: 10597705)","Stopped (LGR S/N: 10597705)","End Of File (LGR S/N: 10597705)"
1,10/17/16 01:00:00 PM,2.303,,,,
2,10/17/16 03:00:00 PM,2.303,,,,
3,10/17/16 05:00:00 PM,2.088,,,,
4,10/17/16 07:00:00 PM,2.195,,,,
5,10/17/16 09:00:00 PM,2.195,,,,
6,10/17/16 11:00:00 PM,2.195,,,,
7,10/18/16 01:00:00 AM,2.195,,,,
8,10/18/16 03:00:00 AM,2.195,,,,
9,10/18/16 05:00:00 AM,2.195,,,,
10,10/18/16 07:00:00 AM,2.195,,,,
11,10/18/16 09:00:00 AM,2.195,,,,
12,10/18/16 11:00:00 AM,2.195,,,,
13,10/18/16 01:00:00 PM,2.195,,,,
14,10/18/16 03:00:00 PM,2.195,,,,
15,10/18/16 05:00:00 PM,2.088,,,,
16,10/18/16 07:00:00 PM,2.088,,,,
17,10/18/16 09:00:00 PM,2.088,,,,
18,10/18/16 11:00:00 PM,2.088,,,,
19,10/19/16 01:00:00 AM,2.088,,,,
20,10/19/16 03:00:00 AM,2.088,,,,
21,10/19/16 05:00:00 AM,2.088,,,,
22,10/19/16 07:00:00 AM,2.088,,,,
23,10/19/16 09:00:00 AM,2.088,,,,
24,10/19/16 11:00:00 AM,2.088,,,,
25,10/19/16 01:00:00 PM,2.088,,,,
26,10/19/16 03:00:00 PM,2.088,,,,
27,10/19/16 05:00:00 PM,2.088,,,,
28,10/19/16 07:00:00 PM,1.980,,,,
29,10/19/16 09:00:00 PM,1.980,,,,
30,10/19/16 11:00:00 PM,1.872,,,,
31,10/20/16 01:00:00 AM,1.548,,,,
32,10/20/16 03:00:00 AM,1.764,,,,
33,10/20/16 05:00:00 AM,1.656,,,,
34,10/20/16 07:00:00 AM,1.439,,,,
35,10/20/16 09:00:00 AM,1.656,,,,
36,10/20/16 11:00:00 AM,1.221,,,,
37,10/20/16 01:00:00 PM,1.548,,,,
38,10/20/16 03:00:00 PM,1.548,,,,
39,10/20/16 05:00:00 PM,1.656,,,,
40,10/20/16 07:00:00 PM,1.764,,,,
41,10/20/16 09:00:00 PM,1.872,,,,
42,10/20/16 11:00:00 PM,1.872,,,,
43,10/21/16 01:00:00 AM,1.872,,,,
44,10/21/16 03:00:00 AM,1.872,,,,
45,10/21/16 05:00:00 AM,1.872,,,,
46,10/21/16 07:00:00 AM,1.872,,,,
47,10/21/16 09:00:00 AM,1.872,,,,
48,10/21/16 11:00:00 AM,1.872,,,,
49,10/21/16 01:00:00 PM,1.980,,,,
50,10/21/16 03:00:00 PM,1.980,,,,
51,10/21/16 05:00:00 PM,1.980,,,,
52,10/21/16 07:00:00 PM,1.980,,,,
53,10/21/16 09:00:00 PM,1.980,,,,
54,10/21/16 11:00:00 PM,1.872,,,,
55,10/22/16 01:00:00 AM,1.872,,,,
56,10/22/16 03:00:00 AM,1.872,,,,
57,10/22/16 05:00:00 AM,1.872,,,,
58,10/22/16 07:00:00 AM,1.764,,,,
59,10/22/16 09:00:00 AM,1.764,,,,
60,10/22/16 11:00:00 AM,1.764,,,,
61,10/22/16 01:00:00 PM,1.764,,,,
62,10/22/16 03:00:00 PM,1.764,,,,
63,10/22/16 05:00:00 PM,1.764,,,,
64,10/22/16 07:00:00 PM,1.764,,,,
65,10/22/16 09:00:00 PM,1.764,,,,
66,10/22/16 11:00:00 PM,1.764,,,,
67,10/23/16 01:00:00 AM,1.764,,,,
68,10/23/16 03:00:00 AM,1.764,,,,
69,10/23/16 05:00:00 AM,1.764,,,,
70,10/23/16 07:00:00 AM,1.764,,,,
71,10/23/16 09:00:00 AM,1.764,,,,
72,10/23/16 11:00:00 AM,1.764,,,,
73,10/23/16 01:00:00 PM,1.980,,,,
74,10/23/16 03:00:00 PM,1.980,,,,
75,10/23/16 05:00:00 PM,1.872,,,,
76,10/23/16 07:00:00 PM,1.872,,,,
77,10/23/16 09:00:00 PM,1.764,,,,
78,10/23/16 11:00:00 PM,1.764,,,,
79,10/24/16 01:00:00 AM,1.764,,,,
80,10/24/16 03:00:00 AM,1.764,,,,
81,10/24/16 05:00:00 AM,1.764,,,,
82,10/24/16 07:00:00 AM,1.764,,,,
83,10/24/16 09:00:00 AM,1.764,,,,
84,10/24/16 11:00:00 AM,1.764,,,,
85,10/24/16 01:00:00 PM,1.980,,,,
86,10/24/16 03:00:00 PM,2.088,,,,
87,10/24/16 05:00:00 PM,2.195,,,,
88,10/24/16 07:00:00 PM,2.410,,,,
89,10/24/16 09:00:00 PM,2.303,,,,
90,10/24/16 11:00:00 PM,2.303,,,,
91,10/25/16 01:00:00 AM,2.303,,,,
92,10/25/16 03:00:00 AM,2.195,,,,
93,10/25/16 05:00:00 AM,2.088,,,,
94,10/25/16 07:00:00 AM,2.088,,,,
95,10/25/16 09:00:00 AM,2.088,,,,
96,10/25/16 11:00:00 AM,2.410,,,,
97,10/25/16 01:00:00 PM,2.730,,,,
98,10/25/16 03:00:00 PM,2.943,,,,
99,10/25/16 05:00:00 PM,3.261,,,,
100,10/25/16 07:00:00 PM,2.943,,,,
101,10/25/16 09:00:00 PM,2.624,,,,
102,10/25/16 11:00:00 PM,2.410,,,,
103,10/26/16 01:00:00 AM,2.303,,,,
104,10/26/16 03:00:00 AM,2.303,,,,
105,10/26/16 05:00:00 AM,2.410,,,,
106,10/26/16 07:00:00 AM,2.195,,,,
107,10/26/16 09:00:00 AM,2.517,,,,
108,10/26/16 11:00:00 AM,3.049,,,,
109,10/26/16 01:00:00 PM,3.683,,,,
110,10/26/16 03:00:00 PM,4.415,,,,
111,10/26/16 05:00:00 PM,5.347,,,,
112,10/26/16 07:00:00 PM,5.962,,,,
113,10/26/16 09:00:00 PM,5.450,,,,
114,10/26/16 11:00:00 PM,5.037,,,,
115,10/27/16 01:00:00 AM,4.519,,,,
116,10/27/16 03:00:00 AM,3.998,,,,
117,10/27/16 05:00:00 AM,3.788,,,,
118,10/27/16 07:00:00 AM,3.578,,,,
119,10/27/16 09:00:00 AM,3.472,,,,
120,10/27/16 11:00:00 AM,3.683,,,,
121,10/27/16 01:00:00 PM,4.207,,,,
122,10/27/16 03:00:00 PM,4.519,,,,
123,10/27/16 05:00:00 PM,4.415,,,,
124,10/27/16 07:00:00 PM,4.207,,,,
125,10/27/16 09:00:00 PM,3.998,,,,
126,10/27/16 11:00:00 PM,3.788,,,,
127,10/28/16 01:00:00 AM,3.683,,,,
128,10/28/16 03:00:00 AM,3.578,,,,
129,10/28/16 05:00:00 AM,3.367,,,,
130,10/28/16 07:00:00 AM,3.367,,,,
131,10/28/16 09:00:00 AM,3.261,,,,
132,10/28/16 11:00:00 AM,3.367,,,,
133,10/28/16 01:00:00 PM,3.998,,,,
134,10/28/16 03:00:00 PM,4.519,,,,
135,10/28/16 05:00:00 PM,4.207,,,,
136,10/28/16 07:00:00 PM,3.472,,,,
137,10/28/16 09:00:00 PM,3.049,,,,
138,10/28/16 11:00:00 PM,2.837,,,,
139,10/29/16 01:00:00 AM,2.624,,,,
140,10/29/16 03:00:00 AM,2.624,,,,
141,10/29/16 05:00:00 AM,2.624,,,,
142,10/29/16 07:00:00 AM,2.837,,,,
143,10/29/16 09:00:00 AM,2.624,,,,
144,10/29/16 11:00:00 AM,2.837,,,,
145,10/29/16 01:00:00 PM,3.683,,,,
146,10/29/16 03:00:00 PM,4.415,,,,
147,10/29/16 05:00:00 PM,4.415,,,,
148,10/29/16 07:00:00 PM,3.788,,,,
149,10/29/16 09:00:00 PM,3.155,,,,
150,10/29/16 11:00:00 PM,2.837,,,,
151,10/30/16 01:00:00 AM,2.730,,,,
152,10/30/16 03:00:00 AM,2.624,,,,
153,10/30/16 05:00:00 AM,2.517,,,,
154,10/30/16 07:00:00 AM,2.410,,,,
155,10/30/16 09:00:00 AM,2.410,,,,
156,10/30/16 11:00:00 AM,3.049,,,,
157,10/30/16 01:00:00 PM,3.367,,,,
158,10/30/16 03:00:00 PM,3.472,,,,
159,10/30/16 05:00:00 PM,3.472,,,,
160,10/30/16 07:00:00 PM,3.367,,,,
161,10/30/16 09:00:00 PM,3.261,,,,
162,10/30/16 11:00:00 PM,2.730,,,,
163,10/31/16 01:00:00 AM,2.943,,,,
164,10/31/16 03:00:00 AM,3.049,,,,
165,10/31/16 05:00:00 AM,2.410,,,,
166,10/31/16 07:00:00 AM,2.195,,,,
167,10/31/16 09:00:00 AM,2.195,,,,
168,10/31/16 11:00:00 AM,1.980,,,,
169,10/31/16 01:00:00 PM,1.980,,,,
170,10/31/16 03:00:00 PM,1.980,,,,
171,10/31/16 05:00:00 PM,2.088,,,,
172,10/31/16 07:00:00 PM,2.088,,,,
173,10/31/16 09:00:00 PM,2.088,,,,
174,10/31/16 11:00:00 PM,1.872,,,,
175,11/01/16 01:00:00 AM,1.872,,,,
176,11/01/16 03:00:00 AM,1.872,,,,
177,11/01/16 05:00:00 AM,1.980,,,,
178,11/01/16 07:00:00 AM,1.764,,,,
179,11/01/16 09:00:00 AM,1.872,,,,
180,11/01/16 11:00:00 AM,1.764,,,,
181,11/01/16 01:00:00 PM,1.872,,,,
