"Plot Title: GB-17"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20173897, SEN S/N: 20173897)","Coupler Attached (LGR S/N: 20173897)","Host Connected (LGR S/N: 20173897)","Stopped (LGR S/N: 20173897)","End Of File (LGR S/N: 20173897)"
1,10/02/17 01:00:00 PM,7.280,,,,
2,10/02/17 03:00:00 PM,7.381,,,,
3,10/02/17 05:00:00 PM,6.573,,,,
4,10/02/17 07:00:00 PM,4.415,,,,
5,10/02/17 09:00:00 PM,3.155,,,,
6,10/02/17 11:00:00 PM,2.517,,,,
7,10/03/17 01:00:00 AM,2.088,,,,
8,10/03/17 03:00:00 AM,1.872,,,,
9,10/03/17 05:00:00 AM,1.656,,,,
10,10/03/17 07:00:00 AM,1.548,,,,
11,10/03/17 09:00:00 AM,1.439,,,,
12,10/03/17 11:00:00 AM,8.282,,,,
13,10/03/17 01:00:00 PM,13.173,,,,
14,10/03/17 03:00:00 PM,12.690,,,,
15,10/03/17 05:00:00 PM,8.382,,,,
16,10/03/17 07:00:00 PM,5.860,,,,
17,10/03/17 09:00:00 PM,4.102,,,,
18,10/03/17 11:00:00 PM,3.155,,,,
19,10/04/17 01:00:00 AM,2.517,,,,
20,10/04/17 03:00:00 AM,2.088,,,,
21,10/04/17 05:00:00 AM,1.872,,,,
22,10/04/17 07:00:00 AM,1.656,,,,
23,10/04/17 09:00:00 AM,1.548,,,,
24,10/04/17 11:00:00 AM,7.481,,,,
25,10/04/17 01:00:00 PM,12.690,,,,
26,10/04/17 03:00:00 PM,12.594,,,,
27,10/04/17 05:00:00 PM,8.779,,,,
28,10/04/17 07:00:00 PM,6.166,,,,
29,10/04/17 09:00:00 PM,4.415,,,,
30,10/04/17 11:00:00 PM,3.367,,,,
31,10/05/17 01:00:00 AM,2.837,,,,
32,10/05/17 03:00:00 AM,2.303,,,,
33,10/05/17 05:00:00 AM,1.980,,,,
34,10/05/17 07:00:00 AM,1.764,,,,
35,10/05/17 09:00:00 AM,1.656,,,,
36,10/05/17 11:00:00 AM,8.680,,,,
37,10/05/17 01:00:00 PM,14.325,,,,
38,10/05/17 03:00:00 PM,13.942,,,,
39,10/05/17 05:00:00 PM,9.768,,,,
40,10/05/17 07:00:00 PM,7.280,,,,
41,10/05/17 09:00:00 PM,5.552,,,,
42,10/05/17 11:00:00 PM,4.519,,,,
43,10/06/17 01:00:00 AM,3.893,,,,
44,10/06/17 03:00:00 AM,3.155,,,,
45,10/06/17 05:00:00 AM,2.517,,,,
46,10/06/17 07:00:00 AM,2.195,,,,
47,10/06/17 09:00:00 AM,2.303,,,,
48,10/06/17 11:00:00 AM,7.782,,,,
49,10/06/17 01:00:00 PM,14.421,,,,
50,10/06/17 03:00:00 PM,13.750,,,,
51,10/06/17 05:00:00 PM,8.978,,,,
52,10/06/17 07:00:00 PM,7.179,,,,
53,10/06/17 09:00:00 PM,6.471,,,,
54,10/06/17 11:00:00 PM,5.655,,,,
55,10/07/17 01:00:00 AM,4.623,,,,
56,10/07/17 03:00:00 AM,4.102,,,,
57,10/07/17 05:00:00 AM,3.155,,,,
58,10/07/17 07:00:00 AM,2.410,,,,
59,10/07/17 09:00:00 AM,2.303,,,,
60,10/07/17 11:00:00 AM,9.472,,,,
61,10/07/17 01:00:00 PM,6.064,,,,
62,10/07/17 03:00:00 PM,5.450,,,,
63,10/07/17 05:00:00 PM,3.998,,,,
64,10/07/17 07:00:00 PM,3.261,,,,
65,10/07/17 09:00:00 PM,2.943,,,,
66,10/07/17 11:00:00 PM,2.730,,,,
67,10/08/17 01:00:00 AM,2.517,,,,
68,10/08/17 03:00:00 AM,2.410,,,,
69,10/08/17 05:00:00 AM,2.303,,,,
70,10/08/17 07:00:00 AM,2.303,,,,
71,10/08/17 09:00:00 AM,2.195,,,,
72,10/08/17 11:00:00 AM,2.088,,,,
73,10/08/17 01:00:00 PM,1.003,,,,
74,10/08/17 03:00:00 PM,1.112,,,,
75,10/08/17 05:00:00 PM,0.784,,,,
76,10/08/17 07:00:00 PM,1.112,,,,
77,10/08/17 09:00:00 PM,1.330,,,,
78,10/08/17 11:00:00 PM,1.330,,,,
79,10/09/17 01:00:00 AM,1.221,,,,
80,10/09/17 03:00:00 AM,1.221,,,,
81,10/09/17 05:00:00 AM,1.112,,,,
82,10/09/17 07:00:00 AM,1.112,,,,
83,10/09/17 09:00:00 AM,1.112,,,,
84,10/09/17 11:00:00 AM,1.112,,,,
85,10/09/17 01:00:00 PM,1.548,,,,
86,10/09/17 03:00:00 PM,2.517,,,,
87,10/09/17 05:00:00 PM,2.943,,,,
88,10/09/17 07:00:00 PM,2.517,,,,
89,10/09/17 09:00:00 PM,2.088,,,,
90,10/09/17 11:00:00 PM,1.764,,,,
91,10/10/17 01:00:00 AM,1.548,,,,
92,10/10/17 03:00:00 AM,1.439,,,,
93,10/10/17 05:00:00 AM,1.330,,,,
94,10/10/17 07:00:00 AM,1.221,,,,
95,10/10/17 09:00:00 AM,1.221,,,,
96,10/10/17 11:00:00 AM,2.517,,,,
97,10/10/17 01:00:00 PM,5.141,,,,
98,10/10/17 03:00:00 PM,3.893,,,,
99,10/10/17 05:00:00 PM,3.261,,,,
100,10/10/17 07:00:00 PM,2.195,,,,
101,10/10/17 09:00:00 PM,1.656,,,,
102,10/10/17 11:00:00 PM,1.439,,,,
103,10/11/17 01:00:00 AM,1.330,,,,
104,10/11/17 03:00:00 AM,1.221,,,,
105,10/11/17 05:00:00 AM,1.003,,,,
106,10/11/17 07:00:00 AM,1.003,,,,
107,10/11/17 09:00:00 AM,0.893,,,,
108,10/11/17 11:00:00 AM,1.112,,,,
109,10/11/17 01:00:00 PM,1.764,,,,
110,10/11/17 03:00:00 PM,2.410,,,,
111,10/11/17 05:00:00 PM,1.656,,,,
112,10/11/17 07:00:00 PM,1.330,,,,
113,10/11/17 09:00:00 PM,1.221,,,,
114,10/11/17 11:00:00 PM,1.112,,,,
115,10/12/17 01:00:00 AM,1.112,,,,
116,10/12/17 03:00:00 AM,1.112,,,,
117,10/12/17 05:00:00 AM,1.112,,,,
118,10/12/17 07:00:00 AM,1.003,,,,
119,10/12/17 09:00:00 AM,1.003,,,,
120,10/12/17 11:00:00 AM,1.003,,,,
121,10/12/17 01:00:00 PM,1.003,,,,
122,10/12/17 03:00:00 PM,1.003,,,,
123,10/12/17 05:00:00 PM,1.003,,,,
124,10/12/17 07:00:00 PM,1.003,,,,
125,10/12/17 09:00:00 PM,1.003,,,,
126,10/12/17 11:00:00 PM,1.003,,,,
127,10/13/17 01:00:00 AM,1.003,,,,
128,10/13/17 03:00:00 AM,1.003,,,,
129,10/13/17 05:00:00 AM,1.003,,,,
130,10/13/17 07:00:00 AM,1.003,,,,
131,10/13/17 09:00:00 AM,1.003,,,,
132,10/13/17 11:00:00 AM,1.003,,,,
133,10/13/17 01:00:00 PM,1.003,,,,
134,10/13/17 03:00:00 PM,1.003,,,,
135,10/13/17 05:00:00 PM,1.003,,,,
136,10/13/17 07:00:00 PM,1.003,,,,
137,10/13/17 09:00:00 PM,1.003,,,,
138,10/13/17 11:00:00 PM,1.003,,,,
139,10/14/17 01:00:00 AM,1.003,,,,
140,10/14/17 03:00:00 AM,1.003,,,,
141,10/14/17 05:00:00 AM,0.893,,,,
142,10/14/17 07:00:00 AM,0.893,,,,
143,10/14/17 09:00:00 AM,0.893,,,,
144,10/14/17 11:00:00 AM,0.893,,,,
145,10/14/17 01:00:00 PM,0.893,,,,
146,10/14/17 03:00:00 PM,0.453,,,,
147,10/14/17 05:00:00 PM,0.343,,,,
148,10/14/17 07:00:00 PM,0.453,,,,
149,10/14/17 09:00:00 PM,0.563,,,,
150,10/14/17 11:00:00 PM,0.674,,,,
151,10/15/17 01:00:00 AM,0.674,,,,
152,10/15/17 03:00:00 AM,0.674,,,,
153,10/15/17 05:00:00 AM,0.674,,,,
154,10/15/17 07:00:00 AM,0.784,,,,
155,10/15/17 09:00:00 AM,0.784,,,,
156,10/15/17 11:00:00 AM,0.563,,,,
157,10/15/17 01:00:00 PM,0.563,,,,
158,10/15/17 03:00:00 PM,0.343,,,,
159,10/15/17 05:00:00 PM,0.453,,,,
160,10/15/17 07:00:00 PM,0.563,,,,
161,10/15/17 09:00:00 PM,0.563,,,,
162,10/15/17 11:00:00 PM,0.674,,,,
163,10/16/17 01:00:00 AM,0.674,,,,
164,10/16/17 03:00:00 AM,0.674,,,,
165,10/16/17 05:00:00 AM,0.674,,,,
166,10/16/17 07:00:00 AM,0.563,,,,
167,10/16/17 09:00:00 AM,0.563,,,,
168,10/16/17 11:00:00 AM,0.674,,,,
169,10/16/17 01:00:00 PM,0.674,,,,
170,10/16/17 03:00:00 PM,3.049,,,,
171,10/16/17 05:00:00 PM,2.730,,,,
172,10/16/17 07:00:00 PM,1.980,,,,
173,10/16/17 09:00:00 PM,1.439,,,,
174,10/16/17 11:00:00 PM,1.221,,,,
175,10/17/17 01:00:00 AM,1.112,,,,
176,10/17/17 03:00:00 AM,1.003,,,,
