"Plot Title: GB-7"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10510836, SEN S/N: 10510836)","Host Connected (LGR S/N: 10510836)","Coupler Attached (LGR S/N: 10510836)","Stopped (LGR S/N: 10510836)","End Of File (LGR S/N: 10510836)"
1,10/03/17 01:00:00 PM,2.943,,,,
2,10/03/17 03:00:00 PM,3.788,,,,
3,10/03/17 05:00:00 PM,3.893,,,,
4,10/03/17 07:00:00 PM,3.261,,,,
5,10/03/17 09:00:00 PM,2.624,,,,
6,10/03/17 11:00:00 PM,2.088,,,,
7,10/04/17 01:00:00 AM,1.764,,,,
8,10/04/17 03:00:00 AM,1.439,,,,
9,10/04/17 05:00:00 AM,1.548,,,,
10,10/04/17 07:00:00 AM,1.439,,,,
11,10/04/17 09:00:00 AM,1.439,,,,
12,10/04/17 11:00:00 AM,1.872,,,,
13,10/04/17 01:00:00 PM,3.367,,,,
14,10/04/17 03:00:00 PM,4.415,,,,
15,10/04/17 05:00:00 PM,4.519,,,,
16,10/04/17 07:00:00 PM,3.788,,,,
17,10/04/17 09:00:00 PM,3.049,,,,
18,10/04/17 11:00:00 PM,2.624,,,,
19,10/05/17 01:00:00 AM,2.195,,,,
20,10/05/17 03:00:00 AM,1.872,,,,
21,10/05/17 05:00:00 AM,1.548,,,,
22,10/05/17 07:00:00 AM,1.439,,,,
23,10/05/17 09:00:00 AM,1.439,,,,
24,10/05/17 11:00:00 AM,2.410,,,,
25,10/05/17 01:00:00 PM,3.893,,,,
26,10/05/17 03:00:00 PM,4.934,,,,
27,10/05/17 05:00:00 PM,5.037,,,,
28,10/05/17 07:00:00 PM,4.519,,,,
29,10/05/17 09:00:00 PM,3.893,,,,
30,10/05/17 11:00:00 PM,3.367,,,,
31,10/06/17 01:00:00 AM,2.943,,,,
32,10/06/17 03:00:00 AM,2.730,,,,
33,10/06/17 05:00:00 AM,2.517,,,,
34,10/06/17 07:00:00 AM,2.195,,,,
35,10/06/17 09:00:00 AM,2.303,,,,
36,10/06/17 11:00:00 AM,3.049,,,,
37,10/06/17 01:00:00 PM,4.311,,,,
38,10/06/17 03:00:00 PM,4.831,,,,
39,10/06/17 05:00:00 PM,4.623,,,,
40,10/06/17 07:00:00 PM,4.519,,,,
41,10/06/17 09:00:00 PM,4.519,,,,
42,10/06/17 11:00:00 PM,4.207,,,,
43,10/07/17 01:00:00 AM,3.893,,,,
44,10/07/17 03:00:00 AM,3.788,,,,
45,10/07/17 05:00:00 AM,3.367,,,,
46,10/07/17 07:00:00 AM,2.730,,,,
47,10/07/17 09:00:00 AM,2.730,,,,
48,10/07/17 11:00:00 AM,3.788,,,,
49,10/07/17 01:00:00 PM,3.155,,,,
50,10/07/17 03:00:00 PM,3.261,,,,
51,10/07/17 05:00:00 PM,2.837,,,,
52,10/07/17 07:00:00 PM,2.410,,,,
53,10/07/17 09:00:00 PM,2.195,,,,
54,10/07/17 11:00:00 PM,2.088,,,,
55,10/08/17 01:00:00 AM,1.980,,,,
56,10/08/17 03:00:00 AM,1.872,,,,
57,10/08/17 05:00:00 AM,1.872,,,,
58,10/08/17 07:00:00 AM,1.764,,,,
59,10/08/17 09:00:00 AM,1.764,,,,
60,10/08/17 11:00:00 AM,1.764,,,,
61,10/08/17 01:00:00 PM,1.764,,,,
62,10/08/17 03:00:00 PM,1.656,,,,
63,10/08/17 05:00:00 PM,1.656,,,,
