"Plot Title: GB-8"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10189817, SEN S/N: 10189817)","Good Battery (LGR S/N: 10189817)","Coupler Attached (LGR S/N: 10189817)","Host Connected (LGR S/N: 10189817)","Stopped (LGR S/N: 10189817)","End Of File (LGR S/N: 10189817)"
1,10/03/17 01:00:00 PM,3.893,Logged,,,,
2,10/03/17 03:00:00 PM,5.244,,,,,
3,10/03/17 05:00:00 PM,5.037,,,,,
4,10/03/17 07:00:00 PM,3.893,,,,,
5,10/03/17 09:00:00 PM,2.943,,,,,
6,10/03/17 11:00:00 PM,2.517,,,,,
7,10/04/17 01:00:00 AM,2.195,,,,,
8,10/04/17 03:00:00 AM,2.088,,,,,
9,10/04/17 05:00:00 AM,1.980,,,,,
10,10/04/17 07:00:00 AM,1.872,,,,,
11,10/04/17 09:00:00 AM,1.872,,,,,
12,10/04/17 11:00:00 AM,2.410,,,,,
13,10/04/17 01:00:00 PM,3.998,,,,,
14,10/04/17 03:00:00 PM,5.244,,,,,
15,10/04/17 05:00:00 PM,5.244,,,,,
16,10/04/17 07:00:00 PM,4.102,,,,,
17,10/04/17 09:00:00 PM,3.261,,,,,
18,10/04/17 11:00:00 PM,2.730,,,,,
19,10/05/17 01:00:00 AM,2.303,,,,,
20,10/05/17 03:00:00 AM,2.088,,,,,
21,10/05/17 05:00:00 AM,1.980,,,,,
22,10/05/17 07:00:00 AM,1.872,,,,,
23,10/05/17 09:00:00 AM,1.872,,,,,
24,10/05/17 11:00:00 AM,2.943,,,,,
25,10/05/17 01:00:00 PM,4.623,,,,,
26,10/05/17 03:00:00 PM,5.962,,,,,
27,10/05/17 05:00:00 PM,5.860,,,,,
28,10/05/17 07:00:00 PM,4.727,,,,,
29,10/05/17 09:00:00 PM,3.998,,,,,
30,10/05/17 11:00:00 PM,3.367,,,,,
31,10/06/17 01:00:00 AM,2.837,,,,,
32,10/06/17 03:00:00 AM,2.624,,,,,
33,10/06/17 05:00:00 AM,2.303,,,,,
34,10/06/17 07:00:00 AM,2.088,,,,,
35,10/06/17 09:00:00 AM,2.303,,,,,
36,10/06/17 11:00:00 AM,3.788,,,,,
37,10/06/17 01:00:00 PM,5.037,,,,,
38,10/06/17 03:00:00 PM,6.166,,,,,
39,10/06/17 05:00:00 PM,5.244,,,,,
40,10/06/17 07:00:00 PM,4.831,,,,,
41,10/06/17 09:00:00 PM,4.831,,,,,
42,10/06/17 11:00:00 PM,4.415,,,,,
43,10/07/17 01:00:00 AM,4.102,,,,,
44,10/07/17 03:00:00 AM,3.998,,,,,
45,10/07/17 05:00:00 AM,3.472,,,,,
46,10/07/17 07:00:00 AM,2.943,,,,,
47,10/07/17 09:00:00 AM,3.049,,,,,
48,10/07/17 11:00:00 AM,4.415,,,,,
49,10/07/17 01:00:00 PM,3.049,,,,,
50,10/07/17 03:00:00 PM,3.261,,,,,
51,10/07/17 05:00:00 PM,2.624,,,,,
52,10/07/17 07:00:00 PM,2.410,,,,,
53,10/07/17 09:00:00 PM,2.195,,,,,
54,10/07/17 11:00:00 PM,2.195,,,,,
55,10/08/17 01:00:00 AM,2.195,,,,,
56,10/08/17 03:00:00 AM,2.195,,,,,
57,10/08/17 05:00:00 AM,2.088,,,,,
58,10/08/17 07:00:00 AM,2.088,,,,,
59,10/08/17 09:00:00 AM,1.980,,,,,
60,10/08/17 11:00:00 AM,1.980,,,,,
