"Plot Title: RL-2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20173902, SEN S/N: 20173902, LBL: C)","Coupler Attached (LGR S/N: 20173902)","Host Connected (LGR S/N: 20173902)","Coupler Detached (LGR S/N: 20173902)","Stopped (LGR S/N: 20173902)","End Of File (LGR S/N: 20173902)"
1,10/12/17 01:00:00 PM,1.330,,,,,
2,10/12/17 03:00:00 PM,1.330,,,,,
3,10/12/17 05:00:00 PM,1.330,,,,,
4,10/12/17 07:00:00 PM,1.330,,,,,
5,10/12/17 09:00:00 PM,1.330,,,,,
6,10/12/17 11:00:00 PM,1.330,,,,,
7,10/13/17 01:00:00 AM,1.330,,,,,
8,10/13/17 03:00:00 AM,1.330,,,,,
9,10/13/17 05:00:00 AM,1.330,,,,,
10,10/13/17 07:00:00 AM,1.221,,,,,
11,10/13/17 09:00:00 AM,1.221,,,,,
12,10/13/17 11:00:00 AM,1.221,,,,,
13,10/13/17 01:00:00 PM,1.221,,,,,
14,10/13/17 03:00:00 PM,1.221,,,,,
15,10/13/17 05:00:00 PM,1.221,,,,,
16,10/13/17 07:00:00 PM,1.221,,,,,
17,10/13/17 09:00:00 PM,1.221,,,,,
18,10/13/17 11:00:00 PM,1.221,,,,,
19,10/14/17 01:00:00 AM,1.221,,,,,
20,10/14/17 03:00:00 AM,1.221,,,,,
21,10/14/17 05:00:00 AM,1.221,,,,,
22,10/14/17 07:00:00 AM,1.221,,,,,
23,10/14/17 09:00:00 AM,1.221,,,,,
24,10/14/17 11:00:00 AM,1.221,,,,,
25,10/14/17 01:00:00 PM,1.221,,,,,
26,10/14/17 03:00:00 PM,1.221,,,,,
27,10/14/17 05:00:00 PM,1.112,,,,,
28,10/14/17 07:00:00 PM,1.112,,,,,
29,10/14/17 09:00:00 PM,1.112,,,,,
30,10/14/17 11:00:00 PM,1.112,,,,,
31,10/15/17 01:00:00 AM,1.112,,,,,
32,10/15/17 03:00:00 AM,1.112,,,,,
33,10/15/17 05:00:00 AM,1.112,,,,,
34,10/15/17 07:00:00 AM,1.112,,,,,
35,10/15/17 09:00:00 AM,1.112,,,,,
