"Plot Title: GB-11"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10615555, SEN S/N: 10615555)","Bad Battery (LGR S/N: 10615555)","Coupler Attached (LGR S/N: 10615555)","Host Connected (LGR S/N: 10615555)","Stopped (LGR S/N: 10615555)","End Of File (LGR S/N: 10615555)"
1,09/26/18 01:00:00 PM,68.763,,,,,
2,09/26/18 03:00:00 PM,58.303,,,,,
3,09/26/18 05:00:00 PM,54.147,,,,,
4,09/26/18 07:00:00 PM,51.346,,,,,
5,09/26/18 09:00:00 PM,49.404,,,,,
6,09/26/18 11:00:00 PM,48.695,,,,,
7,09/27/18 01:00:00 AM,48.160,,,,,
8,09/27/18 03:00:00 AM,47.624,,,,,
9,09/27/18 05:00:00 AM,46.728,,,,,
10,09/27/18 07:00:00 AM,46.188,,,,,
11,09/27/18 09:00:00 AM,57.614,,,,,
12,09/27/18 11:00:00 AM,58.647,,,,,
13,09/27/18 01:00:00 PM,73.062,,,,,
14,09/27/18 03:00:00 PM,61.912,,,,,
15,09/27/18 05:00:00 PM,57.441,,,,,
16,09/27/18 07:00:00 PM,54.147,,,,,
17,09/27/18 09:00:00 PM,51.699,,,,,
18,09/27/18 11:00:00 PM,49.759,,,,,
19,09/28/18 01:00:00 AM,48.160,,,,,
20,09/28/18 03:00:00 AM,46.728,,,,,
21,09/28/18 05:00:00 AM,45.466,,,,,
22,09/28/18 07:00:00 AM,44.560,,,,,
23,09/28/18 09:00:00 AM,54.842,,,,,
24,09/28/18 11:00:00 AM,56.404,,,,,
25,09/28/18 01:00:00 PM,67.735,,,,,
26,09/28/18 03:00:00 PM,58.820,,,,,
27,09/28/18 05:00:00 PM,57.096,,,,,
28,09/28/18 07:00:00 PM,53.100,,,,,
29,09/28/18 09:00:00 PM,50.466,,,,,
30,09/28/18 11:00:00 PM,48.695,,,,,
31,09/29/18 01:00:00 AM,47.266,,,,,
32,09/29/18 03:00:00 AM,46.188,,,,,
33,09/29/18 05:00:00 AM,44.922,,,,,
34,09/29/18 07:00:00 AM,43.831,,,,,
35,09/29/18 09:00:00 AM,49.582,,,,,
36,09/29/18 11:00:00 AM,54.322,,,,,
37,09/29/18 01:00:00 PM,57.441,,,,,
38,09/29/18 03:00:00 PM,55.364,,,,,
39,09/29/18 05:00:00 PM,53.100,,,,,
40,09/29/18 07:00:00 PM,50.466,,,,,
41,09/29/18 09:00:00 PM,48.517,,,,,
42,09/29/18 11:00:00 PM,46.188,,,,,
43,09/30/18 01:00:00 AM,44.013,,,,,
44,09/30/18 03:00:00 AM,42.179,,,,,
45,09/30/18 05:00:00 AM,42.179,,,,,
46,09/30/18 07:00:00 AM,42.548,,,,,
47,09/30/18 09:00:00 AM,47.088,,,,,
48,09/30/18 11:00:00 AM,47.446,,,,,
49,09/30/18 01:00:00 PM,48.517,,,,,
50,09/30/18 03:00:00 PM,48.695,,,,,
51,09/30/18 05:00:00 PM,47.266,,,,,
52,09/30/18 07:00:00 PM,45.828,,,,,
53,09/30/18 09:00:00 PM,44.922,,,,,
54,09/30/18 11:00:00 PM,43.648,,,,,
55,10/01/18 01:00:00 AM,43.466,,,,,
56,10/01/18 03:00:00 AM,43.648,,,,,
57,10/01/18 05:00:00 AM,43.099,,,,,
58,10/01/18 07:00:00 AM,42.732,,,,,
59,10/01/18 09:00:00 AM,44.013,,,,,
60,10/01/18 11:00:00 AM,46.728,,,,,
61,10/01/18 01:00:00 PM,47.446,,,,,
62,10/01/18 03:00:00 PM,47.982,,,,,
63,10/01/18 05:00:00 PM,46.548,,,,,
64,10/01/18 07:00:00 PM,45.648,,,,,
65,10/01/18 09:00:00 PM,45.104,,,,,
66,10/01/18 11:00:00 PM,44.922,,,,,
67,10/02/18 01:00:00 AM,44.560,,,,,
68,10/02/18 03:00:00 AM,44.379,,,,,
69,10/02/18 05:00:00 AM,43.282,,,,,
70,10/02/18 07:00:00 AM,42.732,,,,,
71,10/02/18 09:00:00 AM,44.195,,,,,
72,10/02/18 11:00:00 AM,51.346,,,,,
73,10/02/18 01:00:00 PM,55.537,,,,,
74,10/02/18 03:00:00 PM,48.871,,,,,
75,10/02/18 05:00:00 PM,43.099,,,,,
76,10/02/18 07:00:00 PM,39.947,,,,,
77,10/02/18 09:00:00 PM,37.679,,,,,
78,10/02/18 11:00:00 PM,36.531,,,,,
79,10/03/18 01:00:00 AM,36.145,,,,,
80,10/03/18 03:00:00 AM,35.175,,,,,
81,10/03/18 05:00:00 AM,34.394,,,,,
82,10/03/18 07:00:00 AM,33.805,,,,,
83,10/03/18 09:00:00 AM,37.297,,,,,
84,10/03/18 11:00:00 AM,49.050,,,,,
85,10/03/18 01:00:00 PM,54.495,,,,,
86,10/03/18 03:00:00 PM,48.339,,,,,
87,10/03/18 05:00:00 PM,45.828,,,,,
88,10/03/18 07:00:00 PM,41.994,,,,,
89,10/03/18 09:00:00 PM,39.947,,,,,
90,10/03/18 11:00:00 PM,39.573,,,,,
91,10/04/18 01:00:00 AM,38.629,,,,,
92,10/04/18 03:00:00 AM,36.914,,,,,
93,10/04/18 05:00:00 AM,36.338,,,,,
94,10/04/18 07:00:00 AM,35.564,,,,,
95,10/04/18 09:00:00 AM,43.099,,,,,
96,10/04/18 11:00:00 AM,50.643,,,,,
97,10/04/18 01:00:00 PM,50.290,,,,,
98,10/04/18 03:00:00 PM,45.104,,,,,
99,10/04/18 05:00:00 PM,43.282,,,,,
100,10/04/18 07:00:00 PM,40.881,,,,,
101,10/04/18 09:00:00 PM,38.629,,,,,
102,10/04/18 11:00:00 PM,36.723,,,,,
103,10/05/18 01:00:00 AM,35.370,,,,,
104,10/05/18 03:00:00 AM,34.590,,,,,
105,10/05/18 05:00:00 AM,34.394,,,,,
106,10/05/18 07:00:00 AM,34.394,,,,,
107,10/05/18 09:00:00 AM,35.175,,,,,
108,10/05/18 11:00:00 AM,35.951,,,,,
109,10/05/18 01:00:00 PM,35.951,,,,,
110,10/05/18 03:00:00 PM,35.175,,,,,
111,10/05/18 05:00:00 PM,34.981,,,,,
