"Plot Title: GB-13"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10503833, SEN S/N: 10503833)","Good Battery (LGR S/N: 10503833)","End Of File (LGR S/N: 10503833)"
1,10/03/17 01:00:00 PM,54.669,Logged,
2,10/03/17 03:00:00 PM,50.466,,
3,10/03/17 05:00:00 PM,46.369,,
4,10/03/17 07:00:00 PM,43.099,,
5,10/03/17 09:00:00 PM,40.881,,
6,10/03/17 11:00:00 PM,39.573,,
7,10/04/17 01:00:00 AM,38.250,,
8,10/04/17 03:00:00 AM,37.107,,
9,10/04/17 05:00:00 AM,36.145,,
10,10/04/17 07:00:00 AM,35.758,,
11,10/04/17 09:00:00 AM,36.145,,
12,10/04/17 11:00:00 AM,47.446,,
13,10/04/17 01:00:00 PM,53.274,,
14,10/04/17 03:00:00 PM,50.643,,
15,10/04/17 05:00:00 PM,47.266,,
16,10/04/17 07:00:00 PM,44.013,,
17,10/04/17 09:00:00 PM,41.810,,
18,10/04/17 11:00:00 PM,40.321,,
19,10/05/17 01:00:00 AM,39.196,,
20,10/05/17 03:00:00 AM,38.250,,
21,10/05/17 05:00:00 AM,37.297,,
22,10/05/17 07:00:00 AM,36.723,,
23,10/05/17 09:00:00 AM,36.531,,
24,10/05/17 11:00:00 AM,48.871,,
25,10/05/17 01:00:00 PM,56.577,,
26,10/05/17 03:00:00 PM,53.100,,
27,10/05/17 05:00:00 PM,49.228,,
28,10/05/17 07:00:00 PM,46.188,,
29,10/05/17 09:00:00 PM,44.013,,
30,10/05/17 11:00:00 PM,42.363,,
31,10/06/17 01:00:00 AM,41.439,,
32,10/06/17 03:00:00 AM,40.696,,
33,10/06/17 05:00:00 AM,39.573,,
34,10/06/17 07:00:00 AM,38.440,,
35,10/06/17 09:00:00 AM,38.818,,
36,10/06/17 11:00:00 AM,47.982,,
37,10/06/17 01:00:00 PM,56.577,,
38,10/06/17 03:00:00 PM,52.576,,
39,10/06/17 05:00:00 PM,47.982,,
40,10/06/17 07:00:00 PM,45.466,,
41,10/06/17 09:00:00 PM,44.379,,
42,10/06/17 11:00:00 PM,43.282,,
43,10/07/17 01:00:00 AM,41.994,,
44,10/07/17 03:00:00 AM,41.067,,
45,10/07/17 05:00:00 AM,39.384,,
46,10/07/17 07:00:00 AM,38.250,,
47,10/07/17 09:00:00 AM,37.679,,
48,10/07/17 11:00:00 AM,48.871,,
49,10/07/17 01:00:00 PM,43.648,,
50,10/07/17 03:00:00 PM,43.099,,
51,10/07/17 05:00:00 PM,40.321,,
52,10/07/17 07:00:00 PM,38.818,,
53,10/07/17 09:00:00 PM,38.061,,
54,10/07/17 11:00:00 PM,37.679,,
55,10/08/17 01:00:00 AM,37.297,,
56,10/08/17 03:00:00 AM,36.914,,
57,10/08/17 05:00:00 AM,36.723,,
58,10/08/17 07:00:00 AM,36.531,,
59,10/08/17 09:00:00 AM,36.338,,
60,10/08/17 11:00:00 AM,36.338,,
61,10/08/17 01:00:00 PM,37.488,,
62,10/08/17 03:00:00 PM,38.250,,
63,10/08/17 05:00:00 PM,37.679,,
64,10/08/17 07:00:00 PM,36.531,,
65,10/08/17 09:00:00 PM,35.951,,
66,10/08/17 11:00:00 PM,35.370,,
67,10/09/17 01:00:00 AM,34.981,,
68,10/09/17 03:00:00 AM,34.590,,
69,10/09/17 05:00:00 AM,34.198,,
70,10/09/17 07:00:00 AM,34.002,,
71,10/09/17 09:00:00 AM,33.805,,
72,10/09/17 11:00:00 AM,35.175,,
73,10/09/17 01:00:00 PM,49.404,,
74,10/09/17 03:00:00 PM,45.828,,
75,10/09/17 05:00:00 PM,43.282,,
76,10/09/17 07:00:00 PM,40.881,,
77,10/09/17 09:00:00 PM,39.384,,
78,10/09/17 11:00:00 PM,38.629,,
79,10/10/17 01:00:00 AM,37.870,,
80,10/10/17 03:00:00 AM,37.107,,
81,10/10/17 05:00:00 AM,36.338,,
82,10/10/17 07:00:00 AM,35.758,,
83,10/10/17 09:00:00 AM,35.951,,
84,10/10/17 11:00:00 AM,42.732,,
85,10/10/17 01:00:00 PM,45.648,,
86,10/10/17 03:00:00 PM,41.994,,
87,10/10/17 05:00:00 PM,40.509,,
88,10/10/17 07:00:00 PM,38.440,,
89,10/10/17 09:00:00 PM,37.107,,
90,10/10/17 11:00:00 PM,36.145,,
91,10/11/17 01:00:00 AM,35.370,,
92,10/11/17 03:00:00 AM,34.981,,
93,10/11/17 05:00:00 AM,34.394,,
94,10/11/17 07:00:00 AM,34.002,,
95,10/11/17 09:00:00 AM,33.607,,
96,10/11/17 11:00:00 AM,33.805,,
97,10/11/17 01:00:00 PM,34.002,,
98,10/11/17 03:00:00 PM,34.981,,
99,10/11/17 05:00:00 PM,34.786,,
100,10/11/17 07:00:00 PM,34.394,,
101,10/11/17 09:00:00 PM,34.198,,
102,10/11/17 11:00:00 PM,34.002,,
103,10/12/17 01:00:00 AM,34.002,,
104,10/12/17 03:00:00 AM,33.805,,
105,10/12/17 05:00:00 AM,33.805,,
106,10/12/17 07:00:00 AM,33.607,,
107,10/12/17 09:00:00 AM,33.607,,
108,10/12/17 11:00:00 AM,33.607,,
109,10/12/17 01:00:00 PM,33.607,,
110,10/12/17 03:00:00 PM,33.607,,
111,10/12/17 05:00:00 PM,33.805,,
112,10/12/17 07:00:00 PM,33.805,,
113,10/12/17 09:00:00 PM,33.805,,
114,10/12/17 11:00:00 PM,33.805,,
115,10/13/17 01:00:00 AM,33.805,,
116,10/13/17 03:00:00 AM,33.805,,
