"Plot Title: RL-9"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20202674, SEN S/N: 20202674)","Coupler Attached (LGR S/N: 20202674)","Host Connected (LGR S/N: 20202674)","Stopped (LGR S/N: 20202674)","End Of File (LGR S/N: 20202674)"
1,09/26/18 01:00:00 PM,51.172,,,,
2,09/26/18 03:00:00 PM,57.441,,,,
3,09/26/18 05:00:00 PM,59.680,,,,
4,09/26/18 07:00:00 PM,56.404,,,,
5,09/26/18 09:00:00 PM,51.346,,,,
6,09/26/18 11:00:00 PM,48.517,,,,
7,09/27/18 01:00:00 AM,47.266,,,,
8,09/27/18 03:00:00 AM,45.648,,,,
9,09/27/18 05:00:00 AM,44.742,,,,
10,09/27/18 07:00:00 AM,44.560,,,,
11,09/27/18 09:00:00 AM,44.742,,,,
12,09/27/18 11:00:00 AM,48.695,,,,
13,09/27/18 01:00:00 PM,55.711,,,,
14,09/27/18 03:00:00 PM,61.398,,,,
15,09/27/18 05:00:00 PM,62.940,,,,
16,09/27/18 07:00:00 PM,59.337,,,,
17,09/27/18 09:00:00 PM,54.669,,,,
18,09/27/18 11:00:00 PM,51.874,,,,
19,09/28/18 01:00:00 AM,49.759,,,,
20,09/28/18 03:00:00 AM,48.339,,,,
21,09/28/18 05:00:00 AM,47.088,,,,
22,09/28/18 07:00:00 AM,45.828,,,,
23,09/28/18 09:00:00 AM,45.828,,,,
24,09/28/18 11:00:00 AM,48.339,,,,
25,09/28/18 01:00:00 PM,55.017,,,,
26,09/28/18 03:00:00 PM,61.054,,,,
27,09/28/18 05:00:00 PM,62.254,,,,
28,09/28/18 07:00:00 PM,58.303,,,,
29,09/28/18 09:00:00 PM,53.274,,,,
30,09/28/18 11:00:00 PM,50.290,,,,
31,09/29/18 01:00:00 AM,48.339,,,,
32,09/29/18 03:00:00 AM,46.728,,,,
33,09/29/18 05:00:00 AM,45.466,,,,
34,09/29/18 07:00:00 AM,44.560,,,,
35,09/29/18 09:00:00 AM,44.560,,,,
36,09/29/18 11:00:00 AM,47.088,,,,
37,09/29/18 01:00:00 PM,51.699,,,,
38,09/29/18 03:00:00 PM,56.404,,,,
39,09/29/18 05:00:00 PM,58.820,,,,
40,09/29/18 07:00:00 PM,53.623,,,,
41,09/29/18 09:00:00 PM,50.466,,,,
42,09/29/18 11:00:00 PM,47.982,,,,
43,09/30/18 01:00:00 AM,45.466,,,,
44,09/30/18 03:00:00 AM,44.195,,,,
45,09/30/18 05:00:00 AM,43.282,,,,
46,09/30/18 07:00:00 AM,41.810,,,,
47,09/30/18 09:00:00 AM,43.466,,,,
48,09/30/18 11:00:00 AM,44.379,,,,
49,09/30/18 01:00:00 PM,45.466,,,,
50,09/30/18 03:00:00 PM,46.548,,,,
51,09/30/18 05:00:00 PM,46.008,,,,
52,09/30/18 07:00:00 PM,44.922,,,,
53,09/30/18 09:00:00 PM,44.013,,,,
54,09/30/18 11:00:00 PM,43.648,,,,
55,10/01/18 01:00:00 AM,43.466,,,,
56,10/01/18 03:00:00 AM,42.915,,,,
57,10/01/18 05:00:00 AM,42.548,,,,
58,10/01/18 07:00:00 AM,42.363,,,,
59,10/01/18 09:00:00 AM,42.732,,,,
60,10/01/18 11:00:00 AM,43.648,,,,
61,10/01/18 01:00:00 PM,45.466,,,,
62,10/01/18 03:00:00 PM,46.548,,,,
63,10/01/18 05:00:00 PM,45.648,,,,
64,10/01/18 07:00:00 PM,44.560,,,,
65,10/01/18 09:00:00 PM,43.831,,,,
66,10/01/18 11:00:00 PM,43.282,,,,
67,10/02/18 01:00:00 AM,43.099,,,,
68,10/02/18 03:00:00 AM,42.915,,,,
69,10/02/18 05:00:00 AM,42.179,,,,
70,10/02/18 07:00:00 AM,41.439,,,,
71,10/02/18 09:00:00 AM,41.810,,,,
72,10/02/18 11:00:00 AM,43.831,,,,
73,10/02/18 01:00:00 PM,46.188,,,,
74,10/02/18 03:00:00 PM,43.099,,,,
75,10/02/18 05:00:00 PM,41.439,,,,
76,10/02/18 07:00:00 PM,39.196,,,,
77,10/02/18 09:00:00 PM,37.870,,,,
78,10/02/18 11:00:00 PM,36.914,,,,
79,10/03/18 01:00:00 AM,36.338,,,,
80,10/03/18 03:00:00 AM,35.564,,,,
81,10/03/18 05:00:00 AM,34.981,,,,
82,10/03/18 07:00:00 AM,34.394,,,,
83,10/03/18 09:00:00 AM,34.198,,,,
84,10/03/18 11:00:00 AM,34.002,,,,
85,10/03/18 01:00:00 PM,35.370,,,,
86,10/03/18 03:00:00 PM,44.560,,,,
87,10/03/18 05:00:00 PM,46.369,,,,
88,10/03/18 07:00:00 PM,42.363,,,,
89,10/03/18 09:00:00 PM,39.760,,,,
90,10/03/18 11:00:00 PM,39.384,,,,
91,10/04/18 01:00:00 AM,38.250,,,,
92,10/04/18 03:00:00 AM,36.914,,,,
93,10/04/18 05:00:00 AM,36.145,,,,
94,10/04/18 07:00:00 AM,35.564,,,,
95,10/04/18 09:00:00 AM,34.981,,,,
96,10/04/18 11:00:00 AM,35.370,,,,
