Plot Title: MW-3,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995248, SEN S/N: 9995248)",End Of File (LGR S/N: 9995248)
1,9/25/2013 13:00,8.182,
2,9/25/2013 15:00,8.282,
3,9/25/2013 17:00,7.782,
4,9/25/2013 19:00,6.674,
5,9/25/2013 21:00,5.757,
6,9/25/2013 23:00,5.141,
7,9/26/2013 1:00,4.311,
8,9/26/2013 3:00,3.788,
9,9/26/2013 5:00,3.155,
10,9/26/2013 7:00,2.624,
11,9/26/2013 9:00,2.943,
12,9/26/2013 11:00,5.86,
13,9/26/2013 13:00,8.879,
14,9/26/2013 15:00,8.879,
15,9/26/2013 17:00,8.182,
16,9/26/2013 19:00,6.775,
17,9/26/2013 21:00,5.86,
18,9/26/2013 23:00,4.727,
19,9/27/2013 1:00,3.683,
20,9/27/2013 3:00,3.472,
21,9/27/2013 5:00,3.683,
22,9/27/2013 7:00,3.788,
23,9/27/2013 9:00,3.683,
24,9/27/2013 11:00,4.311,
25,9/27/2013 13:00,5.141,
26,9/27/2013 15:00,5.141,
27,9/27/2013 17:00,4.934,
28,9/27/2013 19:00,5.037,
29,9/27/2013 21:00,4.934,
30,9/27/2013 23:00,4.934,
31,9/28/2013 1:00,4.934,
32,9/28/2013 3:00,4.934,
33,9/28/2013 5:00,5.141,
34,9/28/2013 7:00,5.552,
35,9/28/2013 9:00,6.166,
36,9/28/2013 11:00,6.573,
37,9/28/2013 13:00,6.877,
38,9/28/2013 15:00,6.674,
39,9/28/2013 17:00,6.978,
40,9/28/2013 19:00,6.064,
41,9/28/2013 21:00,2.517,
42,9/28/2013 23:00,2.73,
43,9/29/2013 1:00,2.837,
44,9/29/2013 3:00,2.41,
45,9/29/2013 5:00,1.98,
46,9/29/2013 7:00,1.439,
47,9/29/2013 9:00,1.548,
48,9/29/2013 11:00,1.656,
49,9/29/2013 13:00,1.764,
50,9/29/2013 15:00,1.764,
51,9/29/2013 17:00,1.764,
52,9/29/2013 19:00,1.656,
53,9/29/2013 21:00,1.112,
54,9/29/2013 23:00,1.003,
55,9/30/2013 1:00,1.33,
56,9/30/2013 3:00,1.548,
57,9/30/2013 5:00,1.656,
58,9/30/2013 7:00,1.656,
59,9/30/2013 9:00,1.656,
60,9/30/2013 11:00,1.656,
61,9/30/2013 13:00,1.764,
62,9/30/2013 15:00,1.764,
63,9/30/2013 17:00,1.764,
64,9/30/2013 19:00,1.764,
