Plot Title: MW-8,,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995182, SEN S/N: 9995182)",End Of File (LGR S/N: 9995182),,
1,9/25/2013 13:00,5.86,,,
2,9/25/2013 15:00,8.182,,,
3,9/25/2013 17:00,6.674,,,
4,9/25/2013 19:00,5.037,,,
5,9/25/2013 21:00,4.207,,,
6,9/25/2013 23:00,3.472,,,
7,9/26/2013 1:00,2.303,,,
8,9/26/2013 3:00,1.764,,,
9,9/26/2013 5:00,1.33,,,
10,9/26/2013 7:00,1.112,,,
11,9/26/2013 9:00,1.003,,,
12,9/26/2013 11:00,1.221,,,
13,9/26/2013 13:00,5.962,,,
14,9/26/2013 15:00,6.573,,,
15,9/26/2013 17:00,3.472,,,
16,9/26/2013 19:00,3.472,,,
17,9/26/2013 21:00,3.261,,,
18,9/26/2013 23:00,2.73,,,
19,9/27/2013 1:00,1.98,,,
20,9/27/2013 3:00,1.548,,,
21,9/27/2013 5:00,1.439,,,
22,9/27/2013 7:00,1.33,,,
23,9/27/2013 9:00,1.33,,,
24,9/27/2013 11:00,1.221,,,
25,9/27/2013 13:00,0.343,,,
26,9/27/2013 15:00,3.155,,,
27,9/27/2013 17:00,3.367,,,
28,9/27/2013 19:00,3.367,,,
29,9/27/2013 21:00,3.155,,,
30,9/27/2013 23:00,3.049,,,
31,9/28/2013 1:00,3.155,,,
32,9/28/2013 3:00,3.472,,,
33,9/28/2013 5:00,3.788,,,
34,9/28/2013 7:00,4.519,,,
35,9/28/2013 9:00,5.141,,,
36,9/28/2013 11:00,5.552,,,
37,9/28/2013 13:00,5.655,,,
38,9/28/2013 15:00,5.552,,,
39,9/28/2013 17:00,5.86,,,
40,9/28/2013 19:00,5.037,,,
41,9/28/2013 21:00,0.784,,,
42,9/28/2013 23:00,1.439,,,
43,9/29/2013 1:00,1.548,,,
44,9/29/2013 3:00,1.656,,,
45,9/29/2013 5:00,1.548,,,
46,9/29/2013 7:00,1.548,,,
47,9/29/2013 9:00,1.439,,,
48,9/29/2013 11:00,1.439,,,
49,9/29/2013 13:00,1.33,,,
50,9/29/2013 15:00,1.221,,,
51,9/29/2013 17:00,1.221,,,
52,9/29/2013 19:00,1.221,,,
53,9/29/2013 21:00,1.112,,,
54,9/29/2013 23:00,0.343,,,
55,9/30/2013 1:00,0.232,,,
56,9/30/2013 3:00,0.232,,,
57,9/30/2013 5:00,0.232,,,
