Plot Title: MW-2,,,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995205, SEN S/N: 9995205)",Coupler Attached (LGR S/N: 9995205),Host Connected (LGR S/N: 9995205),Stopped (LGR S/N: 9995205),End Of File (LGR S/N: 9995205)
1,9/25/2013 13:00,6.674,,,,
2,9/25/2013 15:00,7.179,,,,
3,9/25/2013 17:00,7.28,,,,
4,9/25/2013 19:00,6.674,,,,
5,9/25/2013 21:00,5.962,,,,
6,9/25/2013 23:00,5.45,,,,
7,9/26/2013 1:00,4.934,,,,
8,9/26/2013 3:00,4.415,,,,
9,9/26/2013 5:00,3.683,,,,
10,9/26/2013 7:00,3.155,,,,
11,9/26/2013 9:00,3.155,,,,
12,9/26/2013 11:00,4.102,,,,
13,9/26/2013 13:00,5.347,,,,
14,9/26/2013 15:00,6.471,,,,
15,9/26/2013 17:00,6.877,,,,
16,9/26/2013 19:00,6.268,,,,
17,9/26/2013 21:00,5.655,,,,
18,9/26/2013 23:00,4.934,,,,
19,9/27/2013 1:00,4.102,,,,
20,9/27/2013 3:00,3.683,,,,
21,9/27/2013 5:00,3.788,,,,
22,9/27/2013 7:00,3.788,,,,
23,9/27/2013 9:00,3.683,,,,
24,9/27/2013 11:00,3.998,,,,
25,9/27/2013 13:00,4.623,,,,
26,9/27/2013 15:00,4.934,,,,
27,9/27/2013 17:00,4.934,,,,
28,9/27/2013 19:00,4.934,,,,
29,9/27/2013 21:00,4.934,,,,
30,9/27/2013 23:00,4.934,,,,
31,9/28/2013 1:00,4.934,,,,
32,9/28/2013 3:00,5.037,,,,
33,9/28/2013 5:00,5.244,,,,
34,9/28/2013 7:00,5.552,,,,
35,9/28/2013 9:00,5.962,,,,
36,9/28/2013 11:00,6.37,,,,
37,9/28/2013 13:00,6.775,,,,
38,9/28/2013 15:00,6.674,,,,
39,9/28/2013 17:00,6.978,,,,
40,9/28/2013 19:00,6.877,,,,
41,9/28/2013 21:00,4.831,,,,
42,9/28/2013 23:00,3.998,,,,
43,9/29/2013 1:00,3.893,,,,
