Plot Title: MW-3,,,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 10189827, SEN S/N: 10189827)",Coupler Attached (LGR S/N: 10189827),Host Connected (LGR S/N: 10189827),Stopped (LGR S/N: 10189827),End Of File (LGR S/N: 10189827)
1,10/1/2014 17:00,7.882,,,,
2,10/1/2014 19:00,7.481,,,,
3,10/1/2014 21:00,6.978,,,,
4,10/1/2014 23:00,6.573,,,,
5,10/2/2014 1:00,6.268,,,,
6,10/2/2014 3:00,5.962,,,,
7,10/2/2014 5:00,5.86,,,,
8,10/2/2014 7:00,5.347,,,,
9,10/2/2014 9:00,4.934,,,,
10,10/2/2014 11:00,5.757,,,,
11,10/2/2014 13:00,8.282,,,,
12,10/2/2014 15:00,8.182,,,,
13,10/2/2014 17:00,8.481,,,,
14,10/2/2014 19:00,7.882,,,,
15,10/2/2014 21:00,6.978,,,,
16,10/2/2014 23:00,6.268,,,,
17,10/3/2014 1:00,5.757,,,,
18,10/3/2014 3:00,5.45,,,,
19,10/3/2014 5:00,5.244,,,,
20,10/3/2014 7:00,5.141,,,,
21,10/3/2014 9:00,5.347,,,,
22,10/3/2014 11:00,6.775,,,,
23,10/3/2014 13:00,9.669,,,,
24,10/3/2014 15:00,9.866,,,,
25,10/3/2014 17:00,9.373,,,,
26,10/3/2014 19:00,8.779,,,,
27,10/3/2014 21:00,7.983,,,,
28,10/3/2014 23:00,7.481,,,,
29,10/4/2014 1:00,7.179,,,,
30,10/4/2014 3:00,6.775,,,,
31,10/4/2014 5:00,6.674,,,,
32,10/4/2014 7:00,6.775,,,,
33,10/4/2014 9:00,6.978,,,,
34,10/4/2014 11:00,8.182,,,,
35,10/4/2014 13:00,9.768,,,,
36,10/4/2014 15:00,10.748,,,,
37,10/4/2014 17:00,10.651,,,,
38,10/4/2014 19:00,9.866,,,,
39,10/4/2014 21:00,8.978,,,,
40,10/4/2014 23:00,8.282,,,,
41,10/5/2014 1:00,7.882,,,,
42,10/5/2014 3:00,7.582,,,,
43,10/5/2014 5:00,7.28,,,,
44,10/5/2014 7:00,7.079,,,,
45,10/5/2014 9:00,7.179,,,,
46,10/5/2014 11:00,8.282,,,,
47,10/5/2014 13:00,11.041,,,,
48,10/5/2014 15:00,11.139,,,,
49,10/5/2014 17:00,10.748,,,,
50,10/5/2014 19:00,10.161,,,,
51,10/5/2014 21:00,9.571,,,,
52,10/5/2014 23:00,8.978,,,,
53,10/6/2014 1:00,8.581,,,,
54,10/6/2014 3:00,8.182,,,,
55,10/6/2014 5:00,7.882,,,,
56,10/6/2014 7:00,7.682,,,,
57,10/6/2014 9:00,7.782,,,,
58,10/6/2014 11:00,8.978,,,,
59,10/6/2014 13:00,11.431,,,,
60,10/6/2014 15:00,11.528,,,,
61,10/6/2014 17:00,11.236,,,,
62,10/6/2014 19:00,10.651,,,,
63,10/6/2014 21:00,9.965,,,,
64,10/6/2014 23:00,9.472,,,,
65,10/7/2014 1:00,9.077,,,,
66,10/7/2014 3:00,8.68,,,,
67,10/7/2014 5:00,8.382,,,,
68,10/7/2014 7:00,8.082,,,,
69,10/7/2014 9:00,8.082,,,,
70,10/7/2014 11:00,9.176,,,,
71,10/7/2014 13:00,11.528,,,,
72,10/7/2014 15:00,11.625,,,,
73,10/7/2014 17:00,11.041,,,,
74,10/7/2014 19:00,10.259,,,,
75,10/7/2014 21:00,9.373,,,,
76,10/7/2014 23:00,9.077,,,,
77,10/8/2014 1:00,8.978,,,,
78,10/8/2014 3:00,8.382,,,,
79,10/8/2014 5:00,7.882,,,,
80,10/8/2014 7:00,7.481,,,,
81,10/8/2014 9:00,7.381,,,,
82,10/8/2014 11:00,8.581,,,,
83,10/8/2014 13:00,10.455,,,,
84,10/8/2014 15:00,11.041,,,,
85,10/8/2014 17:00,10.259,,,,
86,10/8/2014 19:00,9.373,,,,
87,10/8/2014 21:00,8.581,,,,
88,10/8/2014 23:00,7.882,,,,
89,10/9/2014 1:00,7.381,,,,
90,10/9/2014 3:00,6.978,,,,
91,10/9/2014 5:00,6.674,,,,
92,10/9/2014 7:00,6.37,,,,
93,10/9/2014 9:00,6.471,,,,
94,10/9/2014 11:00,7.682,,,,
95,10/9/2014 13:00,9.768,,,,
96,10/9/2014 15:00,9.965,,,,
97,10/9/2014 17:00,9.571,,,,
98,10/9/2014 19:00,8.978,,,,
99,10/9/2014 21:00,8.082,,,,
100,10/9/2014 23:00,7.582,,,,
101,10/10/2014 1:00,7.179,,,,
102,10/10/2014 3:00,6.674,,,,
103,10/10/2014 5:00,6.268,,,,
104,10/10/2014 7:00,5.86,,,,
105,10/10/2014 9:00,5.86,,,,
106,10/10/2014 11:00,7.28,,,,
107,10/10/2014 13:00,9.373,,,,
108,10/10/2014 15:00,9.866,,,,
109,10/10/2014 17:00,9.866,,,,
110,10/10/2014 19:00,9.077,,,,
111,10/10/2014 21:00,8.282,,,,
112,10/10/2014 23:00,7.782,,,,
113,10/11/2014 1:00,7.481,,,,
114,10/11/2014 3:00,7.381,,,,
115,10/11/2014 5:00,7.481,,,,
116,10/11/2014 7:00,7.079,,,,
117,10/11/2014 9:00,6.37,,,,
118,10/11/2014 11:00,6.978,,,,
119,10/11/2014 13:00,7.682,,,,
120,10/11/2014 15:00,7.28,,,,
121,10/11/2014 17:00,6.674,,,,
122,10/11/2014 19:00,6.471,,,,
123,10/11/2014 21:00,5.45,,,,
124,10/11/2014 23:00,4.415,,,,
125,10/12/2014 1:00,4.415,,,,
126,10/12/2014 3:00,4.519,,,,
127,10/12/2014 5:00,4.727,,,,
128,10/12/2014 7:00,4.727,,,,
129,10/12/2014 9:00,4.727,,,,
130,10/12/2014 11:00,5.86,,,,
131,10/12/2014 13:00,7.381,,,,
132,10/12/2014 15:00,8.082,,,,
133,10/12/2014 17:00,7.983,,,,
134,10/12/2014 19:00,7.381,,,,
135,10/12/2014 21:00,6.877,,,,
136,10/12/2014 23:00,6.471,,,,
137,10/13/2014 1:00,6.37,,,,
138,10/13/2014 3:00,6.166,,,,
139,10/13/2014 5:00,5.86,,,,
140,10/13/2014 7:00,5.552,,,,
141,10/13/2014 9:00,5.757,,,,
142,10/13/2014 11:00,6.573,,,,
143,10/13/2014 13:00,7.983,,,,
144,10/13/2014 15:00,8.382,,,,
145,10/13/2014 17:00,8.182,,,,
146,10/13/2014 19:00,7.882,,,,
147,10/13/2014 21:00,7.782,,,,
148,10/13/2014 23:00,7.582,,,,
149,10/14/2014 1:00,7.381,,,,
150,10/14/2014 3:00,6.471,,,,
151,10/14/2014 5:00,5.86,,,,
152,10/14/2014 7:00,5.552,,,,
153,10/14/2014 9:00,5.45,,,,
154,10/14/2014 11:00,6.064,,,,
155,10/14/2014 13:00,7.381,,,,
156,10/14/2014 15:00,8.082,,,,
157,10/14/2014 17:00,7.882,,,,
158,10/14/2014 19:00,7.381,,,,
159,10/14/2014 21:00,6.775,,,,
160,10/14/2014 23:00,6.471,,,,
161,10/15/2014 1:00,6.166,,,,
162,10/15/2014 3:00,5.86,,,,
163,10/15/2014 5:00,5.655,,,,
164,10/15/2014 7:00,5.141,,,,
165,10/15/2014 9:00,4.727,,,,
166,10/15/2014 11:00,4.311,,,,
167,10/15/2014 13:00,3.049,,,,
168,10/15/2014 15:00,2.73,,,,
169,10/15/2014 17:00,3.049,,,,
170,10/15/2014 19:00,3.155,,,,
171,10/15/2014 21:00,3.261,,,,
172,10/15/2014 23:00,3.367,,,,
173,10/16/2014 1:00,3.472,,,,
174,10/16/2014 3:00,3.578,,,,
175,10/16/2014 5:00,3.578,,,,
176,10/16/2014 7:00,3.472,,,,
177,10/16/2014 9:00,3.578,,,,
178,10/16/2014 11:00,4.623,,,,
179,10/16/2014 13:00,5.347,,,,
180,10/16/2014 15:00,5.552,,,,
181,10/16/2014 17:00,5.244,,,,
182,10/16/2014 19:00,4.727,,,,
183,10/16/2014 21:00,4.102,,,,
184,10/16/2014 23:00,3.683,,,,
185,10/17/2014 1:00,3.578,,,,
186,10/17/2014 3:00,3.683,,,,
187,10/17/2014 5:00,3.893,,,,
188,10/17/2014 7:00,3.893,,,,
189,10/17/2014 9:00,3.998,,,,
190,10/17/2014 11:00,4.311,,,,
191,10/17/2014 13:00,4.934,,,,
192,10/17/2014 15:00,5.347,,,,
193,10/17/2014 17:00,5.552,,,,
194,10/17/2014 19:00,5.655,,,,
195,10/17/2014 21:00,5.655,,,,
196,10/17/2014 23:00,5.757,,,,
197,10/18/2014 1:00,5.86,,,,
198,10/18/2014 3:00,6.064,,,,
199,10/18/2014 5:00,6.064,,,,
200,10/18/2014 7:00,6.166,,,,
201,10/18/2014 9:00,6.166,,,,
202,10/18/2014 11:00,6.978,,,,
203,10/18/2014 13:00,7.983,,,,
204,10/18/2014 15:00,8.581,,,,
205,10/18/2014 17:00,8.282,,,,
206,10/18/2014 19:00,7.782,,,,
207,10/18/2014 21:00,6.978,,,,
