"Plot Title: MW-GlacierBasin-3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10195295, SEN S/N: 10195295)","Coupler Attached (LGR S/N: 10195295)","Host Connected (LGR S/N: 10195295)","Stopped (LGR S/N: 10195295)","End Of File (LGR S/N: 10195295)"
1,10/01/15 01:00:00 AM,9.768,,,,
2,10/01/15 03:00:00 AM,9.077,,,,
3,10/01/15 05:00:00 AM,8.581,,,,
4,10/01/15 07:00:00 AM,7.983,,,,
5,10/01/15 09:00:00 AM,13.942,,,,
6,10/01/15 11:00:00 AM,23.581,,,,
7,10/01/15 01:00:00 PM,22.046,,,,
8,10/01/15 03:00:00 PM,26.977,,,,
9,10/01/15 05:00:00 PM,17.284,,,,
10,10/01/15 07:00:00 PM,13.846,,,,
11,10/01/15 09:00:00 PM,11.819,,,,
12,10/01/15 11:00:00 PM,10.553,,,,
13,10/02/15 01:00:00 AM,9.571,,,,
14,10/02/15 03:00:00 AM,8.879,,,,
15,10/02/15 05:00:00 AM,8.581,,,,
16,10/02/15 07:00:00 AM,8.082,,,,
17,10/02/15 09:00:00 AM,10.748,,,,
18,10/02/15 11:00:00 AM,15.187,,,,
19,10/02/15 01:00:00 PM,14.900,,,,
20,10/02/15 03:00:00 PM,22.429,,,,
21,10/02/15 05:00:00 PM,13.846,,,,
22,10/02/15 07:00:00 PM,11.334,,,,
23,10/02/15 09:00:00 PM,9.275,,,,
24,10/02/15 11:00:00 PM,9.275,,,,
25,10/03/15 01:00:00 AM,8.382,,,,
26,10/03/15 03:00:00 AM,7.882,,,,
27,10/03/15 05:00:00 AM,7.682,,,,
28,10/03/15 07:00:00 AM,7.179,,,,
29,10/03/15 09:00:00 AM,9.373,,,,
30,10/03/15 11:00:00 AM,17.379,,,,
31,10/03/15 01:00:00 PM,17.950,,,,
32,10/03/15 03:00:00 PM,22.621,,,,
33,10/03/15 05:00:00 PM,13.558,,,,
34,10/03/15 07:00:00 PM,10.455,,,,
35,10/03/15 09:00:00 PM,9.077,,,,
36,10/03/15 11:00:00 PM,8.282,,,,
37,10/04/15 01:00:00 AM,7.682,,,,
38,10/04/15 03:00:00 AM,7.179,,,,
39,10/04/15 05:00:00 AM,6.573,,,,
40,10/04/15 07:00:00 AM,6.166,,,,
41,10/04/15 09:00:00 AM,10.063,,,,
42,10/04/15 11:00:00 AM,19.282,,,,
43,10/04/15 01:00:00 PM,18.140,,,,
44,10/04/15 03:00:00 PM,22.908,,,,
45,10/04/15 05:00:00 PM,14.134,,,,
46,10/04/15 07:00:00 PM,11.236,,,,
47,10/04/15 09:00:00 PM,9.571,,,,
48,10/04/15 11:00:00 PM,8.680,,,,
49,10/05/15 01:00:00 AM,7.882,,,,
50,10/05/15 03:00:00 AM,7.280,,,,
51,10/05/15 05:00:00 AM,6.573,,,,
52,10/05/15 07:00:00 AM,6.166,,,,
53,10/05/15 09:00:00 AM,9.768,,,,
54,10/05/15 11:00:00 AM,21.951,,,,
55,10/05/15 01:00:00 PM,19.662,,,,
56,10/05/15 03:00:00 PM,23.196,,,,
57,10/05/15 05:00:00 PM,15.951,,,,
58,10/05/15 07:00:00 PM,12.497,,,,
59,10/05/15 09:00:00 PM,10.748,,,,
60,10/05/15 11:00:00 PM,9.768,,,,
