"Plot Title: MW-RL-10"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10620912, SEN S/N: 10620912)","Coupler Attached (LGR S/N: 10620912)","Host Connected (LGR S/N: 10620912)","Stopped (LGR S/N: 10620912)","End Of File (LGR S/N: 10620912)"
1,10/13/15 01:00:00 AM,7.782,,,,
2,10/13/15 03:00:00 AM,6.877,,,,
3,10/13/15 05:00:00 AM,7.280,,,,
4,10/13/15 07:00:00 AM,7.280,,,,
5,10/13/15 09:00:00 AM,6.877,,,,
6,10/13/15 11:00:00 AM,9.768,,,,
7,10/13/15 01:00:00 PM,11.431,,,,
8,10/13/15 03:00:00 PM,14.325,,,,
9,10/13/15 05:00:00 PM,11.528,,,,
10,10/13/15 07:00:00 PM,8.978,,,,
11,10/13/15 09:00:00 PM,6.471,,,,
12,10/13/15 11:00:00 PM,5.141,,,,
13,10/14/15 01:00:00 AM,3.998,,,,
14,10/14/15 03:00:00 AM,3.261,,,,
15,10/14/15 05:00:00 AM,2.837,,,,
16,10/14/15 07:00:00 AM,2.517,,,,
17,10/14/15 09:00:00 AM,2.730,,,,
18,10/14/15 11:00:00 AM,3.998,,,,
19,10/14/15 01:00:00 PM,5.244,,,,
20,10/14/15 03:00:00 PM,9.965,,,,
21,10/14/15 05:00:00 PM,8.978,,,,
22,10/14/15 07:00:00 PM,6.775,,,,
23,10/14/15 09:00:00 PM,5.552,,,,
24,10/14/15 11:00:00 PM,4.831,,,,
25,10/15/15 01:00:00 AM,4.311,,,,
26,10/15/15 03:00:00 AM,3.683,,,,
27,10/15/15 05:00:00 AM,3.155,,,,
28,10/15/15 07:00:00 AM,2.943,,,,
29,10/15/15 09:00:00 AM,3.998,,,,
30,10/15/15 11:00:00 AM,5.244,,,,
31,10/15/15 01:00:00 PM,6.166,,,,
32,10/15/15 03:00:00 PM,10.553,,,,
33,10/15/15 05:00:00 PM,9.866,,,,
34,10/15/15 07:00:00 PM,8.082,,,,
35,10/15/15 09:00:00 PM,6.674,,,,
36,10/15/15 11:00:00 PM,5.962,,,,
37,10/16/15 01:00:00 AM,5.450,,,,
38,10/16/15 03:00:00 AM,5.244,,,,
39,10/16/15 05:00:00 AM,5.655,,,,
40,10/16/15 07:00:00 AM,6.064,,,,
41,10/16/15 09:00:00 AM,6.166,,,,
42,10/16/15 11:00:00 AM,7.582,,,,
43,10/16/15 01:00:00 PM,9.275,,,,
44,10/16/15 03:00:00 PM,13.750,,,,
45,10/16/15 05:00:00 PM,12.594,,,,
46,10/16/15 07:00:00 PM,10.259,,,,
47,10/16/15 09:00:00 PM,9.768,,,,
48,10/16/15 11:00:00 PM,9.275,,,,
49,10/17/15 01:00:00 AM,8.978,,,,
50,10/17/15 03:00:00 AM,8.779,,,,
51,10/17/15 05:00:00 AM,8.680,,,,
52,10/17/15 07:00:00 AM,8.382,,,,
53,10/17/15 09:00:00 AM,8.680,,,,
54,10/17/15 11:00:00 AM,10.553,,,,
55,10/17/15 01:00:00 PM,12.207,,,,
56,10/17/15 03:00:00 PM,12.787,,,,
57,10/17/15 05:00:00 PM,11.041,,,,
58,10/17/15 07:00:00 PM,9.571,,,,
59,10/17/15 09:00:00 PM,8.779,,,,
60,10/17/15 11:00:00 PM,8.680,,,,
61,10/18/15 01:00:00 AM,8.382,,,,
62,10/18/15 03:00:00 AM,7.983,,,,
63,10/18/15 05:00:00 AM,7.381,,,,
64,10/18/15 07:00:00 AM,7.280,,,,
65,10/18/15 09:00:00 AM,7.280,,,,
66,10/18/15 11:00:00 AM,8.382,,,,
67,10/18/15 01:00:00 PM,9.472,,,,
68,10/18/15 03:00:00 PM,9.669,,,,
69,10/18/15 05:00:00 PM,9.077,,,,
70,10/18/15 07:00:00 PM,8.282,,,,
71,10/18/15 09:00:00 PM,7.983,,,,
72,10/18/15 11:00:00 PM,7.782,,,,
73,10/19/15 01:00:00 AM,7.582,,,,
74,10/19/15 03:00:00 AM,7.481,,,,
75,10/19/15 05:00:00 AM,7.381,,,,
76,10/19/15 07:00:00 AM,7.280,,,,
77,10/19/15 09:00:00 AM,7.381,,,,
78,10/19/15 11:00:00 AM,8.481,,,,
79,10/19/15 01:00:00 PM,10.259,,,,
80,10/19/15 03:00:00 PM,11.819,,,,
81,10/19/15 05:00:00 PM,10.161,,,,
82,10/19/15 07:00:00 PM,8.779,,,,
83,10/19/15 09:00:00 PM,7.782,,,,
84,10/19/15 11:00:00 PM,7.582,,,,
85,10/20/15 01:00:00 AM,7.381,,,,
86,10/20/15 03:00:00 AM,7.179,,,,
87,10/20/15 05:00:00 AM,6.877,,,,
88,10/20/15 07:00:00 AM,6.573,,,,
89,10/20/15 09:00:00 AM,6.775,,,,
90,10/20/15 11:00:00 AM,8.382,,,,
91,10/20/15 01:00:00 PM,10.357,,,,
92,10/20/15 03:00:00 PM,11.819,,,,
93,10/20/15 05:00:00 PM,9.373,,,,
94,10/20/15 07:00:00 PM,6.978,,,,
95,10/20/15 09:00:00 PM,5.552,,,,
