"Plot Title: MW-RL-4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10620906, SEN S/N: 10620906)","Coupler Attached (LGR S/N: 10620906)","Host Connected (LGR S/N: 10620906)","Coupler Detached (LGR S/N: 10620906)","Stopped (LGR S/N: 10620906)","End Of File (LGR S/N: 10620906)"
1,10/13/15 01:00:00 AM,8.282,,,,,
2,10/13/15 03:00:00 AM,7.079,,,,,
3,10/13/15 05:00:00 AM,7.582,,,,,
4,10/13/15 07:00:00 AM,7.280,,,,,
5,10/13/15 09:00:00 AM,7.381,,,,,
6,10/13/15 11:00:00 AM,11.236,,,,,
7,10/13/15 01:00:00 PM,11.431,,,,,
8,10/13/15 03:00:00 PM,13.173,,,,,
9,10/13/15 05:00:00 PM,10.063,,,,,
10,10/13/15 07:00:00 PM,8.581,,,,,
11,10/13/15 09:00:00 PM,4.934,,,,,
12,10/13/15 11:00:00 PM,3.578,,,,,
13,10/14/15 01:00:00 AM,2.943,,,,,
14,10/14/15 03:00:00 AM,2.303,,,,,
15,10/14/15 05:00:00 AM,1.872,,,,,
16,10/14/15 07:00:00 AM,1.439,,,,,
17,10/14/15 09:00:00 AM,1.439,,,,,
18,10/14/15 11:00:00 AM,10.357,,,,,
19,10/14/15 01:00:00 PM,16.523,,,,,
20,10/14/15 03:00:00 PM,11.041,,,,,
21,10/14/15 05:00:00 PM,8.978,,,,,
22,10/14/15 07:00:00 PM,6.471,,,,,
23,10/14/15 09:00:00 PM,5.347,,,,,
24,10/14/15 11:00:00 PM,4.831,,,,,
25,10/15/15 01:00:00 AM,4.311,,,,,
26,10/15/15 03:00:00 AM,3.788,,,,,
27,10/15/15 05:00:00 AM,3.367,,,,,
28,10/15/15 07:00:00 AM,3.261,,,,,
29,10/15/15 09:00:00 AM,4.831,,,,,
30,10/15/15 11:00:00 AM,10.748,,,,,
31,10/15/15 01:00:00 PM,16.523,,,,,
32,10/15/15 03:00:00 PM,11.819,,,,,
33,10/15/15 05:00:00 PM,10.063,,,,,
34,10/15/15 07:00:00 PM,8.082,,,,,
35,10/15/15 09:00:00 PM,6.674,,,,,
36,10/15/15 11:00:00 PM,5.655,,,,,
37,10/16/15 01:00:00 AM,4.934,,,,,
38,10/16/15 03:00:00 AM,4.831,,,,,
39,10/16/15 05:00:00 AM,4.831,,,,,
40,10/16/15 07:00:00 AM,5.347,,,,,
41,10/16/15 09:00:00 AM,6.064,,,,,
42,10/16/15 11:00:00 AM,15.760,,,,,
