"Plot Title: MW-RL-2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10189827, SEN S/N: 10189827)","Coupler Attached (LGR S/N: 10189827)","Host Connected (LGR S/N: 10189827)","Stopped (LGR S/N: 10189827)","End Of File (LGR S/N: 10189827)"
1,10/13/15 01:00:00 AM,7.582,,,,
2,10/13/15 03:00:00 AM,6.877,,,,
3,10/13/15 05:00:00 AM,7.179,,,,
4,10/13/15 07:00:00 AM,7.179,,,,
5,10/13/15 09:00:00 AM,7.079,,,,
6,10/13/15 11:00:00 AM,9.669,,,,
7,10/13/15 01:00:00 PM,10.259,,,,
8,10/13/15 03:00:00 PM,10.553,,,,
9,10/13/15 05:00:00 PM,9.373,,,,
10,10/13/15 07:00:00 PM,8.282,,,,
11,10/13/15 09:00:00 PM,6.573,,,,
12,10/13/15 11:00:00 PM,5.655,,,,
13,10/14/15 01:00:00 AM,4.831,,,,
14,10/14/15 03:00:00 AM,4.207,,,,
15,10/14/15 05:00:00 AM,3.788,,,,
16,10/14/15 07:00:00 AM,3.472,,,,
17,10/14/15 09:00:00 AM,3.893,,,,
18,10/14/15 11:00:00 AM,5.244,,,,
19,10/14/15 01:00:00 PM,6.268,,,,
20,10/14/15 03:00:00 PM,7.179,,,,
21,10/14/15 05:00:00 PM,7.280,,,,
22,10/14/15 07:00:00 PM,6.370,,,,
23,10/14/15 09:00:00 PM,5.757,,,,
24,10/14/15 11:00:00 PM,5.552,,,,
25,10/15/15 01:00:00 AM,5.244,,,,
26,10/15/15 03:00:00 AM,4.934,,,,
27,10/15/15 05:00:00 AM,4.623,,,,
28,10/15/15 07:00:00 AM,4.519,,,,
29,10/15/15 09:00:00 AM,5.347,,,,
30,10/15/15 11:00:00 AM,6.166,,,,
31,10/15/15 01:00:00 PM,7.079,,,,
32,10/15/15 03:00:00 PM,7.882,,,,
33,10/15/15 05:00:00 PM,7.983,,,,
34,10/15/15 07:00:00 PM,7.381,,,,
35,10/15/15 09:00:00 PM,6.573,,,,
36,10/15/15 11:00:00 PM,6.064,,,,
37,10/16/15 01:00:00 AM,5.655,,,,
38,10/16/15 03:00:00 AM,5.552,,,,
39,10/16/15 05:00:00 AM,5.860,,,,
40,10/16/15 07:00:00 AM,6.166,,,,
41,10/16/15 09:00:00 AM,6.370,,,,
42,10/16/15 11:00:00 AM,8.182,,,,
43,10/16/15 01:00:00 PM,9.373,,,,
44,10/16/15 03:00:00 PM,10.455,,,,
45,10/16/15 05:00:00 PM,10.259,,,,
46,10/16/15 07:00:00 PM,9.176,,,,
47,10/16/15 09:00:00 PM,8.879,,,,
48,10/16/15 11:00:00 PM,8.680,,,,
49,10/17/15 01:00:00 AM,8.282,,,,
50,10/17/15 03:00:00 AM,8.182,,,,
51,10/17/15 05:00:00 AM,8.082,,,,
52,10/17/15 07:00:00 AM,7.882,,,,
53,10/17/15 09:00:00 AM,8.182,,,,
54,10/17/15 11:00:00 AM,9.669,,,,
55,10/17/15 01:00:00 PM,10.748,,,,
56,10/17/15 03:00:00 PM,10.651,,,,
57,10/17/15 05:00:00 PM,9.768,,,,
58,10/17/15 07:00:00 PM,8.879,,,,
59,10/17/15 09:00:00 PM,8.382,,,,
60,10/17/15 11:00:00 PM,8.282,,,,
61,10/18/15 01:00:00 AM,8.082,,,,
62,10/18/15 03:00:00 AM,7.782,,,,
63,10/18/15 05:00:00 AM,7.280,,,,
64,10/18/15 07:00:00 AM,7.280,,,,
65,10/18/15 09:00:00 AM,7.280,,,,
