"Plot Title: GB-15"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10182432, SEN S/N: 10182432, LBL: TEMPERATURE)","Coupler Attached (LGR S/N: 10182432)","Host Connected (LGR S/N: 10182432)","Coupler Detached (LGR S/N: 10182432)","Stopped (LGR S/N: 10182432)","End Of File (LGR S/N: 10182432)"
1,10/17/16 01:00:00 PM,0.453,,,,,
2,10/17/16 03:00:00 PM,0.453,,,,,
3,10/17/16 05:00:00 PM,0.453,,,,,
4,10/17/16 07:00:00 PM,0.453,,,,,
5,10/17/16 09:00:00 PM,0.453,,,,,
6,10/17/16 11:00:00 PM,0.453,,,,,
7,10/18/16 01:00:00 AM,0.453,,,,,
8,10/18/16 03:00:00 AM,0.453,,,,,
9,10/18/16 05:00:00 AM,0.453,,,,,
10,10/18/16 07:00:00 AM,0.453,,,,,
11,10/18/16 09:00:00 AM,0.453,,,,,
12,10/18/16 11:00:00 AM,0.453,,,,,
13,10/18/16 01:00:00 PM,0.453,,,,,
14,10/18/16 03:00:00 PM,0.453,,,,,
15,10/18/16 05:00:00 PM,0.453,,,,,
16,10/18/16 07:00:00 PM,0.453,,,,,
17,10/18/16 09:00:00 PM,0.453,,,,,
18,10/18/16 11:00:00 PM,0.453,,,,,
19,10/19/16 01:00:00 AM,0.453,,,,,
20,10/19/16 03:00:00 AM,0.453,,,,,
21,10/19/16 05:00:00 AM,0.453,,,,,
22,10/19/16 07:00:00 AM,0.453,,,,,
23,10/19/16 09:00:00 AM,0.453,,,,,
24,10/19/16 11:00:00 AM,0.453,,,,,
25,10/19/16 01:00:00 PM,0.453,,,,,
26,10/19/16 03:00:00 PM,0.453,,,,,
27,10/19/16 05:00:00 PM,0.453,,,,,
28,10/19/16 07:00:00 PM,0.453,,,,,
29,10/19/16 09:00:00 PM,0.453,,,,,
30,10/19/16 11:00:00 PM,0.453,,,,,
31,10/20/16 01:00:00 AM,0.453,,,,,
32,10/20/16 03:00:00 AM,0.453,,,,,
33,10/20/16 05:00:00 AM,0.343,,,,,
34,10/20/16 07:00:00 AM,0.343,,,,,
35,10/20/16 09:00:00 AM,0.343,,,,,
36,10/20/16 11:00:00 AM,0.232,,,,,
37,10/20/16 01:00:00 PM,0.232,,,,,
38,10/20/16 03:00:00 PM,0.232,,,,,
39,10/20/16 05:00:00 PM,0.232,,,,,
40,10/20/16 07:00:00 PM,0.343,,,,,
41,10/20/16 09:00:00 PM,0.343,,,,,
42,10/20/16 11:00:00 PM,0.343,,,,,
43,10/21/16 01:00:00 AM,0.343,,,,,
44,10/21/16 03:00:00 AM,0.343,,,,,
45,10/21/16 05:00:00 AM,0.343,,,,,
46,10/21/16 07:00:00 AM,0.343,,,,,
47,10/21/16 09:00:00 AM,0.343,,,,,
48,10/21/16 11:00:00 AM,0.343,,,,,
49,10/21/16 01:00:00 PM,0.343,,,,,
50,10/21/16 03:00:00 PM,0.343,,,,,
51,10/21/16 05:00:00 PM,0.343,,,,,
52,10/21/16 07:00:00 PM,0.343,,,,,
53,10/21/16 09:00:00 PM,0.343,,,,,
54,10/21/16 11:00:00 PM,0.343,,,,,
55,10/22/16 01:00:00 AM,0.343,,,,,
56,10/22/16 03:00:00 AM,0.343,,,,,
57,10/22/16 05:00:00 AM,0.343,,,,,
58,10/22/16 07:00:00 AM,0.453,,,,,
59,10/22/16 09:00:00 AM,0.453,,,,,
60,10/22/16 11:00:00 AM,0.453,,,,,
61,10/22/16 01:00:00 PM,0.453,,,,,
62,10/22/16 03:00:00 PM,0.453,,,,,
63,10/22/16 05:00:00 PM,0.453,,,,,
64,10/22/16 07:00:00 PM,0.453,,,,,
65,10/22/16 09:00:00 PM,0.453,,,,,
66,10/22/16 11:00:00 PM,0.453,,,,,
67,10/23/16 01:00:00 AM,0.453,,,,,
68,10/23/16 03:00:00 AM,0.453,,,,,
69,10/23/16 05:00:00 AM,0.453,,,,,
70,10/23/16 07:00:00 AM,0.453,,,,,
71,10/23/16 09:00:00 AM,0.453,,,,,
72,10/23/16 11:00:00 AM,0.453,,,,,
73,10/23/16 01:00:00 PM,0.453,,,,,
74,10/23/16 03:00:00 PM,0.453,,,,,
75,10/23/16 05:00:00 PM,0.453,,,,,
76,10/23/16 07:00:00 PM,0.343,,,,,
77,10/23/16 09:00:00 PM,0.343,,,,,
78,10/23/16 11:00:00 PM,0.453,,,,,
79,10/24/16 01:00:00 AM,0.453,,,,,
80,10/24/16 03:00:00 AM,0.453,,,,,
81,10/24/16 05:00:00 AM,0.453,,,,,
82,10/24/16 07:00:00 AM,0.343,,,,,
83,10/24/16 09:00:00 AM,0.343,,,,,
84,10/24/16 11:00:00 AM,0.343,,,,,
85,10/24/16 01:00:00 PM,0.343,,,,,
86,10/24/16 03:00:00 PM,0.343,,,,,
87,10/24/16 05:00:00 PM,0.343,,,,,
88,10/24/16 07:00:00 PM,0.343,,,,,
89,10/24/16 09:00:00 PM,0.343,,,,,
90,10/24/16 11:00:00 PM,0.343,,,,,
91,10/25/16 01:00:00 AM,0.343,,,,,
