"Plot Title: GB-16"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10503812, SEN S/N: 10503812, LBL: TEMPERATURE)","End Of File (LGR S/N: 10503812)"
1,10/17/16 01:00:00 PM,1.656,
2,10/17/16 03:00:00 PM,1.656,
3,10/17/16 05:00:00 PM,1.656,
4,10/17/16 07:00:00 PM,1.656,
5,10/17/16 09:00:00 PM,1.548,
6,10/17/16 11:00:00 PM,1.548,
7,10/18/16 01:00:00 AM,1.548,
8,10/18/16 03:00:00 AM,1.548,
9,10/18/16 05:00:00 AM,1.548,
10,10/18/16 07:00:00 AM,1.548,
11,10/18/16 09:00:00 AM,1.548,
12,10/18/16 11:00:00 AM,1.548,
13,10/18/16 01:00:00 PM,1.548,
14,10/18/16 03:00:00 PM,1.548,
15,10/18/16 05:00:00 PM,1.548,
16,10/18/16 07:00:00 PM,1.548,
17,10/18/16 09:00:00 PM,1.548,
18,10/18/16 11:00:00 PM,1.548,
19,10/19/16 01:00:00 AM,1.548,
20,10/19/16 03:00:00 AM,1.439,
21,10/19/16 05:00:00 AM,1.439,
22,10/19/16 07:00:00 AM,1.439,
23,10/19/16 09:00:00 AM,1.439,
24,10/19/16 11:00:00 AM,1.439,
25,10/19/16 01:00:00 PM,1.439,
26,10/19/16 03:00:00 PM,1.439,
27,10/19/16 05:00:00 PM,1.439,
28,10/19/16 07:00:00 PM,1.439,
29,10/19/16 09:00:00 PM,1.439,
30,10/19/16 11:00:00 PM,1.439,
31,10/20/16 01:00:00 AM,1.439,
32,10/20/16 03:00:00 AM,1.439,
33,10/20/16 05:00:00 AM,1.330,
34,10/20/16 07:00:00 AM,1.330,
35,10/20/16 09:00:00 AM,1.330,
36,10/20/16 11:00:00 AM,1.330,
37,10/20/16 01:00:00 PM,1.221,
38,10/20/16 03:00:00 PM,1.221,
39,10/20/16 05:00:00 PM,1.221,
40,10/20/16 07:00:00 PM,1.221,
41,10/20/16 09:00:00 PM,1.221,
42,10/20/16 11:00:00 PM,1.221,
43,10/21/16 01:00:00 AM,1.221,
44,10/21/16 03:00:00 AM,1.221,
45,10/21/16 05:00:00 AM,1.221,
46,10/21/16 07:00:00 AM,1.221,
47,10/21/16 09:00:00 AM,1.221,
48,10/21/16 11:00:00 AM,1.221,
49,10/21/16 01:00:00 PM,1.221,
50,10/21/16 03:00:00 PM,1.221,
51,10/21/16 05:00:00 PM,1.221,
52,10/21/16 07:00:00 PM,1.221,
53,10/21/16 09:00:00 PM,1.221,
54,10/21/16 11:00:00 PM,1.221,
55,10/22/16 01:00:00 AM,1.221,
56,10/22/16 03:00:00 AM,1.221,
57,10/22/16 05:00:00 AM,1.221,
58,10/22/16 07:00:00 AM,1.221,
59,10/22/16 09:00:00 AM,1.221,
60,10/22/16 11:00:00 AM,1.221,
61,10/22/16 01:00:00 PM,1.330,
62,10/22/16 03:00:00 PM,1.330,
63,10/22/16 05:00:00 PM,1.221,
64,10/22/16 07:00:00 PM,1.330,
65,10/22/16 09:00:00 PM,1.221,
66,10/22/16 11:00:00 PM,1.221,
67,10/23/16 01:00:00 AM,1.221,
68,10/23/16 03:00:00 AM,1.221,
69,10/23/16 05:00:00 AM,1.221,
70,10/23/16 07:00:00 AM,1.221,
71,10/23/16 09:00:00 AM,1.221,
72,10/23/16 11:00:00 AM,1.221,
73,10/23/16 01:00:00 PM,1.221,
74,10/23/16 03:00:00 PM,1.221,
75,10/23/16 05:00:00 PM,1.221,
76,10/23/16 07:00:00 PM,1.221,
77,10/23/16 09:00:00 PM,1.221,
78,10/23/16 11:00:00 PM,1.221,
79,10/24/16 01:00:00 AM,1.221,
80,10/24/16 03:00:00 AM,1.221,
81,10/24/16 05:00:00 AM,1.221,
82,10/24/16 07:00:00 AM,1.112,
83,10/24/16 09:00:00 AM,1.221,
84,10/24/16 11:00:00 AM,1.221,
85,10/24/16 01:00:00 PM,1.221,
86,10/24/16 03:00:00 PM,1.112,
87,10/24/16 05:00:00 PM,1.112,
88,10/24/16 07:00:00 PM,1.112,
89,10/24/16 09:00:00 PM,1.112,
90,10/24/16 11:00:00 PM,1.112,
91,10/25/16 01:00:00 AM,1.112,
92,10/25/16 03:00:00 AM,1.112,
93,10/25/16 05:00:00 AM,1.112,
94,10/25/16 07:00:00 AM,1.112,
95,10/25/16 09:00:00 AM,1.112,
96,10/25/16 11:00:00 AM,1.112,
97,10/25/16 01:00:00 PM,1.112,
98,10/25/16 03:00:00 PM,1.112,
