"Plot Title: GB-16"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20173921, SEN S/N: 20173921)","Coupler Attached (LGR S/N: 20173921)","Host Connected (LGR S/N: 20173921)","Stopped (LGR S/N: 20173921)","End Of File (LGR S/N: 20173921)"
1,10/03/17 01:00:00 PM,9.768,,,,
2,10/03/17 03:00:00 PM,11.431,,,,
3,10/03/17 05:00:00 PM,8.282,,,,
4,10/03/17 07:00:00 PM,5.141,,,,
5,10/03/17 09:00:00 PM,3.367,,,,
6,10/03/17 11:00:00 PM,2.410,,,,
7,10/04/17 01:00:00 AM,1.872,,,,
8,10/04/17 03:00:00 AM,1.439,,,,
9,10/04/17 05:00:00 AM,1.112,,,,
10,10/04/17 07:00:00 AM,0.893,,,,
11,10/04/17 09:00:00 AM,0.784,,,,
12,10/04/17 11:00:00 AM,1.548,,,,
13,10/04/17 01:00:00 PM,9.275,,,,
14,10/04/17 03:00:00 PM,11.236,,,,
15,10/04/17 05:00:00 PM,8.282,,,,
16,10/04/17 07:00:00 PM,5.244,,,,
17,10/04/17 09:00:00 PM,3.578,,,,
18,10/04/17 11:00:00 PM,2.624,,,,
19,10/05/17 01:00:00 AM,2.088,,,,
20,10/05/17 03:00:00 AM,1.656,,,,
21,10/05/17 05:00:00 AM,1.221,,,,
22,10/05/17 07:00:00 AM,1.003,,,,
23,10/05/17 09:00:00 AM,0.893,,,,
24,10/05/17 11:00:00 AM,1.764,,,,
25,10/05/17 01:00:00 PM,10.161,,,,
26,10/05/17 03:00:00 PM,12.497,,,,
27,10/05/17 05:00:00 PM,9.275,,,,
28,10/05/17 07:00:00 PM,6.268,,,,
29,10/05/17 09:00:00 PM,4.415,,,,
30,10/05/17 11:00:00 PM,3.472,,,,
31,10/06/17 01:00:00 AM,2.837,,,,
32,10/06/17 03:00:00 AM,2.303,,,,
33,10/06/17 05:00:00 AM,1.872,,,,
34,10/06/17 07:00:00 AM,1.439,,,,
35,10/06/17 09:00:00 AM,1.439,,,,
36,10/06/17 11:00:00 AM,3.998,,,,
37,10/06/17 01:00:00 PM,10.259,,,,
38,10/06/17 03:00:00 PM,12.497,,,,
39,10/06/17 05:00:00 PM,8.282,,,,
40,10/06/17 07:00:00 PM,6.471,,,,
41,10/06/17 09:00:00 PM,5.757,,,,
42,10/06/17 11:00:00 PM,5.037,,,,
43,10/07/17 01:00:00 AM,4.207,,,,
44,10/07/17 03:00:00 AM,3.788,,,,
45,10/07/17 05:00:00 AM,2.730,,,,
46,10/07/17 07:00:00 AM,2.088,,,,
47,10/07/17 09:00:00 AM,1.764,,,,
48,10/07/17 11:00:00 AM,8.182,,,,
49,10/07/17 01:00:00 PM,4.623,,,,
50,10/07/17 03:00:00 PM,4.623,,,,
51,10/07/17 05:00:00 PM,3.261,,,,
52,10/07/17 07:00:00 PM,2.837,,,,
53,10/07/17 09:00:00 PM,2.624,,,,
54,10/07/17 11:00:00 PM,2.517,,,,
55,10/08/17 01:00:00 AM,2.410,,,,
56,10/08/17 03:00:00 AM,2.303,,,,
57,10/08/17 05:00:00 AM,2.195,,,,
58,10/08/17 07:00:00 AM,2.195,,,,
59,10/08/17 09:00:00 AM,2.195,,,,
60,10/08/17 11:00:00 AM,2.088,,,,
61,10/08/17 01:00:00 PM,2.088,,,,
62,10/08/17 03:00:00 PM,1.872,,,,
63,10/08/17 05:00:00 PM,1.656,,,,
64,10/08/17 07:00:00 PM,1.764,,,,
65,10/08/17 09:00:00 PM,1.656,,,,
66,10/08/17 11:00:00 PM,1.330,,,,
67,10/09/17 01:00:00 AM,1.112,,,,
68,10/09/17 03:00:00 AM,0.893,,,,
69,10/09/17 05:00:00 AM,0.784,,,,
70,10/09/17 07:00:00 AM,0.674,,,,
71,10/09/17 09:00:00 AM,0.563,,,,
72,10/09/17 11:00:00 AM,0.563,,,,
73,10/09/17 01:00:00 PM,0.453,,,,
74,10/09/17 03:00:00 PM,2.837,,,,
75,10/09/17 05:00:00 PM,2.730,,,,
76,10/09/17 07:00:00 PM,1.656,,,,
77,10/09/17 09:00:00 PM,1.221,,,,
78,10/09/17 11:00:00 PM,1.003,,,,
79,10/10/17 01:00:00 AM,0.893,,,,
80,10/10/17 03:00:00 AM,0.784,,,,
81,10/10/17 05:00:00 AM,0.674,,,,
82,10/10/17 07:00:00 AM,0.563,,,,
83,10/10/17 09:00:00 AM,0.563,,,,
84,10/10/17 11:00:00 AM,0.674,,,,
85,10/10/17 01:00:00 PM,4.519,,,,
86,10/10/17 03:00:00 PM,3.261,,,,
87,10/10/17 05:00:00 PM,2.624,,,,
88,10/10/17 07:00:00 PM,1.548,,,,
89,10/10/17 09:00:00 PM,1.112,,,,
90,10/10/17 11:00:00 PM,0.893,,,,
91,10/11/17 01:00:00 AM,0.674,,,,
92,10/11/17 03:00:00 AM,0.563,,,,
93,10/11/17 05:00:00 AM,0.453,,,,
94,10/11/17 07:00:00 AM,0.343,,,,
95,10/11/17 09:00:00 AM,0.343,,,,
96,10/11/17 11:00:00 AM,0.343,,,,
97,10/11/17 01:00:00 PM,0.343,,,,
98,10/11/17 03:00:00 PM,0.563,,,,
99,10/11/17 05:00:00 PM,0.784,,,,
100,10/11/17 07:00:00 PM,0.784,,,,
101,10/11/17 09:00:00 PM,0.674,,,,
102,10/11/17 11:00:00 PM,0.674,,,,
103,10/12/17 01:00:00 AM,0.674,,,,
104,10/12/17 03:00:00 AM,0.563,,,,
105,10/12/17 05:00:00 AM,0.563,,,,
106,10/12/17 07:00:00 AM,0.563,,,,
107,10/12/17 09:00:00 AM,0.563,,,,
108,10/12/17 11:00:00 AM,0.563,,,,
109,10/12/17 01:00:00 PM,0.563,,,,
110,10/12/17 03:00:00 PM,0.563,,,,
111,10/12/17 05:00:00 PM,0.563,,,,
112,10/12/17 07:00:00 PM,0.674,,,,
113,10/12/17 09:00:00 PM,0.674,,,,
114,10/12/17 11:00:00 PM,0.674,,,,
115,10/13/17 01:00:00 AM,0.784,,,,
116,10/13/17 03:00:00 AM,0.784,,,,
117,10/13/17 05:00:00 AM,0.784,,,,
118,10/13/17 07:00:00 AM,0.784,,,,
119,10/13/17 09:00:00 AM,0.784,,,,
120,10/13/17 11:00:00 AM,0.893,,,,
121,10/13/17 01:00:00 PM,0.893,,,,
122,10/13/17 03:00:00 PM,0.893,,,,
123,10/13/17 05:00:00 PM,0.784,,,,
124,10/13/17 07:00:00 PM,0.893,,,,
125,10/13/17 09:00:00 PM,0.893,,,,
126,10/13/17 11:00:00 PM,0.893,,,,
127,10/14/17 01:00:00 AM,0.893,,,,
128,10/14/17 03:00:00 AM,0.893,,,,
129,10/14/17 05:00:00 AM,0.893,,,,
130,10/14/17 07:00:00 AM,0.893,,,,
131,10/14/17 09:00:00 AM,0.893,,,,
132,10/14/17 11:00:00 AM,0.893,,,,
133,10/14/17 01:00:00 PM,0.893,,,,
134,10/14/17 03:00:00 PM,0.784,,,,
135,10/14/17 05:00:00 PM,0.784,,,,
136,10/14/17 07:00:00 PM,0.784,,,,
137,10/14/17 09:00:00 PM,0.784,,,,
138,10/14/17 11:00:00 PM,0.893,,,,
139,10/15/17 01:00:00 AM,0.893,,,,
140,10/15/17 03:00:00 AM,0.893,,,,
141,10/15/17 05:00:00 AM,0.893,,,,
142,10/15/17 07:00:00 AM,0.784,,,,
143,10/15/17 09:00:00 AM,0.784,,,,
144,10/15/17 11:00:00 AM,0.893,,,,
145,10/15/17 01:00:00 PM,0.893,,,,
146,10/15/17 03:00:00 PM,0.893,,,,
147,10/15/17 05:00:00 PM,0.784,,,,
148,10/15/17 07:00:00 PM,0.784,,,,
149,10/15/17 09:00:00 PM,0.784,,,,
150,10/15/17 11:00:00 PM,0.784,,,,
151,10/16/17 01:00:00 AM,0.674,,,,
152,10/16/17 03:00:00 AM,0.563,,,,
153,10/16/17 05:00:00 AM,0.453,,,,
154,10/16/17 07:00:00 AM,0.453,,,,
155,10/16/17 09:00:00 AM,0.453,,,,
156,10/16/17 11:00:00 AM,0.343,,,,
157,10/16/17 01:00:00 PM,0.453,,,,
158,10/16/17 03:00:00 PM,6.573,,,,
159,10/16/17 05:00:00 PM,3.261,,,,
160,10/16/17 07:00:00 PM,1.656,,,,
161,10/16/17 09:00:00 PM,1.112,,,,
162,10/16/17 11:00:00 PM,0.893,,,,
163,10/17/17 01:00:00 AM,0.784,,,,
164,10/17/17 03:00:00 AM,0.563,,,,
165,10/17/17 05:00:00 AM,0.563,,,,
166,10/17/17 07:00:00 AM,0.453,,,,
167,10/17/17 09:00:00 AM,0.453,,,,
168,10/17/17 11:00:00 AM,1.764,,,,
169,10/17/17 01:00:00 PM,3.472,,,,
170,10/17/17 03:00:00 PM,3.788,,,,
171,10/17/17 05:00:00 PM,1.330,,,,
172,10/17/17 07:00:00 PM,0.893,,,,
173,10/17/17 09:00:00 PM,0.563,,,,
174,10/17/17 11:00:00 PM,0.453,,,,
