"Plot Title: GB-2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20173940, SEN S/N: 20173940)","Host Connected (LGR S/N: 20173940)","Coupler Attached (LGR S/N: 20173940)","Stopped (LGR S/N: 20173940)","End Of File (LGR S/N: 20173940)"
1,10/01/17 01:00:00 PM,8.082,,,,
2,10/01/17 03:00:00 PM,8.182,,,,
3,10/01/17 05:00:00 PM,7.882,,,,
4,10/01/17 07:00:00 PM,6.471,,,,
5,10/01/17 09:00:00 PM,5.757,,,,
6,10/01/17 11:00:00 PM,5.141,,,,
7,10/02/17 01:00:00 AM,4.727,,,,
8,10/02/17 03:00:00 AM,4.415,,,,
9,10/02/17 05:00:00 AM,3.998,,,,
10,10/02/17 07:00:00 AM,3.683,,,,
11,10/02/17 09:00:00 AM,3.998,,,,
12,10/02/17 11:00:00 AM,5.757,,,,
13,10/02/17 01:00:00 PM,7.882,,,,
14,10/02/17 03:00:00 PM,7.682,,,,
15,10/02/17 05:00:00 PM,7.582,,,,
16,10/02/17 07:00:00 PM,6.166,,,,
17,10/02/17 09:00:00 PM,5.037,,,,
18,10/02/17 11:00:00 PM,4.415,,,,
19,10/03/17 01:00:00 AM,3.998,,,,
20,10/03/17 03:00:00 AM,3.683,,,,
21,10/03/17 05:00:00 AM,3.367,,,,
22,10/03/17 07:00:00 AM,3.155,,,,
23,10/03/17 09:00:00 AM,3.472,,,,
24,10/03/17 11:00:00 AM,5.860,,,,
25,10/03/17 01:00:00 PM,8.481,,,,
26,10/03/17 03:00:00 PM,8.879,,,,
27,10/03/17 05:00:00 PM,8.082,,,,
28,10/03/17 07:00:00 PM,6.674,,,,
29,10/03/17 09:00:00 PM,5.552,,,,
30,10/03/17 11:00:00 PM,4.831,,,,
31,10/04/17 01:00:00 AM,4.207,,,,
32,10/04/17 03:00:00 AM,3.683,,,,
33,10/04/17 05:00:00 AM,3.367,,,,
34,10/04/17 07:00:00 AM,3.155,,,,
35,10/04/17 09:00:00 AM,3.472,,,,
36,10/04/17 11:00:00 AM,6.166,,,,
37,10/04/17 01:00:00 PM,8.680,,,,
38,10/04/17 03:00:00 PM,9.373,,,,
39,10/04/17 05:00:00 PM,8.581,,,,
40,10/04/17 07:00:00 PM,7.179,,,,
41,10/04/17 09:00:00 PM,6.064,,,,
42,10/04/17 11:00:00 PM,5.244,,,,
43,10/05/17 01:00:00 AM,4.623,,,,
44,10/05/17 03:00:00 AM,4.102,,,,
45,10/05/17 05:00:00 AM,3.788,,,,
46,10/05/17 07:00:00 AM,3.472,,,,
47,10/05/17 09:00:00 AM,3.788,,,,
48,10/05/17 11:00:00 AM,6.370,,,,
49,10/05/17 01:00:00 PM,9.373,,,,
50,10/05/17 03:00:00 PM,10.063,,,,
51,10/05/17 05:00:00 PM,9.275,,,,
52,10/05/17 07:00:00 PM,7.782,,,,
53,10/05/17 09:00:00 PM,6.775,,,,
54,10/05/17 11:00:00 PM,5.962,,,,
55,10/06/17 01:00:00 AM,5.347,,,,
56,10/06/17 03:00:00 AM,4.727,,,,
57,10/06/17 05:00:00 AM,4.311,,,,
58,10/06/17 07:00:00 AM,3.893,,,,
59,10/06/17 09:00:00 AM,4.415,,,,
60,10/06/17 11:00:00 AM,6.573,,,,
61,10/06/17 01:00:00 PM,9.472,,,,
62,10/06/17 03:00:00 PM,9.669,,,,
