"Plot Title: GB-3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10510840, SEN S/N: 10510840)","End Of File (LGR S/N: 10510840)"
1,10/17/16 01:00:00 PM,1.548,
2,10/17/16 03:00:00 PM,2.303,
3,10/17/16 05:00:00 PM,4.207,
4,10/17/16 07:00:00 PM,3.367,
5,10/17/16 09:00:00 PM,2.303,
6,10/17/16 11:00:00 PM,2.195,
7,10/18/16 01:00:00 AM,1.872,
8,10/18/16 03:00:00 AM,1.656,
9,10/18/16 05:00:00 AM,1.548,
10,10/18/16 07:00:00 AM,1.548,
11,10/18/16 09:00:00 AM,1.548,
12,10/18/16 11:00:00 AM,2.517,
13,10/18/16 01:00:00 PM,7.481,
14,10/18/16 03:00:00 PM,7.280,
15,10/18/16 05:00:00 PM,6.370,
16,10/18/16 07:00:00 PM,4.519,
17,10/18/16 09:00:00 PM,2.943,
18,10/18/16 11:00:00 PM,2.303,
19,10/19/16 01:00:00 AM,1.764,
20,10/19/16 03:00:00 AM,1.548,
21,10/19/16 05:00:00 AM,1.330,
22,10/19/16 07:00:00 AM,1.221,
23,10/19/16 09:00:00 AM,1.003,
24,10/19/16 11:00:00 AM,6.064,
25,10/19/16 01:00:00 PM,12.207,
26,10/19/16 03:00:00 PM,11.916,
27,10/19/16 05:00:00 PM,8.978,
28,10/19/16 07:00:00 PM,6.370,
29,10/19/16 09:00:00 PM,4.519,
30,10/19/16 11:00:00 PM,3.578,
31,10/20/16 01:00:00 AM,3.367,
32,10/20/16 03:00:00 AM,3.578,
33,10/20/16 05:00:00 AM,3.893,
34,10/20/16 07:00:00 AM,4.311,
35,10/20/16 09:00:00 AM,4.934,
36,10/20/16 11:00:00 AM,6.370,
37,10/20/16 01:00:00 PM,7.381,
38,10/20/16 03:00:00 PM,9.077,
39,10/20/16 05:00:00 PM,5.962,
40,10/20/16 07:00:00 PM,4.415,
41,10/20/16 09:00:00 PM,3.683,
42,10/20/16 11:00:00 PM,2.730,
43,10/21/16 01:00:00 AM,2.303,
44,10/21/16 03:00:00 AM,1.872,
45,10/21/16 05:00:00 AM,1.656,
46,10/21/16 07:00:00 AM,1.548,
47,10/21/16 09:00:00 AM,1.548,
48,10/21/16 11:00:00 AM,3.893,
49,10/21/16 01:00:00 PM,8.779,
50,10/21/16 03:00:00 PM,10.063,
51,10/21/16 05:00:00 PM,7.381,
52,10/21/16 07:00:00 PM,5.450,
