"Plot Title: GB-5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20173889, SEN S/N: 20173889)","Coupler Attached (LGR S/N: 20173889)","Host Connected (LGR S/N: 20173889)","End Of File (LGR S/N: 20173889)"
1,10/02/17 01:00:00 PM,5.552,,,
2,10/02/17 03:00:00 PM,6.166,,,
3,10/02/17 05:00:00 PM,5.962,,,
4,10/02/17 07:00:00 PM,5.244,,,
5,10/02/17 09:00:00 PM,4.102,,,
6,10/02/17 11:00:00 PM,3.367,,,
7,10/03/17 01:00:00 AM,3.049,,,
8,10/03/17 03:00:00 AM,2.837,,,
9,10/03/17 05:00:00 AM,2.624,,,
10,10/03/17 07:00:00 AM,2.517,,,
11,10/03/17 09:00:00 AM,2.730,,,
12,10/03/17 11:00:00 AM,3.788,,,
13,10/03/17 01:00:00 PM,6.573,,,
14,10/03/17 03:00:00 PM,8.182,,,
15,10/03/17 05:00:00 PM,7.179,,,
16,10/03/17 07:00:00 PM,5.655,,,
17,10/03/17 09:00:00 PM,4.311,,,
18,10/03/17 11:00:00 PM,3.683,,,
19,10/04/17 01:00:00 AM,3.155,,,
20,10/04/17 03:00:00 AM,2.837,,,
21,10/04/17 05:00:00 AM,2.517,,,
22,10/04/17 07:00:00 AM,2.303,,,
23,10/04/17 09:00:00 AM,2.730,,,
24,10/04/17 11:00:00 AM,4.102,,,
25,10/04/17 01:00:00 PM,7.381,,,
26,10/04/17 03:00:00 PM,8.879,,,
27,10/04/17 05:00:00 PM,7.882,,,
28,10/04/17 07:00:00 PM,6.268,,,
29,10/04/17 09:00:00 PM,5.037,,,
30,10/04/17 11:00:00 PM,4.207,,,
31,10/05/17 01:00:00 AM,3.788,,,
32,10/05/17 03:00:00 AM,3.367,,,
33,10/05/17 05:00:00 AM,3.049,,,
34,10/05/17 07:00:00 AM,3.049,,,
35,10/05/17 09:00:00 AM,3.155,,,
36,10/05/17 11:00:00 AM,4.415,,,
37,10/05/17 01:00:00 PM,8.182,,,
