"Plot Title: RL-1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20173918, SEN S/N: 20173918, LBL: C)","Host Connected (LGR S/N: 20173918)","Coupler Attached (LGR S/N: 20173918)","Coupler Detached (LGR S/N: 20173918)","Stopped (LGR S/N: 20173918)","End Of File (LGR S/N: 20173918)"
1,10/12/17 01:00:00 PM,1.221,,,,,
2,10/12/17 03:00:00 PM,1.112,,,,,
3,10/12/17 05:00:00 PM,1.112,,,,,
4,10/12/17 07:00:00 PM,1.221,,,,,
5,10/12/17 09:00:00 PM,1.112,,,,,
6,10/12/17 11:00:00 PM,1.112,,,,,
7,10/13/17 01:00:00 AM,1.112,,,,,
8,10/13/17 03:00:00 AM,1.112,,,,,
9,10/13/17 05:00:00 AM,1.112,,,,,
10,10/13/17 07:00:00 AM,1.112,,,,,
11,10/13/17 09:00:00 AM,1.112,,,,,
12,10/13/17 11:00:00 AM,1.112,,,,,
13,10/13/17 01:00:00 PM,1.112,,,,,
14,10/13/17 03:00:00 PM,1.112,,,,,
15,10/13/17 05:00:00 PM,1.112,,,,,
16,10/13/17 07:00:00 PM,1.112,,,,,
17,10/13/17 09:00:00 PM,1.112,,,,,
18,10/13/17 11:00:00 PM,1.221,,,,,
19,10/14/17 01:00:00 AM,1.221,,,,,
20,10/14/17 03:00:00 AM,1.221,,,,,
21,10/14/17 05:00:00 AM,1.112,,,,,
22,10/14/17 07:00:00 AM,1.112,,,,,
23,10/14/17 09:00:00 AM,1.221,,,,,
24,10/14/17 11:00:00 AM,1.221,,,,,
25,10/14/17 01:00:00 PM,1.221,,,,,
26,10/14/17 03:00:00 PM,1.221,,,,,
27,10/14/17 05:00:00 PM,1.221,,,,,
28,10/14/17 07:00:00 PM,1.221,,,,,
29,10/14/17 09:00:00 PM,1.221,,,,,
30,10/14/17 11:00:00 PM,1.221,,,,,
31,10/15/17 01:00:00 AM,1.221,,,,,
32,10/15/17 03:00:00 AM,1.221,,,,,
33,10/15/17 05:00:00 AM,1.221,,,,,
34,10/15/17 07:00:00 AM,1.221,,,,,
35,10/15/17 09:00:00 AM,1.221,,,,,
36,10/15/17 11:00:00 AM,1.221,,,,,
37,10/15/17 01:00:00 PM,1.221,,,,,
38,10/15/17 03:00:00 PM,1.221,,,,,
39,10/15/17 05:00:00 PM,1.221,,,,,
40,10/15/17 07:00:00 PM,1.221,,,,,
41,10/15/17 09:00:00 PM,1.221,,,,,
42,10/15/17 11:00:00 PM,1.221,,,,,
43,10/16/17 01:00:00 AM,1.221,,,,,
44,10/16/17 03:00:00 AM,1.221,,,,,
45,10/16/17 05:00:00 AM,1.221,,,,,
46,10/16/17 07:00:00 AM,1.221,,,,,
47,10/16/17 09:00:00 AM,1.221,,,,,
48,10/16/17 11:00:00 AM,1.221,,,,,
49,10/16/17 01:00:00 PM,1.221,,,,,
50,10/16/17 03:00:00 PM,1.221,,,,,
51,10/16/17 05:00:00 PM,1.221,,,,,
52,10/16/17 07:00:00 PM,1.221,,,,,
53,10/16/17 09:00:00 PM,1.221,,,,,
54,10/16/17 11:00:00 PM,1.221,,,,,
55,10/17/17 01:00:00 AM,1.221,,,,,
56,10/17/17 03:00:00 AM,1.221,,,,,
57,10/17/17 05:00:00 AM,1.221,,,,,
58,10/17/17 07:00:00 AM,1.221,,,,,
59,10/17/17 09:00:00 AM,1.221,,,,,
60,10/17/17 11:00:00 AM,1.221,,,,,
61,10/17/17 01:00:00 PM,1.003,,,,,
62,10/17/17 03:00:00 PM,1.003,,,,,
63,10/17/17 05:00:00 PM,1.112,,,,,
64,10/17/17 07:00:00 PM,1.112,,,,,
65,10/17/17 09:00:00 PM,1.221,,,,,
66,10/17/17 11:00:00 PM,1.221,,,,,
67,10/18/17 01:00:00 AM,1.221,,,,,
68,10/18/17 03:00:00 AM,1.221,,,,,
69,10/18/17 05:00:00 AM,1.221,,,,,
70,10/18/17 07:00:00 AM,1.221,,,,,
71,10/18/17 09:00:00 AM,1.221,,,,,
72,10/18/17 11:00:00 AM,1.112,,,,,
73,10/18/17 01:00:00 PM,1.003,,,,,
74,10/18/17 03:00:00 PM,0.893,,,,,
75,10/18/17 05:00:00 PM,1.003,,,,,
76,10/18/17 07:00:00 PM,0.893,,,,,
77,10/18/17 09:00:00 PM,1.003,,,,,
78,10/18/17 11:00:00 PM,1.003,,,,,
79,10/19/17 01:00:00 AM,0.784,,,,,
80,10/19/17 03:00:00 AM,0.784,,,,,
81,10/19/17 05:00:00 AM,0.893,,,,,
82,10/19/17 07:00:00 AM,0.893,,,,,
83,10/19/17 09:00:00 AM,1.003,,,,,
84,10/19/17 11:00:00 AM,1.112,,,,,
85,10/19/17 01:00:00 PM,1.112,,,,,
86,10/19/17 03:00:00 PM,1.112,,,,,
87,10/19/17 05:00:00 PM,1.112,,,,,
88,10/19/17 07:00:00 PM,1.221,,,,,
89,10/19/17 09:00:00 PM,1.221,,,,,
90,10/19/17 11:00:00 PM,1.221,,,,,
91,10/20/17 01:00:00 AM,1.221,,,,,
92,10/20/17 03:00:00 AM,1.221,,,,,
93,10/20/17 05:00:00 AM,1.221,,,,,
94,10/20/17 07:00:00 AM,1.221,,,,,
95,10/20/17 09:00:00 AM,1.221,,,,,
