"Plot Title: RL-6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10615562, SEN S/N: 10615562, LBL: C)","End Of File (LGR S/N: 10615562)"
1,10/12/17 01:00:00 PM,0.563,
2,10/12/17 03:00:00 PM,0.563,
3,10/12/17 05:00:00 PM,0.674,
4,10/12/17 07:00:00 PM,0.674,
5,10/12/17 09:00:00 PM,0.674,
6,10/12/17 11:00:00 PM,0.674,
7,10/13/17 01:00:00 AM,0.674,
8,10/13/17 03:00:00 AM,0.674,
9,10/13/17 05:00:00 AM,0.674,
10,10/13/17 07:00:00 AM,0.674,
11,10/13/17 09:00:00 AM,0.674,
12,10/13/17 11:00:00 AM,0.674,
13,10/13/17 01:00:00 PM,0.674,
14,10/13/17 03:00:00 PM,0.674,
15,10/13/17 05:00:00 PM,0.674,
16,10/13/17 07:00:00 PM,0.674,
17,10/13/17 09:00:00 PM,0.674,
18,10/13/17 11:00:00 PM,0.674,
19,10/14/17 01:00:00 AM,0.674,
20,10/14/17 03:00:00 AM,0.784,
21,10/14/17 05:00:00 AM,0.784,
22,10/14/17 07:00:00 AM,0.784,
23,10/14/17 09:00:00 AM,0.784,
24,10/14/17 11:00:00 AM,0.784,
25,10/14/17 01:00:00 PM,0.784,
26,10/14/17 03:00:00 PM,0.784,
27,10/14/17 05:00:00 PM,0.784,
28,10/14/17 07:00:00 PM,0.784,
29,10/14/17 09:00:00 PM,0.784,
30,10/14/17 11:00:00 PM,0.784,
31,10/15/17 01:00:00 AM,0.674,
32,10/15/17 03:00:00 AM,0.674,
33,10/15/17 05:00:00 AM,0.784,
34,10/15/17 07:00:00 AM,0.674,
35,10/15/17 09:00:00 AM,0.784,
36,10/15/17 11:00:00 AM,0.784,
37,10/15/17 01:00:00 PM,0.674,
38,10/15/17 03:00:00 PM,0.674,
39,10/15/17 05:00:00 PM,0.563,
40,10/15/17 07:00:00 PM,0.563,
41,10/15/17 09:00:00 PM,0.563,
42,10/15/17 11:00:00 PM,0.563,
43,10/16/17 01:00:00 AM,0.563,
44,10/16/17 03:00:00 AM,0.563,
45,10/16/17 05:00:00 AM,0.563,
