"Plot Title: GB-16"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20202704, SEN S/N: 20202704)","Coupler Attached (LGR S/N: 20202704)","Host Connected (LGR S/N: 20202704)","Stopped (LGR S/N: 20202704)","End Of File (LGR S/N: 20202704)"
1,09/26/18 01:00:00 PM,56.923,,,,
2,09/26/18 03:00:00 PM,70.995,,,,
3,09/26/18 05:00:00 PM,67.392,,,,
4,09/26/18 07:00:00 PM,56.923,,,,
5,09/26/18 09:00:00 PM,52.225,,,,
6,09/26/18 11:00:00 PM,49.937,,,,
7,09/27/18 01:00:00 AM,48.339,,,,
8,09/27/18 03:00:00 AM,47.624,,,,
9,09/27/18 05:00:00 AM,46.188,,,,
10,09/27/18 07:00:00 AM,45.104,,,,
11,09/27/18 09:00:00 AM,45.286,,,,
12,09/27/18 11:00:00 AM,50.819,,,,
13,09/27/18 01:00:00 PM,60.539,,,,
14,09/27/18 03:00:00 PM,73.580,,,,
15,09/27/18 05:00:00 PM,68.592,,,,
16,09/27/18 07:00:00 PM,59.337,,,,
17,09/27/18 09:00:00 PM,54.147,,,,
18,09/27/18 11:00:00 PM,50.995,,,,
19,09/28/18 01:00:00 AM,48.517,,,,
20,09/28/18 03:00:00 AM,46.548,,,,
21,09/28/18 05:00:00 AM,44.922,,,,
22,09/28/18 07:00:00 AM,43.648,,,,
23,09/28/18 09:00:00 AM,43.282,,,,
24,09/28/18 11:00:00 AM,48.695,,,,
25,09/28/18 01:00:00 PM,58.476,,,,
26,09/28/18 03:00:00 PM,71.856,,,,
27,09/28/18 05:00:00 PM,67.735,,,,
28,09/28/18 07:00:00 PM,58.476,,,,
29,09/28/18 09:00:00 PM,53.100,,,,
30,09/28/18 11:00:00 PM,49.759,,,,
31,09/29/18 01:00:00 AM,47.624,,,,
32,09/29/18 03:00:00 AM,45.828,,,,
33,09/29/18 05:00:00 AM,44.195,,,,
34,09/29/18 07:00:00 AM,42.915,,,,
35,09/29/18 09:00:00 AM,42.548,,,,
36,09/29/18 11:00:00 AM,47.446,,,,
37,09/29/18 01:00:00 PM,51.874,,,,
38,09/29/18 03:00:00 PM,58.647,,,,
39,09/29/18 05:00:00 PM,56.923,,,,
40,09/29/18 07:00:00 PM,52.225,,,,
41,09/29/18 09:00:00 PM,49.582,,,,
42,09/29/18 11:00:00 PM,46.908,,,,
43,09/30/18 01:00:00 AM,44.560,,,,
44,09/30/18 03:00:00 AM,42.548,,,,
45,09/30/18 05:00:00 AM,41.810,,,,
46,09/30/18 07:00:00 AM,41.810,,,,
47,09/30/18 09:00:00 AM,42.732,,,,
48,09/30/18 11:00:00 AM,45.104,,,,
49,09/30/18 01:00:00 PM,46.548,,,,
50,09/30/18 03:00:00 PM,48.160,,,,
51,09/30/18 05:00:00 PM,47.446,,,,
52,09/30/18 07:00:00 PM,46.008,,,,
53,09/30/18 09:00:00 PM,44.922,,,,
54,09/30/18 11:00:00 PM,43.466,,,,
55,10/01/18 01:00:00 AM,42.915,,,,
56,10/01/18 03:00:00 AM,43.099,,,,
57,10/01/18 05:00:00 AM,42.915,,,,
58,10/01/18 07:00:00 AM,42.548,,,,
59,10/01/18 09:00:00 AM,43.282,,,,
60,10/01/18 11:00:00 AM,45.648,,,,
61,10/01/18 01:00:00 PM,47.088,,,,
62,10/01/18 03:00:00 PM,47.802,,,,
63,10/01/18 05:00:00 PM,46.728,,,,
64,10/01/18 07:00:00 PM,45.648,,,,
65,10/01/18 09:00:00 PM,45.104,,,,
66,10/01/18 11:00:00 PM,44.742,,,,
67,10/02/18 01:00:00 AM,44.379,,,,
68,10/02/18 03:00:00 AM,44.195,,,,
69,10/02/18 05:00:00 AM,43.099,,,,
70,10/02/18 07:00:00 AM,42.363,,,,
71,10/02/18 09:00:00 AM,43.282,,,,
72,10/02/18 11:00:00 AM,47.266,,,,
73,10/02/18 01:00:00 PM,55.364,,,,
74,10/02/18 03:00:00 PM,58.131,,,,
75,10/02/18 05:00:00 PM,52.401,,,,
76,10/02/18 07:00:00 PM,44.742,,,,
77,10/02/18 09:00:00 PM,40.509,,,,
78,10/02/18 11:00:00 PM,38.250,,,,
79,10/03/18 01:00:00 AM,37.107,,,,
80,10/03/18 03:00:00 AM,35.758,,,,
81,10/03/18 05:00:00 AM,34.786,,,,
82,10/03/18 07:00:00 AM,34.002,,,,
83,10/03/18 09:00:00 AM,33.607,,,,
84,10/03/18 11:00:00 AM,34.394,,,,
85,10/03/18 01:00:00 PM,47.624,,,,
86,10/03/18 03:00:00 PM,57.441,,,,
87,10/03/18 05:00:00 PM,50.466,,,,
88,10/03/18 07:00:00 PM,44.742,,,,
89,10/03/18 09:00:00 PM,41.439,,,,
90,10/03/18 11:00:00 PM,40.509,,,,
91,10/04/18 01:00:00 AM,39.384,,,,
92,10/04/18 03:00:00 AM,37.488,,,,
93,10/04/18 05:00:00 AM,36.531,,,,
94,10/04/18 07:00:00 AM,35.564,,,,
95,10/04/18 09:00:00 AM,35.175,,,,
96,10/04/18 11:00:00 AM,39.760,,,,
97,10/04/18 01:00:00 PM,45.286,,,,
98,10/04/18 03:00:00 PM,43.466,,,,
99,10/04/18 05:00:00 PM,42.732,,,,
100,10/04/18 07:00:00 PM,40.881,,,,
101,10/04/18 09:00:00 PM,38.629,,,,
102,10/04/18 11:00:00 PM,36.723,,,,
103,10/05/18 01:00:00 AM,35.175,,,,
104,10/05/18 03:00:00 AM,34.394,,,,
105,10/05/18 05:00:00 AM,33.805,,,,
106,10/05/18 07:00:00 AM,33.805,,,,
107,10/05/18 09:00:00 AM,34.002,,,,
108,10/05/18 11:00:00 AM,35.564,,,,
109,10/05/18 01:00:00 PM,36.723,,,,
110,10/05/18 03:00:00 PM,36.723,,,,
111,10/05/18 05:00:00 PM,35.951,,,,
112,10/05/18 07:00:00 PM,35.564,,,,
113,10/05/18 09:00:00 PM,35.564,,,,
114,10/05/18 11:00:00 PM,35.370,,,,
115,10/06/18 01:00:00 AM,35.370,,,,
116,10/06/18 03:00:00 AM,35.370,,,,
117,10/06/18 05:00:00 AM,35.564,,,,
118,10/06/18 07:00:00 AM,35.370,,,,
119,10/06/18 09:00:00 AM,35.370,,,,
120,10/06/18 11:00:00 AM,36.338,,,,
121,10/06/18 01:00:00 PM,40.321,,,,
122,10/06/18 03:00:00 PM,54.147,,,,
123,10/06/18 05:00:00 PM,48.339,,,,
124,10/06/18 07:00:00 PM,42.915,,,,
125,10/06/18 09:00:00 PM,39.384,,,,
126,10/06/18 11:00:00 PM,37.297,,,,
127,10/07/18 01:00:00 AM,36.145,,,,
128,10/07/18 03:00:00 AM,35.564,,,,
129,10/07/18 05:00:00 AM,35.370,,,,
130,10/07/18 07:00:00 AM,35.370,,,,
131,10/07/18 09:00:00 AM,36.338,,,,
132,10/07/18 11:00:00 AM,40.134,,,,
133,10/07/18 01:00:00 PM,42.363,,,,
134,10/07/18 03:00:00 PM,45.648,,,,
135,10/07/18 05:00:00 PM,44.560,,,,
136,10/07/18 07:00:00 PM,42.548,,,,
137,10/07/18 09:00:00 PM,41.439,,,,
138,10/07/18 11:00:00 PM,40.881,,,,
139,10/08/18 01:00:00 AM,40.509,,,,
140,10/08/18 03:00:00 AM,40.321,,,,
141,10/08/18 05:00:00 AM,40.134,,,,
142,10/08/18 07:00:00 AM,40.134,,,,
143,10/08/18 09:00:00 AM,40.321,,,,
144,10/08/18 11:00:00 AM,41.810,,,,
145,10/08/18 01:00:00 PM,42.732,,,,
146,10/08/18 03:00:00 PM,42.915,,,,
147,10/08/18 05:00:00 PM,42.915,,,,
148,10/08/18 07:00:00 PM,42.179,,,,
149,10/08/18 09:00:00 PM,41.810,,,,
150,10/08/18 11:00:00 PM,41.625,,,,
151,10/09/18 01:00:00 AM,41.625,,,,
152,10/09/18 03:00:00 AM,40.881,,,,
153,10/09/18 05:00:00 AM,37.488,,,,
154,10/09/18 07:00:00 AM,36.723,,,,
155,10/09/18 09:00:00 AM,36.914,,,,
156,10/09/18 11:00:00 AM,39.573,,,,
157,10/09/18 01:00:00 PM,47.982,,,,
158,10/09/18 03:00:00 PM,47.624,,,,
159,10/09/18 05:00:00 PM,46.369,,,,
160,10/09/18 07:00:00 PM,44.013,,,,
161,10/09/18 09:00:00 PM,42.363,,,,
162,10/09/18 11:00:00 PM,40.509,,,,
163,10/10/18 01:00:00 AM,39.760,,,,
164,10/10/18 03:00:00 AM,39.196,,,,
165,10/10/18 05:00:00 AM,38.629,,,,
166,10/10/18 07:00:00 AM,38.250,,,,
167,10/10/18 09:00:00 AM,38.061,,,,
168,10/10/18 11:00:00 AM,40.881,,,,
169,10/10/18 01:00:00 PM,46.188,,,,
170,10/10/18 03:00:00 PM,47.624,,,,
171,10/10/18 05:00:00 PM,46.008,,,,
172,10/10/18 07:00:00 PM,42.915,,,,
173,10/10/18 09:00:00 PM,39.947,,,,
174,10/10/18 11:00:00 PM,37.679,,,,
175,10/11/18 01:00:00 AM,36.145,,,,
176,10/11/18 03:00:00 AM,35.175,,,,
177,10/11/18 05:00:00 AM,34.590,,,,
178,10/11/18 07:00:00 AM,34.198,,,,
179,10/11/18 09:00:00 AM,34.002,,,,
180,10/11/18 11:00:00 AM,34.198,,,,
181,10/11/18 01:00:00 PM,45.648,,,,
182,10/11/18 03:00:00 PM,54.842,,,,
183,10/11/18 05:00:00 PM,48.695,,,,
184,10/11/18 07:00:00 PM,43.466,,,,
185,10/11/18 09:00:00 PM,40.509,,,,
186,10/11/18 11:00:00 PM,38.629,,,,
187,10/12/18 01:00:00 AM,37.870,,,,
188,10/12/18 03:00:00 AM,36.914,,,,
189,10/12/18 05:00:00 AM,36.531,,,,
190,10/12/18 07:00:00 AM,36.723,,,,
191,10/12/18 09:00:00 AM,36.914,,,,
192,10/12/18 11:00:00 AM,41.625,,,,
193,10/12/18 01:00:00 PM,51.172,,,,
194,10/12/18 03:00:00 PM,57.096,,,,
195,10/12/18 05:00:00 PM,49.582,,,,
196,10/12/18 07:00:00 PM,44.013,,,,
197,10/12/18 09:00:00 PM,40.696,,,,
198,10/12/18 11:00:00 PM,38.629,,,,
199,10/13/18 01:00:00 AM,36.723,,,,
200,10/13/18 03:00:00 AM,35.758,,,,
201,10/13/18 05:00:00 AM,35.175,,,,
202,10/13/18 07:00:00 AM,34.590,,,,
203,10/13/18 09:00:00 AM,34.002,,,,
204,10/13/18 11:00:00 AM,35.175,,,,
205,10/13/18 01:00:00 PM,46.369,,,,
206,10/13/18 03:00:00 PM,54.842,,,,
207,10/13/18 05:00:00 PM,47.446,,,,
208,10/13/18 07:00:00 PM,41.994,,,,
209,10/13/18 09:00:00 PM,38.818,,,,
210,10/13/18 11:00:00 PM,36.723,,,,
211,10/14/18 01:00:00 AM,35.370,,,,
212,10/14/18 03:00:00 AM,34.590,,,,
213,10/14/18 05:00:00 AM,34.002,,,,
214,10/14/18 07:00:00 AM,33.411,,,,
215,10/14/18 09:00:00 AM,33.213,,,,
216,10/14/18 11:00:00 AM,33.213,,,,
217,10/14/18 01:00:00 PM,41.994,,,,
218,10/14/18 03:00:00 PM,51.523,,,,
219,10/14/18 05:00:00 PM,44.742,,,,
220,10/14/18 07:00:00 PM,40.321,,,,
221,10/14/18 09:00:00 PM,38.061,,,,
222,10/14/18 11:00:00 PM,36.914,,,,
223,10/15/18 01:00:00 AM,36.338,,,,
224,10/15/18 03:00:00 AM,35.564,,,,
225,10/15/18 05:00:00 AM,34.981,,,,
226,10/15/18 07:00:00 AM,34.590,,,,
227,10/15/18 09:00:00 AM,34.394,,,,
228,10/15/18 11:00:00 AM,38.818,,,,
229,10/15/18 01:00:00 PM,49.228,,,,
230,10/15/18 03:00:00 PM,56.923,,,,
231,10/15/18 05:00:00 PM,49.404,,,,
232,10/15/18 07:00:00 PM,44.922,,,,
233,10/15/18 09:00:00 PM,41.625,,,,
234,10/15/18 11:00:00 PM,39.947,,,,
235,10/16/18 01:00:00 AM,38.440,,,,
236,10/16/18 03:00:00 AM,37.107,,,,
237,10/16/18 05:00:00 AM,36.145,,,,
238,10/16/18 07:00:00 AM,35.370,,,,
239,10/16/18 09:00:00 AM,34.981,,,,
240,10/16/18 11:00:00 AM,39.196,,,,
241,10/16/18 01:00:00 PM,49.937,,,,
242,10/16/18 03:00:00 PM,57.268,,,,
243,10/16/18 05:00:00 PM,49.228,,,,
244,10/16/18 07:00:00 PM,44.379,,,,
245,10/16/18 09:00:00 PM,41.439,,,,
246,10/16/18 11:00:00 PM,39.196,,,,
247,10/17/18 01:00:00 AM,37.870,,,,
248,10/17/18 03:00:00 AM,36.531,,,,
249,10/17/18 05:00:00 AM,35.758,,,,
250,10/17/18 07:00:00 AM,34.786,,,,
251,10/17/18 09:00:00 AM,34.394,,,,
252,10/17/18 11:00:00 AM,38.629,,,,
253,10/17/18 01:00:00 PM,49.404,,,,
254,10/17/18 03:00:00 PM,56.404,,,,
255,10/17/18 05:00:00 PM,48.517,,,,
256,10/17/18 07:00:00 PM,44.013,,,,
257,10/17/18 09:00:00 PM,40.881,,,,
258,10/17/18 11:00:00 PM,38.629,,,,
259,10/18/18 01:00:00 AM,37.297,,,,
260,10/18/18 03:00:00 AM,35.951,,,,
261,10/18/18 05:00:00 AM,35.175,,,,
262,10/18/18 07:00:00 AM,34.786,,,,
263,10/18/18 09:00:00 AM,34.786,,,,
264,10/18/18 11:00:00 AM,39.947,,,,
265,10/18/18 01:00:00 PM,47.982,,,,
266,10/18/18 03:00:00 PM,55.711,,,,
267,10/18/18 05:00:00 PM,48.517,,,,
268,10/18/18 07:00:00 PM,44.013,,,,
269,10/18/18 09:00:00 PM,41.067,,,,
270,10/18/18 11:00:00 PM,39.007,,,,
271,10/19/18 01:00:00 AM,37.870,,,,
272,10/19/18 03:00:00 AM,37.107,,,,
273,10/19/18 05:00:00 AM,36.338,,,,
274,10/19/18 07:00:00 AM,35.564,,,,
275,10/19/18 09:00:00 AM,35.370,,,,
276,10/19/18 11:00:00 AM,39.760,,,,
277,10/19/18 01:00:00 PM,50.290,,,,
278,10/19/18 03:00:00 PM,56.923,,,,
279,10/19/18 05:00:00 PM,49.050,,,,
280,10/19/18 07:00:00 PM,44.742,,,,
281,10/19/18 09:00:00 PM,42.179,,,,
282,10/19/18 11:00:00 PM,40.321,,,,
283,10/20/18 01:00:00 AM,39.007,,,,
284,10/20/18 03:00:00 AM,38.061,,,,
285,10/20/18 05:00:00 AM,37.107,,,,
286,10/20/18 07:00:00 AM,36.531,,,,
287,10/20/18 09:00:00 AM,35.951,,,,
288,10/20/18 11:00:00 AM,40.321,,,,
289,10/20/18 01:00:00 PM,50.643,,,,
290,10/20/18 03:00:00 PM,56.923,,,,
