"Plot Title: GB-2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10615521, SEN S/N: 10615521)","Bad Battery (LGR S/N: 10615521)","Coupler Attached (LGR S/N: 10615521)","Host Connected (LGR S/N: 10615521)","Stopped (LGR S/N: 10615521)","End Of File (LGR S/N: 10615521)"
1,09/26/18 01:00:00 PM,9.669,,,,,
2,09/26/18 03:00:00 PM,11.528,,,,,
3,09/26/18 05:00:00 PM,10.944,,,,,
4,09/26/18 07:00:00 PM,10.063,,,,,
5,09/26/18 09:00:00 PM,9.077,,,,,
6,09/26/18 11:00:00 PM,8.581,,,,,
7,09/27/18 01:00:00 AM,8.282,,,,,
8,09/27/18 03:00:00 AM,8.082,,,,,
9,09/27/18 05:00:00 AM,7.882,,,,,
10,09/27/18 07:00:00 AM,7.782,,,,,
11,09/27/18 09:00:00 AM,8.182,,,,,
12,09/27/18 11:00:00 AM,10.357,,,,,
13,09/27/18 01:00:00 PM,11.236,,,,,
14,09/27/18 03:00:00 PM,13.076,,,,,
15,09/27/18 05:00:00 PM,12.304,,,,,
16,09/27/18 07:00:00 PM,11.236,,,,,
17,09/27/18 09:00:00 PM,10.357,,,,,
18,09/27/18 11:00:00 PM,9.669,,,,,
19,09/28/18 01:00:00 AM,9.176,,,,,
20,09/28/18 03:00:00 AM,8.779,,,,,
21,09/28/18 05:00:00 AM,8.382,,,,,
22,09/28/18 07:00:00 AM,8.082,,,,,
23,09/28/18 09:00:00 AM,8.382,,,,,
24,09/28/18 11:00:00 AM,10.161,,,,,
25,09/28/18 01:00:00 PM,10.944,,,,,
26,09/28/18 03:00:00 PM,12.594,,,,,
27,09/28/18 05:00:00 PM,12.594,,,,,
28,09/28/18 07:00:00 PM,11.236,,,,,
29,09/28/18 09:00:00 PM,10.259,,,,,
30,09/28/18 11:00:00 PM,9.571,,,,,
31,09/29/18 01:00:00 AM,9.077,,,,,
32,09/29/18 03:00:00 AM,8.680,,,,,
33,09/29/18 05:00:00 AM,8.282,,,,,
34,09/29/18 07:00:00 AM,7.983,,,,,
35,09/29/18 09:00:00 AM,8.182,,,,,
36,09/29/18 11:00:00 AM,10.063,,,,,
37,09/29/18 01:00:00 PM,10.651,,,,,
38,09/29/18 03:00:00 PM,11.431,,,,,
39,09/29/18 05:00:00 PM,11.528,,,,,
40,09/29/18 07:00:00 PM,10.651,,,,,
41,09/29/18 09:00:00 PM,9.866,,,,,
42,09/29/18 11:00:00 PM,9.373,,,,,
43,09/30/18 01:00:00 AM,8.481,,,,,
44,09/30/18 03:00:00 AM,7.882,,,,,
45,09/30/18 05:00:00 AM,7.582,,,,,
46,09/30/18 07:00:00 AM,7.582,,,,,
47,09/30/18 09:00:00 AM,7.782,,,,,
48,09/30/18 11:00:00 AM,9.176,,,,,
49,09/30/18 01:00:00 PM,10.063,,,,,
50,09/30/18 03:00:00 PM,10.455,,,,,
51,09/30/18 05:00:00 PM,10.161,,,,,
52,09/30/18 07:00:00 PM,9.472,,,,,
