"Plot Title: GB-9"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10195303, SEN S/N: 10195303, LBL: C)","Coupler Attached (LGR S/N: 10195303)","Host Connected (LGR S/N: 10195303)","Stopped (LGR S/N: 10195303)","End Of File (LGR S/N: 10195303)"
1,09/26/18 01:00:00 PM,50.113,,,,
2,09/26/18 03:00:00 PM,52.401,,,,
3,09/26/18 05:00:00 PM,49.759,,,,
4,09/26/18 07:00:00 PM,47.266,,,,
5,09/26/18 09:00:00 PM,45.286,,,,
6,09/26/18 11:00:00 PM,44.922,,,,
7,09/27/18 01:00:00 AM,44.922,,,,
8,09/27/18 03:00:00 AM,44.560,,,,
9,09/27/18 05:00:00 AM,43.831,,,,
10,09/27/18 07:00:00 AM,43.282,,,,
11,09/27/18 09:00:00 AM,43.831,,,,
12,09/27/18 11:00:00 AM,45.648,,,,
13,09/27/18 01:00:00 PM,53.798,,,,
14,09/27/18 03:00:00 PM,55.537,,,,
15,09/27/18 05:00:00 PM,52.925,,,,
16,09/27/18 07:00:00 PM,50.466,,,,
17,09/27/18 09:00:00 PM,48.160,,,,
18,09/27/18 11:00:00 PM,46.548,,,,
19,09/28/18 01:00:00 AM,45.286,,,,
20,09/28/18 03:00:00 AM,44.013,,,,
21,09/28/18 05:00:00 AM,42.732,,,,
22,09/28/18 07:00:00 AM,41.810,,,,
23,09/28/18 09:00:00 AM,41.810,,,,
24,09/28/18 11:00:00 AM,43.466,,,,
25,09/28/18 01:00:00 PM,50.643,,,,
26,09/28/18 03:00:00 PM,52.576,,,,
27,09/28/18 05:00:00 PM,52.401,,,,
28,09/28/18 07:00:00 PM,49.582,,,,
29,09/28/18 09:00:00 PM,46.908,,,,
30,09/28/18 11:00:00 PM,45.104,,,,
31,09/29/18 01:00:00 AM,43.831,,,,
32,09/29/18 03:00:00 AM,42.915,,,,
33,09/29/18 05:00:00 AM,41.810,,,,
34,09/29/18 07:00:00 AM,40.696,,,,
35,09/29/18 09:00:00 AM,40.696,,,,
36,09/29/18 11:00:00 AM,44.195,,,,
37,09/29/18 01:00:00 PM,46.728,,,,
38,09/29/18 03:00:00 PM,49.759,,,,
39,09/29/18 05:00:00 PM,50.113,,,,
40,09/29/18 07:00:00 PM,47.624,,,,
41,09/29/18 09:00:00 PM,46.008,,,,
42,09/29/18 11:00:00 PM,44.013,,,,
43,09/30/18 01:00:00 AM,41.810,,,,
44,09/30/18 03:00:00 AM,39.947,,,,
45,09/30/18 05:00:00 AM,39.196,,,,
46,09/30/18 07:00:00 AM,39.760,,,,
47,09/30/18 09:00:00 AM,40.134,,,,
48,09/30/18 11:00:00 AM,42.915,,,,
49,09/30/18 01:00:00 PM,45.286,,,,
50,09/30/18 03:00:00 PM,46.548,,,,
51,09/30/18 05:00:00 PM,46.008,,,,
52,09/30/18 07:00:00 PM,44.560,,,,
53,09/30/18 09:00:00 PM,43.466,,,,
54,09/30/18 11:00:00 PM,41.994,,,,
55,10/01/18 01:00:00 AM,41.625,,,,
56,10/01/18 03:00:00 AM,41.810,,,,
57,10/01/18 05:00:00 AM,41.625,,,,
58,10/01/18 07:00:00 AM,41.254,,,,
59,10/01/18 09:00:00 AM,42.179,,,,
60,10/01/18 11:00:00 AM,44.742,,,,
61,10/01/18 01:00:00 PM,46.008,,,,
62,10/01/18 03:00:00 PM,46.908,,,,
63,10/01/18 05:00:00 PM,45.828,,,,
64,10/01/18 07:00:00 PM,44.922,,,,
65,10/01/18 09:00:00 PM,44.379,,,,
66,10/01/18 11:00:00 PM,44.195,,,,
67,10/02/18 01:00:00 AM,43.831,,,,
68,10/02/18 03:00:00 AM,43.648,,,,
69,10/02/18 05:00:00 AM,42.915,,,,
70,10/02/18 07:00:00 AM,42.363,,,,
71,10/02/18 09:00:00 AM,42.915,,,,
72,10/02/18 11:00:00 AM,43.648,,,,
73,10/02/18 01:00:00 PM,46.728,,,,
74,10/02/18 03:00:00 PM,47.624,,,,
75,10/02/18 05:00:00 PM,43.099,,,,
76,10/02/18 07:00:00 PM,39.760,,,,
77,10/02/18 09:00:00 PM,37.107,,,,
78,10/02/18 11:00:00 PM,35.758,,,,
79,10/03/18 01:00:00 AM,34.981,,,,
80,10/03/18 03:00:00 AM,34.394,,,,
81,10/03/18 05:00:00 AM,34.002,,,,
82,10/03/18 07:00:00 AM,33.607,,,,
83,10/03/18 09:00:00 AM,33.213,,,,
84,10/03/18 11:00:00 AM,33.213,,,,
85,10/03/18 01:00:00 PM,33.411,,,,
86,10/03/18 03:00:00 PM,35.758,,,,
87,10/03/18 05:00:00 PM,39.196,,,,
88,10/03/18 07:00:00 PM,37.679,,,,
89,10/03/18 09:00:00 PM,35.758,,,,
90,10/03/18 11:00:00 PM,35.564,,,,
91,10/04/18 01:00:00 AM,35.175,,,,
92,10/04/18 03:00:00 AM,33.805,,,,
93,10/04/18 05:00:00 AM,33.805,,,,
94,10/04/18 07:00:00 AM,33.607,,,,
95,10/04/18 09:00:00 AM,33.411,,,,
96,10/04/18 11:00:00 AM,33.411,,,,
97,10/04/18 01:00:00 PM,37.679,,,,
98,10/04/18 03:00:00 PM,38.818,,,,
