"Plot Title: RL-3"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10615525, SEN S/N: 10615525)","Bad Battery (LGR S/N: 10615525)","Coupler Attached (LGR S/N: 10615525)","Host Connected (LGR S/N: 10615525)","Stopped (LGR S/N: 10615525)","End Of File (LGR S/N: 10615525)"
1,09/26/18 01:00:00 PM,48.871,,,,,
2,09/26/18 03:00:00 PM,54.322,,,,,
3,09/26/18 05:00:00 PM,52.925,,,,,
4,09/26/18 07:00:00 PM,50.290,,,,,
5,09/26/18 09:00:00 PM,48.339,,,,,
6,09/26/18 11:00:00 PM,47.446,,,,,
7,09/27/18 01:00:00 AM,47.088,,,,,
8,09/27/18 03:00:00 AM,46.728,,,,,
9,09/27/18 05:00:00 AM,46.728,,,,,
10,09/27/18 07:00:00 AM,46.548,,,,,
11,09/27/18 09:00:00 AM,51.346,,,,,
12,09/27/18 11:00:00 AM,50.995,,,,,
13,09/27/18 01:00:00 PM,52.401,,,,,
14,09/27/18 03:00:00 PM,57.958,,,,,
15,09/27/18 05:00:00 PM,55.884,,,,,
16,09/27/18 07:00:00 PM,52.925,,,,,
17,09/27/18 09:00:00 PM,51.172,,,,,
18,09/27/18 11:00:00 PM,49.228,,,,,
19,09/28/18 01:00:00 AM,48.339,,,,,
20,09/28/18 03:00:00 AM,47.624,,,,,
21,09/28/18 05:00:00 AM,46.369,,,,,
22,09/28/18 07:00:00 AM,45.648,,,,,
23,09/28/18 09:00:00 AM,49.050,,,,,
24,09/28/18 11:00:00 AM,49.050,,,,,
25,09/28/18 01:00:00 PM,50.643,,,,,
26,09/28/18 03:00:00 PM,55.711,,,,,
27,09/28/18 05:00:00 PM,54.322,,,,,
28,09/28/18 07:00:00 PM,51.346,,,,,
29,09/28/18 09:00:00 PM,49.228,,,,,
30,09/28/18 11:00:00 PM,47.802,,,,,
31,09/29/18 01:00:00 AM,46.908,,,,,
32,09/29/18 03:00:00 AM,46.008,,,,,
33,09/29/18 05:00:00 AM,45.286,,,,,
34,09/29/18 07:00:00 AM,44.742,,,,,
35,09/29/18 09:00:00 AM,48.339,,,,,
36,09/29/18 11:00:00 AM,47.802,,,,,
37,09/29/18 01:00:00 PM,49.759,,,,,
38,09/29/18 03:00:00 PM,51.346,,,,,
39,09/29/18 05:00:00 PM,50.113,,,,,
40,09/29/18 07:00:00 PM,47.446,,,,,
41,09/29/18 09:00:00 PM,46.369,,,,,
42,09/29/18 11:00:00 PM,44.922,,,,,
43,09/30/18 01:00:00 AM,43.099,,,,,
44,09/30/18 03:00:00 AM,42.363,,,,,
45,09/30/18 05:00:00 AM,41.810,,,,,
46,09/30/18 07:00:00 AM,41.067,,,,,
47,09/30/18 09:00:00 AM,42.363,,,,,
48,09/30/18 11:00:00 AM,43.466,,,,,
49,09/30/18 01:00:00 PM,44.922,,,,,
50,09/30/18 03:00:00 PM,45.466,,,,,
51,09/30/18 05:00:00 PM,44.922,,,,,
52,09/30/18 07:00:00 PM,44.013,,,,,
53,09/30/18 09:00:00 PM,43.831,,,,,
54,09/30/18 11:00:00 PM,43.648,,,,,
55,10/01/18 01:00:00 AM,43.466,,,,,
56,10/01/18 03:00:00 AM,43.099,,,,,
57,10/01/18 05:00:00 AM,42.915,,,,,
58,10/01/18 07:00:00 AM,42.915,,,,,
59,10/01/18 09:00:00 AM,43.466,,,,,
60,10/01/18 11:00:00 AM,44.013,,,,,
61,10/01/18 01:00:00 PM,45.286,,,,,
62,10/01/18 03:00:00 PM,46.188,,,,,
63,10/01/18 05:00:00 PM,45.466,,,,,
64,10/01/18 07:00:00 PM,44.922,,,,,
65,10/01/18 09:00:00 PM,44.742,,,,,
66,10/01/18 11:00:00 PM,44.560,,,,,
67,10/02/18 01:00:00 AM,44.379,,,,,
68,10/02/18 03:00:00 AM,44.195,,,,,
69,10/02/18 05:00:00 AM,43.466,,,,,
70,10/02/18 07:00:00 AM,42.732,,,,,
71,10/02/18 09:00:00 AM,43.282,,,,,
72,10/02/18 11:00:00 AM,43.282,,,,,
73,10/02/18 01:00:00 PM,44.379,,,,,
74,10/02/18 03:00:00 PM,42.179,,,,,
75,10/02/18 05:00:00 PM,40.509,,,,,
76,10/02/18 07:00:00 PM,39.007,,,,,
77,10/02/18 09:00:00 PM,37.488,,,,,
78,10/02/18 11:00:00 PM,36.531,,,,,
