"Plot Title: RL-4"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20202669, SEN S/N: 20202669)","Coupler Attached (LGR S/N: 20202669)","Host Connected (LGR S/N: 20202669)","Stopped (LGR S/N: 20202669)","End Of File (LGR S/N: 20202669)"
1,09/26/18 01:00:00 PM,44.195,,,,
2,09/26/18 03:00:00 PM,62.254,,,,
3,09/26/18 05:00:00 PM,52.401,,,,
4,09/26/18 07:00:00 PM,48.871,,,,
5,09/26/18 09:00:00 PM,46.369,,,,
6,09/26/18 11:00:00 PM,44.922,,,,
7,09/27/18 01:00:00 AM,44.195,,,,
8,09/27/18 03:00:00 AM,43.831,,,,
9,09/27/18 05:00:00 AM,43.466,,,,
10,09/27/18 07:00:00 AM,43.282,,,,
11,09/27/18 09:00:00 AM,44.379,,,,
12,09/27/18 11:00:00 AM,46.728,,,,
13,09/27/18 01:00:00 PM,47.802,,,,
14,09/27/18 03:00:00 PM,65.167,,,,
15,09/27/18 05:00:00 PM,55.364,,,,
16,09/27/18 07:00:00 PM,51.523,,,,
17,09/27/18 09:00:00 PM,48.871,,,,
18,09/27/18 11:00:00 PM,46.908,,,,
19,09/28/18 01:00:00 AM,45.466,,,,
20,09/28/18 03:00:00 AM,44.742,,,,
21,09/28/18 05:00:00 AM,43.648,,,,
22,09/28/18 07:00:00 AM,42.732,,,,
23,09/28/18 09:00:00 AM,43.282,,,,
24,09/28/18 11:00:00 AM,45.104,,,,
25,09/28/18 01:00:00 PM,46.188,,,,
26,09/28/18 03:00:00 PM,63.111,,,,
27,09/28/18 05:00:00 PM,53.449,,,,
28,09/28/18 07:00:00 PM,49.759,,,,
29,09/28/18 09:00:00 PM,47.266,,,,
30,09/28/18 11:00:00 PM,45.648,,,,
31,09/29/18 01:00:00 AM,44.379,,,,
32,09/29/18 03:00:00 AM,43.282,,,,
33,09/29/18 05:00:00 AM,42.179,,,,
34,09/29/18 07:00:00 AM,41.254,,,,
35,09/29/18 09:00:00 AM,42.179,,,,
36,09/29/18 11:00:00 AM,44.195,,,,
37,09/29/18 01:00:00 PM,48.517,,,,
38,09/29/18 03:00:00 PM,58.303,,,,
39,09/29/18 05:00:00 PM,51.346,,,,
40,09/29/18 07:00:00 PM,48.339,,,,
41,09/29/18 09:00:00 PM,46.548,,,,
42,09/29/18 11:00:00 PM,45.286,,,,
43,09/30/18 01:00:00 AM,42.548,,,,
44,09/30/18 03:00:00 AM,41.810,,,,
45,09/30/18 05:00:00 AM,41.439,,,,
46,09/30/18 07:00:00 AM,39.947,,,,
47,09/30/18 09:00:00 AM,41.994,,,,
48,09/30/18 11:00:00 AM,43.466,,,,
49,09/30/18 01:00:00 PM,46.008,,,,
50,09/30/18 03:00:00 PM,47.088,,,,
51,09/30/18 05:00:00 PM,46.188,,,,
52,09/30/18 07:00:00 PM,44.742,,,,
53,09/30/18 09:00:00 PM,44.195,,,,
54,09/30/18 11:00:00 PM,43.648,,,,
55,10/01/18 01:00:00 AM,43.466,,,,
56,10/01/18 03:00:00 AM,43.282,,,,
57,10/01/18 05:00:00 AM,42.915,,,,
58,10/01/18 07:00:00 AM,42.732,,,,
59,10/01/18 09:00:00 AM,43.648,,,,
60,10/01/18 11:00:00 AM,44.742,,,,
61,10/01/18 01:00:00 PM,47.266,,,,
62,10/01/18 03:00:00 PM,48.871,,,,
63,10/01/18 05:00:00 PM,47.266,,,,
64,10/01/18 07:00:00 PM,46.008,,,,
65,10/01/18 09:00:00 PM,45.466,,,,
66,10/01/18 11:00:00 PM,45.104,,,,
67,10/02/18 01:00:00 AM,44.922,,,,
68,10/02/18 03:00:00 AM,44.560,,,,
69,10/02/18 05:00:00 AM,44.013,,,,
70,10/02/18 07:00:00 AM,43.282,,,,
