"Plot Title: AB08-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163348, SEN S/N: 10163348)","Intensity, Lux (LGR S/N: 10163348, SEN S/N: 10163348)","Coupler Attached (LGR S/N: 10163348)","Host Connected (LGR S/N: 10163348)","Stopped (LGR S/N: 10163348)","End Of File (LGR S/N: 10163348)"
1,09/24/12 01:00:00 PM,15.569,5511.1,,,,
2,09/24/12 04:00:00 PM,16.141,3616.7,,,,
3,09/24/12 07:00:00 PM,12.304,75.3,,,,
4,09/24/12 10:00:00 PM,11.041,0.0,,,,
5,09/25/12 01:00:00 AM,10.357,0.0,,,,
6,09/25/12 04:00:00 AM,9.176,0.0,,,,
7,09/25/12 07:00:00 AM,8.680,64.6,,,,
8,09/25/12 10:00:00 AM,9.472,1808.3,,,,
9,09/25/12 01:00:00 PM,13.269,2927.8,,,,
10,09/25/12 04:00:00 PM,14.517,3788.9,,,,
11,09/25/12 07:00:00 PM,9.571,43.1,,,,
12,09/25/12 10:00:00 PM,7.481,0.0,,,,
13,09/26/12 01:00:00 AM,5.757,0.0,,,,
14,09/26/12 04:00:00 AM,4.623,0.0,,,,
15,09/26/12 07:00:00 AM,4.727,43.1,,,,
16,09/26/12 10:00:00 AM,9.176,1808.3,,,,
17,09/26/12 01:00:00 PM,13.076,3616.7,,,,
18,09/26/12 04:00:00 PM,16.427,3788.9,,,,
19,09/26/12 07:00:00 PM,12.980,21.5,,,,
20,09/26/12 10:00:00 PM,10.259,0.0,,,,
21,09/27/12 01:00:00 AM,9.472,0.0,,,,
22,09/27/12 04:00:00 AM,9.275,0.0,,,,
23,09/27/12 07:00:00 AM,9.373,43.1,,,,
24,09/27/12 10:00:00 AM,11.819,2411.1,,,,
25,09/27/12 01:00:00 PM,16.808,4650.0,,,,
26,09/27/12 04:00:00 PM,19.377,4133.4,,,,
27,09/27/12 07:00:00 PM,15.187,21.5,,,,
28,09/27/12 10:00:00 PM,12.110,0.0,,,,
29,09/28/12 01:00:00 AM,11.139,0.0,,,,
30,09/28/12 04:00:00 AM,10.748,0.0,,,,
31,09/28/12 07:00:00 AM,11.722,247.6,,,,
32,09/28/12 10:00:00 AM,13.942,2755.6,,,,
33,09/28/12 01:00:00 PM,16.523,4822.3,,,,
34,09/28/12 04:00:00 PM,17.950,3272.2,,,,
35,09/28/12 07:00:00 PM,14.134,0.0,,,,
36,09/28/12 10:00:00 PM,11.236,0.0,,,,
37,09/29/12 01:00:00 AM,10.651,0.0,,,,
38,09/29/12 04:00:00 AM,9.176,0.0,,,,
39,09/29/12 07:00:00 AM,9.768,53.8,,,,
40,09/29/12 10:00:00 AM,11.528,2152.8,,,,
41,09/29/12 01:00:00 PM,16.141,7577.8,,,,
42,09/29/12 04:00:00 PM,14.230,3616.7,,,,
43,09/29/12 07:00:00 PM,11.334,0.0,,,,
44,09/29/12 10:00:00 PM,9.965,0.0,,,,
45,09/30/12 01:00:00 AM,8.581,0.0,,,,
46,09/30/12 04:00:00 AM,6.775,0.0,,,,
47,09/30/12 07:00:00 AM,5.347,43.1,,,,
48,09/30/12 10:00:00 AM,6.064,1065.6,,,,
49,09/30/12 01:00:00 PM,11.431,2669.5,,,,
50,09/30/12 04:00:00 PM,15.091,3100.0,,,,
51,09/30/12 07:00:00 PM,11.431,0.0,,,,
52,09/30/12 10:00:00 PM,8.779,0.0,,,,
53,10/01/12 01:00:00 AM,7.882,0.0,,,,
54,10/01/12 04:00:00 AM,8.382,0.0,,,,
55,10/01/12 07:00:00 AM,8.581,32.3,,,,
56,10/01/12 10:00:00 AM,10.259,947.2,,,,
57,10/01/12 01:00:00 PM,16.046,2583.4,,,,
58,10/01/12 04:00:00 PM,18.521,3100.0,,,,
59,10/01/12 07:00:00 PM,14.230,21.5,,,,
60,10/01/12 10:00:00 PM,11.139,0.0,,,,
61,10/02/12 01:00:00 AM,10.455,0.0,,,,
62,10/02/12 04:00:00 AM,9.571,0.0,,,,
63,10/02/12 07:00:00 AM,7.481,21.5,,,,
64,10/02/12 10:00:00 AM,6.573,1001.0,,,,
65,10/02/12 01:00:00 PM,11.139,2669.5,,,,
66,10/02/12 04:00:00 PM,11.139,3272.2,,,,
67,10/02/12 07:00:00 PM,6.978,0.0,,,,
68,10/02/12 10:00:00 PM,4.311,0.0,,,,
69,10/03/12 01:00:00 AM,2.410,0.0,,,,
70,10/03/12 04:00:00 AM,2.195,0.0,,,,
71,10/03/12 07:00:00 AM,3.155,10.8,,,,
72,10/03/12 10:00:00 AM,4.623,1205.6,,,,
73,10/03/12 01:00:00 PM,8.879,2755.6,,,,
74,10/03/12 04:00:00 PM,10.846,3272.2,,,,
75,10/03/12 07:00:00 PM,7.782,0.0,,,,
76,10/03/12 10:00:00 PM,5.655,0.0,,,,
77,10/04/12 01:00:00 AM,4.623,0.0,,,,
78,10/04/12 04:00:00 AM,4.311,0.0,,,,
79,10/04/12 07:00:00 AM,3.893,10.8,,,,
80,10/04/12 10:00:00 AM,5.141,990.3,,,,
81,10/04/12 01:00:00 PM,9.373,2583.4,,,,
82,10/04/12 04:00:00 PM,11.431,3100.0,,,,
83,10/04/12 07:00:00 PM,8.282,0.0,,,,
84,10/04/12 10:00:00 PM,5.552,0.0,,,,
85,10/05/12 01:00:00 AM,4.727,0.0,,,,
86,10/05/12 04:00:00 AM,4.727,0.0,,,,
87,10/05/12 07:00:00 AM,4.415,10.8,,,,
88,10/05/12 10:00:00 AM,5.450,1194.8,,,,
89,10/05/12 01:00:00 PM,9.669,2669.5,,,,
90,10/05/12 04:00:00 PM,11.819,2927.8,,,,
91,10/05/12 07:00:00 PM,8.082,0.0,,,,
92,10/05/12 10:00:00 PM,5.655,0.0,,,,
93,10/06/12 01:00:00 AM,5.244,0.0,,,,
94,10/06/12 04:00:00 AM,4.934,0.0,,,,
95,10/06/12 07:00:00 AM,4.934,0.0,,,,
96,10/06/12 10:00:00 AM,6.064,968.8,,,,
97,10/06/12 01:00:00 PM,10.748,2411.1,,,,
98,10/06/12 04:00:00 PM,13.269,2755.6,,,,
