"Plot Title: TB13-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995197, SEN S/N: 9995197)","Intensity, Lux (LGR S/N: 9995197, SEN S/N: 9995197)","End Of File (LGR S/N: 9995197)"
1,10/01/12 01:00:00 PM,18.616,2927.8,
2,10/01/12 04:00:00 PM,17.665,1141.0,
3,10/01/12 07:00:00 PM,15.855,0.0,
4,10/01/12 10:00:00 PM,13.846,0.0,
5,10/02/12 01:00:00 AM,13.365,0.0,
6,10/02/12 04:00:00 AM,10.748,0.0,
7,10/02/12 07:00:00 AM,9.669,0.0,
8,10/02/12 10:00:00 AM,9.768,764.2,
9,10/02/12 01:00:00 PM,12.401,1377.8,
10,10/02/12 04:00:00 PM,11.916,1227.1,
11,10/02/12 07:00:00 PM,9.472,0.0,
12,10/02/12 10:00:00 PM,6.775,0.0,
13,10/03/12 01:00:00 AM,5.037,0.0,
14,10/03/12 04:00:00 AM,3.893,0.0,
15,10/03/12 07:00:00 AM,5.141,0.0,
16,10/03/12 10:00:00 AM,7.682,850.4,
17,10/03/12 01:00:00 PM,13.558,2927.8,
18,10/03/12 04:00:00 PM,13.269,1205.6,
19,10/03/12 07:00:00 PM,11.041,0.0,
20,10/03/12 10:00:00 PM,9.571,0.0,
21,10/04/12 01:00:00 AM,9.571,0.0,
22,10/04/12 04:00:00 AM,9.176,0.0,
23,10/04/12 07:00:00 AM,8.779,0.0,
24,10/04/12 10:00:00 AM,9.571,775.0,
25,10/04/12 01:00:00 PM,13.750,3100.0,
26,10/04/12 04:00:00 PM,13.846,1173.3,
27,10/04/12 07:00:00 PM,10.748,0.0,
28,10/04/12 10:00:00 PM,8.182,0.0,
29,10/05/12 01:00:00 AM,6.978,0.0,
30,10/05/12 04:00:00 AM,7.179,0.0,
31,10/05/12 07:00:00 AM,8.978,0.0,
32,10/05/12 10:00:00 AM,10.161,818.1,
33,10/05/12 01:00:00 PM,14.038,2927.8,
34,10/05/12 04:00:00 PM,14.230,1162.5,
35,10/05/12 07:00:00 PM,11.722,0.0,
36,10/05/12 10:00:00 PM,10.063,0.0,
37,10/06/12 01:00:00 AM,9.965,0.0,
38,10/06/12 04:00:00 AM,9.176,0.0,
39,10/06/12 07:00:00 AM,10.259,0.0,
40,10/06/12 10:00:00 AM,11.139,753.5,
41,10/06/12 01:00:00 PM,15.760,2755.6,
42,10/06/12 04:00:00 PM,16.046,1151.7,
43,10/06/12 07:00:00 PM,13.365,0.0,
44,10/06/12 10:00:00 PM,10.748,0.0,
45,10/07/12 01:00:00 AM,10.161,0.0,
46,10/07/12 04:00:00 AM,10.161,0.0,
47,10/07/12 07:00:00 AM,10.553,0.0,
48,10/07/12 10:00:00 AM,12.690,731.9,
49,10/07/12 01:00:00 PM,18.711,2755.6,
50,10/07/12 04:00:00 PM,18.331,1097.9,
51,10/07/12 07:00:00 PM,14.996,0.0,
52,10/07/12 10:00:00 PM,12.110,0.0,
53,10/08/12 01:00:00 AM,11.334,0.0,
54,10/08/12 04:00:00 AM,10.553,0.0,
55,10/08/12 07:00:00 AM,9.965,0.0,
56,10/08/12 10:00:00 AM,11.139,721.2,
57,10/08/12 01:00:00 PM,15.855,2669.5,
58,10/08/12 04:00:00 PM,16.141,1324.0,
59,10/08/12 07:00:00 PM,13.750,0.0,
60,10/08/12 10:00:00 PM,10.748,0.0,
61,10/09/12 01:00:00 AM,9.669,0.0,
62,10/09/12 04:00:00 AM,8.879,0.0,
63,10/09/12 07:00:00 AM,8.382,0.0,
64,10/09/12 10:00:00 AM,10.161,731.9,
65,10/09/12 01:00:00 PM,14.421,2669.5,
66,10/09/12 04:00:00 PM,15.569,1044.1,
67,10/09/12 07:00:00 PM,12.594,0.0,
68,10/09/12 10:00:00 PM,10.944,0.0,
69,10/10/12 01:00:00 AM,10.063,0.0,
70,10/10/12 04:00:00 AM,9.965,0.0,
71,10/10/12 07:00:00 AM,8.680,0.0,
72,10/10/12 10:00:00 AM,9.965,699.7,
73,10/10/12 01:00:00 PM,14.517,2583.4,
74,10/10/12 04:00:00 PM,14.517,1001.0,
75,10/10/12 07:00:00 PM,10.748,0.0,
76,10/10/12 10:00:00 PM,8.581,0.0,
77,10/11/12 01:00:00 AM,7.782,0.0,
78,10/11/12 04:00:00 AM,7.882,0.0,
79,10/11/12 07:00:00 AM,7.782,0.0,
80,10/11/12 10:00:00 AM,10.944,731.9,
81,10/11/12 01:00:00 PM,15.187,2583.4,
82,10/11/12 04:00:00 PM,15.473,1044.1,
83,10/11/12 07:00:00 PM,12.883,0.0,
84,10/11/12 10:00:00 PM,10.357,0.0,
85,10/12/12 01:00:00 AM,9.373,0.0,
86,10/12/12 04:00:00 AM,8.779,0.0,
87,10/12/12 07:00:00 AM,8.581,0.0,
88,10/12/12 10:00:00 AM,9.669,2497.2,
89,10/12/12 01:00:00 PM,9.669,1194.8,
90,10/12/12 04:00:00 PM,10.063,861.1,
91,10/12/12 07:00:00 PM,9.768,0.0,
92,10/12/12 10:00:00 PM,9.472,0.0,
93,10/13/12 01:00:00 AM,9.275,0.0,
94,10/13/12 04:00:00 AM,9.077,0.0,
95,10/13/12 07:00:00 AM,9.275,0.0,
96,10/13/12 10:00:00 AM,9.768,269.1,
97,10/13/12 01:00:00 PM,10.651,667.4,
98,10/13/12 04:00:00 PM,10.651,193.8,
99,10/13/12 07:00:00 PM,10.651,0.0,
100,10/13/12 10:00:00 PM,10.651,0.0,
101,10/14/12 01:00:00 AM,10.846,0.0,
102,10/14/12 04:00:00 AM,10.846,0.0,
103,10/14/12 07:00:00 AM,10.455,0.0,
104,10/14/12 10:00:00 AM,11.334,710.4,
105,10/14/12 01:00:00 PM,12.497,807.3,
106,10/14/12 04:00:00 PM,11.431,118.4,
107,10/14/12 07:00:00 PM,10.651,0.0,
108,10/14/12 10:00:00 PM,10.651,0.0,
109,10/15/12 01:00:00 AM,10.553,0.0,
110,10/15/12 04:00:00 AM,10.553,0.0,
111,10/15/12 07:00:00 AM,10.357,0.0,
112,10/15/12 10:00:00 AM,10.161,904.2,
113,10/15/12 01:00:00 PM,11.236,1345.5,
114,10/15/12 04:00:00 PM,10.455,10.8,Logged
