"Plot Title: TO11-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163345, SEN S/N: 10163345)","Intensity, Lux (LGR S/N: 10163345, SEN S/N: 10163345)","Coupler Attached (LGR S/N: 10163345)","Host Connected (LGR S/N: 10163345)","Coupler Detached (LGR S/N: 10163345)","Stopped (LGR S/N: 10163345)","End Of File (LGR S/N: 10163345)"
1,09/24/12 01:00:00 PM,19.377,13777.9,,,,,
2,09/24/12 04:00:00 PM,14.804,990.3,,,,,
3,09/24/12 07:00:00 PM,13.365,118.4,,,,,
4,09/24/12 10:00:00 PM,12.304,0.0,,,,,
5,09/25/12 01:00:00 AM,11.528,0.0,,,,,
6,09/25/12 04:00:00 AM,10.651,0.0,,,,,
7,09/25/12 07:00:00 AM,10.846,0.0,,,,,
8,09/25/12 10:00:00 AM,12.110,2152.8,,,,,
9,09/25/12 01:00:00 PM,15.378,3788.9,,,,,
10,09/25/12 04:00:00 PM,13.558,1377.8,,,,,
11,09/25/12 07:00:00 PM,12.110,0.0,,,,,
12,09/25/12 10:00:00 PM,9.472,0.0,,,,,
13,09/26/12 01:00:00 AM,7.682,0.0,,,,,
14,09/26/12 04:00:00 AM,6.674,0.0,,,,,
15,09/26/12 07:00:00 AM,6.370,0.0,,,,,
16,09/26/12 10:00:00 AM,7.682,1205.6,,,,,
17,09/26/12 01:00:00 PM,18.140,49600.3,,,,,
18,09/26/12 04:00:00 PM,13.558,882.6,,,,,
19,09/26/12 07:00:00 PM,12.787,0.0,,,,,
20,09/26/12 10:00:00 PM,11.139,0.0,,,,,
21,09/27/12 01:00:00 AM,9.866,0.0,,,,,
22,09/27/12 04:00:00 AM,9.077,0.0,,,,,
23,09/27/12 07:00:00 AM,8.581,0.0,,,,,
24,09/27/12 10:00:00 AM,9.866,1291.7,,,,,
25,09/27/12 01:00:00 PM,17.760,7577.8,,,,,
26,09/27/12 04:00:00 PM,15.473,904.2,,,,,
27,09/27/12 07:00:00 PM,13.942,0.0,,,,,
28,09/27/12 10:00:00 PM,12.110,0.0,,,,,
29,09/28/12 01:00:00 AM,11.139,0.0,,,,,
30,09/28/12 04:00:00 AM,10.748,0.0,,,,,
31,09/28/12 07:00:00 AM,11.139,139.9,,,,,
32,09/28/12 10:00:00 AM,12.594,1259.4,,,,,
33,09/28/12 01:00:00 PM,17.189,3961.1,,,,,
34,09/28/12 04:00:00 PM,16.713,1313.2,,,,,
35,09/28/12 07:00:00 PM,14.709,0.0,,,,,
36,09/28/12 10:00:00 PM,12.690,0.0,,,,,
37,09/29/12 01:00:00 AM,11.819,0.0,,,,,
38,09/29/12 04:00:00 AM,11.819,0.0,,,,,
39,09/29/12 07:00:00 AM,11.819,10.8,,,,,
40,09/29/12 10:00:00 AM,12.207,581.3,,,,,
41,09/29/12 01:00:00 PM,12.110,1356.3,,,,,
42,09/29/12 04:00:00 PM,13.461,1377.8,,,,,
43,09/29/12 07:00:00 PM,12.401,0.0,,,,,
44,09/29/12 10:00:00 PM,11.334,0.0,,,,,
45,09/30/12 01:00:00 AM,9.373,0.0,,,,,
46,09/30/12 04:00:00 AM,8.182,0.0,,,,,
47,09/30/12 07:00:00 AM,7.381,10.8,,,,,
48,09/30/12 10:00:00 AM,8.182,1119.5,,,,,
49,09/30/12 01:00:00 PM,17.284,8611.2,,,,,
50,09/30/12 04:00:00 PM,12.594,419.8,,,,,
51,09/30/12 07:00:00 PM,11.625,0.0,,,,,
52,09/30/12 10:00:00 PM,9.866,0.0,,,,,
53,10/01/12 01:00:00 AM,8.879,0.0,,,,,
54,10/01/12 04:00:00 AM,8.481,0.0,,,,,
55,10/01/12 07:00:00 AM,8.282,0.0,,,,,
56,10/01/12 10:00:00 AM,9.768,1130.2,,,,,
57,10/01/12 01:00:00 PM,19.758,14466.8,,,,,
58,10/01/12 04:00:00 PM,14.900,387.5,,,,,
59,10/01/12 07:00:00 PM,13.750,0.0,,,,,
60,10/01/12 10:00:00 PM,12.594,0.0,,,,,
61,10/02/12 01:00:00 AM,12.787,0.0,,,,,
62,10/02/12 04:00:00 AM,11.041,0.0,,,,,
63,10/02/12 07:00:00 AM,10.455,0.0,,,,,
64,10/02/12 10:00:00 AM,8.779,1130.2,,,,,
65,10/02/12 01:00:00 PM,15.760,2927.8,,,,,
66,10/02/12 04:00:00 PM,10.944,333.7,,,,,
67,10/02/12 07:00:00 PM,9.669,0.0,,,,,
68,10/02/12 10:00:00 PM,7.682,0.0,,,,,
69,10/03/12 01:00:00 AM,5.655,0.0,,,,,
70,10/03/12 04:00:00 AM,4.831,0.0,,,,,
71,10/03/12 07:00:00 AM,3.998,0.0,,,,,
72,10/03/12 10:00:00 AM,5.244,1205.6,,,,,
73,10/03/12 01:00:00 PM,13.942,2411.1,,,,,
74,10/03/12 04:00:00 PM,10.063,279.9,,,,,
75,10/03/12 07:00:00 PM,9.176,0.0,,,,,
76,10/03/12 10:00:00 PM,7.280,0.0,,,,,
77,10/04/12 01:00:00 AM,6.471,0.0,,,,,
78,10/04/12 04:00:00 AM,5.757,0.0,,,,,
79,10/04/12 07:00:00 AM,5.037,0.0,,,,,
80,10/04/12 10:00:00 AM,6.370,1141.0,,,,,
81,10/04/12 01:00:00 PM,14.804,1808.3,,,,,
82,10/04/12 04:00:00 PM,10.944,269.1,,,,,
83,10/04/12 07:00:00 PM,9.669,0.0,,,,,
84,10/04/12 10:00:00 PM,7.682,0.0,,,,,
85,10/05/12 01:00:00 AM,6.370,0.0,,,,,
86,10/05/12 04:00:00 AM,5.347,0.0,,,,,
87,10/05/12 07:00:00 AM,4.831,0.0,,,,,
88,10/05/12 10:00:00 AM,6.268,1184.0,,,,,
89,10/05/12 01:00:00 PM,14.517,1463.9,,,,,
90,10/05/12 04:00:00 PM,11.139,247.6,,,,,
91,10/05/12 07:00:00 PM,9.669,0.0,,,,,
92,10/05/12 10:00:00 PM,7.682,0.0,,,,,
93,10/06/12 01:00:00 AM,6.978,0.0,,,,,
94,10/06/12 04:00:00 AM,6.166,0.0,,,,,
95,10/06/12 07:00:00 AM,5.552,0.0,,,,,
96,10/06/12 10:00:00 AM,6.471,1119.5,,,,,
97,10/06/12 01:00:00 PM,12.401,990.3,,,,,
98,10/06/12 04:00:00 PM,11.625,193.8,,,,,
99,10/06/12 07:00:00 PM,10.259,0.0,,,,,
100,10/06/12 10:00:00 PM,8.282,0.0,,,,,
101,10/07/12 01:00:00 AM,7.481,0.0,,,,,
102,10/07/12 04:00:00 AM,7.280,0.0,,,,,
103,10/07/12 07:00:00 AM,6.877,0.0,,,,,
104,10/07/12 10:00:00 AM,8.382,1119.5,,,,,
105,10/07/12 01:00:00 PM,14.134,764.2,,,,,
106,10/07/12 04:00:00 PM,13.076,150.7,,,,,
107,10/07/12 07:00:00 PM,11.528,0.0,,,,,
108,10/07/12 10:00:00 PM,9.768,0.0,,,,,
109,10/08/12 01:00:00 AM,9.275,0.0,,,,,
110,10/08/12 04:00:00 AM,8.382,0.0,,,,,
111,10/08/12 07:00:00 AM,7.582,0.0,,,,,
112,10/08/12 10:00:00 AM,8.282,1097.9,,,,,
113,10/08/12 01:00:00 PM,14.134,1550.0,,,,,
114,10/08/12 04:00:00 PM,12.787,204.5,,,,,
115,10/08/12 07:00:00 PM,11.431,0.0,,,,,
116,10/08/12 10:00:00 PM,9.472,0.0,,,,,
117,10/09/12 01:00:00 AM,8.182,0.0,,,,,
118,10/09/12 04:00:00 AM,7.280,0.0,,,,,
119,10/09/12 07:00:00 AM,6.775,0.0,,,,,
120,10/09/12 10:00:00 AM,7.381,1065.6,,,,,
121,10/09/12 01:00:00 PM,12.304,753.5,,,,,
122,10/09/12 04:00:00 PM,11.528,193.8,,,,,
123,10/09/12 07:00:00 PM,10.553,0.0,,,,,
124,10/09/12 10:00:00 PM,9.275,0.0,,,,,
125,10/10/12 01:00:00 AM,7.882,0.0,,,,,
126,10/10/12 04:00:00 AM,7.179,0.0,,,,,
127,10/10/12 07:00:00 AM,6.674,0.0,,,,,
128,10/10/12 10:00:00 AM,7.381,1065.6,,,,,
129,10/10/12 01:00:00 PM,11.722,462.9,,,,,
130,10/10/12 04:00:00 PM,10.846,172.2,,,,,
131,10/10/12 07:00:00 PM,9.472,0.0,,,,,
132,10/10/12 10:00:00 PM,7.983,0.0,,,,,
133,10/11/12 01:00:00 AM,6.674,0.0,,,,,
134,10/11/12 04:00:00 AM,5.244,0.0,,,,,
135,10/11/12 07:00:00 AM,4.415,0.0,,,,,
136,10/11/12 10:00:00 AM,5.347,1065.6,,,,,
137,10/11/12 01:00:00 PM,9.965,409.0,,,,,
138,10/11/12 04:00:00 PM,10.748,226.0,,,,,
139,10/11/12 07:00:00 PM,9.866,0.0,,,,,
140,10/11/12 10:00:00 PM,8.282,0.0,,,,,
141,10/12/12 01:00:00 AM,7.381,0.0,,,,,
142,10/12/12 04:00:00 AM,6.978,0.0,,,,,
143,10/12/12 07:00:00 AM,7.280,0.0,,,,,
144,10/12/12 10:00:00 AM,8.382,688.9,,,,,
145,10/12/12 01:00:00 PM,9.373,914.9,,,,,
146,10/12/12 04:00:00 PM,10.063,538.2,,,,,
147,10/12/12 07:00:00 PM,10.063,0.0,,,,,
148,10/12/12 10:00:00 PM,9.866,0.0,,,,,
149,10/13/12 01:00:00 AM,9.965,0.0,,,,,
150,10/13/12 04:00:00 AM,9.965,0.0,,,,,
151,10/13/12 07:00:00 AM,10.161,0.0,,,,,
152,10/13/12 10:00:00 AM,10.846,742.7,,,,,
153,10/13/12 01:00:00 PM,11.431,516.7,,,,,
