"Plot Title: AB08-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995168, SEN S/N: 9995168)","Intensity, Lux (LGR S/N: 9995168, SEN S/N: 9995168)","Bad Battery (LGR S/N: 9995168)","End Of File (LGR S/N: 9995168)"
1,09/12/13 01:00:00 PM,21.664,3272.2,,
2,09/12/13 04:00:00 PM,24.738,4133.4,,
3,09/12/13 07:00:00 PM,20.710,161.5,,
4,09/12/13 10:00:00 PM,16.999,0.0,,
5,09/13/13 01:00:00 AM,15.473,0.0,,
6,09/13/13 04:00:00 AM,14.325,0.0,,
7,09/13/13 07:00:00 AM,13.654,107.6,,
8,09/13/13 10:00:00 AM,14.996,1377.8,,
9,09/13/13 01:00:00 PM,20.519,3788.9,,
10,09/13/13 04:00:00 PM,22.333,3961.1,,
11,09/13/13 07:00:00 PM,18.711,139.9,,
12,09/13/13 10:00:00 PM,15.187,0.0,,
13,09/14/13 01:00:00 AM,13.558,0.0,,
14,09/14/13 04:00:00 AM,13.461,0.0,,
15,09/14/13 07:00:00 AM,14.325,107.6,,
16,09/14/13 10:00:00 AM,17.189,1377.8,,
17,09/14/13 01:00:00 PM,22.142,3444.5,,
18,09/14/13 04:00:00 PM,24.738,8611.2,,
19,09/14/13 07:00:00 PM,22.621,656.6,,
20,09/14/13 10:00:00 PM,19.092,0.0,,
21,09/15/13 01:00:00 AM,17.475,0.0,,
22,09/15/13 04:00:00 AM,18.236,0.0,,
23,09/15/13 07:00:00 AM,18.045,172.2,,
24,09/15/13 10:00:00 AM,20.329,2755.6,,
25,09/15/13 01:00:00 PM,24.448,5166.7,,
26,09/15/13 04:00:00 PM,18.236,7233.4,,
27,09/15/13 07:00:00 PM,13.750,215.3,,
28,09/15/13 10:00:00 PM,12.883,0.0,,
29,09/16/13 01:00:00 AM,12.401,0.0,,
30,09/16/13 04:00:00 AM,11.819,0.0,,
31,09/16/13 07:00:00 AM,11.139,118.4,,
32,09/16/13 10:00:00 AM,11.916,5166.7,,
33,09/16/13 01:00:00 PM,12.497,3616.7,,
34,09/16/13 04:00:00 PM,12.883,6200.0,,
35,09/16/13 07:00:00 PM,11.431,139.9,,
36,09/16/13 10:00:00 PM,10.846,0.0,,
37,09/17/13 01:00:00 AM,10.455,0.0,,
38,09/17/13 04:00:00 AM,9.768,0.0,,
39,09/17/13 07:00:00 AM,9.275,118.4,,
