"Plot Title: AG05-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995220, SEN S/N: 9995220)","Intensity, Lux (LGR S/N: 9995220, SEN S/N: 9995220)","End Of File (LGR S/N: 9995220)"
1,09/16/13 04:00:00 PM,13.365,2755.6,
2,09/16/13 07:00:00 PM,12.401,21.5,
3,09/16/13 10:00:00 PM,11.916,0.0,
4,09/17/13 01:00:00 AM,11.236,0.0,
5,09/17/13 04:00:00 AM,10.846,0.0,
6,09/17/13 07:00:00 AM,10.357,0.0,
7,09/17/13 10:00:00 AM,10.161,1205.6,
8,09/17/13 01:00:00 PM,10.063,731.9,
9,09/17/13 04:00:00 PM,10.259,1227.1,
10,09/17/13 07:00:00 PM,9.571,10.8,
11,09/17/13 10:00:00 PM,9.373,0.0,
12,09/18/13 01:00:00 AM,8.481,0.0,
13,09/18/13 04:00:00 AM,8.481,0.0,
14,09/18/13 07:00:00 AM,8.182,0.0,
15,09/18/13 10:00:00 AM,8.680,1001.0,
16,09/18/13 01:00:00 PM,10.357,1087.2,
17,09/18/13 04:00:00 PM,11.431,893.4,
18,09/18/13 07:00:00 PM,10.651,21.5,
19,09/18/13 10:00:00 PM,8.581,0.0,
20,09/19/13 01:00:00 AM,7.582,0.0,
21,09/19/13 04:00:00 AM,7.179,0.0,
22,09/19/13 07:00:00 AM,7.381,0.0,
23,09/19/13 10:00:00 AM,8.382,279.9,
24,09/19/13 01:00:00 PM,11.916,1550.0,
25,09/19/13 04:00:00 PM,13.558,871.9,
26,09/19/13 07:00:00 PM,13.365,10.8,
27,09/19/13 10:00:00 PM,11.916,0.0,
28,09/20/13 01:00:00 AM,11.236,0.0,
29,09/20/13 04:00:00 AM,10.846,0.0,
30,09/20/13 07:00:00 AM,10.651,21.5,
31,09/20/13 10:00:00 AM,11.819,775.0,
32,09/20/13 01:00:00 PM,14.038,1162.5,
33,09/20/13 04:00:00 PM,14.804,1270.1,
34,09/20/13 07:00:00 PM,13.654,0.0,
35,09/20/13 10:00:00 PM,11.916,0.0,
36,09/21/13 01:00:00 AM,11.236,0.0,
37,09/21/13 04:00:00 AM,10.553,0.0,
38,09/21/13 07:00:00 AM,9.965,0.0,
39,09/21/13 10:00:00 AM,10.553,1280.9,
40,09/21/13 01:00:00 PM,11.625,1054.9,
41,09/21/13 04:00:00 PM,12.207,592.0,
42,09/21/13 07:00:00 PM,10.846,0.0,
43,09/21/13 10:00:00 PM,10.259,0.0,
44,09/22/13 01:00:00 AM,9.768,0.0,
45,09/22/13 04:00:00 AM,9.373,0.0,
46,09/22/13 07:00:00 AM,8.680,0.0,
47,09/22/13 10:00:00 AM,8.382,602.8,
48,09/22/13 01:00:00 PM,8.680,161.5,
49,09/22/13 04:00:00 PM,8.282,409.0,
50,09/22/13 07:00:00 PM,8.581,0.0,
51,09/22/13 10:00:00 PM,8.282,0.0,
52,09/23/13 01:00:00 AM,7.782,0.0,
53,09/23/13 04:00:00 AM,7.682,0.0,
54,09/23/13 07:00:00 AM,7.481,0.0,
55,09/23/13 10:00:00 AM,7.983,1033.3,
56,09/23/13 01:00:00 PM,8.282,645.8,
57,09/23/13 04:00:00 PM,8.680,635.1,
58,09/23/13 07:00:00 PM,8.481,0.0,
59,09/23/13 10:00:00 PM,7.481,0.0,
60,09/24/13 01:00:00 AM,6.775,0.0,
61,09/24/13 04:00:00 AM,6.064,0.0,
62,09/24/13 07:00:00 AM,5.655,0.0,
63,09/24/13 10:00:00 AM,6.166,904.2,
64,09/24/13 01:00:00 PM,7.682,1808.3,
65,09/24/13 04:00:00 PM,8.481,1345.5,
66,09/24/13 07:00:00 PM,6.573,0.0,
67,09/24/13 10:00:00 PM,5.962,0.0,
68,09/25/13 01:00:00 AM,5.962,0.0,
69,09/25/13 04:00:00 AM,5.552,0.0,
70,09/25/13 07:00:00 AM,5.655,0.0,
71,09/25/13 10:00:00 AM,6.064,775.0,
72,09/25/13 01:00:00 PM,7.280,1550.0,
73,09/25/13 04:00:00 PM,7.682,1722.2,
74,09/25/13 07:00:00 PM,6.877,0.0,
75,09/25/13 10:00:00 PM,6.166,0.0,
76,09/26/13 01:00:00 AM,5.757,0.0,
77,09/26/13 04:00:00 AM,5.655,0.0,
78,09/26/13 07:00:00 AM,4.415,0.0,
79,09/26/13 10:00:00 AM,4.831,215.3,
80,09/26/13 01:00:00 PM,7.280,1463.9,
81,09/26/13 04:00:00 PM,8.382,947.2,
82,09/26/13 07:00:00 PM,7.682,0.0,
83,09/26/13 10:00:00 PM,6.370,0.0,
84,09/27/13 01:00:00 AM,5.244,0.0,
85,09/27/13 04:00:00 AM,5.244,0.0,
86,09/27/13 07:00:00 AM,6.064,0.0,
87,09/27/13 10:00:00 AM,6.674,678.1,
88,09/27/13 01:00:00 PM,6.674,419.8,
89,09/27/13 04:00:00 PM,7.381,96.9,
90,09/27/13 07:00:00 PM,7.882,0.0,
91,09/27/13 10:00:00 PM,7.983,0.0,
92,09/28/13 01:00:00 AM,7.983,0.0,
