"Plot Title: AG05-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995222, SEN S/N: 9995222)","Intensity, Lux (LGR S/N: 9995222, SEN S/N: 9995222)","Coupler Attached (LGR S/N: 9995222)","Host Connected (LGR S/N: 9995222)","Stopped (LGR S/N: 9995222)","End Of File (LGR S/N: 9995222)"
1,09/16/13 04:00:00 PM,13.173,2152.8,,,,
2,09/16/13 07:00:00 PM,12.207,21.5,,,,
3,09/16/13 10:00:00 PM,11.722,0.0,,,,
4,09/17/13 01:00:00 AM,11.139,0.0,,,,
5,09/17/13 04:00:00 AM,10.748,0.0,,,,
6,09/17/13 07:00:00 AM,10.161,0.0,,,,
7,09/17/13 10:00:00 AM,10.063,1151.7,,,,
8,09/17/13 01:00:00 PM,9.866,721.2,,,,
9,09/17/13 04:00:00 PM,9.965,1076.4,,,,
10,09/17/13 07:00:00 PM,9.472,10.8,,,,
11,09/17/13 10:00:00 PM,9.176,0.0,,,,
12,09/18/13 01:00:00 AM,8.282,0.0,,,,
13,09/18/13 04:00:00 AM,8.382,0.0,,,,
14,09/18/13 07:00:00 AM,8.082,0.0,,,,
15,09/18/13 10:00:00 AM,8.481,1011.8,,,,
16,09/18/13 01:00:00 PM,10.161,1001.0,,,,
17,09/18/13 04:00:00 PM,11.236,882.6,,,,
18,09/18/13 07:00:00 PM,10.553,21.5,,,,
19,09/18/13 10:00:00 PM,8.581,0.0,,,,
20,09/19/13 01:00:00 AM,7.682,0.0,,,,
21,09/19/13 04:00:00 AM,7.179,0.0,,,,
22,09/19/13 07:00:00 AM,7.280,0.0,,,,
23,09/19/13 10:00:00 AM,8.182,236.8,,,,
24,09/19/13 01:00:00 PM,12.304,1980.6,,,,
25,09/19/13 04:00:00 PM,14.134,721.2,,,,
26,09/19/13 07:00:00 PM,13.654,10.8,,,,
27,09/19/13 10:00:00 PM,11.819,0.0,,,,
28,09/20/13 01:00:00 AM,11.139,0.0,,,,
29,09/20/13 04:00:00 AM,10.651,0.0,,,,
30,09/20/13 07:00:00 AM,10.553,21.5,,,,
31,09/20/13 10:00:00 AM,11.722,731.9,,,,
32,09/20/13 01:00:00 PM,14.421,1205.6,,,,
33,09/20/13 04:00:00 PM,15.187,1044.1,,,,
34,09/20/13 07:00:00 PM,13.558,0.0,,,,
35,09/20/13 10:00:00 PM,11.722,0.0,,,,
36,09/21/13 01:00:00 AM,11.139,0.0,,,,
37,09/21/13 04:00:00 AM,10.455,0.0,,,,
38,09/21/13 07:00:00 AM,9.768,0.0,,,,
39,09/21/13 10:00:00 AM,10.357,1033.3,,,,
40,09/21/13 01:00:00 PM,11.528,1334.7,,,,
41,09/21/13 04:00:00 PM,12.207,527.4,,,,
42,09/21/13 07:00:00 PM,10.651,0.0,,,,
43,09/21/13 10:00:00 PM,9.965,0.0,,,,
44,09/22/13 01:00:00 AM,9.571,0.0,,,,
45,09/22/13 04:00:00 AM,9.077,0.0,,,,
46,09/22/13 07:00:00 AM,8.481,0.0,,,,
47,09/22/13 10:00:00 AM,8.282,527.4,,,,
48,09/22/13 01:00:00 PM,8.481,139.9,,,,
49,09/22/13 04:00:00 PM,8.082,344.4,,,,
50,09/22/13 07:00:00 PM,8.382,0.0,,,,
51,09/22/13 10:00:00 PM,8.182,0.0,,,,
52,09/23/13 01:00:00 AM,7.582,0.0,,,,
53,09/23/13 04:00:00 AM,7.481,0.0,,,,
54,09/23/13 07:00:00 AM,7.381,0.0,,,,
55,09/23/13 10:00:00 AM,7.882,1130.2,,,,
56,09/23/13 01:00:00 PM,8.082,570.5,,,,
57,09/23/13 04:00:00 PM,8.481,516.7,,,,
58,09/23/13 07:00:00 PM,8.282,0.0,,,,
59,09/23/13 10:00:00 PM,7.381,0.0,,,,
60,09/24/13 01:00:00 AM,6.775,0.0,,,,
61,09/24/13 04:00:00 AM,5.962,0.0,,,,
62,09/24/13 07:00:00 AM,5.655,0.0,,,,
63,09/24/13 10:00:00 AM,6.064,850.4,,,,
64,09/24/13 01:00:00 PM,7.481,1550.0,,,,
65,09/24/13 04:00:00 PM,8.182,1022.6,,,,
66,09/24/13 07:00:00 PM,6.573,0.0,,,,
67,09/24/13 10:00:00 PM,5.962,0.0,,,,
68,09/25/13 01:00:00 AM,5.860,0.0,,,,
69,09/25/13 04:00:00 AM,5.552,0.0,,,,
70,09/25/13 07:00:00 AM,5.552,0.0,,,,
71,09/25/13 10:00:00 AM,5.860,699.7,,,,
72,09/25/13 01:00:00 PM,7.079,1463.9,,,,
73,09/25/13 04:00:00 PM,7.481,1636.1,,,,
74,09/25/13 07:00:00 PM,6.775,0.0,,,,
75,09/25/13 10:00:00 PM,6.064,0.0,,,,
76,09/26/13 01:00:00 AM,5.757,0.0,,,,
77,09/26/13 04:00:00 AM,5.552,0.0,,,,
78,09/26/13 07:00:00 AM,4.415,0.0,,,,
79,09/26/13 10:00:00 AM,4.831,193.8,,,,
80,09/26/13 01:00:00 PM,7.079,1550.0,,,,
81,09/26/13 04:00:00 PM,8.282,968.8,,,,
82,09/26/13 07:00:00 PM,7.481,0.0,,,,
83,09/26/13 10:00:00 PM,6.370,0.0,,,,
84,09/27/13 01:00:00 AM,5.347,0.0,,,,
85,09/27/13 04:00:00 AM,5.244,0.0,,,,
86,09/27/13 07:00:00 AM,5.860,0.0,,,,
87,09/27/13 10:00:00 AM,6.471,635.1,,,,
88,09/27/13 01:00:00 PM,6.573,376.7,,,,
89,09/27/13 04:00:00 PM,7.381,86.1,,,,
90,09/27/13 07:00:00 PM,7.782,0.0,,,,
91,09/27/13 10:00:00 PM,7.882,0.0,,,,
92,09/28/13 01:00:00 AM,7.882,0.0,,,,
93,09/28/13 04:00:00 AM,7.782,0.0,,,,
94,09/28/13 07:00:00 AM,8.481,0.0,,,,
95,09/28/13 10:00:00 AM,9.571,150.7,,,,
96,09/28/13 01:00:00 PM,10.161,279.9,,,,
97,09/28/13 04:00:00 PM,10.357,172.2,,,,
98,09/28/13 07:00:00 PM,9.275,0.0,,,,
99,09/28/13 10:00:00 PM,6.573,0.0,,,,
100,09/29/13 01:00:00 AM,6.370,0.0,,,,
101,09/29/13 04:00:00 AM,6.166,0.0,,,,
102,09/29/13 07:00:00 AM,5.962,0.0,,,,
103,09/29/13 10:00:00 AM,5.655,236.8,,,,
104,09/29/13 01:00:00 PM,5.347,742.7,,,,
105,09/29/13 04:00:00 PM,5.450,538.2,,,,
106,09/29/13 07:00:00 PM,6.064,0.0,,,,
107,09/29/13 10:00:00 PM,7.280,0.0,,,,
108,09/30/13 01:00:00 AM,5.244,0.0,,,,
109,09/30/13 04:00:00 AM,4.311,0.0,,,,
110,09/30/13 07:00:00 AM,4.102,0.0,,,,
111,09/30/13 10:00:00 AM,5.141,172.2,,,,
112,09/30/13 01:00:00 PM,4.415,538.2,,,,
113,09/30/13 04:00:00 PM,5.141,527.4,,,,
114,09/30/13 07:00:00 PM,4.934,0.0,,,,
