"Plot Title: AO03-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995218, SEN S/N: 9995218)","Intensity, Lux (LGR S/N: 9995218, SEN S/N: 9995218)","End Of File (LGR S/N: 9995218)"
1,09/14/13 01:00:00 PM,20.329,3444.5,
2,09/14/13 04:00:00 PM,20.424,1377.8,
3,09/14/13 07:00:00 PM,17.760,312.2,
4,09/14/13 10:00:00 PM,15.664,0.0,
5,09/15/13 01:00:00 AM,14.900,0.0,
6,09/15/13 04:00:00 AM,14.996,0.0,
7,09/15/13 07:00:00 AM,14.613,96.9,
8,09/15/13 10:00:00 AM,15.760,4822.3,
9,09/15/13 01:00:00 PM,19.567,3788.9,
10,09/15/13 04:00:00 PM,16.618,107.6,
11,09/15/13 07:00:00 PM,14.804,21.5,
12,09/15/13 10:00:00 PM,13.942,0.0,
13,09/16/13 01:00:00 AM,13.269,0.0,
14,09/16/13 04:00:00 AM,12.883,0.0,
15,09/16/13 07:00:00 AM,12.304,64.6,
16,09/16/13 10:00:00 AM,12.883,2411.1,
17,09/16/13 01:00:00 PM,13.173,2755.6,
18,09/16/13 04:00:00 PM,13.365,2755.6,
19,09/16/13 07:00:00 PM,12.594,75.3,
20,09/16/13 10:00:00 PM,12.110,0.0,
21,09/17/13 01:00:00 AM,11.722,0.0,
22,09/17/13 04:00:00 AM,11.528,0.0,
23,09/17/13 07:00:00 AM,11.139,32.3,
24,09/17/13 10:00:00 AM,11.334,3100.0,
25,09/17/13 01:00:00 PM,11.819,2755.6,
26,09/17/13 04:00:00 PM,11.041,1377.8,
27,09/17/13 07:00:00 PM,10.455,32.3,
28,09/17/13 10:00:00 PM,10.063,0.0,
29,09/18/13 01:00:00 AM,9.373,0.0,
30,09/18/13 04:00:00 AM,9.275,0.0,
31,09/18/13 07:00:00 AM,9.275,21.5,
32,09/18/13 10:00:00 AM,10.063,2238.9,
33,09/18/13 01:00:00 PM,12.013,2755.6,
34,09/18/13 04:00:00 PM,11.625,2927.8,
35,09/18/13 07:00:00 PM,10.455,64.6,
