"Plot Title: AV02-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995203, SEN S/N: 9995203)","Intensity, Lux (LGR S/N: 9995203, SEN S/N: 9995203)","End Of File (LGR S/N: 9995203)"
1,09/14/13 01:00:00 PM,21.091,2583.4,
2,09/14/13 04:00:00 PM,22.717,1011.8,
3,09/14/13 07:00:00 PM,19.377,172.2,
4,09/14/13 10:00:00 PM,16.427,0.0,
5,09/15/13 01:00:00 AM,15.473,0.0,
6,09/15/13 04:00:00 AM,15.664,0.0,
7,09/15/13 07:00:00 AM,14.996,53.8,
8,09/15/13 10:00:00 AM,15.473,3272.2,
9,09/15/13 01:00:00 PM,19.187,2927.8,
10,09/15/13 04:00:00 PM,16.808,53.8,
11,09/15/13 07:00:00 PM,14.709,0.0,
12,09/15/13 10:00:00 PM,13.750,0.0,
13,09/16/13 01:00:00 AM,12.883,0.0,
14,09/16/13 04:00:00 AM,12.401,0.0,
15,09/16/13 07:00:00 AM,11.625,32.3,
16,09/16/13 10:00:00 AM,11.819,1345.5,
17,09/16/13 01:00:00 PM,12.013,1356.3,
18,09/16/13 04:00:00 PM,12.497,1313.2,
19,09/16/13 07:00:00 PM,12.207,32.3,
20,09/16/13 10:00:00 PM,11.625,0.0,
21,09/17/13 01:00:00 AM,11.236,0.0,
22,09/17/13 04:00:00 AM,10.944,0.0,
23,09/17/13 07:00:00 AM,10.455,10.8,
24,09/17/13 10:00:00 AM,10.161,1463.9,
25,09/17/13 01:00:00 PM,10.553,1248.6,
26,09/17/13 04:00:00 PM,10.357,592.0,
27,09/17/13 07:00:00 PM,9.965,0.0,
28,09/17/13 10:00:00 PM,9.472,0.0,
29,09/18/13 01:00:00 AM,8.879,0.0,
30,09/18/13 04:00:00 AM,8.581,0.0,
31,09/18/13 07:00:00 AM,8.481,0.0,
32,09/18/13 10:00:00 AM,8.978,1259.4,
33,09/18/13 01:00:00 PM,10.455,1636.1,
34,09/18/13 04:00:00 PM,11.041,1463.9,
35,09/18/13 07:00:00 PM,9.866,21.5,
36,09/18/13 10:00:00 PM,7.782,0.0,
37,09/19/13 01:00:00 AM,6.268,0.0,
38,09/19/13 04:00:00 AM,5.552,0.0,
39,09/19/13 07:00:00 AM,5.037,10.8,
40,09/19/13 10:00:00 AM,5.962,2927.8,
41,09/19/13 01:00:00 PM,12.980,2927.8,
42,09/19/13 04:00:00 PM,13.942,828.8,
43,09/19/13 07:00:00 PM,11.722,10.8,
