"Plot Title: AV06-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995229, SEN S/N: 9995229)","Intensity, Lux (LGR S/N: 9995229, SEN S/N: 9995229)","Coupler Attached (LGR S/N: 9995229)","Coupler Detached (LGR S/N: 9995229)","Host Connected (LGR S/N: 9995229)","Stopped (LGR S/N: 9995229)","End Of File (LGR S/N: 9995229)"
1,09/16/13 07:00:00 PM,11.819,43.1,,,,,
2,09/16/13 10:00:00 PM,11.236,0.0,,,,,
3,09/17/13 01:00:00 AM,10.748,0.0,,,,,
4,09/17/13 04:00:00 AM,10.357,0.0,,,,,
5,09/17/13 07:00:00 AM,9.866,0.0,,,,,
6,09/17/13 10:00:00 AM,9.866,1463.9,,,,,
7,09/17/13 01:00:00 PM,9.669,1248.6,,,,,
8,09/17/13 04:00:00 PM,9.965,3444.5,,,,,
9,09/17/13 07:00:00 PM,8.581,32.3,,,,,
10,09/17/13 10:00:00 PM,8.382,0.0,,,,,
11,09/18/13 01:00:00 AM,7.582,0.0,,,,,
12,09/18/13 04:00:00 AM,7.682,0.0,,,,,
13,09/18/13 07:00:00 AM,7.381,10.8,,,,,
14,09/18/13 10:00:00 AM,7.782,602.8,,,,,
15,09/18/13 01:00:00 PM,9.472,1377.8,,,,,
16,09/18/13 04:00:00 PM,10.259,1216.3,,,,,
17,09/18/13 07:00:00 PM,9.275,64.6,,,,,
18,09/18/13 10:00:00 PM,7.481,0.0,,,,,
19,09/19/13 01:00:00 AM,6.370,0.0,,,,,
20,09/19/13 04:00:00 AM,5.655,0.0,,,,,
21,09/19/13 07:00:00 AM,5.450,21.5,,,,,
22,09/19/13 10:00:00 AM,7.782,1270.1,,,,,
23,09/19/13 01:00:00 PM,12.980,4133.4,,,,,
24,09/19/13 04:00:00 PM,14.421,1894.5,,,,,
25,09/19/13 07:00:00 PM,12.110,32.3,,,,,
26,09/19/13 10:00:00 PM,10.357,0.0,,,,,
27,09/20/13 01:00:00 AM,10.063,0.0,,,,,
28,09/20/13 04:00:00 AM,9.866,0.0,,,,,
29,09/20/13 07:00:00 AM,9.472,64.6,,,,,
30,09/20/13 10:00:00 AM,11.625,1894.5,,,,,
31,09/20/13 01:00:00 PM,15.282,3272.2,,,,,
32,09/20/13 04:00:00 PM,15.378,2152.8,,,,,
33,09/20/13 07:00:00 PM,13.269,0.0,,,,,
34,09/20/13 10:00:00 PM,11.431,0.0,,,,,
35,09/21/13 01:00:00 AM,10.846,0.0,,,,,
36,09/21/13 04:00:00 AM,10.161,0.0,,,,,
37,09/21/13 07:00:00 AM,9.571,0.0,,,,,
38,09/21/13 10:00:00 AM,10.357,1636.1,,,,,
39,09/21/13 01:00:00 PM,13.654,3961.1,,,,,
40,09/21/13 04:00:00 PM,12.594,904.2,,,,,
41,09/21/13 07:00:00 PM,10.357,0.0,,,,,
42,09/21/13 10:00:00 PM,9.669,0.0,,,,,
43,09/22/13 01:00:00 AM,9.176,0.0,,,,,
44,09/22/13 04:00:00 AM,8.680,0.0,,,,,
45,09/22/13 07:00:00 AM,7.983,0.0,,,,,
46,09/22/13 10:00:00 AM,7.882,925.7,,,,,
47,09/22/13 01:00:00 PM,8.082,301.4,,,,,
48,09/22/13 04:00:00 PM,7.582,624.3,,,,,
49,09/22/13 07:00:00 PM,7.682,0.0,,,,,
50,09/22/13 10:00:00 PM,7.582,0.0,,,,,
51,09/23/13 01:00:00 AM,7.079,0.0,,,,,
52,09/23/13 04:00:00 AM,6.877,0.0,,,,,
53,09/23/13 07:00:00 AM,6.674,0.0,,,,,
54,09/23/13 10:00:00 AM,7.481,1980.6,,,,,
55,09/23/13 01:00:00 PM,7.682,1550.0,,,,,
56,09/23/13 04:00:00 PM,7.983,1237.9,,,,,
57,09/23/13 07:00:00 PM,7.582,0.0,,,,,
58,09/23/13 10:00:00 PM,6.978,0.0,,,,,
59,09/24/13 01:00:00 AM,6.268,0.0,,,,,
60,09/24/13 04:00:00 AM,5.347,0.0,,,,,
61,09/24/13 07:00:00 AM,4.831,10.8,,,,,
62,09/24/13 10:00:00 AM,5.655,1636.1,,,,,
63,09/24/13 01:00:00 PM,6.978,2411.1,,,,,
64,09/24/13 04:00:00 PM,7.882,1808.3,,,,,
65,09/24/13 07:00:00 PM,6.268,0.0,,,,,
66,09/24/13 10:00:00 PM,5.450,0.0,,,,,
67,09/25/13 01:00:00 AM,5.244,0.0,,,,,
68,09/25/13 04:00:00 AM,5.037,0.0,,,,,
69,09/25/13 07:00:00 AM,4.934,0.0,,,,,
70,09/25/13 10:00:00 AM,5.552,2066.7,,,,,
71,09/25/13 01:00:00 PM,7.280,2927.8,,,,,
72,09/25/13 04:00:00 PM,6.978,1463.9,,,,,
73,09/25/13 07:00:00 PM,6.268,0.0,,,,,
74,09/25/13 10:00:00 PM,5.552,0.0,,,,,
75,09/26/13 01:00:00 AM,5.347,0.0,,,,,
76,09/26/13 04:00:00 AM,4.831,0.0,,,,,
77,09/26/13 07:00:00 AM,3.683,0.0,,,,,
78,09/26/13 10:00:00 AM,4.519,667.4,,,,,
79,09/26/13 01:00:00 PM,8.082,5166.7,,,,,
80,09/26/13 04:00:00 PM,8.581,2927.8,,,,,
81,09/26/13 07:00:00 PM,7.280,10.8,,,,,
82,09/26/13 10:00:00 PM,6.166,0.0,,,,,
83,09/27/13 01:00:00 AM,4.727,0.0,,,,,
84,09/27/13 04:00:00 AM,4.415,0.0,,,,,
85,09/27/13 07:00:00 AM,4.934,0.0,,,,,
86,09/27/13 10:00:00 AM,5.757,1377.8,,,,,
87,09/27/13 01:00:00 PM,6.064,516.7,,,,,
88,09/27/13 04:00:00 PM,6.775,247.6,,,,,
89,09/27/13 07:00:00 PM,7.179,0.0,,,,,
90,09/27/13 10:00:00 PM,7.179,0.0,,,,,
91,09/28/13 01:00:00 AM,7.280,0.0,,,,,
92,09/28/13 04:00:00 AM,7.381,0.0,,,,,
93,09/28/13 07:00:00 AM,7.582,0.0,,,,,
94,09/28/13 10:00:00 AM,8.680,183.0,,,,,
95,09/28/13 01:00:00 PM,9.373,333.7,,,,,
96,09/28/13 04:00:00 PM,9.472,290.6,,,,,
97,09/28/13 07:00:00 PM,8.779,0.0,,,,,
98,09/28/13 10:00:00 PM,6.370,0.0,,,,,
99,09/29/13 01:00:00 AM,6.064,0.0,,,,,
100,09/29/13 04:00:00 AM,5.757,0.0,,,,,
101,09/29/13 07:00:00 AM,5.552,0.0,,,,,
102,09/29/13 10:00:00 AM,5.141,505.9,,,,,
103,09/29/13 01:00:00 PM,5.244,1119.5,,,,,
104,09/29/13 04:00:00 PM,5.244,602.8,,,,,
105,09/29/13 07:00:00 PM,5.757,0.0,,,,,
106,09/29/13 10:00:00 PM,6.775,0.0,,,,,
107,09/30/13 01:00:00 AM,4.519,0.0,,,,,
108,09/30/13 04:00:00 AM,3.578,0.0,,,,,
109,09/30/13 07:00:00 AM,3.155,0.0,,,,,
110,09/30/13 10:00:00 AM,4.311,839.6,,,,,
111,09/30/13 01:00:00 PM,3.578,710.4,,,,,
112,09/30/13 04:00:00 PM,4.415,1636.1,,,,,
113,09/30/13 07:00:00 PM,3.998,0.0,,,,,
114,09/30/13 10:00:00 PM,2.303,0.0,,,,,
115,10/01/13 01:00:00 AM,2.624,0.0,,,,,
116,10/01/13 04:00:00 AM,2.624,0.0,,,,,
117,10/01/13 07:00:00 AM,2.837,0.0,,,,,
118,10/01/13 10:00:00 AM,3.049,1141.0,,,,,
119,10/01/13 01:00:00 PM,3.998,2325.0,,,,,
120,10/01/13 04:00:00 PM,4.727,1001.0,,,,,
121,10/01/13 07:00:00 PM,3.893,0.0,,,,,
122,10/01/13 10:00:00 PM,3.788,0.0,,,,,
123,10/02/13 01:00:00 AM,3.893,0.0,,,,,
124,10/02/13 04:00:00 AM,3.788,0.0,,,,,
125,10/02/13 07:00:00 AM,3.578,0.0,,,,,
126,10/02/13 10:00:00 AM,4.311,1722.2,,,,,
127,10/02/13 01:00:00 PM,5.962,2497.2,,,,,
128,10/02/13 04:00:00 PM,5.757,2927.8,,,,,
129,10/02/13 07:00:00 PM,3.472,0.0,,,,,
130,10/02/13 10:00:00 PM,3.367,0.0,,,,,
131,10/03/13 01:00:00 AM,3.261,0.0,,,,,
132,10/03/13 04:00:00 AM,2.837,0.0,,,,,
133,10/03/13 07:00:00 AM,2.195,0.0,,,,,
134,10/03/13 10:00:00 AM,2.517,882.6,,,,,
135,10/03/13 01:00:00 PM,5.141,4822.3,,,,,
136,10/03/13 04:00:00 PM,6.370,2669.5,,,,,
137,10/03/13 07:00:00 PM,5.450,0.0,,,,,
138,10/03/13 10:00:00 PM,3.788,0.0,,,,,
139,10/04/13 01:00:00 AM,2.517,0.0,,,,,
140,10/04/13 04:00:00 AM,2.088,0.0,,,,,
141,10/04/13 07:00:00 AM,1.656,10.8,,,,,
142,10/04/13 10:00:00 AM,3.155,1894.5,,,,,
143,10/04/13 01:00:00 PM,6.978,2755.6,,,,,
144,10/04/13 04:00:00 PM,8.082,1550.0,,,,,
145,10/04/13 07:00:00 PM,6.268,0.0,,,,,
146,10/04/13 10:00:00 PM,4.831,0.0,,,,,
147,10/05/13 01:00:00 AM,4.102,0.0,,,,,
148,10/05/13 04:00:00 AM,3.893,0.0,,,,,
149,10/05/13 07:00:00 AM,4.102,0.0,,,,,
150,10/05/13 10:00:00 AM,5.860,1205.6,,,,,
151,10/05/13 01:00:00 PM,11.139,2755.6,,,,,
152,10/05/13 04:00:00 PM,12.013,1463.9,,,,,
153,10/05/13 07:00:00 PM,9.571,0.0,,,,,
154,10/05/13 10:00:00 PM,7.882,0.0,,,,,
155,10/06/13 01:00:00 AM,7.381,0.0,,,,,
156,10/06/13 04:00:00 AM,6.978,0.0,,,,,
157,10/06/13 07:00:00 AM,6.573,0.0,,,,,
158,10/06/13 10:00:00 AM,7.582,1550.0,,,,,
159,10/06/13 01:00:00 PM,12.497,2755.6,,,,,
160,10/06/13 04:00:00 PM,12.980,1291.7,,,,,
161,10/06/13 07:00:00 PM,9.866,0.0,,,,,
162,10/06/13 10:00:00 PM,8.282,0.0,,,,,
163,10/07/13 01:00:00 AM,8.382,0.0,,,,,
164,10/07/13 04:00:00 AM,7.280,0.0,,,,,
165,10/07/13 07:00:00 AM,6.775,0.0,,,,,
166,10/07/13 10:00:00 AM,6.166,785.8,,,,,
167,10/07/13 01:00:00 PM,5.552,2583.4,,,,,
168,10/07/13 04:00:00 PM,5.655,279.9,,,,,
169,10/07/13 07:00:00 PM,4.934,0.0,,,,,
170,10/07/13 10:00:00 PM,4.415,0.0,,,,,
171,10/08/13 01:00:00 AM,4.623,0.0,,,,,
172,10/08/13 04:00:00 AM,4.207,0.0,,,,,
173,10/08/13 07:00:00 AM,3.893,0.0,,,,,
174,10/08/13 10:00:00 AM,3.788,667.4,,,,,
175,10/08/13 01:00:00 PM,4.519,2152.8,,,,,
176,10/08/13 04:00:00 PM,3.367,1076.4,,,,,
177,10/08/13 07:00:00 PM,3.261,0.0,,,,,
178,10/08/13 10:00:00 PM,2.195,0.0,,,,,
179,10/09/13 01:00:00 AM,1.656,0.0,,,,,
180,10/09/13 04:00:00 AM,1.112,0.0,,,,,
181,10/09/13 07:00:00 AM,1.003,0.0,,,,,
182,10/09/13 10:00:00 AM,1.330,871.9,,,,,
183,10/09/13 01:00:00 PM,5.450,3444.5,,,,,
184,10/09/13 04:00:00 PM,6.166,1808.3,,,,,
185,10/09/13 07:00:00 PM,5.244,0.0,,,,,
186,10/09/13 10:00:00 PM,4.831,0.0,,,,,
187,10/10/13 01:00:00 AM,4.311,0.0,,,,,
188,10/10/13 04:00:00 AM,2.837,0.0,,,,,
189,10/10/13 07:00:00 AM,1.980,0.0,,,,,
190,10/10/13 10:00:00 AM,3.261,1313.2,,,,,
191,10/10/13 01:00:00 PM,5.347,2669.5,,,,,
192,10/10/13 04:00:00 PM,6.978,2755.6,,,,,
193,10/10/13 07:00:00 PM,5.860,0.0,,,,,
194,10/10/13 10:00:00 PM,5.655,0.0,,,,,
195,10/11/13 01:00:00 AM,5.141,0.0,,,,,
196,10/11/13 04:00:00 AM,4.727,0.0,,,,,
197,10/11/13 07:00:00 AM,4.311,0.0,,,,,
198,10/11/13 10:00:00 AM,5.037,1313.2,,,,,
199,10/11/13 01:00:00 PM,6.064,2669.5,,,,,
200,10/11/13 04:00:00 PM,5.860,796.5,,,,,
201,10/11/13 07:00:00 PM,5.141,0.0,,,,,
202,10/11/13 10:00:00 PM,4.934,0.0,,,,,
203,10/12/13 01:00:00 AM,4.623,0.0,,,,,
204,10/12/13 04:00:00 AM,4.415,0.0,,,,,
205,10/12/13 07:00:00 AM,3.367,0.0,,,,,
206,10/12/13 10:00:00 AM,3.788,1377.8,,,,,
207,10/12/13 01:00:00 PM,5.347,4133.4,,,,,
208,10/12/13 04:00:00 PM,5.450,1194.8,,,,,
209,10/12/13 07:00:00 PM,5.037,0.0,,,,,
210,10/12/13 10:00:00 PM,4.831,0.0,,,,,
211,10/13/13 01:00:00 AM,3.472,0.0,,,,,
212,10/13/13 04:00:00 AM,2.303,0.0,,,,,
213,10/13/13 07:00:00 AM,1.764,0.0,,,,,
214,10/13/13 10:00:00 AM,2.517,796.5,,,,,
215,10/13/13 01:00:00 PM,6.775,4650.0,,,,,
216,10/13/13 04:00:00 PM,6.674,1302.4,,,,,
217,10/13/13 07:00:00 PM,5.757,0.0,,,,,
218,10/13/13 10:00:00 PM,4.831,0.0,,,,,
219,10/14/13 01:00:00 AM,3.367,0.0,,,,,
220,10/14/13 04:00:00 AM,2.837,0.0,,,,,
221,10/14/13 07:00:00 AM,2.517,0.0,,,,,
222,10/14/13 10:00:00 AM,3.261,850.4,,,,,
223,10/14/13 01:00:00 PM,7.582,2411.1,,,,,
224,10/14/13 04:00:00 PM,8.182,968.8,,,,,
225,10/14/13 07:00:00 PM,6.370,0.0,,,,,
226,10/14/13 10:00:00 PM,4.727,0.0,,,,,
227,10/15/13 01:00:00 AM,4.102,0.0,,,,,
228,10/15/13 04:00:00 AM,3.683,0.0,,,,,
229,10/15/13 07:00:00 AM,3.367,0.0,,,,,
230,10/15/13 10:00:00 AM,3.788,882.6,,,,,
231,10/15/13 01:00:00 PM,7.882,2325.0,,,,,
232,10/15/13 04:00:00 PM,9.176,1141.0,,,,,
233,10/15/13 07:00:00 PM,7.280,0.0,,,,,
234,10/15/13 10:00:00 PM,5.860,0.0,,,,,
235,10/16/13 01:00:00 AM,5.552,0.0,,,,,
236,10/16/13 04:00:00 AM,4.727,0.0,,,,,
237,10/16/13 07:00:00 AM,4.207,0.0,,,,,
238,10/16/13 10:00:00 AM,4.831,613.5,,,,,
239,10/16/13 01:00:00 PM,9.275,2497.2,,,,,
240,10/16/13 04:00:00 PM,10.455,1550.0,,,,,
241,10/16/13 07:00:00 PM,7.983,0.0,,,,,
242,10/16/13 10:00:00 PM,6.775,0.0,,,,,
243,10/17/13 01:00:00 AM,5.962,0.0,,,,,
244,10/17/13 04:00:00 AM,5.552,0.0,,,,,
245,10/17/13 07:00:00 AM,5.141,0.0,,,,,
246,10/17/13 10:00:00 AM,5.655,742.7,,,,,
247,10/17/13 01:00:00 PM,10.846,2755.6,,,,,
248,10/17/13 04:00:00 PM,10.748,1065.6,,,,,
249,10/17/13 07:00:00 PM,8.581,0.0,,,,,
250,10/17/13 10:00:00 PM,7.381,0.0,,,,,
251,10/18/13 01:00:00 AM,6.674,0.0,,,,,
252,10/18/13 04:00:00 AM,6.064,0.0,,,,,
253,10/18/13 07:00:00 AM,5.450,0.0,,,,,
254,10/18/13 10:00:00 AM,5.860,742.7,,,,,
255,10/18/13 01:00:00 PM,10.357,2755.6,,,,,
256,10/18/13 04:00:00 PM,11.041,1119.5,,,,,
257,10/18/13 07:00:00 PM,9.176,0.0,,,,,
258,10/18/13 10:00:00 PM,7.782,0.0,,,,,
259,10/19/13 01:00:00 AM,7.079,0.0,,,,,
260,10/19/13 04:00:00 AM,6.674,0.0,,,,,
261,10/19/13 07:00:00 AM,6.370,0.0,,,,,
262,10/19/13 10:00:00 AM,6.877,958.0,,,,,
263,10/19/13 01:00:00 PM,10.357,2927.8,,,,,
264,10/19/13 04:00:00 PM,11.334,1087.2,,,,,
265,10/19/13 07:00:00 PM,9.373,0.0,,,,,
266,10/19/13 10:00:00 PM,8.082,0.0,,,,,
267,10/20/13 01:00:00 AM,7.280,0.0,,,,,
268,10/20/13 04:00:00 AM,6.978,0.0,,,,,
269,10/20/13 07:00:00 AM,6.978,0.0,,,,,
270,10/20/13 10:00:00 AM,7.582,710.4,,,,,
271,10/20/13 01:00:00 PM,11.916,2238.9,,,,,
272,10/20/13 04:00:00 PM,12.304,871.9,,,,,
273,10/20/13 07:00:00 PM,10.357,0.0,,,,,
274,10/20/13 10:00:00 PM,9.077,0.0,,,,,
275,10/21/13 01:00:00 AM,8.481,0.0,,,,,
276,10/21/13 04:00:00 AM,8.282,0.0,,,,,
277,10/21/13 07:00:00 AM,8.481,0.0,,,,,
278,10/21/13 10:00:00 AM,9.571,699.7,,,,,
279,10/21/13 01:00:00 PM,14.325,2152.8,,,,,
280,10/21/13 04:00:00 PM,13.846,850.4,,,,,
281,10/21/13 07:00:00 PM,11.722,0.0,,,,,
282,10/21/13 10:00:00 PM,10.161,0.0,,,,,
283,10/22/13 01:00:00 AM,9.669,0.0,,,,,
284,10/22/13 04:00:00 AM,9.275,0.0,,,,,
285,10/22/13 07:00:00 AM,8.879,0.0,,,,,
286,10/22/13 10:00:00 AM,9.275,699.7,,,,,
287,10/22/13 01:00:00 PM,13.942,2583.4,,,,,
288,10/22/13 04:00:00 PM,13.942,850.4,,,,,
289,10/22/13 07:00:00 PM,11.528,0.0,,,,,
290,10/22/13 10:00:00 PM,10.259,0.0,,,,,
291,10/23/13 01:00:00 AM,9.275,0.0,,,,,
292,10/23/13 04:00:00 AM,8.382,0.0,,,,,
293,10/23/13 07:00:00 AM,7.983,0.0,,,,,
294,10/23/13 10:00:00 AM,8.382,678.1,,,,,
295,10/23/13 01:00:00 PM,13.076,2755.6,,,,,
296,10/23/13 04:00:00 PM,13.461,850.4,,,,,
297,10/23/13 07:00:00 PM,11.625,0.0,,,,,
298,10/23/13 10:00:00 PM,9.866,0.0,,,,,
299,10/24/13 01:00:00 AM,8.879,0.0,,,,,
300,10/24/13 04:00:00 AM,8.282,0.0,,,,,
301,10/24/13 07:00:00 AM,8.082,0.0,,,,,
302,10/24/13 10:00:00 AM,8.481,656.6,,,,,
303,10/24/13 01:00:00 PM,12.980,2238.9,,,,,
304,10/24/13 04:00:00 PM,13.558,861.1,,,,,
305,10/24/13 07:00:00 PM,10.846,0.0,,,,,
306,10/24/13 10:00:00 PM,9.275,0.0,,,,,
307,10/25/13 01:00:00 AM,8.382,0.0,,,,,
308,10/25/13 04:00:00 AM,7.782,0.0,,,,,
309,10/25/13 07:00:00 AM,7.179,0.0,,,,,
310,10/25/13 10:00:00 AM,7.381,645.8,,,,,
311,10/25/13 01:00:00 PM,11.139,2325.0,,,,,
312,10/25/13 04:00:00 PM,11.041,839.6,,,,,
313,10/25/13 07:00:00 PM,8.382,0.0,,,,,
314,10/25/13 10:00:00 PM,7.079,0.0,,,,,
315,10/26/13 01:00:00 AM,6.370,0.0,,,,,
316,10/26/13 04:00:00 AM,5.860,0.0,,,,,
317,10/26/13 07:00:00 AM,5.037,0.0,,,,,
318,10/26/13 10:00:00 AM,4.934,549.0,,,,,
319,10/26/13 01:00:00 PM,9.176,2152.8,,,,,
320,10/26/13 04:00:00 PM,9.275,818.1,,,,,
321,10/26/13 07:00:00 PM,6.978,0.0,,,,,
322,10/26/13 10:00:00 PM,5.450,0.0,,,,,
323,10/27/13 01:00:00 AM,4.311,0.0,,,,,
324,10/27/13 04:00:00 AM,3.367,0.0,,,,,
325,10/27/13 07:00:00 AM,3.367,0.0,,,,,
326,10/27/13 10:00:00 AM,4.102,775.0,,,,,
327,10/27/13 01:00:00 PM,5.037,2238.9,,,,,
328,10/27/13 04:00:00 PM,4.934,581.3,,,,,
329,10/27/13 07:00:00 PM,4.415,0.0,,,,,
330,10/27/13 10:00:00 PM,4.102,0.0,,,,,
331,10/28/13 01:00:00 AM,3.998,0.0,,,,,
332,10/28/13 04:00:00 AM,3.788,0.0,,,,,
333,10/28/13 07:00:00 AM,2.837,0.0,,,,,
334,10/28/13 10:00:00 AM,2.624,344.4,,,,,
335,10/28/13 01:00:00 PM,6.166,1894.5,,,,,
336,10/28/13 04:00:00 PM,5.450,764.2,,,,,
337,10/28/13 07:00:00 PM,3.788,0.0,,,,,
338,10/28/13 10:00:00 PM,1.980,0.0,,,,,
339,10/29/13 01:00:00 AM,1.330,0.0,,,,,
340,10/29/13 04:00:00 AM,0.893,0.0,,,,,
341,10/29/13 07:00:00 AM,0.453,0.0,,,,,
342,10/29/13 10:00:00 AM,0.674,269.1,,,,,
343,10/29/13 01:00:00 PM,5.450,1894.5,,,,,
344,10/29/13 04:00:00 PM,5.141,742.7,,,,,
345,10/29/13 07:00:00 PM,3.261,0.0,,,,,
346,10/29/13 10:00:00 PM,2.088,0.0,,,,,
347,10/30/13 01:00:00 AM,1.330,0.0,,,,,
348,10/30/13 04:00:00 AM,0.893,0.0,,,,,
349,10/30/13 07:00:00 AM,0.893,0.0,,,,,
350,10/30/13 10:00:00 AM,1.330,247.6,,,,,
351,10/30/13 01:00:00 PM,6.166,1894.5,,,,,
352,10/30/13 04:00:00 PM,5.347,947.2,,,,,
353,10/30/13 07:00:00 PM,4.519,0.0,,,,,
354,10/30/13 10:00:00 PM,3.893,0.0,,,,,
355,10/31/13 01:00:00 AM,3.155,0.0,,,,,
356,10/31/13 04:00:00 AM,3.261,0.0,,,,,
357,10/31/13 07:00:00 AM,3.998,0.0,,,,,
358,10/31/13 10:00:00 AM,5.244,312.2,,,,,
359,10/31/13 01:00:00 PM,6.166,753.5,,,,,
360,10/31/13 04:00:00 PM,6.674,796.5,,,,,
361,10/31/13 07:00:00 PM,6.064,0.0,,,,,
362,10/31/13 10:00:00 PM,5.757,0.0,,,,,
363,11/01/13 01:00:00 AM,5.655,0.0,,,,,
364,11/01/13 04:00:00 AM,5.347,0.0,,,,,
365,11/01/13 07:00:00 AM,3.683,0.0,,,,,
366,11/01/13 10:00:00 AM,4.519,150.7,,,,,
367,11/01/13 01:00:00 PM,8.282,1463.9,,,,,
368,11/01/13 04:00:00 PM,7.280,613.5,,,,,
369,11/01/13 07:00:00 PM,5.655,0.0,,,,,
370,11/01/13 10:00:00 PM,5.860,0.0,,,,,
371,11/02/13 01:00:00 AM,5.757,0.0,,,,,
372,11/02/13 04:00:00 AM,6.064,0.0,,,,,
373,11/02/13 07:00:00 AM,5.962,0.0,,,,,
374,11/02/13 10:00:00 AM,4.727,398.3,,,,,
375,11/02/13 01:00:00 PM,1.980,1980.6,,,,,
376,11/02/13 04:00:00 PM,1.872,968.8,,,,,
377,11/02/13 07:00:00 PM,1.221,0.0,,,,,
378,11/02/13 10:00:00 PM,0.563,0.0,,,,,
379,11/03/13 01:00:00 AM,0.343,0.0,,,,,
380,11/03/13 04:00:00 AM,0.343,0.0,,,,,
381,11/03/13 07:00:00 AM,0.343,0.0,,,,,
382,11/03/13 10:00:00 AM,0.343,107.6,,,,,
383,11/03/13 01:00:00 PM,0.453,150.7,,,,,
384,11/03/13 04:00:00 PM,0.453,21.5,,,,,
385,11/03/13 07:00:00 PM,0.453,0.0,,,,,
386,11/03/13 10:00:00 PM,0.453,0.0,,,,,
387,11/04/13 01:00:00 AM,0.453,0.0,,,,,
388,11/04/13 04:00:00 AM,0.453,0.0,,,,,
389,11/04/13 07:00:00 AM,0.453,0.0,,,,,
390,11/04/13 10:00:00 AM,0.453,32.3,,,,,
391,11/04/13 01:00:00 PM,0.453,172.2,,,,,
392,11/04/13 04:00:00 PM,0.453,204.5,,,,,
393,11/04/13 07:00:00 PM,0.453,0.0,,,,,
394,11/04/13 10:00:00 PM,0.453,0.0,,,,,
395,11/05/13 01:00:00 AM,0.453,0.0,,,,,
396,11/05/13 04:00:00 AM,0.453,0.0,,,,,
397,11/05/13 07:00:00 AM,0.343,0.0,,,,,
398,11/05/13 10:00:00 AM,0.453,452.1,,,,,
399,11/05/13 01:00:00 PM,0.453,409.0,,,,,
400,11/05/13 04:00:00 PM,0.343,139.9,,,,,
401,11/05/13 07:00:00 PM,0.343,0.0,,,,,
402,11/05/13 10:00:00 PM,0.343,0.0,,,,,
403,11/06/13 01:00:00 AM,0.343,0.0,,,,,
404,11/06/13 04:00:00 AM,0.343,0.0,,,,,
405,11/06/13 07:00:00 AM,0.343,0.0,,,,,
406,11/06/13 10:00:00 AM,0.453,624.3,,,,,
407,11/06/13 01:00:00 PM,0.563,1550.0,,,,,
408,11/06/13 04:00:00 PM,0.563,279.9,,,,,
409,11/06/13 07:00:00 PM,0.563,0.0,,,,,
410,11/06/13 10:00:00 PM,1.330,0.0,,,,,
411,11/07/13 01:00:00 AM,2.517,0.0,,,,,
412,11/07/13 04:00:00 AM,3.155,0.0,,,,,
413,11/07/13 07:00:00 AM,4.207,0.0,,,,,
