"Plot Title: AV06-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995140, SEN S/N: 9995140)","Intensity, Lux (LGR S/N: 9995140, SEN S/N: 9995140)","Bad Battery (LGR S/N: 9995140)","Coupler Attached (LGR S/N: 9995140)","Host Connected (LGR S/N: 9995140)","Stopped (LGR S/N: 9995140)","End Of File (LGR S/N: 9995140)"
1,09/16/13 07:00:00 PM,11.431,32.3,,,,,
2,09/16/13 10:00:00 PM,10.846,0.0,,,,,
3,09/17/13 01:00:00 AM,10.357,0.0,,,,,
4,09/17/13 04:00:00 AM,9.965,0.0,,,,,
5,09/17/13 07:00:00 AM,9.571,0.0,,,,,
6,09/17/13 10:00:00 AM,9.571,1463.9,,,,,
7,09/17/13 01:00:00 PM,9.176,1141.0,,,,,
8,09/17/13 04:00:00 PM,9.669,3100.0,,,,,
9,09/17/13 07:00:00 PM,8.182,21.5,,,,,
10,09/17/13 10:00:00 PM,8.082,0.0,,,,,
11,09/18/13 01:00:00 AM,7.481,0.0,,,,,
12,09/18/13 04:00:00 AM,7.381,0.0,,,,,
13,09/18/13 07:00:00 AM,7.079,10.8,,,,,
14,09/18/13 10:00:00 AM,7.582,602.8,,,,,
15,09/18/13 01:00:00 PM,9.176,1463.9,,,,,
16,09/18/13 04:00:00 PM,9.866,1141.0,,,,,
17,09/18/13 07:00:00 PM,8.779,75.3,,,,,
18,09/18/13 10:00:00 PM,7.079,0.0,,,,,
19,09/19/13 01:00:00 AM,5.962,0.0,,,,,
20,09/19/13 04:00:00 AM,5.347,0.0,,,,,
21,09/19/13 07:00:00 AM,5.141,21.5,,,,,
22,09/19/13 10:00:00 AM,7.983,1377.8,,,,,
23,09/19/13 01:00:00 PM,13.654,5166.7,,,,,
24,09/19/13 04:00:00 PM,14.804,2066.7,,,,,
25,09/19/13 07:00:00 PM,11.819,32.3,,,,,
26,09/19/13 10:00:00 PM,10.063,0.0,,,,,
27,09/20/13 01:00:00 AM,9.965,0.0,,,,,
28,09/20/13 04:00:00 AM,9.669,0.0,,,,,
29,09/20/13 07:00:00 AM,9.373,64.6,,,,,
30,09/20/13 10:00:00 AM,11.819,2152.8,,,,,
31,09/20/13 01:00:00 PM,15.664,4477.8,,,,,
32,09/20/13 04:00:00 PM,15.569,2325.0,,,,,
33,09/20/13 07:00:00 PM,13.076,0.0,,,,,
34,09/20/13 10:00:00 PM,11.041,0.0,,,,,
35,09/21/13 01:00:00 AM,10.553,0.0,,,,,
36,09/21/13 04:00:00 AM,9.768,0.0,,,,,
37,09/21/13 07:00:00 AM,9.373,0.0,,,,,
38,09/21/13 10:00:00 AM,10.259,1550.0,,,,,
39,09/21/13 01:00:00 PM,13.461,4994.5,,,,,
40,09/21/13 04:00:00 PM,12.787,979.5,,,,,
41,09/21/13 07:00:00 PM,10.063,0.0,,,,,
42,09/21/13 10:00:00 PM,9.472,0.0,,,,,
43,09/22/13 01:00:00 AM,8.978,0.0,,,,,
44,09/22/13 04:00:00 AM,8.481,0.0,,,,,
45,09/22/13 07:00:00 AM,7.782,0.0,,,,,
46,09/22/13 10:00:00 AM,7.582,850.4,,,,,
47,09/22/13 01:00:00 PM,7.882,258.3,,,,,
48,09/22/13 04:00:00 PM,7.179,516.7,,,,,
49,09/22/13 07:00:00 PM,7.280,0.0,,,,,
50,09/22/13 10:00:00 PM,7.280,0.0,,,,,
51,09/23/13 01:00:00 AM,6.775,0.0,,,,,
52,09/23/13 04:00:00 AM,6.573,0.0,,,,,
53,09/23/13 07:00:00 AM,6.370,0.0,,,,,
54,09/23/13 10:00:00 AM,7.179,1808.3,,,,,
55,09/23/13 01:00:00 PM,7.381,1377.8,,,,,
56,09/23/13 04:00:00 PM,7.582,1076.4,,,,,
57,09/23/13 07:00:00 PM,7.381,0.0,,,,,
58,09/23/13 10:00:00 PM,6.674,0.0,,,,,
59,09/24/13 01:00:00 AM,6.064,0.0,,,,,
60,09/24/13 04:00:00 AM,5.037,0.0,,,,,
61,09/24/13 07:00:00 AM,4.727,0.0,,,,,
62,09/24/13 10:00:00 AM,5.552,1550.0,,,,,
