"Plot Title: AV14-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995139, SEN S/N: 9995139)","Intensity, Lux (LGR S/N: 9995139, SEN S/N: 9995139)","Bad Battery (LGR S/N: 9995139)","End Of File (LGR S/N: 9995139)"
1,09/11/13 01:00:00 PM,20.043,1550.0,,
2,09/11/13 04:00:00 PM,21.187,775.0,,
3,09/11/13 07:00:00 PM,19.282,75.3,,
4,09/11/13 10:00:00 PM,18.331,0.0,,
5,09/12/13 01:00:00 AM,17.950,0.0,,
6,09/12/13 04:00:00 AM,17.855,0.0,,
7,09/12/13 07:00:00 AM,17.189,86.1,,
8,09/12/13 10:00:00 AM,18.996,1463.9,,
9,09/12/13 01:00:00 PM,20.519,1550.0,,
10,09/12/13 04:00:00 PM,20.234,775.0,,
11,09/12/13 07:00:00 PM,18.045,86.1,,
12,09/12/13 10:00:00 PM,16.903,0.0,,
13,09/13/13 01:00:00 AM,16.427,0.0,,
14,09/13/13 04:00:00 AM,15.569,0.0,,
15,09/13/13 07:00:00 AM,14.517,75.3,,
16,09/13/13 10:00:00 AM,16.999,1377.8,,
17,09/13/13 01:00:00 PM,17.379,1550.0,,
18,09/13/13 04:00:00 PM,17.855,731.9,,
19,09/13/13 07:00:00 PM,16.237,64.6,,
20,09/13/13 10:00:00 PM,15.091,0.0,,
21,09/14/13 01:00:00 AM,14.709,0.0,,
22,09/14/13 04:00:00 AM,14.996,0.0,,
23,09/14/13 07:00:00 AM,15.855,75.3,,
24,09/14/13 10:00:00 AM,18.711,1377.8,,
25,09/14/13 01:00:00 PM,19.948,1550.0,,
26,09/14/13 04:00:00 PM,20.138,785.8,,
27,09/14/13 07:00:00 PM,18.806,247.6,,
28,09/14/13 10:00:00 PM,18.996,0.0,,
29,09/15/13 01:00:00 AM,18.616,0.0,,
30,09/15/13 04:00:00 AM,19.282,0.0,,
31,09/15/13 07:00:00 AM,18.140,43.1,,
32,09/15/13 10:00:00 AM,17.665,1636.1,,
33,09/15/13 01:00:00 PM,18.426,4133.4,,
34,09/15/13 04:00:00 PM,14.230,172.2,,
35,09/15/13 07:00:00 PM,13.173,86.1,,
36,09/15/13 10:00:00 PM,12.304,0.0,,
37,09/16/13 01:00:00 AM,11.625,0.0,,
38,09/16/13 04:00:00 AM,11.334,0.0,,
39,09/16/13 07:00:00 AM,10.455,21.5,,
40,09/16/13 10:00:00 AM,10.651,1259.4,,
41,09/16/13 01:00:00 PM,11.625,2583.4,,
42,09/16/13 04:00:00 PM,11.334,1550.0,,
43,09/16/13 07:00:00 PM,10.944,107.6,,
44,09/16/13 10:00:00 PM,10.357,0.0,,
45,09/17/13 01:00:00 AM,10.063,0.0,,
46,09/17/13 04:00:00 AM,9.669,0.0,,
47,09/17/13 07:00:00 AM,9.275,0.0,,
48,09/17/13 10:00:00 AM,8.382,1345.5,,
49,09/17/13 01:00:00 PM,8.182,968.8,,
50,09/17/13 04:00:00 PM,8.082,2238.9,,
51,09/17/13 07:00:00 PM,7.782,0.0,,
52,09/17/13 10:00:00 PM,7.782,0.0,,
53,09/18/13 01:00:00 AM,6.877,0.0,,
54,09/18/13 04:00:00 AM,6.978,0.0,,
55,09/18/13 07:00:00 AM,6.978,21.5,,
56,09/18/13 10:00:00 AM,7.682,2411.1,,
57,09/18/13 01:00:00 PM,9.077,3444.5,,
58,09/18/13 04:00:00 PM,9.373,1722.2,,
59,09/18/13 07:00:00 PM,8.382,53.8,,
60,09/18/13 10:00:00 PM,7.179,0.0,,
61,09/19/13 01:00:00 AM,6.268,0.0,,
62,09/19/13 04:00:00 AM,6.064,0.0,,
63,09/19/13 07:00:00 AM,6.573,43.1,,
64,09/19/13 10:00:00 AM,8.182,1194.8,,
65,09/19/13 01:00:00 PM,10.651,1980.6,,
66,09/19/13 04:00:00 PM,12.110,602.8,,
67,09/19/13 07:00:00 PM,11.334,43.1,,
68,09/19/13 10:00:00 PM,10.651,0.0,,
69,09/20/13 01:00:00 AM,10.161,0.0,,
70,09/20/13 04:00:00 AM,9.768,0.0,,
71,09/20/13 07:00:00 AM,9.669,118.4,,
72,09/20/13 10:00:00 AM,11.236,1894.5,,
73,09/20/13 01:00:00 PM,12.594,2583.4,,
74,09/20/13 04:00:00 PM,12.980,1108.7,,
75,09/20/13 07:00:00 PM,10.944,0.0,,
