"Plot Title: AX15-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995245, SEN S/N: 9995245)","Intensity, Lux (LGR S/N: 9995245, SEN S/N: 9995245)","Bad Battery (LGR S/N: 9995245)","Good Battery (LGR S/N: 9995245)","End Of File (LGR S/N: 9995245)"
1,09/17/13 07:00:00 PM,8.182,10.8,,,
2,09/17/13 10:00:00 PM,8.182,0.0,,,
3,09/18/13 01:00:00 AM,7.582,0.0,,,
4,09/18/13 04:00:00 AM,7.582,0.0,,,
5,09/18/13 07:00:00 AM,7.179,0.0,,,
6,09/18/13 10:00:00 AM,7.882,1463.9,,,
7,09/18/13 01:00:00 PM,10.063,5166.7,,,
8,09/18/13 04:00:00 PM,10.944,2152.8,,,
9,09/18/13 07:00:00 PM,9.275,32.3,,,
10,09/18/13 10:00:00 PM,7.882,0.0,,,
11,09/19/13 01:00:00 AM,7.481,0.0,,,
12,09/19/13 04:00:00 AM,7.481,0.0,,,
13,09/19/13 07:00:00 AM,8.481,21.5,,,
14,09/19/13 10:00:00 AM,11.819,4650.0,,,
15,09/19/13 01:00:00 PM,15.187,4822.3,,,
16,09/19/13 04:00:00 PM,14.804,1722.2,,,
17,09/19/13 07:00:00 PM,13.654,32.3,,,
18,09/19/13 10:00:00 PM,12.980,0.0,,,
19,09/20/13 01:00:00 AM,12.401,0.0,,,
20,09/20/13 04:00:00 AM,12.110,0.0,,,
21,09/20/13 07:00:00 AM,12.207,86.1,,,
22,09/20/13 10:00:00 AM,14.325,3272.2,,,
23,09/20/13 01:00:00 PM,16.713,3961.1,,,
24,09/20/13 04:00:00 PM,15.760,1636.1,,,
25,09/20/13 07:00:00 PM,13.076,0.0,,,
26,09/20/13 10:00:00 PM,10.748,0.0,,,
27,09/21/13 01:00:00 AM,10.553,0.0,,,
28,09/21/13 04:00:00 AM,9.669,0.0,,,
29,09/21/13 07:00:00 AM,8.978,10.8,,,
30,09/21/13 10:00:00 AM,11.528,4477.8,,,
31,09/21/13 01:00:00 PM,12.690,5511.1,,,
32,09/21/13 04:00:00 PM,11.625,947.2,,,
33,09/21/13 07:00:00 PM,9.866,0.0,,,
34,09/21/13 10:00:00 PM,9.373,0.0,,,
35,09/22/13 01:00:00 AM,8.779,0.0,,,
36,09/22/13 04:00:00 AM,8.182,0.0,,,
