"Plot Title: AX15-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2409564, SEN S/N: 2409564)","Intensity, Lux (LGR S/N: 2409564, SEN S/N: 2409564)","Coupler Attached (LGR S/N: 2409564)","Host Connected (LGR S/N: 2409564)","Stopped (LGR S/N: 2409564)","End Of File (LGR S/N: 2409564)"
1,09/17/13 07:00:00 PM,21.187,10.8,,,,
2,09/17/13 10:00:00 PM,14.325,0.0,,,,
3,09/18/13 01:00:00 AM,-8.580,0.0,,,,
4,09/18/13 04:00:00 AM,12.883,0.0,,,,
5,09/18/13 07:00:00 AM,30.862,0.0,,,,
6,09/18/13 10:00:00 AM,34.058,1270.1,,,,
7,09/18/13 01:00:00 PM,33.535,5338.9,,,,
8,09/18/13 04:00:00 PM,31.268,1980.6,,,,
9,09/18/13 07:00:00 PM,29.552,32.3,,,,
10,09/18/13 10:00:00 PM,15.282,0.0,,,,
11,09/19/13 01:00:00 AM,11.819,0.0,,,,
12,09/19/13 04:00:00 AM,12.110,0.0,,,,
13,09/19/13 07:00:00 AM,13.846,21.5,,,,
14,09/19/13 10:00:00 AM,16.332,2669.5,,,,
15,09/19/13 01:00:00 PM,17.570,5338.9,,,,
16,09/19/13 04:00:00 PM,15.855,1636.1,,,,
17,09/19/13 07:00:00 PM,14.517,21.5,,,,
18,09/19/13 10:00:00 PM,13.942,0.0,,,,
19,09/20/13 01:00:00 AM,13.461,0.0,,,,
20,09/20/13 04:00:00 AM,13.173,0.0,,,,
21,09/20/13 07:00:00 AM,13.365,75.3,,,,
22,09/20/13 10:00:00 AM,15.282,2927.8,,,,
23,09/20/13 01:00:00 PM,18.045,4994.5,,,,
24,09/20/13 04:00:00 PM,16.903,1463.9,,,,
25,09/20/13 07:00:00 PM,14.517,0.0,,,,
26,09/20/13 10:00:00 PM,12.207,0.0,,,,
27,09/21/13 01:00:00 AM,12.207,0.0,,,,
28,09/21/13 04:00:00 AM,11.431,0.0,,,,
29,09/21/13 07:00:00 AM,10.651,0.0,,,,
30,09/21/13 10:00:00 AM,12.690,3961.1,,,,
31,09/21/13 01:00:00 PM,13.846,7233.4,,,,
32,09/21/13 04:00:00 PM,12.304,839.6,,,,
33,09/21/13 07:00:00 PM,10.357,0.0,,,,
34,09/21/13 10:00:00 PM,9.768,0.0,,,,
35,09/22/13 01:00:00 AM,9.176,0.0,,,,
36,09/22/13 04:00:00 AM,8.581,0.0,,,,
37,09/22/13 07:00:00 AM,7.882,0.0,,,,
38,09/22/13 10:00:00 AM,7.079,818.1,,,,
39,09/22/13 01:00:00 PM,7.582,183.0,,,,
40,09/22/13 04:00:00 PM,7.481,549.0,,,,
41,09/22/13 07:00:00 PM,7.782,0.0,,,,
42,09/22/13 10:00:00 PM,7.582,0.0,,,,
43,09/23/13 01:00:00 AM,7.179,0.0,,,,
44,09/23/13 04:00:00 AM,7.079,0.0,,,,
45,09/23/13 07:00:00 AM,6.877,0.0,,,,
46,09/23/13 10:00:00 AM,7.682,2497.2,,,,
47,09/23/13 01:00:00 PM,7.682,785.8,,,,
48,09/23/13 04:00:00 PM,7.983,538.2,,,,
49,09/23/13 07:00:00 PM,7.782,0.0,,,,
50,09/23/13 10:00:00 PM,6.978,0.0,,,,
51,09/24/13 01:00:00 AM,6.370,0.0,,,,
52,09/24/13 04:00:00 AM,5.450,0.0,,,,
53,09/24/13 07:00:00 AM,5.244,0.0,,,,
54,09/24/13 10:00:00 AM,6.268,2411.1,,,,
55,09/24/13 01:00:00 PM,7.381,3272.2,,,,
56,09/24/13 04:00:00 PM,7.983,1550.0,,,,
57,09/24/13 07:00:00 PM,6.166,0.0,,,,
58,09/24/13 10:00:00 PM,5.347,0.0,,,,
59,09/25/13 01:00:00 AM,5.552,0.0,,,,
60,09/25/13 04:00:00 AM,5.347,0.0,,,,
61,09/25/13 07:00:00 AM,5.347,0.0,,,,
62,09/25/13 10:00:00 AM,5.757,731.9,,,,
63,09/25/13 01:00:00 PM,7.381,2669.5,,,,
64,09/25/13 04:00:00 PM,7.179,742.7,,,,
65,09/25/13 07:00:00 PM,6.674,0.0,,,,
66,09/25/13 10:00:00 PM,6.064,0.0,,,,
67,09/26/13 01:00:00 AM,5.962,0.0,,,,
68,09/26/13 04:00:00 AM,5.552,0.0,,,,
69,09/26/13 07:00:00 AM,4.934,0.0,,,,
70,09/26/13 10:00:00 AM,6.370,2066.7,,,,
71,09/26/13 01:00:00 PM,9.275,2497.2,,,,
72,09/26/13 04:00:00 PM,8.978,1141.0,,,,
73,09/26/13 07:00:00 PM,7.782,0.0,,,,
74,09/26/13 10:00:00 PM,7.079,0.0,,,,
