"Plot Title: PARA-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995228, SEN S/N: 9995228)","Intensity, Lux (LGR S/N: 9995228, SEN S/N: 9995228)","Bad Battery (LGR S/N: 9995228)","End Of File (LGR S/N: 9995228)"
1,09/17/13 01:00:00 PM,7.481,6544.5,,
2,09/17/13 04:00:00 PM,6.471,4822.3,,
3,09/17/13 07:00:00 PM,5.037,53.8,,
4,09/17/13 10:00:00 PM,4.934,0.0,,
5,09/18/13 01:00:00 AM,3.893,0.0,,
6,09/18/13 04:00:00 AM,4.102,0.0,,
7,09/18/13 07:00:00 AM,3.578,118.4,,
8,09/18/13 10:00:00 AM,4.727,2927.8,,
9,09/18/13 01:00:00 PM,6.978,7577.8,,
10,09/18/13 04:00:00 PM,7.381,3444.5,,
11,09/18/13 07:00:00 PM,6.573,979.5,,
12,09/18/13 10:00:00 PM,4.102,0.0,,
13,09/19/13 01:00:00 AM,3.472,0.0,,
14,09/19/13 04:00:00 AM,2.837,0.0,,
15,09/19/13 07:00:00 AM,3.049,129.2,,
16,09/19/13 10:00:00 AM,5.347,1259.4,,
17,09/19/13 01:00:00 PM,9.275,5338.9,,
18,09/19/13 04:00:00 PM,8.879,1636.1,,
19,09/19/13 07:00:00 PM,7.782,495.1,,
20,09/19/13 10:00:00 PM,6.573,0.0,,
21,09/20/13 01:00:00 AM,5.962,0.0,,
22,09/20/13 04:00:00 AM,5.655,0.0,,
23,09/20/13 07:00:00 AM,5.757,322.9,,
24,09/20/13 10:00:00 AM,8.282,3272.2,,
25,09/20/13 01:00:00 PM,11.528,6544.5,,
26,09/20/13 04:00:00 PM,10.846,6200.0,,
27,09/20/13 07:00:00 PM,8.382,21.5,,
28,09/20/13 10:00:00 PM,7.280,0.0,,
29,09/21/13 01:00:00 AM,6.674,0.0,,
30,09/21/13 04:00:00 AM,6.268,0.0,,
31,09/21/13 07:00:00 AM,5.962,64.6,,
32,09/21/13 10:00:00 AM,7.381,4650.0,,
33,09/21/13 01:00:00 PM,8.779,12400.1,,
34,09/21/13 04:00:00 PM,9.275,4305.6,,
35,09/21/13 07:00:00 PM,6.674,43.1,,
36,09/21/13 10:00:00 PM,5.860,0.0,,
37,09/22/13 01:00:00 AM,5.347,0.0,,
38,09/22/13 04:00:00 AM,4.623,0.0,,
39,09/22/13 07:00:00 AM,3.578,21.5,,
40,09/22/13 10:00:00 AM,4.519,4133.4,,
41,09/22/13 01:00:00 PM,4.727,1463.9,,
42,09/22/13 04:00:00 PM,3.893,2238.9,,
43,09/22/13 07:00:00 PM,3.893,21.5,,
44,09/22/13 10:00:00 PM,3.893,0.0,,
45,09/23/13 01:00:00 AM,3.367,0.0,,
46,09/23/13 04:00:00 AM,3.155,0.0,,
47,09/23/13 07:00:00 AM,2.837,21.5,,
48,09/23/13 10:00:00 AM,4.102,7577.8,,
49,09/23/13 01:00:00 PM,4.102,4994.5,,
50,09/23/13 04:00:00 PM,4.311,2755.6,,
51,09/23/13 07:00:00 PM,3.683,10.8,,
52,09/23/13 10:00:00 PM,3.261,0.0,,
53,09/24/13 01:00:00 AM,2.517,0.0,,
54,09/24/13 04:00:00 AM,1.872,0.0,,
55,09/24/13 07:00:00 AM,1.221,75.3,,
56,09/24/13 10:00:00 AM,3.788,8266.7,,
57,09/24/13 01:00:00 PM,4.623,5166.7,,
58,09/24/13 04:00:00 PM,6.064,8266.7,,
59,09/24/13 07:00:00 PM,0.563,10.8,,
60,09/24/13 10:00:00 PM,1.003,0.0,,
61,09/25/13 01:00:00 AM,1.872,0.0,,
62,09/25/13 04:00:00 AM,0.453,0.0,,
63,09/25/13 07:00:00 AM,0.563,21.5,,
64,09/25/13 10:00:00 AM,1.872,8266.7,,
65,09/25/13 01:00:00 PM,5.244,13089.0,,
66,09/25/13 04:00:00 PM,5.655,10677.8,,
67,09/25/13 07:00:00 PM,3.367,32.3,,
68,09/25/13 10:00:00 PM,2.410,0.0,,
69,09/26/13 01:00:00 AM,1.548,0.0,,
70,09/26/13 04:00:00 AM,0.674,0.0,,
71,09/26/13 07:00:00 AM,1.003,75.3,,
72,09/26/13 10:00:00 AM,1.764,1808.3,,
73,09/26/13 01:00:00 PM,3.998,7233.4,,
74,09/26/13 04:00:00 PM,5.552,2325.0,,
75,09/26/13 07:00:00 PM,2.837,96.9,,
76,09/26/13 10:00:00 PM,2.837,0.0,,
77,09/27/13 01:00:00 AM,0.893,0.0,,
78,09/27/13 04:00:00 AM,1.872,0.0,,
79,09/27/13 07:00:00 AM,1.764,21.5,,
80,09/27/13 10:00:00 AM,2.195,6200.0,,
81,09/27/13 01:00:00 PM,3.683,3272.2,,
82,09/27/13 04:00:00 PM,4.102,645.8,,
83,09/27/13 07:00:00 PM,4.207,0.0,,
84,09/27/13 10:00:00 PM,4.207,0.0,,
85,09/28/13 01:00:00 AM,4.415,0.0,,
86,09/28/13 04:00:00 AM,4.934,0.0,,
87,09/28/13 07:00:00 AM,5.757,0.0,,
88,09/28/13 10:00:00 AM,6.370,775.0,,
89,09/28/13 01:00:00 PM,6.166,1808.3,,
90,09/28/13 04:00:00 PM,6.573,775.0,,
91,09/28/13 07:00:00 PM,4.831,0.0,,
92,09/28/13 10:00:00 PM,2.195,0.0,,
93,09/29/13 01:00:00 AM,2.088,0.0,,
94,09/29/13 04:00:00 AM,1.330,0.0,,
95,09/29/13 07:00:00 AM,0.343,0.0,,
96,09/29/13 10:00:00 AM,0.343,570.5,,
97,09/29/13 01:00:00 PM,0.343,279.9,,
98,09/29/13 04:00:00 PM,0.343,53.8,,
99,09/29/13 07:00:00 PM,0.343,0.0,,
100,09/29/13 10:00:00 PM,0.563,0.0,,
101,09/30/13 01:00:00 AM,0.453,0.0,,
102,09/30/13 04:00:00 AM,0.343,0.0,,
103,09/30/13 07:00:00 AM,0.232,0.0,,
104,09/30/13 10:00:00 AM,0.232,10.8,,
105,09/30/13 01:00:00 PM,0.232,0.0,,
106,09/30/13 04:00:00 PM,0.232,0.0,,
107,09/30/13 07:00:00 PM,0.232,0.0,,
108,09/30/13 10:00:00 PM,0.232,0.0,,
109,10/01/13 01:00:00 AM,0.232,0.0,,
110,10/01/13 04:00:00 AM,0.232,0.0,,
111,10/01/13 07:00:00 AM,0.232,0.0,,
112,10/01/13 10:00:00 AM,0.232,10.8,,
113,10/01/13 01:00:00 PM,0.232,10.8,,
114,10/01/13 04:00:00 PM,0.232,0.0,,
115,10/01/13 07:00:00 PM,0.232,0.0,,
116,10/01/13 10:00:00 PM,0.232,0.0,,
117,10/02/13 01:00:00 AM,0.232,0.0,,
118,10/02/13 04:00:00 AM,0.232,0.0,,
119,10/02/13 07:00:00 AM,0.232,0.0,,
120,10/02/13 10:00:00 AM,0.232,10.8,,
121,10/02/13 01:00:00 PM,0.232,32.3,,
122,10/02/13 04:00:00 PM,0.232,0.0,,
123,10/02/13 07:00:00 PM,0.232,0.0,,
124,10/02/13 10:00:00 PM,0.232,0.0,,
125,10/03/13 01:00:00 AM,0.343,0.0,,
126,10/03/13 04:00:00 AM,0.343,0.0,,
127,10/03/13 07:00:00 AM,0.343,0.0,,
128,10/03/13 10:00:00 AM,0.343,0.0,,
129,10/03/13 01:00:00 PM,0.343,21.5,,
130,10/03/13 04:00:00 PM,0.343,0.0,,
131,10/03/13 07:00:00 PM,0.343,0.0,,
132,10/03/13 10:00:00 PM,0.343,0.0,,
133,10/04/13 01:00:00 AM,0.343,0.0,,
134,10/04/13 04:00:00 AM,0.343,0.0,,
135,10/04/13 07:00:00 AM,0.343,0.0,,
136,10/04/13 10:00:00 AM,0.343,0.0,,
137,10/04/13 01:00:00 PM,0.343,0.0,,
138,10/04/13 04:00:00 PM,0.343,0.0,,
139,10/04/13 07:00:00 PM,0.343,0.0,,
140,10/04/13 10:00:00 PM,0.343,0.0,,
141,10/05/13 01:00:00 AM,0.343,0.0,,
142,10/05/13 04:00:00 AM,0.343,0.0,,
143,10/05/13 07:00:00 AM,0.343,0.0,,
144,10/05/13 10:00:00 AM,0.343,0.0,,
145,10/05/13 01:00:00 PM,0.343,0.0,,
146,10/05/13 04:00:00 PM,0.343,0.0,,
147,10/05/13 07:00:00 PM,0.232,0.0,,
148,10/05/13 10:00:00 PM,0.343,0.0,,
149,10/06/13 01:00:00 AM,0.232,0.0,,
150,10/06/13 04:00:00 AM,0.232,0.0,,
151,10/06/13 07:00:00 AM,0.232,0.0,,
152,10/06/13 10:00:00 AM,0.232,10.8,,
153,10/06/13 01:00:00 PM,0.232,10.8,,
154,10/06/13 04:00:00 PM,0.232,10.8,,
155,10/06/13 07:00:00 PM,0.232,0.0,,
156,10/06/13 10:00:00 PM,0.232,0.0,,
157,10/07/13 01:00:00 AM,0.232,0.0,,
158,10/07/13 04:00:00 AM,0.232,0.0,,
159,10/07/13 07:00:00 AM,0.232,0.0,,
160,10/07/13 10:00:00 AM,0.232,43.1,,
161,10/07/13 01:00:00 PM,0.232,75.3,,
162,10/07/13 04:00:00 PM,0.232,10.8,,
163,10/07/13 07:00:00 PM,0.232,0.0,,
164,10/07/13 10:00:00 PM,0.232,0.0,,
165,10/08/13 01:00:00 AM,0.232,0.0,,
166,10/08/13 04:00:00 AM,0.232,0.0,,
167,10/08/13 07:00:00 AM,0.232,0.0,,
168,10/08/13 10:00:00 AM,0.232,10.8,,
169,10/08/13 01:00:00 PM,0.232,21.5,,
170,10/08/13 04:00:00 PM,0.232,21.5,,
171,10/08/13 07:00:00 PM,0.232,0.0,,
172,10/08/13 10:00:00 PM,0.232,0.0,,
173,10/09/13 01:00:00 AM,0.232,0.0,,
174,10/09/13 04:00:00 AM,0.232,0.0,,
175,10/09/13 07:00:00 AM,0.232,0.0,,
176,10/09/13 10:00:00 AM,0.232,0.0,,
177,10/09/13 01:00:00 PM,0.232,0.0,,
178,10/09/13 04:00:00 PM,0.232,10.8,,
179,10/09/13 07:00:00 PM,0.232,0.0,,
180,10/09/13 10:00:00 PM,0.232,0.0,,
181,10/10/13 01:00:00 AM,0.232,0.0,,
182,10/10/13 04:00:00 AM,0.232,0.0,,
183,10/10/13 07:00:00 AM,0.232,0.0,,
184,10/10/13 10:00:00 AM,0.232,21.5,,
185,10/10/13 01:00:00 PM,0.232,43.1,,
186,10/10/13 04:00:00 PM,0.232,0.0,,
187,10/10/13 07:00:00 PM,0.232,0.0,,
188,10/10/13 10:00:00 PM,0.232,0.0,,
189,10/11/13 01:00:00 AM,0.232,0.0,,
190,10/11/13 04:00:00 AM,0.232,0.0,,
191,10/11/13 07:00:00 AM,0.232,0.0,,
192,10/11/13 10:00:00 AM,0.232,53.8,,
193,10/11/13 01:00:00 PM,0.232,107.6,,
194,10/11/13 04:00:00 PM,0.232,43.1,,
195,10/11/13 07:00:00 PM,0.232,0.0,,
196,10/11/13 10:00:00 PM,0.232,0.0,,
197,10/12/13 01:00:00 AM,0.232,0.0,,
198,10/12/13 04:00:00 AM,0.232,0.0,,
199,10/12/13 07:00:00 AM,0.232,0.0,,
200,10/12/13 10:00:00 AM,0.232,43.1,,
201,10/12/13 01:00:00 PM,0.232,129.2,,
202,10/12/13 04:00:00 PM,0.232,21.5,,
203,10/12/13 07:00:00 PM,0.232,0.0,,
204,10/12/13 10:00:00 PM,0.232,0.0,,
205,10/13/13 01:00:00 AM,0.232,0.0,,
206,10/13/13 04:00:00 AM,0.232,0.0,,
207,10/13/13 07:00:00 AM,0.232,0.0,,
208,10/13/13 10:00:00 AM,0.232,10.8,,
209,10/13/13 01:00:00 PM,0.232,75.3,,
210,10/13/13 04:00:00 PM,0.232,32.3,,
211,10/13/13 07:00:00 PM,0.232,0.0,,
212,10/13/13 10:00:00 PM,0.232,0.0,,
213,10/14/13 01:00:00 AM,0.232,0.0,,
214,10/14/13 04:00:00 AM,0.232,0.0,,
215,10/14/13 07:00:00 AM,0.232,0.0,,
216,10/14/13 10:00:00 AM,0.232,10.8,,
217,10/14/13 01:00:00 PM,0.232,21.5,,
218,10/14/13 04:00:00 PM,0.232,21.5,,
219,10/14/13 07:00:00 PM,0.232,0.0,,
220,10/14/13 10:00:00 PM,0.232,0.0,,
221,10/15/13 01:00:00 AM,0.232,0.0,,
222,10/15/13 04:00:00 AM,0.232,0.0,,
223,10/15/13 07:00:00 AM,0.232,0.0,,
224,10/15/13 10:00:00 AM,0.232,21.5,,
225,10/15/13 01:00:00 PM,0.232,32.3,,
226,10/15/13 04:00:00 PM,0.232,86.1,,
227,10/15/13 07:00:00 PM,0.232,0.0,,
228,10/15/13 10:00:00 PM,0.232,0.0,,
229,10/16/13 01:00:00 AM,0.232,0.0,,
230,10/16/13 04:00:00 AM,0.232,0.0,,
231,10/16/13 07:00:00 AM,0.232,0.0,,
232,10/16/13 10:00:00 AM,0.232,21.5,,
233,10/16/13 01:00:00 PM,0.232,53.8,,
234,10/16/13 04:00:00 PM,0.232,96.9,,
235,10/16/13 07:00:00 PM,0.232,0.0,,
236,10/16/13 10:00:00 PM,0.232,0.0,,
237,10/17/13 01:00:00 AM,0.232,0.0,,
238,10/17/13 04:00:00 AM,0.232,0.0,,
239,10/17/13 07:00:00 AM,0.232,0.0,,
240,10/17/13 10:00:00 AM,0.232,32.3,,
241,10/17/13 01:00:00 PM,0.232,64.6,,
