"Plot Title: PP17-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995187, SEN S/N: 9995187)","Intensity, Lux (LGR S/N: 9995187, SEN S/N: 9995187)","End Of File (LGR S/N: 9995187)"
1,09/12/13 01:00:00 PM,38.490,159823.3,
2,09/12/13 04:00:00 PM,25.416,3272.2,
3,09/12/13 07:00:00 PM,18.616,247.6,
4,09/12/13 10:00:00 PM,14.613,0.0,
5,09/13/13 01:00:00 AM,12.980,0.0,
6,09/13/13 04:00:00 AM,11.625,0.0,
7,09/13/13 07:00:00 AM,10.944,226.0,
8,09/13/13 10:00:00 AM,21.855,8611.2,
9,09/13/13 01:00:00 PM,37.604,176356.7,
10,09/13/13 04:00:00 PM,24.255,9300.1,
11,09/13/13 07:00:00 PM,16.618,226.0,
12,09/13/13 10:00:00 PM,12.980,0.0,
13,09/14/13 01:00:00 AM,11.139,0.0,
14,09/14/13 04:00:00 AM,10.944,0.0,
15,09/14/13 07:00:00 AM,11.041,247.6,
16,09/14/13 10:00:00 AM,22.429,14466.8,
17,09/14/13 01:00:00 PM,39.843,176356.7,
18,09/14/13 04:00:00 PM,26.390,7233.4,
19,09/14/13 07:00:00 PM,19.377,828.8,
20,09/14/13 10:00:00 PM,15.282,0.0,
21,09/15/13 01:00:00 AM,14.421,0.0,
22,09/15/13 04:00:00 AM,14.517,0.0,
23,09/15/13 07:00:00 AM,13.750,505.9,
24,09/15/13 10:00:00 AM,25.125,8611.2,
25,09/15/13 01:00:00 PM,28.060,82667.2,
26,09/15/13 04:00:00 PM,19.758,2238.9,
27,09/15/13 07:00:00 PM,14.230,86.1,
28,09/15/13 10:00:00 PM,12.980,0.0,
29,09/16/13 01:00:00 AM,12.401,0.0,
30,09/16/13 04:00:00 AM,11.819,0.0,
31,09/16/13 07:00:00 AM,11.139,215.3,
32,09/16/13 10:00:00 AM,12.690,6544.5,
33,09/16/13 01:00:00 PM,13.846,6200.0,
34,09/16/13 04:00:00 PM,13.365,5166.7,
35,09/16/13 07:00:00 PM,11.528,150.7,
36,09/16/13 10:00:00 PM,10.748,0.0,
37,09/17/13 01:00:00 AM,10.357,0.0,
38,09/17/13 04:00:00 AM,9.669,0.0,
39,09/17/13 07:00:00 AM,9.176,75.3,
40,09/17/13 10:00:00 AM,10.455,3788.9,
41,09/17/13 01:00:00 PM,10.748,5511.1,
42,09/17/13 04:00:00 PM,9.866,4994.5,
43,09/17/13 07:00:00 PM,8.282,107.6,
44,09/17/13 10:00:00 PM,7.882,0.0,
45,09/18/13 01:00:00 AM,7.079,0.0,
46,09/18/13 04:00:00 AM,5.552,0.0,
47,09/18/13 07:00:00 AM,5.347,139.9,
48,09/18/13 10:00:00 AM,11.041,10677.8,
49,09/18/13 01:00:00 PM,18.711,187379.0,
50,09/18/13 04:00:00 PM,12.013,5511.1,
51,09/18/13 07:00:00 PM,8.779,183.0,
52,09/18/13 10:00:00 PM,6.064,0.0,
53,09/19/13 01:00:00 AM,4.415,0.0,
54,09/19/13 04:00:00 AM,3.683,0.0,
55,09/19/13 07:00:00 AM,3.367,139.9,
56,09/19/13 10:00:00 AM,12.207,4822.3,
57,09/19/13 01:00:00 PM,21.569,88178.4,
58,09/19/13 04:00:00 PM,16.713,3788.9,
59,09/19/13 07:00:00 PM,10.846,118.4,
60,09/19/13 10:00:00 PM,8.082,0.0,
61,09/20/13 01:00:00 AM,6.978,0.0,
62,09/20/13 04:00:00 AM,6.064,0.0,
63,09/20/13 07:00:00 AM,5.450,355.2,
64,09/20/13 10:00:00 AM,13.269,6200.0,
65,09/20/13 01:00:00 PM,26.097,38578.0,
66,09/20/13 04:00:00 PM,16.427,3272.2,
67,09/20/13 07:00:00 PM,12.690,43.1,
68,09/20/13 10:00:00 PM,10.259,0.0,
69,09/21/13 01:00:00 AM,9.571,0.0,
70,09/21/13 04:00:00 AM,9.373,0.0,
71,09/21/13 07:00:00 AM,8.581,53.8,
72,09/21/13 10:00:00 AM,10.944,5166.7,
73,09/21/13 01:00:00 PM,21.569,33066.9,
74,09/21/13 04:00:00 PM,10.651,3100.0,
75,09/21/13 07:00:00 PM,9.373,10.8,
76,09/21/13 10:00:00 PM,8.978,0.0,
77,09/22/13 01:00:00 AM,8.382,0.0,
78,09/22/13 04:00:00 AM,7.983,0.0,
79,09/22/13 07:00:00 AM,7.882,21.5,
80,09/22/13 10:00:00 AM,9.077,8266.7,
81,09/22/13 01:00:00 PM,9.669,5511.1,
82,09/22/13 04:00:00 PM,7.983,3444.5,
83,09/22/13 07:00:00 PM,6.471,64.6,
84,09/22/13 10:00:00 PM,6.268,0.0,
85,09/23/13 01:00:00 AM,6.064,0.0,
86,09/23/13 04:00:00 AM,6.064,0.0,
87,09/23/13 07:00:00 AM,6.166,75.3,
88,09/23/13 10:00:00 AM,7.582,5511.1,
89,09/23/13 01:00:00 PM,9.275,5166.7,
90,09/23/13 04:00:00 PM,8.879,2755.6,
91,09/23/13 07:00:00 PM,7.179,10.8,
92,09/23/13 10:00:00 PM,6.471,0.0,
