"Plot Title: PP17-6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995154, SEN S/N: 9995154)","Intensity, Lux (LGR S/N: 9995154, SEN S/N: 9995154)","End Of File (LGR S/N: 9995154)"
1,09/12/13 01:00:00 PM,31.064,148801.0,
2,09/12/13 04:00:00 PM,26.683,27555.7,
3,09/12/13 07:00:00 PM,18.140,430.6,
4,09/12/13 10:00:00 PM,14.613,0.0,
5,09/13/13 01:00:00 AM,12.980,0.0,
6,09/13/13 04:00:00 AM,11.819,0.0,
7,09/13/13 07:00:00 AM,11.139,344.4,
8,09/13/13 10:00:00 AM,16.332,6200.0,
9,09/13/13 01:00:00 PM,29.352,104711.8,
10,09/13/13 04:00:00 PM,27.764,52355.9,
11,09/13/13 07:00:00 PM,16.427,376.7,
12,09/13/13 10:00:00 PM,13.076,0.0,
13,09/14/13 01:00:00 AM,11.431,0.0,
14,09/14/13 04:00:00 AM,11.139,0.0,
15,09/14/13 07:00:00 AM,11.139,355.2,
16,09/14/13 10:00:00 AM,16.999,6544.5,
17,09/14/13 01:00:00 PM,33.014,132267.5,
18,09/14/13 04:00:00 PM,28.357,34444.7,
19,09/14/13 07:00:00 PM,19.187,1248.6,
20,09/14/13 10:00:00 PM,15.187,0.0,
21,09/15/13 01:00:00 AM,14.421,0.0,
22,09/15/13 04:00:00 AM,14.517,0.0,
23,09/15/13 07:00:00 AM,13.750,699.7,
24,09/15/13 10:00:00 AM,20.424,8611.2,
25,09/15/13 01:00:00 PM,27.173,121245.2,
26,09/15/13 04:00:00 PM,19.472,4305.6,
27,09/15/13 07:00:00 PM,14.804,150.7,
28,09/15/13 10:00:00 PM,13.269,0.0,
29,09/16/13 01:00:00 AM,12.980,0.0,
30,09/16/13 04:00:00 AM,12.207,0.0,
31,09/16/13 07:00:00 AM,11.625,430.6,
32,09/16/13 10:00:00 AM,13.269,12400.1,
33,09/16/13 01:00:00 PM,14.421,10677.8,
34,09/16/13 04:00:00 PM,13.942,9644.5,
35,09/16/13 07:00:00 PM,11.916,301.4,
36,09/16/13 10:00:00 PM,11.041,0.0,
37,09/17/13 01:00:00 AM,10.748,0.0,
38,09/17/13 04:00:00 AM,10.063,0.0,
39,09/17/13 07:00:00 AM,9.472,150.7,
40,09/17/13 10:00:00 AM,10.944,6200.0,
41,09/17/13 01:00:00 PM,11.139,10333.4,
42,09/17/13 04:00:00 PM,10.748,8611.2,
43,09/17/13 07:00:00 PM,8.581,204.5,
44,09/17/13 10:00:00 PM,8.182,0.0,
45,09/18/13 01:00:00 AM,7.280,0.0,
46,09/18/13 04:00:00 AM,5.757,0.0,
47,09/18/13 07:00:00 AM,5.655,247.6,
48,09/18/13 10:00:00 AM,9.472,10677.8,
49,09/18/13 01:00:00 PM,16.141,60622.6,
50,09/18/13 04:00:00 PM,12.883,12400.1,
51,09/18/13 07:00:00 PM,8.978,301.4,
52,09/18/13 10:00:00 PM,6.166,0.0,
53,09/19/13 01:00:00 AM,4.519,0.0,
54,09/19/13 04:00:00 AM,3.893,0.0,
55,09/19/13 07:00:00 AM,3.683,226.0,
56,09/19/13 10:00:00 AM,8.581,6200.0,
57,09/19/13 01:00:00 PM,18.806,28933.5,
58,09/19/13 04:00:00 PM,18.901,12400.1,
59,09/19/13 07:00:00 PM,10.846,204.5,
60,09/19/13 10:00:00 PM,8.182,0.0,
61,09/20/13 01:00:00 AM,7.079,0.0,
62,09/20/13 04:00:00 AM,6.166,0.0,
63,09/20/13 07:00:00 AM,5.655,538.2,
64,09/20/13 10:00:00 AM,11.236,8611.2,
65,09/20/13 01:00:00 PM,21.091,28933.5,
66,09/20/13 04:00:00 PM,16.808,8266.7,
67,09/20/13 07:00:00 PM,12.594,86.1,
68,09/20/13 10:00:00 PM,10.357,0.0,
69,09/21/13 01:00:00 AM,9.768,0.0,
70,09/21/13 04:00:00 AM,9.571,0.0,
71,09/21/13 07:00:00 AM,8.779,107.6,
72,09/21/13 10:00:00 AM,11.139,7233.4,
73,09/21/13 01:00:00 PM,18.045,33066.9,
74,09/21/13 04:00:00 PM,10.748,5166.7,
75,09/21/13 07:00:00 PM,9.669,32.3,
76,09/21/13 10:00:00 PM,9.275,0.0,
77,09/22/13 01:00:00 AM,8.680,0.0,
78,09/22/13 04:00:00 AM,8.282,0.0,
79,09/22/13 07:00:00 AM,7.983,43.1,
80,09/22/13 10:00:00 AM,9.077,14466.8,
81,09/22/13 01:00:00 PM,10.063,10333.4,
82,09/22/13 04:00:00 PM,8.282,6544.5,
83,09/22/13 07:00:00 PM,6.573,118.4,
84,09/22/13 10:00:00 PM,6.573,0.0,
85,09/23/13 01:00:00 AM,6.268,0.0,
86,09/23/13 04:00:00 AM,6.268,0.0,
87,09/23/13 07:00:00 AM,6.268,161.5,
88,09/23/13 10:00:00 AM,7.882,11022.3,
89,09/23/13 01:00:00 PM,10.063,10333.4,
90,09/23/13 04:00:00 PM,9.176,5338.9,
91,09/23/13 07:00:00 PM,7.280,32.3,
92,09/23/13 10:00:00 PM,6.370,0.0,
93,09/24/13 01:00:00 AM,6.064,0.0,
94,09/24/13 04:00:00 AM,5.347,0.0,
95,09/24/13 07:00:00 AM,4.934,129.2,
96,09/24/13 10:00:00 AM,7.381,14466.8,
97,09/24/13 01:00:00 PM,12.013,30311.3,
98,09/24/13 04:00:00 PM,8.282,6544.5,
99,09/24/13 07:00:00 PM,6.268,43.1,
100,09/24/13 10:00:00 PM,5.655,0.0,
101,09/25/13 01:00:00 AM,5.141,0.0,
102,09/25/13 04:00:00 AM,4.831,0.0,
103,09/25/13 07:00:00 AM,3.998,53.8,
104,09/25/13 10:00:00 AM,6.471,10677.8,
105,09/25/13 01:00:00 PM,9.571,5511.1,
106,09/25/13 04:00:00 PM,10.455,10677.8,
107,09/25/13 07:00:00 PM,6.471,75.3,
108,09/25/13 10:00:00 PM,5.860,0.0,
109,09/26/13 01:00:00 AM,5.552,0.0,
110,09/26/13 04:00:00 AM,4.623,0.0,
111,09/26/13 07:00:00 AM,2.730,75.3,
112,09/26/13 10:00:00 AM,7.983,8266.7,
113,09/26/13 01:00:00 PM,12.304,15844.5,
114,09/26/13 04:00:00 PM,12.401,41333.6,
115,09/26/13 07:00:00 PM,5.860,64.6,
116,09/26/13 10:00:00 PM,4.519,0.0,Logged
