"Plot Title: SPRY-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995170, SEN S/N: 9995170)","Intensity, Lux (LGR S/N: 9995170, SEN S/N: 9995170)","End Of File (LGR S/N: 9995170)"
1,09/10/13 01:00:00 PM,16.332,4994.5,
2,09/10/13 04:00:00 PM,20.996,7233.4,
3,09/10/13 07:00:00 PM,15.855,75.3,
4,09/10/13 10:00:00 PM,12.980,0.0,
5,09/11/13 01:00:00 AM,11.722,0.0,
6,09/11/13 04:00:00 AM,10.944,0.0,
7,09/11/13 07:00:00 AM,10.944,43.1,
8,09/11/13 10:00:00 AM,13.942,1141.0,
9,09/11/13 01:00:00 PM,18.426,4994.5,
10,09/11/13 04:00:00 PM,23.100,11022.3,
11,09/11/13 07:00:00 PM,17.094,86.1,
12,09/11/13 10:00:00 PM,14.517,0.0,
13,09/12/13 01:00:00 AM,13.942,0.0,
14,09/12/13 04:00:00 AM,13.365,0.0,
15,09/12/13 07:00:00 AM,12.787,43.1,
16,09/12/13 10:00:00 AM,15.473,1097.9,
17,09/12/13 01:00:00 PM,19.377,4994.5,
18,09/12/13 04:00:00 PM,21.473,5338.9,
19,09/12/13 07:00:00 PM,16.903,86.1,
20,09/12/13 10:00:00 PM,14.421,0.0,
21,09/13/13 01:00:00 AM,13.365,0.0,
22,09/13/13 04:00:00 AM,12.883,0.0,
23,09/13/13 07:00:00 AM,12.690,43.1,
24,09/13/13 10:00:00 AM,14.421,1162.5,
25,09/13/13 01:00:00 PM,18.901,4994.5,
26,09/13/13 04:00:00 PM,20.138,4650.0,
27,09/13/13 07:00:00 PM,15.569,75.3,
28,09/13/13 10:00:00 PM,13.173,0.0,
29,09/14/13 01:00:00 AM,13.076,0.0,Logged
