"Plot Title: SUNR-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995176, SEN S/N: 9995176)","Intensity, Lux (LGR S/N: 9995176, SEN S/N: 9995176)","End Of File (LGR S/N: 9995176)"
1,09/13/13 01:00:00 PM,16.713,1894.5,
2,09/13/13 04:00:00 PM,16.332,1377.8,
3,09/13/13 07:00:00 PM,13.076,86.1,
4,09/13/13 10:00:00 PM,11.916,0.0,
5,09/14/13 01:00:00 AM,13.173,0.0,
6,09/14/13 04:00:00 AM,13.750,0.0,
7,09/14/13 07:00:00 AM,13.076,75.3,
8,09/14/13 10:00:00 AM,15.378,1894.5,
9,09/14/13 01:00:00 PM,18.331,1894.5,
10,09/14/13 04:00:00 PM,18.806,1463.9,
11,09/14/13 07:00:00 PM,16.618,366.0,
12,09/14/13 10:00:00 PM,14.613,0.0,
13,09/15/13 01:00:00 AM,14.038,0.0,
14,09/15/13 04:00:00 AM,14.996,0.0,
15,09/15/13 07:00:00 AM,14.900,247.6,
16,09/15/13 10:00:00 AM,16.999,4477.8,
17,09/15/13 01:00:00 PM,18.426,2411.1,
18,09/15/13 04:00:00 PM,16.237,2411.1,
19,09/15/13 07:00:00 PM,11.722,139.9,
20,09/15/13 10:00:00 PM,10.357,0.0,
21,09/16/13 01:00:00 AM,9.373,0.0,
22,09/16/13 04:00:00 AM,8.481,0.0,
23,09/16/13 07:00:00 AM,7.782,150.7,
24,09/16/13 10:00:00 AM,7.882,1808.3,
25,09/16/13 01:00:00 PM,8.879,2238.9,
26,09/16/13 04:00:00 PM,8.879,3616.7,
27,09/16/13 07:00:00 PM,7.782,150.7,
28,09/16/13 10:00:00 PM,7.079,0.0,
29,09/17/13 01:00:00 AM,6.573,0.0,
30,09/17/13 04:00:00 AM,6.064,0.0,
31,09/17/13 07:00:00 AM,5.552,32.3,
32,09/17/13 10:00:00 AM,5.655,1033.3,
33,09/17/13 01:00:00 PM,6.268,2497.2,
34,09/17/13 04:00:00 PM,4.727,1377.8,
35,09/17/13 07:00:00 PM,3.155,32.3,
36,09/17/13 10:00:00 PM,3.472,0.0,
37,09/18/13 01:00:00 AM,1.980,0.0,
38,09/18/13 04:00:00 AM,2.410,0.0,
39,09/18/13 07:00:00 AM,1.980,43.1,
40,09/18/13 10:00:00 AM,3.472,2927.8,
41,09/18/13 01:00:00 PM,5.141,4133.4,
42,09/18/13 04:00:00 PM,5.962,2497.2,
43,09/18/13 07:00:00 PM,5.141,96.9,
44,09/18/13 10:00:00 PM,2.730,0.0,
45,09/19/13 01:00:00 AM,2.624,0.0,
46,09/19/13 04:00:00 AM,2.943,0.0,
47,09/19/13 07:00:00 AM,3.683,43.1,
48,09/19/13 10:00:00 AM,5.757,1722.2,
49,09/19/13 01:00:00 PM,8.382,2755.6,
50,09/19/13 04:00:00 PM,9.669,1291.7,
51,09/19/13 07:00:00 PM,7.381,53.8,
52,09/19/13 10:00:00 PM,6.674,0.0,
53,09/20/13 01:00:00 AM,7.481,0.0,
54,09/20/13 04:00:00 AM,6.064,0.0,
55,09/20/13 07:00:00 AM,5.347,96.9,
56,09/20/13 10:00:00 AM,7.682,2325.0,
57,09/20/13 01:00:00 PM,10.553,2927.8,
58,09/20/13 04:00:00 PM,10.944,2066.7,
59,09/20/13 07:00:00 PM,8.581,10.8,
60,09/20/13 10:00:00 PM,6.775,0.0,
61,09/21/13 01:00:00 AM,6.268,0.0,
62,09/21/13 04:00:00 AM,5.655,0.0,
63,09/21/13 07:00:00 AM,5.244,0.0,
64,09/21/13 10:00:00 AM,5.450,861.1,
65,09/21/13 01:00:00 PM,6.166,1808.3,
66,09/21/13 04:00:00 PM,5.655,624.3,
67,09/21/13 07:00:00 PM,5.141,0.0,
68,09/21/13 10:00:00 PM,4.934,0.0,
69,09/22/13 01:00:00 AM,4.519,0.0,
70,09/22/13 04:00:00 AM,4.207,0.0,
71,09/22/13 07:00:00 AM,3.788,0.0,
72,09/22/13 10:00:00 AM,3.578,2497.2,
73,09/22/13 01:00:00 PM,3.893,2238.9,
74,09/22/13 04:00:00 PM,3.049,904.2,
