"Plot Title: TA01-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2409566, SEN S/N: 2409566)","Intensity, Lux (LGR S/N: 2409566, SEN S/N: 2409566)","Coupler Attached (LGR S/N: 2409566)","Coupler Detached (LGR S/N: 2409566)","Host Connected (LGR S/N: 2409566)","Stopped (LGR S/N: 2409566)","End Of File (LGR S/N: 2409566)"
1,09/11/13 01:00:00 PM,23.966,3272.2,,,,,
2,09/11/13 04:00:00 PM,26.097,2325.0,,,,,
3,09/11/13 07:00:00 PM,22.046,64.6,,,,,
4,09/11/13 10:00:00 PM,18.806,0.0,,,,,
5,09/12/13 01:00:00 AM,17.284,0.0,,,,,
6,09/12/13 04:00:00 AM,16.332,0.0,,,,,
7,09/12/13 07:00:00 AM,15.473,43.1,,,,,
8,09/12/13 10:00:00 AM,18.426,1162.5,,,,,
9,09/12/13 01:00:00 PM,24.255,3272.2,,,,,
10,09/12/13 04:00:00 PM,24.835,2238.9,,,,,
11,09/12/13 07:00:00 PM,21.951,75.3,,,,,
12,09/12/13 10:00:00 PM,18.996,0.0,,,,,
13,09/13/13 01:00:00 AM,17.094,0.0,,,,,
14,09/13/13 04:00:00 AM,15.951,0.0,,,,,
15,09/13/13 07:00:00 AM,16.046,32.3,,,,,
16,09/13/13 10:00:00 AM,17.665,2583.4,,,,,
17,09/13/13 01:00:00 PM,20.710,3272.2,,,,,
18,09/13/13 04:00:00 PM,22.333,2238.9,,,,,
19,09/13/13 07:00:00 PM,19.758,64.6,,,,,
20,09/13/13 10:00:00 PM,16.999,0.0,,,,,
21,09/14/13 01:00:00 AM,15.282,0.0,,,,,
22,09/14/13 04:00:00 AM,13.558,0.0,,,,,
23,09/14/13 07:00:00 AM,12.883,43.1,,,,,
24,09/14/13 10:00:00 AM,16.808,1162.5,,,,,
25,09/14/13 01:00:00 PM,23.966,3272.2,,,,,
26,09/14/13 04:00:00 PM,26.879,2325.0,,,,,
27,09/14/13 07:00:00 PM,22.717,215.3,,,,,
28,09/14/13 10:00:00 PM,19.377,0.0,,,,,
29,09/15/13 01:00:00 AM,18.140,0.0,,,,,
30,09/15/13 04:00:00 AM,18.711,0.0,,,,,
31,09/15/13 07:00:00 AM,17.950,32.3,,,,,
32,09/15/13 10:00:00 AM,19.377,1270.1,,,,,
33,09/15/13 01:00:00 PM,18.236,3961.1,,,,,
34,09/15/13 04:00:00 PM,17.570,775.0,,,,,
35,09/15/13 07:00:00 PM,15.855,21.5,,,,,
36,09/15/13 10:00:00 PM,15.187,0.0,,,,,
37,09/16/13 01:00:00 AM,14.517,0.0,,,,,
38,09/16/13 04:00:00 AM,13.750,0.0,,,,,
39,09/16/13 07:00:00 AM,12.980,21.5,,,,,
40,09/16/13 10:00:00 AM,14.325,2238.9,,,,,
41,09/16/13 01:00:00 PM,14.804,3444.5,,,,,
42,09/16/13 04:00:00 PM,15.378,3616.7,,,,,
43,09/16/13 07:00:00 PM,14.134,32.3,,,,,
44,09/16/13 10:00:00 PM,13.461,0.0,,,,,
45,09/17/13 01:00:00 AM,13.076,0.0,,,,,
46,09/17/13 04:00:00 AM,12.497,0.0,,,,,
47,09/17/13 07:00:00 AM,11.722,0.0,,,,,
48,09/17/13 10:00:00 AM,11.431,1636.1,,,,,
49,09/17/13 01:00:00 PM,12.013,2411.1,,,,,
50,09/17/13 04:00:00 PM,11.722,2669.5,,,,,
51,09/17/13 07:00:00 PM,11.334,10.8,,,,,
52,09/17/13 10:00:00 PM,10.846,0.0,,,,,
53,09/18/13 01:00:00 AM,10.357,0.0,,,,,
54,09/18/13 04:00:00 AM,10.161,0.0,,,,,
55,09/18/13 07:00:00 AM,9.866,10.8,,,,,
56,09/18/13 10:00:00 AM,10.455,2066.7,,,,,
57,09/18/13 01:00:00 PM,12.110,3444.5,,,,,
58,09/18/13 04:00:00 PM,13.461,2411.1,,,,,
59,09/18/13 07:00:00 PM,11.625,43.1,,,,,
60,09/18/13 10:00:00 PM,9.373,0.0,,,,,
61,09/19/13 01:00:00 AM,7.882,0.0,,,,,
62,09/19/13 04:00:00 AM,7.179,0.0,,,,,
63,09/19/13 07:00:00 AM,6.573,21.5,,,,,
64,09/19/13 10:00:00 AM,9.472,1033.3,,,,,
65,09/19/13 01:00:00 PM,14.613,3444.5,,,,,
66,09/19/13 04:00:00 PM,17.094,2066.7,,,,,
67,09/19/13 07:00:00 PM,14.325,32.3,,,,,
68,09/19/13 10:00:00 PM,11.819,0.0,,,,,
69,09/20/13 01:00:00 AM,10.553,0.0,,,,,
70,09/20/13 04:00:00 AM,9.965,0.0,,,,,
71,09/20/13 07:00:00 AM,9.472,86.1,,,,,
72,09/20/13 10:00:00 AM,12.304,1313.2,,,,,
73,09/20/13 01:00:00 PM,17.570,3100.0,,,,,
74,09/20/13 04:00:00 PM,17.665,1377.8,,,,,
75,09/20/13 07:00:00 PM,16.332,0.0,,,,,
76,09/20/13 10:00:00 PM,13.846,0.0,,,,,
77,09/21/13 01:00:00 AM,12.787,0.0,,,,,
78,09/21/13 04:00:00 AM,12.013,0.0,,,,,
79,09/21/13 07:00:00 AM,12.013,0.0,,,,,
80,09/21/13 10:00:00 AM,12.497,1636.1,,,,,
81,09/21/13 01:00:00 PM,14.804,3444.5,,,,,
82,09/21/13 04:00:00 PM,14.517,2325.0,,,,,
83,09/21/13 07:00:00 PM,12.690,0.0,,,,,
84,09/21/13 10:00:00 PM,11.916,0.0,,,,,
85,09/22/13 01:00:00 AM,11.236,0.0,,,,,
86,09/22/13 04:00:00 AM,10.846,0.0,,,,,
87,09/22/13 07:00:00 AM,9.866,0.0,,,,,
88,09/22/13 10:00:00 AM,9.275,1087.2,,,,,
89,09/22/13 01:00:00 PM,10.161,947.2,,,,,
90,09/22/13 04:00:00 PM,9.275,462.9,,,,,
91,09/22/13 07:00:00 PM,9.965,0.0,,,,,
