"Plot Title: TA01-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995232, SEN S/N: 9995232)","Intensity, Lux (LGR S/N: 9995232, SEN S/N: 9995232)","End Of File (LGR S/N: 9995232)"
1,09/11/13 01:00:00 PM,23.196,3100.0,
2,09/11/13 04:00:00 PM,25.222,2325.0,
3,09/11/13 07:00:00 PM,21.473,53.8,
4,09/11/13 10:00:00 PM,18.616,0.0,
5,09/12/13 01:00:00 AM,17.284,0.0,
6,09/12/13 04:00:00 AM,16.332,0.0,
7,09/12/13 07:00:00 AM,15.664,32.3,
8,09/12/13 10:00:00 AM,17.950,1076.4,
9,09/12/13 01:00:00 PM,23.677,3272.2,
10,09/12/13 04:00:00 PM,24.255,2238.9,
11,09/12/13 07:00:00 PM,21.664,64.6,
12,09/12/13 10:00:00 PM,19.092,0.0,
13,09/13/13 01:00:00 AM,17.284,0.0,
14,09/13/13 04:00:00 AM,16.237,0.0,
15,09/13/13 07:00:00 AM,16.237,21.5,
16,09/13/13 10:00:00 AM,17.570,1894.5,
17,09/13/13 01:00:00 PM,20.138,3100.0,
18,09/13/13 04:00:00 PM,22.142,2152.8,
19,09/13/13 07:00:00 PM,19.662,53.8,
20,09/13/13 10:00:00 PM,17.189,0.0,
21,09/14/13 01:00:00 AM,15.473,0.0,
22,09/14/13 04:00:00 AM,13.942,0.0,
23,09/14/13 07:00:00 AM,13.269,32.3,
24,09/14/13 10:00:00 AM,16.427,1054.9,
25,09/14/13 01:00:00 PM,23.004,2927.8,
26,09/14/13 04:00:00 PM,25.610,2325.0,
27,09/14/13 07:00:00 PM,22.333,183.0,
28,09/14/13 10:00:00 PM,19.282,0.0,
29,09/15/13 01:00:00 AM,18.045,0.0,
30,09/15/13 04:00:00 AM,18.521,0.0,
31,09/15/13 07:00:00 AM,17.855,21.5,
32,09/15/13 10:00:00 AM,18.996,1151.7,
33,09/15/13 01:00:00 PM,18.140,3444.5,
34,09/15/13 04:00:00 PM,17.570,613.5,
35,09/15/13 07:00:00 PM,16.141,21.5,
36,09/15/13 10:00:00 PM,15.473,0.0,
37,09/16/13 01:00:00 AM,14.804,0.0,
38,09/16/13 04:00:00 AM,14.134,0.0,
39,09/16/13 07:00:00 AM,13.365,10.8,
40,09/16/13 10:00:00 AM,14.421,1550.0,
41,09/16/13 01:00:00 PM,14.804,2411.1,
42,09/16/13 04:00:00 PM,15.378,2927.8,
43,09/16/13 07:00:00 PM,14.230,21.5,
44,09/16/13 10:00:00 PM,13.654,0.0,
45,09/17/13 01:00:00 AM,13.173,0.0,
46,09/17/13 04:00:00 AM,12.787,0.0,
47,09/17/13 07:00:00 AM,11.916,0.0,
48,09/17/13 10:00:00 AM,11.528,1237.9,
49,09/17/13 01:00:00 PM,12.207,1894.5,
50,09/17/13 04:00:00 PM,12.110,2066.7,
51,09/17/13 07:00:00 PM,11.819,0.0,
52,09/17/13 10:00:00 PM,11.334,0.0,
53,09/18/13 01:00:00 AM,10.651,0.0,
54,09/18/13 04:00:00 AM,10.357,0.0,
55,09/18/13 07:00:00 AM,10.259,0.0,
56,09/18/13 10:00:00 AM,10.748,1463.9,
57,09/18/13 01:00:00 PM,12.207,2583.4,
58,09/18/13 04:00:00 PM,13.654,1808.3,
59,09/18/13 07:00:00 PM,12.110,32.3,
60,09/18/13 10:00:00 PM,9.669,0.0,
61,09/19/13 01:00:00 AM,8.182,0.0,
62,09/19/13 04:00:00 AM,7.582,0.0,
63,09/19/13 07:00:00 AM,6.877,21.5,
64,09/19/13 10:00:00 AM,9.472,914.9,
65,09/19/13 01:00:00 PM,14.613,2755.6,
66,09/19/13 04:00:00 PM,17.189,2152.8,
67,09/19/13 07:00:00 PM,14.325,21.5,
68,09/19/13 10:00:00 PM,11.916,0.0,
69,09/20/13 01:00:00 AM,10.651,0.0,
70,09/20/13 04:00:00 AM,10.161,0.0,
71,09/20/13 07:00:00 AM,9.669,64.6,
72,09/20/13 10:00:00 AM,12.110,1076.4,
73,09/20/13 01:00:00 PM,16.999,2755.6,
74,09/20/13 04:00:00 PM,17.379,1377.8,
75,09/20/13 07:00:00 PM,15.951,0.0,
76,09/20/13 10:00:00 PM,13.846,0.0,
77,09/21/13 01:00:00 AM,12.980,0.0,
78,09/21/13 04:00:00 AM,12.304,0.0,
79,09/21/13 07:00:00 AM,12.110,0.0,
80,09/21/13 10:00:00 AM,12.594,1463.9,
81,09/21/13 01:00:00 PM,14.709,2583.4,
82,09/21/13 04:00:00 PM,14.517,1722.2,
83,09/21/13 07:00:00 PM,12.787,0.0,
84,09/21/13 10:00:00 PM,12.207,0.0,
85,09/22/13 01:00:00 AM,11.431,0.0,
86,09/22/13 04:00:00 AM,11.139,0.0,
87,09/22/13 07:00:00 AM,10.357,0.0,
88,09/22/13 10:00:00 AM,9.669,818.1,
89,09/22/13 01:00:00 PM,10.259,710.4,
90,09/22/13 04:00:00 PM,9.373,333.7,
91,09/22/13 07:00:00 PM,9.965,0.0,
92,09/22/13 10:00:00 PM,9.965,0.0,
93,09/23/13 01:00:00 AM,9.472,0.0,
94,09/23/13 04:00:00 AM,9.373,0.0,
95,09/23/13 07:00:00 AM,9.275,0.0,
96,09/23/13 10:00:00 AM,9.571,656.6,
97,09/23/13 01:00:00 PM,10.161,505.9,
98,09/23/13 04:00:00 PM,10.846,796.5,
99,09/23/13 07:00:00 PM,10.161,0.0,
100,09/23/13 10:00:00 PM,9.571,0.0,
101,09/24/13 01:00:00 AM,9.077,0.0,
102,09/24/13 04:00:00 AM,8.680,0.0,
103,09/24/13 07:00:00 AM,8.182,0.0,
104,09/24/13 10:00:00 AM,8.282,871.9,
105,09/24/13 01:00:00 PM,9.965,2927.8,
106,09/24/13 04:00:00 PM,10.944,1216.3,
107,09/24/13 07:00:00 PM,9.275,0.0,
108,09/24/13 10:00:00 PM,7.782,0.0,
109,09/25/13 01:00:00 AM,7.582,0.0,
110,09/25/13 04:00:00 AM,7.481,0.0,
111,09/25/13 07:00:00 AM,7.381,0.0,
112,09/25/13 10:00:00 AM,7.582,925.7,
113,09/25/13 01:00:00 PM,9.176,1377.8,
114,09/25/13 04:00:00 PM,9.669,505.9,
115,09/25/13 07:00:00 PM,9.077,0.0,
116,09/25/13 10:00:00 PM,8.082,0.0,
117,09/26/13 01:00:00 AM,7.782,0.0,
118,09/26/13 04:00:00 AM,7.280,0.0,
119,09/26/13 07:00:00 AM,7.280,0.0,
120,09/26/13 10:00:00 AM,7.682,731.9,
121,09/26/13 01:00:00 PM,10.161,2497.2,
122,09/26/13 04:00:00 PM,10.651,366.0,
123,09/26/13 07:00:00 PM,9.571,0.0,
124,09/26/13 10:00:00 PM,8.481,0.0,
125,09/27/13 01:00:00 AM,8.082,0.0,
126,09/27/13 04:00:00 AM,7.179,0.0,
127,09/27/13 07:00:00 AM,6.978,0.0,
128,09/27/13 10:00:00 AM,7.280,871.9,
129,09/27/13 01:00:00 PM,8.282,1065.6,
130,09/27/13 04:00:00 PM,8.581,161.5,
131,09/27/13 07:00:00 PM,8.581,0.0,
132,09/27/13 10:00:00 PM,8.779,0.0,
133,09/28/13 01:00:00 AM,8.779,0.0,
134,09/28/13 04:00:00 AM,8.779,0.0,
135,09/28/13 07:00:00 AM,8.680,0.0,
136,09/28/13 10:00:00 AM,9.866,947.2,
137,09/28/13 01:00:00 PM,11.625,462.9,
138,09/28/13 04:00:00 PM,11.528,958.0,
139,09/28/13 07:00:00 PM,11.041,0.0,
140,09/28/13 10:00:00 PM,7.882,0.0,
141,09/29/13 01:00:00 AM,7.983,0.0,
142,09/29/13 04:00:00 AM,7.682,0.0,
