"Plot Title: TB13-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401792, SEN S/N: 2401792)","Intensity, Lux (LGR S/N: 2401792, SEN S/N: 2401792)","Coupler Attached (LGR S/N: 2401792)","Host Connected (LGR S/N: 2401792)","Stopped (LGR S/N: 2401792)","End Of File (LGR S/N: 2401792)"
1,09/18/13 07:00:00 PM,11.139,53.8,,,,
2,09/18/13 10:00:00 PM,8.879,0.0,,,,
3,09/19/13 01:00:00 AM,7.782,0.0,,,,
4,09/19/13 04:00:00 AM,6.877,0.0,,,,
5,09/19/13 07:00:00 AM,7.079,10.8,,,,
6,09/19/13 10:00:00 AM,9.965,1291.7,,,,
7,09/19/13 01:00:00 PM,18.521,3961.1,,,,
8,09/19/13 04:00:00 PM,17.094,2066.7,,,,
9,09/19/13 07:00:00 PM,14.709,53.8,,,,
10,09/19/13 10:00:00 PM,12.883,0.0,,,,
11,09/20/13 01:00:00 AM,11.139,0.0,,,,
12,09/20/13 04:00:00 AM,11.041,0.0,,,,
13,09/20/13 07:00:00 AM,10.944,53.8,,,,
14,09/20/13 10:00:00 AM,13.269,2152.8,,,,
15,09/20/13 01:00:00 PM,19.282,5166.7,,,,
16,09/20/13 04:00:00 PM,16.808,1334.7,,,,
17,09/20/13 07:00:00 PM,14.517,0.0,,,,
18,09/20/13 10:00:00 PM,12.497,0.0,,,,
19,09/21/13 01:00:00 AM,11.819,0.0,,,,
20,09/21/13 04:00:00 AM,11.334,0.0,,,,
21,09/21/13 07:00:00 AM,10.651,0.0,,,,
22,09/21/13 10:00:00 AM,11.528,1636.1,,,,
23,09/21/13 01:00:00 PM,14.038,4650.0,,,,
24,09/21/13 04:00:00 PM,12.497,1291.7,,,,
25,09/21/13 07:00:00 PM,11.041,0.0,,,,
26,09/21/13 10:00:00 PM,10.553,0.0,,,,
27,09/22/13 01:00:00 AM,10.357,0.0,,,,
28,09/22/13 04:00:00 AM,9.768,0.0,,,,
29,09/22/13 07:00:00 AM,8.879,0.0,,,,
30,09/22/13 10:00:00 AM,8.779,753.5,,,,
31,09/22/13 01:00:00 PM,8.978,333.7,,,,
32,09/22/13 04:00:00 PM,8.779,1022.6,,,,
33,09/22/13 07:00:00 PM,9.077,0.0,,,,
34,09/22/13 10:00:00 PM,8.879,0.0,,,,
35,09/23/13 01:00:00 AM,8.282,0.0,,,,
36,09/23/13 04:00:00 AM,8.182,0.0,,,,
37,09/23/13 07:00:00 AM,7.983,10.8,,,,
38,09/23/13 10:00:00 AM,8.879,1808.3,,,,
39,09/23/13 01:00:00 PM,8.978,1345.5,,,,
40,09/23/13 04:00:00 PM,9.275,1044.1,,,,
41,09/23/13 07:00:00 PM,9.077,0.0,,,,
42,09/23/13 10:00:00 PM,7.782,0.0,,,,
43,09/24/13 01:00:00 AM,7.381,0.0,,,,
44,09/24/13 04:00:00 AM,6.674,0.0,,,,
45,09/24/13 07:00:00 AM,5.450,0.0,,,,
46,09/24/13 10:00:00 AM,6.674,1808.3,,,,
47,09/24/13 01:00:00 PM,9.965,6200.0,,,,
48,09/24/13 04:00:00 PM,9.275,2238.9,,,,
49,09/24/13 07:00:00 PM,7.079,0.0,,,,
50,09/24/13 10:00:00 PM,6.775,0.0,,,,
51,09/25/13 01:00:00 AM,6.674,0.0,,,,
52,09/25/13 04:00:00 AM,6.268,0.0,,,,
53,09/25/13 07:00:00 AM,6.166,0.0,,,,
54,09/25/13 10:00:00 AM,6.775,1377.8,,,,
55,09/25/13 01:00:00 PM,7.882,1808.3,,,,
56,09/25/13 04:00:00 PM,7.481,818.1,,,,
57,09/25/13 07:00:00 PM,6.877,0.0,,,,
58,09/25/13 10:00:00 PM,6.471,0.0,,,,
59,09/26/13 01:00:00 AM,6.064,0.0,,,,
60,09/26/13 04:00:00 AM,6.064,0.0,,,,
61,09/26/13 07:00:00 AM,4.831,0.0,,,,
62,09/26/13 10:00:00 AM,5.757,1141.0,,,,
63,09/26/13 01:00:00 PM,8.282,5166.7,,,,
64,09/26/13 04:00:00 PM,8.879,678.1,,,,
65,09/26/13 07:00:00 PM,8.082,0.0,,,,
66,09/26/13 10:00:00 PM,6.268,0.0,,,,
67,09/27/13 01:00:00 AM,5.244,0.0,,,,
68,09/27/13 04:00:00 AM,5.037,0.0,,,,
69,09/27/13 07:00:00 AM,5.962,0.0,,,,
70,09/27/13 10:00:00 AM,6.877,1151.7,,,,
71,09/27/13 01:00:00 PM,7.481,559.7,,,,
72,09/27/13 04:00:00 PM,7.882,129.2,,,,
73,09/27/13 07:00:00 PM,8.282,0.0,,,,
74,09/27/13 10:00:00 PM,8.282,0.0,,,,
75,09/28/13 01:00:00 AM,8.282,0.0,,,,
76,09/28/13 04:00:00 AM,8.382,0.0,,,,
77,09/28/13 07:00:00 AM,8.779,0.0,,,,
78,09/28/13 10:00:00 AM,10.259,699.7,,,,
79,09/28/13 01:00:00 PM,10.748,731.9,,,,
80,09/28/13 04:00:00 PM,11.041,419.8,,,,
81,09/28/13 07:00:00 PM,9.077,0.0,,,,
82,09/28/13 10:00:00 PM,7.381,0.0,,,,
83,09/29/13 01:00:00 AM,6.978,0.0,,,,
84,09/29/13 04:00:00 AM,6.877,0.0,,,,
85,09/29/13 07:00:00 AM,6.674,0.0,,,,
86,09/29/13 10:00:00 AM,6.573,344.4,,,,
87,09/29/13 01:00:00 PM,5.962,958.0,,,,
88,09/29/13 04:00:00 PM,5.860,1119.5,,,,
89,09/29/13 07:00:00 PM,5.962,0.0,,,,
90,09/29/13 10:00:00 PM,7.782,0.0,,,,
91,09/30/13 01:00:00 AM,5.655,0.0,,,,
92,09/30/13 04:00:00 AM,5.244,0.0,,,,
93,09/30/13 07:00:00 AM,4.727,0.0,,,,
94,09/30/13 10:00:00 AM,5.860,1076.4,,,,
95,09/30/13 01:00:00 PM,5.141,1463.9,,,,
96,09/30/13 04:00:00 PM,5.962,710.4,,,,
97,09/30/13 07:00:00 PM,5.552,0.0,,,,
98,09/30/13 10:00:00 PM,4.311,0.0,,,,
99,10/01/13 01:00:00 AM,4.102,0.0,,,,
100,10/01/13 04:00:00 AM,3.998,0.0,,,,
101,10/01/13 07:00:00 AM,3.893,0.0,,,,
102,10/01/13 10:00:00 AM,4.102,1194.8,,,,
103,10/01/13 01:00:00 PM,4.934,1270.1,,,,
104,10/01/13 04:00:00 PM,5.860,269.1,,,,
105,10/01/13 07:00:00 PM,5.141,0.0,,,,
106,10/01/13 10:00:00 PM,5.037,0.0,,,,
107,10/02/13 01:00:00 AM,5.141,0.0,,,,
108,10/02/13 04:00:00 AM,5.141,0.0,,,,
109,10/02/13 07:00:00 AM,4.831,0.0,,,,
110,10/02/13 10:00:00 AM,5.347,1463.9,,,,
111,10/02/13 01:00:00 PM,7.179,2066.7,,,,
112,10/02/13 04:00:00 PM,6.064,678.1,,,,
113,10/02/13 07:00:00 PM,4.934,0.0,,,,
114,10/02/13 10:00:00 PM,4.623,0.0,,,,
115,10/03/13 01:00:00 AM,4.415,0.0,,,,
116,10/03/13 04:00:00 AM,4.311,0.0,,,,
117,10/03/13 07:00:00 AM,3.998,0.0,,,,
118,10/03/13 10:00:00 AM,4.727,3272.2,,,,
119,10/03/13 01:00:00 PM,6.877,3100.0,,,,
120,10/03/13 04:00:00 PM,7.481,1808.3,,,,
121,10/03/13 07:00:00 PM,6.370,0.0,,,,
122,10/03/13 10:00:00 PM,6.064,0.0,,,,
123,10/04/13 01:00:00 AM,3.683,0.0,,,,
124,10/04/13 04:00:00 AM,3.261,0.0,,,,
125,10/04/13 07:00:00 AM,3.261,10.8,,,,
126,10/04/13 10:00:00 AM,5.037,1334.7,,,,
127,10/04/13 01:00:00 PM,10.748,4822.3,,,,
128,10/04/13 04:00:00 PM,10.063,1722.2,,,,
129,10/04/13 07:00:00 PM,8.481,0.0,,,,
130,10/04/13 10:00:00 PM,6.775,0.0,,,,
131,10/05/13 01:00:00 AM,6.166,0.0,,,,
132,10/05/13 04:00:00 AM,5.347,0.0,,,,
133,10/05/13 07:00:00 AM,5.037,0.0,,,,
134,10/05/13 10:00:00 AM,7.381,947.2,,,,
135,10/05/13 01:00:00 PM,17.570,7577.8,,,,
136,10/05/13 04:00:00 PM,13.654,1722.2,,,,
137,10/05/13 07:00:00 PM,11.722,0.0,,,,
138,10/05/13 10:00:00 PM,9.768,0.0,,,,
139,10/06/13 01:00:00 AM,8.978,0.0,,,,
