"Plot Title: TO04-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995204, SEN S/N: 9995204)","Intensity, Lux (LGR S/N: 9995204, SEN S/N: 9995204)","Bad Battery (LGR S/N: 9995204)","End Of File (LGR S/N: 9995204)"
1,09/16/13 04:00:00 PM,15.091,2325.0,,
2,09/16/13 07:00:00 PM,13.558,290.6,,
3,09/16/13 10:00:00 PM,13.173,0.0,,
4,09/17/13 01:00:00 AM,12.594,0.0,,
5,09/17/13 04:00:00 AM,12.110,0.0,,
6,09/17/13 07:00:00 AM,11.431,32.3,,
7,09/17/13 10:00:00 AM,12.207,2325.0,,
8,09/17/13 01:00:00 PM,12.013,2927.8,,
9,09/17/13 04:00:00 PM,12.883,4305.6,,
10,09/17/13 07:00:00 PM,11.236,10.8,,
11,09/17/13 10:00:00 PM,10.651,0.0,,
12,09/18/13 01:00:00 AM,9.965,0.0,,
13,09/18/13 04:00:00 AM,9.768,0.0,,
14,09/18/13 07:00:00 AM,9.571,32.3,,
15,09/18/13 10:00:00 AM,10.748,4133.4,,
16,09/18/13 01:00:00 PM,12.497,7577.8,,
17,09/18/13 04:00:00 PM,11.722,1722.2,,
18,09/18/13 07:00:00 PM,10.651,96.9,,
19,09/18/13 10:00:00 PM,8.481,0.0,,
20,09/19/13 01:00:00 AM,7.179,0.0,,
21,09/19/13 04:00:00 AM,6.471,0.0,,
22,09/19/13 07:00:00 AM,6.166,53.8,,
23,09/19/13 10:00:00 AM,7.983,1808.3,,
24,09/19/13 01:00:00 PM,13.750,3444.5,,
25,09/19/13 04:00:00 PM,14.325,1636.1,,
26,09/19/13 07:00:00 PM,12.594,75.3,,
27,09/19/13 10:00:00 PM,10.748,0.0,,
28,09/20/13 01:00:00 AM,9.669,0.0,,
29,09/20/13 04:00:00 AM,8.680,0.0,,
30,09/20/13 07:00:00 AM,8.082,139.9,,
31,09/20/13 10:00:00 AM,10.553,3616.7,,
32,09/20/13 01:00:00 PM,13.750,4305.6,,
33,09/20/13 04:00:00 PM,15.091,2755.6,,
34,09/20/13 07:00:00 PM,13.558,21.5,,
35,09/20/13 10:00:00 PM,12.497,0.0,,
36,09/21/13 01:00:00 AM,11.819,0.0,,
37,09/21/13 04:00:00 AM,11.528,0.0,,
38,09/21/13 07:00:00 AM,10.846,32.3,,
39,09/21/13 10:00:00 AM,11.236,1894.5,,
40,09/21/13 01:00:00 PM,13.846,7233.4,,
41,09/21/13 04:00:00 PM,13.269,4650.0,,
42,09/21/13 07:00:00 PM,11.722,32.3,,
43,09/21/13 10:00:00 PM,11.139,0.0,,
44,09/22/13 01:00:00 AM,10.944,0.0,,
45,09/22/13 04:00:00 AM,10.455,0.0,,
46,09/22/13 07:00:00 AM,9.669,0.0,,
47,09/22/13 10:00:00 AM,9.866,2152.8,,
48,09/22/13 01:00:00 PM,10.063,925.7,,
49,09/22/13 04:00:00 PM,10.063,2238.9,,
50,09/22/13 07:00:00 PM,9.768,43.1,,
51,09/22/13 10:00:00 PM,9.472,0.0,,
