"Plot Title: TO11-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995207, SEN S/N: 9995207)","Intensity, Lux (LGR S/N: 9995207, SEN S/N: 9995207)","End Of File (LGR S/N: 9995207)"
1,09/23/13 07:00:00 PM,9.965,0.0,
2,09/23/13 10:00:00 PM,9.077,0.0,
3,09/24/13 01:00:00 AM,8.978,0.0,
4,09/24/13 04:00:00 AM,8.182,0.0,
5,09/24/13 07:00:00 AM,6.877,10.8,
6,09/24/13 10:00:00 AM,8.082,2583.4,
7,09/24/13 01:00:00 PM,9.373,1980.6,
8,09/24/13 04:00:00 PM,9.866,516.7,
9,09/24/13 07:00:00 PM,8.779,0.0,
10,09/24/13 10:00:00 PM,7.882,0.0,
11,09/25/13 01:00:00 AM,7.782,0.0,
12,09/25/13 04:00:00 AM,7.782,0.0,
13,09/25/13 07:00:00 AM,7.682,0.0,
14,09/25/13 10:00:00 AM,8.680,2066.7,
15,09/25/13 01:00:00 PM,9.669,1550.0,
16,09/25/13 04:00:00 PM,10.063,2066.7,
17,09/25/13 07:00:00 PM,9.176,0.0,
18,09/25/13 10:00:00 PM,8.581,0.0,
19,09/26/13 01:00:00 AM,8.182,0.0,
20,09/26/13 04:00:00 AM,7.381,0.0,
21,09/26/13 07:00:00 AM,6.775,0.0,
22,09/26/13 10:00:00 AM,7.882,1722.2,
23,09/26/13 01:00:00 PM,9.669,1722.2,
24,09/26/13 04:00:00 PM,10.357,1377.8,
25,09/26/13 07:00:00 PM,9.176,0.0,
26,09/26/13 10:00:00 PM,7.882,0.0,
27,09/27/13 01:00:00 AM,6.877,0.0,
28,09/27/13 04:00:00 AM,6.370,0.0,
29,09/27/13 07:00:00 AM,6.674,0.0,
30,09/27/13 10:00:00 AM,7.782,549.0,
31,09/27/13 01:00:00 PM,8.680,667.4,
32,09/27/13 04:00:00 PM,9.472,581.3,
33,09/27/13 07:00:00 PM,9.571,0.0,
34,09/27/13 10:00:00 PM,9.472,0.0,
35,09/28/13 01:00:00 AM,9.472,0.0,
36,09/28/13 04:00:00 AM,9.472,0.0,
37,09/28/13 07:00:00 AM,9.571,0.0,
38,09/28/13 10:00:00 AM,10.651,893.4,
39,09/28/13 01:00:00 PM,11.236,549.0,
40,09/28/13 04:00:00 PM,11.431,269.1,
41,09/28/13 07:00:00 PM,9.472,0.0,
42,09/28/13 10:00:00 PM,8.680,0.0,
43,09/29/13 01:00:00 AM,8.481,0.0,
44,09/29/13 04:00:00 AM,7.882,0.0,
45,09/29/13 07:00:00 AM,7.782,0.0,
46,09/29/13 10:00:00 AM,7.882,807.3,
47,09/29/13 01:00:00 PM,7.983,1463.9,
48,09/29/13 04:00:00 PM,8.382,721.2,
49,09/29/13 07:00:00 PM,8.581,0.0,
50,09/29/13 10:00:00 PM,9.077,0.0,
51,09/30/13 01:00:00 AM,7.179,0.0,
52,09/30/13 04:00:00 AM,6.471,0.0,
53,09/30/13 07:00:00 AM,6.674,0.0,
54,09/30/13 10:00:00 AM,7.381,1270.1,
55,09/30/13 01:00:00 PM,7.280,570.5,
56,09/30/13 04:00:00 PM,7.882,1980.6,
57,09/30/13 07:00:00 PM,7.079,0.0,
58,09/30/13 10:00:00 PM,6.674,0.0,
59,10/01/13 01:00:00 AM,6.166,0.0,
60,10/01/13 04:00:00 AM,6.166,0.0,
61,10/01/13 07:00:00 AM,5.552,0.0,
62,10/01/13 10:00:00 AM,6.674,4133.4,
63,10/01/13 01:00:00 PM,6.370,2325.0,
64,10/01/13 04:00:00 PM,7.079,2755.6,
65,10/01/13 07:00:00 PM,6.674,0.0,
66,10/01/13 10:00:00 PM,6.573,0.0,
67,10/02/13 01:00:00 AM,6.674,0.0,
68,10/02/13 04:00:00 AM,6.674,0.0,
69,10/02/13 07:00:00 AM,6.471,10.8,
70,10/02/13 10:00:00 AM,7.481,2755.6,
71,10/02/13 01:00:00 PM,8.182,1808.3,
72,10/02/13 04:00:00 PM,7.983,904.2,
73,10/02/13 07:00:00 PM,6.978,0.0,
74,10/02/13 10:00:00 PM,6.674,0.0,
75,10/03/13 01:00:00 AM,6.370,0.0,
76,10/03/13 04:00:00 AM,6.268,0.0,
77,10/03/13 07:00:00 AM,6.166,0.0,
78,10/03/13 10:00:00 AM,6.573,1377.8,
79,10/03/13 01:00:00 PM,8.481,3788.9,
80,10/03/13 04:00:00 PM,8.581,1808.3,
81,10/03/13 07:00:00 PM,7.882,0.0,
82,10/03/13 10:00:00 PM,7.381,0.0,
83,10/04/13 01:00:00 AM,5.347,0.0,
84,10/04/13 04:00:00 AM,4.727,0.0,
85,10/04/13 07:00:00 AM,4.415,0.0,
86,10/04/13 10:00:00 AM,5.757,1808.3,
87,10/04/13 01:00:00 PM,7.481,1808.3,
88,10/04/13 04:00:00 PM,8.182,1022.6,
89,10/04/13 07:00:00 PM,7.983,0.0,
90,10/04/13 10:00:00 PM,7.381,0.0,
91,10/05/13 01:00:00 AM,6.877,0.0,
92,10/05/13 04:00:00 AM,6.573,0.0,
93,10/05/13 07:00:00 AM,6.166,0.0,
94,10/05/13 10:00:00 AM,7.079,1259.4,
95,10/05/13 01:00:00 PM,9.077,1722.2,
96,10/05/13 04:00:00 PM,9.472,301.4,
97,10/05/13 07:00:00 PM,9.373,0.0,
98,10/05/13 10:00:00 PM,9.176,0.0,
99,10/06/13 01:00:00 AM,8.779,0.0,
100,10/06/13 04:00:00 AM,8.282,0.0,
101,10/06/13 07:00:00 AM,7.882,0.0,
102,10/06/13 10:00:00 AM,8.282,1980.6,
103,10/06/13 01:00:00 PM,10.063,1001.0,
104,10/06/13 04:00:00 PM,10.748,226.0,
105,10/06/13 07:00:00 PM,10.357,0.0,
106,10/06/13 10:00:00 PM,10.063,0.0,
107,10/07/13 01:00:00 AM,10.161,0.0,
108,10/07/13 04:00:00 AM,9.472,0.0,
109,10/07/13 07:00:00 AM,9.275,0.0,
110,10/07/13 10:00:00 AM,9.077,376.7,
111,10/07/13 01:00:00 PM,8.879,2927.8,
112,10/07/13 04:00:00 PM,8.282,904.2,
113,10/07/13 07:00:00 PM,7.983,0.0,
114,10/07/13 10:00:00 PM,7.582,0.0,
115,10/08/13 01:00:00 AM,7.682,0.0,
116,10/08/13 04:00:00 AM,7.179,0.0,
117,10/08/13 07:00:00 AM,7.079,0.0,
